MID_OP1_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x14\x0Eエーデルガルト\x022\n\x0E\x03\x00\x10\nディミトリ\x023\n\x0E\x03\x00\x0E\x08クロード\x024\n\x0E\x03\x02\x0A\x08リュール\nIn diesem Armring befindet sich ein Emblem.\nDoch... Die Präsenz im Inneren ist... verworren.\x0E\x04\x02\x00
MID_OP1_2_#016	\x0E\x03\x02\x0A\x08クロード\nSie beliebt zu scherzen. Das erkennst du daran,\ndass ihr Gesichtsausdruck genauso aussieht, als\nob sie es ernst meint.\x0E\x04\x00\x00
MID_OP1_2_#017	\x0E\x03\x02\x10\x0Eエーデルガルト\nHehehe. Wir konkurrierten immer schon mit-\neinander. Es wird erfrischend sein, wenn wir\nmal gemeinsame Sache machen.\x0E\x04\x00\x00
MID_OP1_2_#018	\x0E\x03\x02\x0C\nディミトリ\nIch sollte das erklären. Wir alle waren Studenten\nan der Militärakademie, aber jeder stand einem\nanderen Haus als Sprecher vor.\x0E\x04\x00\x00
MID_OP1_2_#019	\x0E\x03\x02\x0A\x08リュール\nDas meint ihr also mit „konkurrieren“.\x0E\x04\x00\x00
MID_OP1_2_#020	\x0E\x03\x02\x10\x0Eエーデルガルト\nRichtig. Wir unternahmen nur bei ganz beson-\nderen Ereignissen, wie bei der Schlacht der\nAdler und Löwen, etwas zusammen.\x0E\x04\x00\x00
MID_OP1_2_#021	\x0E\x03\x02\x0C\nディミトリ\nDas ist ein traditioneller Wettstreit zwischen\nden Häusern, bei dem am Ende die Stärke eines\njeden gefeiert wird.\x0E\x04\x00\x00
MID_OP1_2_#022	\x0E\x03\x02\x10\x0Eエーデルガルト\nDanach fand eine richtige Feier statt. Unsere\nwar in dieser Nacht recht ausgelassen.\x0E\x04\x00\x00
MID_OP1_2_#023	\x0E\x03\x02\x0A\x08クロード\nDimitri wirkt ziemlich steif, aber lasst Euch\ndavon nicht an der Nase herumführen,\n\x0E\x06\x03\x00.\x0E\x04\x02\x00
MID_OP1_2_#024	Unter uns gesagt, er ist ein richtiger Partylöwe.\x0E\x04\x02\x00
MID_OP1_2_#025	Ich bin überrascht, dass er es geschafft hat,\ndass sein Haus nicht ausgeschlossen wurde –\nbei all dem Blödsinn, der verzapft wurde.\x0E\x04\x00\x00
MID_OP1_2_#026	\x0E\x03\x02\x0A\x08リュール\nHahaha. Das muss ja wirklich eine Nacht\ngewesen sein.\x0E\x04\x00\x00
MID_OP1_2_#027	\x0E\x03\x02\x0C\nディミトリ\nIhr kennt ihn noch nicht, daher könnt Ihr nicht\nwissen, wann er seine Witzchen macht. Ignoriert\neinfach die Hälfte von dem, was er gesagt hat.\x0E\x04\x00\x00
MID_OP1_2_#028	\x0E\x03\x02\x0A\x08クロード\nOh, komm schon, das ist ungerecht. Mindestens\nein Drittel von dem, was ich erzählt habe, war\ndoch des Zuhörens wert.\x0E\x04\x00\x00
MID_OP1_2_#029	\x0E\x03\x02\x10\x0Eエーデルガルト\nDir ist schon klar, dass ein Drittel weniger als\ndie Hälfte ist, oder?\x0E\x04\x00\x00
MID_OP2_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06ベレト\x021\n\x0E\x03\x00\x14\x0Eエーデルガルト\x022\n\x0E\x03\x00\x10\nディミトリ\x023\n\x0E\x03\x00\x0E\x08クロード\x024\n\x0E\x03\x02\x08\x06ベレト\nWie ich sehe, haben wir einige verlässliche\nVerbündete hinzugewonnen.\x0E\x04\x00\x00
MID_OP2_#002	\x0E\x03\x02\x10\x0Eエーデルガルト\nMagister! Du bist auch hier? Nun bin ich erst\nrecht motiviert.\x0E\x04\x02\x00
MID_OP2_#003	Was für eine Ehre, an deiner Seite kämpfen\nzu dürfen!\x0E\x04\x00\x00
MID_OP2_#004	\x0E\x03\x02\x08\x06ベレト\nWenn es so eine Ehre für dich ist, werde ich\nmich besonders anstrengen.\x0E\x04\x00\x00
MID_OP2_#005	\x0E\x03\x02\x0C\nディミトリ\nDieses kleine Wiedersehen erinnert mich an den\nTag, an dem wir den Magister zum ersten Mal\ngetroffen haben.\x0E\x04\x00\x00
MID_OP2_#006	\x0E\x03\x02\x10\x0Eエーデルガルト\nDu meinst die Nacht, in der unser Lager von\nBanditen überfallen wurde?\x0E\x04\x00\x00
MID_OP2_#007	\x0E\x03\x02\x0C\nディミトリ\nGenau. Allerdings wird Claude heute nicht in\nder Lage sein, einen „strategischen Rückzug“\nanzutreten.\x0E\x04\x00\x00
MID_OP2_#008	\x0E\x03\x02\x0A\x08クロード\nWir kleben wohl nun irgendwie aneinander,\nnicht wahr?\x0E\x04\x02\x00
MID_OP2_#009	Ich sage es nur sehr ungern, aber wir müssen\nlernen, besser miteinander auszukommen, wenn\nwir Seite an Seite kämpfen wollen.\x0E\x04\x00\x00
MID_OP2_#010	\x0E\x03\x02\x08\x06ベレト\nJa, das solltet ihr.\x0E\x04\x00\x00
MID_OP2_#011	\x0E\x03\x02\x10\x0Eエーデルガルト\nStimmt. Niemand von uns kann ganz allein das\ntun, was getan werden muss.\x0E\x04\x02\x00
MID_OP2_#012	Aber wir sind nun zusammen, als Teil dieser\nArmee, daher ist eine Niederlage geradezu\nundenkbar.\x0E\x04\x02\x00
MID_OP2_#013	Das mag jetzt arrogant geklungen haben, aber\nich setze vollstes Vertrauen in die Fähigkeiten,\ndie uns unser Magister beigebracht hat.\x0E\x04\x02\x00
MID_OP2_#014	Würdest du mir da nicht zustimmen, mein\nMagister?\x0E\x04\x00\x00
MID_OP2_#015	\x0E\x03\x02\x08\x06ベレト\nSelbstverständlich. Ich bin auf euch alle stolz.\nLasst uns dieses Mal Seite an Seite bis zum\nEnde kämpfen.\x0E\x04\x00\x00
MID_OP3_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x14\x0Eエーデルガルト\x022\n\x0E\x03\x00\x10\nディミトリ\x023\n\x0E\x03\x00\x0E\x08クロード\x024\n\x0E\x03\x02\x10\x0Eエーデルガルト\nLasst es mich ganz offiziell sagen,\n\x0E\x06\x03\x00.\x0E\x04\x02\x00
MID_OP3_#002	Unsere Macht steht Euch zur Verfügung. Bitte\nnutzt sie so gut wie möglich aus.\x0E\x04\x00\x00
MID_OP3_#003	\x0E\x03\x02\x0C\nディミトリ\nDer Sieg wird uns gehören, habt keine Furcht.\nWir sind hier, um zu helfen.\x0E\x04\x00\x00
MID_OP3_#004	\x0E\x03\x02\x0A\x08クロード\nUnd wenn diese zwei und ihre herkömmlichen\nTaktiken versagen, dann habe ich für Euch\nvielleicht ein paar neue Tricks auf Lager.\x0E\x04\x00\x00
MID_OP3_#005	\x0E\x03\x02\x0A\x08リュール\nDas ist beruhigend zu wissen. Ich danke euch.\x0E\x04\x02\x00
MID_OP3_#006	Ich werde euch drei nach Kräften dabei unter-\nstützen, gut zusammenzuarbeiten.\x0E\x04\x00\x00
