MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nスタルーク\x021\n\x0E\x03\x00\x10\nザフィーア\x022\n\x0E\x03\x02\x0C\nザフィーア\nGut, gut. Das war heute eine erfolgreiche Jagd.\nTolle Leistung.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0C\nザフィーア\nBlödsinn. Bleibt an meiner Seite, und ich\nverspreche Euch, dass Ihr reichlich Fische\nan Land holen werdet.\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0C\nザフィーア\nAber der echte Spaß beginnt dann, wenn ich\nEuch zeige, wie man sie zubereitet.\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0C\nスタルーク\nDu bringst mir bei, wie man Fisch zubereitet?\nWirklich?\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x0C\nスタルーク\nIn dem Fall... werde ich es wohl mal versuchen.\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x0C\nザフィーア\nDas wollte ich hören. Betrachtet Euch als\neingeladen, wenn ich das nächste Mal losziehe.\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x02\x0C\nスタルーク\nJa, bitte! Danke, Saphir.\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nスタルーク\x021\n\x0E\x03\x00\x10\nザフィーア\x022\n\x0E\x03\x02\x0C\nザフィーア\nWie sich herausstellt, seid Ihr ein wahrer Könner\nin Sachen Fische fangen, Prinz Alcryst! Das\nist eine große Ausbeute.\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x0C\nスタルーク\nIch muss gestehen, ich bin selbst überrascht.\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0C\nザフィーア\nDas lag an Eurer ruhigen Art. Diese Fische\nwaren gar nicht auf Euch gefasst.\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0C\nスタルーク\nMeinst du, wir haben genug Fisch, um ein\nkomplettes Mahl zuzubereiten?\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0C\nザフィーア\nDefinitiv. Das reicht absolut, vertraut mir.\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x0C\nスタルーク\nDas ist so aufregend! Ich kann es kaum erwar-\nten, das zu lernen. Wir werden mit der Zuberei-\ntung gleich nach unserer Rückkehr beginnen, ja?\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0C\nザフィーア\nNatürlich.\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0C\nザフィーア\nWerdet Ihr mir verraten, für wen Ihr kochen\nwerdet, da Ihr so aufgeregt seid?\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0C\nスタルーク\nHahaha, ist das so offensichtlich?\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0C\nザフィーア\nIch habe bemerkt, dass Ihr immer dann sehr\nbegeistert seid, wenn Ihr etwas für jemand\nanderen tut.\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0C\nスタルーク\nNun... Ich möchte das Mahl für meine Mutter\nzubereiten.\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0C\nスタルーク\nIch möchte für sie etwas Besonderes zubereiten,\nsobald dieser Krieg vorüber ist. Fisch ist ihre\nLieblingsspeise.\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0C\nザフィーア\nAh.\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x0C\nスタルーク\nAls wir von der Rückkehr des Dämonendrachen\nerfuhren, zog sie in ein sicheres Schloss um,\nweit entfernt vom Thron.\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0C\nスタルーク\nEs fühlt sich an, als sei dies ewig her. Ich\nmöchte sie mit etwas Besonderem verwöhnen,\nwenn wir uns wiedersehen.\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0C\nスタルーク\nDas ist das Mindeste, was ich tun kann. Ich bin\nmir sicher... dass sie das über... Vater... bereits\nerfahren hat.\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x0C\nザフィーア\nMm.\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x0C\nザフィーア\nNun, Prinz Alcryst, Ihr könnt auf mich zählen.\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x0C\nザフィーア\nIch werde Euch alles beibringen, was ich weiß,\ndamit der Fisch wunderbar schmeckt.\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x0C\nザフィーア\nWir werden damit beginnen, wie man ihn\nfiletiert und scharf anbrät, und dann widmen\nwir uns dem Würzen und der Haltbarmachung.\x0E\x04\x00\x00
MID_RELIANCE_B_#021	\x0E\x03\x02\x0C\nザフィーア\nIch muss aber eine Warnung vorausschicken.\nWenn es ums Kochen geht, bin ich eine strenge\nLehrerin.\x0E\x04\x00\x00
MID_RELIANCE_B_#022	\x0E\x03\x02\x0C\nスタルーク\nHahaha! Oh-oh. Ich werde mich ganz sicher\nwappnen.\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nスタルーク\x021\n\x0E\x03\x00\x10\nザフィーア\x022\n\x0E\x03\x02\x0C\nスタルーク\nDanke, dass du mir beibringst, wie man\nkocht, Saphir.\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x0C\nスタルーク\nUnter deiner Anleitung habe ich bereits gelernt,\nwie man ein vollständiges Fischmenü zubereitet.\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0C\nスタルーク\nWenn es für meine Mutter sicher ist, zurückzu-\nkehren, bin ich in der Lage, sie mit einem haus-\ngemachten Gericht willkommen zu heißen.\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x0C\nザフィーア\nEs ist mir ein Vergnügen, wirklich.\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0C\nザフィーア\nIch bin froh, all die Lektionen, die ich von\nmeinen Eltern gelernt habe, weiterzugeben.\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0C\nザフィーア\nUnd ich glaube, es hätte sie gefreut zu wissen,\ndass ihr Wissen eines Tages ihrem Prinzen\nhelfen würde.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0C\nザフィーア\nWenn ich so darüber nachdenke, wünschte ich,\nich könnte ihnen davon erzählen, wie ich auch\nfür König Morion gekocht habe.\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0C\nスタルーク\nDas hast du?\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x0C\nスタルーク\nHahaha, wenn er noch unter uns weilen würde,\nwürde er sich sicher mehrmals den Teller\nvollschaufeln.\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0C\nザフィーア\nAh, entschuldige, dass ich so ein schmerzhaftes\nThema aufgebracht habe.\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0C\nスタルーク\nIst schon gut. Ich kann sagen, dass es schöne\nErinnerungen sind.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0C\nスタルーク\nIch bin froh, dass ich neue Geschichten über ihn\nerfahre – von Leuten, die ihn gekannt haben.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0C\nザフィーア\n...\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0C\nスタルーク\nSaphir? Was ist denn?\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0C\nザフィーア\nMich schmerzt es auch, ihn verloren zu haben.\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0C\nザフィーア\nAls ich im Schloss Brodia zurückblieb, sah ich\nes als selbstverständlich an, dass er zurück-\nkehren würde.\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x0C\nザフィーア\nHin und wieder wird mir schlagartig bewusst,\ndass ich sein Gesicht nie wiedersehen werde.\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x0C\nザフィーア\nMir bleibt nur, die Erinnerungen festzuhalten.\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x0C\nスタルーク\nIch weiß ganz genau, was du meinst.\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0C\nザフィーア\nEs tut mir leid, Prinz Alcryst.\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x0C\nザフィーア\nIch weiß, dass meine Trauer nichts ist im\nVergleich zu dem, was Ihr und Prinz Diamant\nempfinden müsst.\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x0C\nスタルーク\nTrauer ist nichts, was sich bemessen lassen\nsollte... oder verglichen werden sollte.\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x0C\nスタルーク\nIch weiß, zwischen dir – als königliche Ritterin\nvon Brodia – und meinem Vater gab es ein\nbesonderes Band.\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x0C\nスタルーク\nEs ist wichtig, dass wir alle uns Zeit nehmen,\num zu trauern. Ich weiß, dass ich das tun\nwerde – und ich hoffe, du auch.\x0E\x04\x00\x00
MID_RELIANCE_A_#025	\x0E\x03\x02\x0C\nザフィーア\nSolch nette Worte.\x0E\x04\x00\x00
MID_RELIANCE_A_#026	\x0E\x03\x02\x0C\nスタルーク\nWir sollten irgendwann für Vater eine große\nSpeisenplatte zubereiten. Wir konnten ihm bisher\nnoch keinen Stein aufstellen, aber...\x0E\x04\x00\x00
MID_RELIANCE_A_#027	\x0E\x03\x02\x0C\nスタルーク\nIch bin sicher, er würde eine herzhafte Mahlzeit\nan seinem letzten Ruheplatz zu schätzen\nwissen. Immerhin liebte er es, zu speisen.\x0E\x04\x00\x00
MID_RELIANCE_A_#028	\x0E\x03\x02\x0C\nザフィーア\nEine wunderbare Idee.\x0E\x04\x00\x00
MID_RELIANCE_A_#029	\x0E\x03\x02\x0C\nザフィーア\nJa, das machen wir. Hinterlassen wir ihm ein\nFestmahl, das eines Königs würdig ist.\x0E\x04\x00\x00
MID_RELIANCE_A_#030	\x0E\x03\x02\x0C\nザフィーア\nDanke, Prinz Alcryst. Ich fühle mich schon\nbesser.\x0E\x04\x00\x00
