MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cアルフレッド\x021\n\x0E\x03\x00\x10\nブシュロン\x022\n\x0E\x03\x02\x0E\x0Cアルフレッド\nHmm... Schööön.\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cアルフレッド\x021\n\x0E\x03\x00\x10\nブシュロン\x022
MID_RELIANCE_A_#002	\x0E\x03\x02\x0E\x0Cアルフレッド\nHmm.\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0E\x0Cアルフレッド\nAngeln ist schwerer, als es aussieht, nicht wahr?\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x0E\x0Cアルフレッド\nHast du irgendwelche Tipps? Zum Beispiel, wie\nfeste ich ziehen muss, um die Muskeln maximal\nzu dehnen?\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0C\nブシュロン\nIch bedaure, aber alles, woran ich beim Angeln\ndenken kann, ist der Schwimmer.\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0E\x0Cアルフレッド\nWie machst du es dann?\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0C\nブシュロン\nMit Geduld, schätze ich mal.\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0E\x0Cアルフレッド\nGeduld. Verstanden. Also dann.\nIch bin jetzt geduldig.\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x0E\x0Cアルフレッド\nGeduldig... geduldig... GEDULDIG!\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0E\x0Cアルフレッド\nARGH!\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0E\x0Cアルフレッド\nIch habe eine bessere Idee.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0E\x0Cアルフレッド\nWir beschaffen uns ein großes Netz, werfen es\nins Wasser und ziehen es mit deinen Muskeln\nwieder heraus.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0E\x0Cアルフレッド\nDenk dir nur, wie viele Fische wir damit auf\neinen Schlag fangen könnten!\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0C\nブシュロン\nUnsere Ausbeute wäre in der Tat beträchtlich.\nDoch was Ihr vorschlagt, entspräche weniger\n„Angeln“ und mehr „Netzfischerei“.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0E\x0Cアルフレッド\nJa. Das mag sein.\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0C\nブシュロン\nWenn das Angeln Euch langweilt, so verfolgt\ngerne Eure eigenen Aktivitäten. Es macht mir\nnichts aus.\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x0E\x0Cアルフレッド\nHa! Du kennst mich zu gut. Stimmt schon, ich\nwar noch nie besonders gut darin, still zu sitzen.\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x0E\x0Cアルフレッド\nAber ich will das Angeln dennoch nicht\naufgeben.\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x0C\nブシュロン\nWeshalb nicht, wenn ich fragen darf?\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0E\x0Cアルフレッド\nWeil es eine Möglichkeit darstellt, mit dir Zeit\nzu verbringen, Boucheron.\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x0C\nブシュロン\nIch... Ich verstehe.\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x0E\x0Cアルフレッド\nWir standen uns schon immer nah, doch bisher\nkonnten wir nur wenig Zeit allein miteinander\nverbringen.\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x0E\x0Cアルフレッド\nIch tue mein Bestes, um Momente wie diesen\nzu genießen.\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x0E\x0Cアルフレッド\nAlso sitze ich hier und angle. Selbst, wenn\nkeiner von uns etwas fangen sollte, bin ich\nzufrieden.\x0E\x04\x00\x00
MID_RELIANCE_A_#025	\x0E\x03\x02\x0C\nブシュロン\nHeh.\x0E\x04\x00\x00
MID_RELIANCE_A_#026	\x0E\x03\x02\x0C\nブシュロン\nWas meine Figur angeht... Ich schätze, ich habe\neinfach die natürliche Veranlagung, Muskeln zu\nentwickeln.\x0E\x04\x00\x00
MID_RELIANCE_A_#027	\x0E\x03\x02\x0C\nブシュロン\nDoch ich bin froh, mit solch einem Körper\ngesegnet zu sein, wenn er mir dabei hilft, auf\nEuch zu achten.\x0E\x04\x00\x00
MID_RELIANCE_A_#028	\x0E\x03\x02\x0E\x0Cアルフレッド\nBoucheron! Es ruckt an der Leine!\x0E\x04\x00\x00
MID_RELIANCE_A_#029	\x0E\x03\x02\x0C\nブシュロン\nEin Großer, bestimmt. Gebt alles, damit er Euch\nnicht entfleucht.\x0E\x04\x00\x00
MID_RELIANCE_A_#030	\x0E\x03\x02\x0E\x0Cアルフレッド\nIch versuch's, ich versuch's ja! Aber die Leine\nwird gleich reißen!\x0E\x04\x00\x00
MID_RELIANCE_A_#031	\x0E\x03\x02\x0C\nブシュロン\nIch helfe Euch. Diesen Fisch ziehen wir\ngemeinsam an Land!\x0E\x04\x00\x00
MID_RELIANCE_A_#032	\x0E\x03\x02\x0E\x0Cアルフレッド\nMit dir an meiner Seite ist der Kampf so gut wie\ngewonnen. Jetzt zappelst du am Haken,\nFischlein!\x0E\x04\x00\x00
