MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nシトリニカ\x021\n\x0E\x03\x00\x0C\x06ユナカ\x022\n\x0E\x03\x02\x0C\nシトリニカ\nYunaka. Was führt Ihr hinsichtlich der\nkommenden Versammlung in Brodia im Schilde?\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nシトリニカ\x021\n\x0E\x03\x00\x0C\x06ユナカ\x022\n\x0E\x03\x02\x0C\nシトリニカ\nNun denn, Yunaka. Wir sind allein. Erzählt mir\nden Rest Eurer Geschichte.\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x08\x06ユナカ\nIn Ordnung.\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x08\x06ユナカ\nDer Mann hat das Mädchen Gehorsamkeit\ngelehrt. Sie folgt seinen Anweisungen. Zu töten\nist unpersönlich für sie. Nichts weiter als Arbeit.\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x08\x06ユナカ\nBis zu jenem Tag, als der Assassine, der sie\ngroßgezogen hat, plötzlich krank wird.\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x08\x06ユナカ\nSein Leiden ist unheilbar. Ihm bleibt nicht viel\nZeit.\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x08\x06ユナカ\nEr erzählt dem Mädchen, dass er sie zu sich\ngeholt hat, weil er sie zu seiner Nachfolgerin\nausbilden wollte.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x08\x06ユナカ\nUnd dann gibt er ihr einen letzten Auftrag, für\nden er ihr alles Geld anbietet, das sie im Laufe\nder Zeit zusammen eingenommen haben.\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0C\nシトリニカ\nNein...\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x08\x06ユナカ\nSie empfindet vor allem Verachtung für ihn.\nAber sie weiß auch, dass sie nicht mehr am\nLeben wäre, wenn es ihn nicht gegeben hätte.\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x08\x06ユナカ\nAlso ehrt sie seinen letzten Wunsch. Sie erlöst\nihn von seinem Leiden.\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0C\nシトリニカ\n...\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x08\x06ユナカ\nDaraufhin gibt Larimar die Arbeit als\nAuftragsmörderin auf und versucht, ein neues\nLeben zu beginnen.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x08\x06ユナカ\nSie ändert ihren Namen in Yunaka... und steht\nnun vor Euch als völlig neue Person. Und damit\nsind wir am Ende der Geschichte.\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0C\nシトリニカ\nIch verstehe...\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x08\x06ユナカ\nUnd nun zum Treffen der brodianischen\nAmtsträger.\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0C\nシトリニカ\nAh, richtig. Ich bin immer noch misstrauisch,\nwas Eure wahren Intentionen diesbezüglich\nanbelangt.\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x08\x06ユナカ\nIch habe vor, die Grundlagen für ein Projekt zu\nlegen.\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x0C\nシトリニカ\nWas für ein Projekt?\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x08\x06ユナカ\nNun, die Wahrheit ist... Ich wollte schon seit\neiniger Zeit eine Stiftung zur Hilfe\nbenachteiligter Kinder gründen.\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x08\x06ユナカ\nAuf diesem Treffen wollte ich den Grundstein\ndafür legen. Ich habe vor, meine Idee den\nAmtsträgern dort zu präsentieren.\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x0C\nシトリニカ\nOh!\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x0C\nシトリニカ\nDeswegen habt Ihr so viele Leute zu der\nbevorstehenden Versammlung befragt.\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x08\x06ユナカ\nGenau. Ich will alles in meiner Macht Stehende\ntun, um sicherzustellen, dass kein Kind\ndurchleben muss, was mir widerfahren ist.\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x0C\nシトリニカ\n...\x0E\x04\x00\x00
MID_RELIANCE_A_#025	\x0E\x03\x02\x0C\nシトリニカ\nIch habe mich bösartig und dumm verhalten...\x0E\x04\x00\x00
MID_RELIANCE_A_#026	\x0E\x03\x02\x08\x06ユナカ\nWas? Keineswegs! Es war völlig richtig,\nmisstrauisch zu sein. Das hat mich überhaupt\nnicht gestört.\x0E\x04\x00\x00
MID_RELIANCE_A_#027	\x0E\x03\x02\x0C\nシトリニカ\nYunaka, bitte erlaubt mir, Euch bei der\nGründung dieser Stiftung zu helfen. Seht es als\neine erste Entschuldigung an.\x0E\x04\x00\x00
MID_RELIANCE_A_#028	\x0E\x03\x02\x08\x06ユナカ\nWas, wirklich?\x0E\x04\x00\x00
MID_RELIANCE_A_#029	\x0E\x03\x02\x0C\nシトリニカ\nDer Krieg tobt weiter und die Zahl der Kinder,\ndie ihre Eltern verlieren, wächst und wächst.\x0E\x04\x00\x00
MID_RELIANCE_A_#030	\x0E\x03\x02\x0C\nシトリニカ\nBrodias Herz ist im Begriff zu zerbrechen. Viele\nunserer Adligen suchen bereits nach Wegen,\nwie sie helfen könnten.\x0E\x04\x00\x00
MID_RELIANCE_A_#031	\x0E\x03\x02\x0C\nシトリニカ\nBitte lasst mich von meinen Beziehungen Ge-\nbrauch machen. Ich habe Euch mit Misstrauen\ngestraft und muss für diesen Fehler büßen.\x0E\x04\x00\x00
MID_RELIANCE_A_#032	\x0E\x03\x02\x08\x06ユナカ\nNein, nein! Ihr müsst für gar nichts büßen!\nIm Ernst, ich bin Euch einfach nur dankbar.\x0E\x04\x00\x00
MID_RELIANCE_A_#033	\x0E\x03\x02\x0C\nシトリニカ\nIch bin erleichtert, dass Ihr das sagt...\x0E\x04\x00\x00
MID_RELIANCE_A_#034	\x0E\x03\x02\x0C\nシトリニカ\nIhr versucht, etwas Wundervolles auf die Beine\nzu stellen. Ich werde dafür sorgen, dass Ihr\nErfolg damit habt.\x0E\x04\x00\x00
MID_RELIANCE_A_#035	\x0E\x03\x02\x0C\nシトリニカ\nWir werden fortan sicher viel miteinander zu tun\nhaben. Ich freue mich schon darauf!\x0E\x04\x00\x00
MID_RELIANCE_A_#036	\x0E\x03\x02\x08\x06ユナカ\nJa, allerdings! Und ich verspreche Euch, dass\nich Eure Güte niemals vergessen werde.\x0E\x04\x00\x00
