MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クラン\x021\n\x0E\x03\x00\x10\nエーティエ\x022\n\x0E\x03\x02\x0C\nエーティエ\nUff. Das sollte erst mal genug Training für\nheute sein.\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0C\nエーティエ\nDiese Gurken waren wirklich großartig.\nNormalerweise habe ich nach dem Training\nimmer Muskelkater.\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0C\nエーティエ\nAber seit ich deine Gurken esse, ist das gar kein\ngroßes Problem mehr.\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0C\nエーティエ\nAußerdem ist der Geschmack so toll. Ich konnte\ndie Finger gar nicht mehr von dem Glas lassen.\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x08\x06クラン\nWirklich? Du glaubst gar nicht, wie glücklich ich\nbin, das zu hören. Ich bereite dir sofort eine\nneue Portion zu.\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0C\nエーティエ\nMacht dir das auch nichts aus? Das wäre\nwunderbar!\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x08\x06クラン\nOh, gibt es noch andere Gemüse, die ich dir mit\neinlegen soll?\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x08\x06クラン\nSuch dir einfach was aus. Man kann ja praktisch\nalles einlegen.\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0C\nエーティエ\nÄhm... Leider fällt mir da gerade nichts ein.\nIst es in Ordnung, wenn ich das ganz dir\nüberlasse?\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0C\nエーティエ\nSchließlich scheinst du meine Vorlieben schon\nsehr genau zu kennen.\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x08\x06クラン\nHahaha, das tue ich wohl. Keine Sorge. Ich\nsuche dir schon genau die richtigen aus!\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x0C\nエーティエ\nDa bin ich mir ganz sicher.\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クラン\x021\n\x0E\x03\x00\x10\nエーティエ\x022\n\x0E\x03\x02\x08\x06クラン\nHallo, Etie. Deine neue Lieferung Gewürzgurken\nist da!\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x08\x06クラン\nIch habe noch drei Gemüsesorten\nhineingemischt. Das Problem ist nur...\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0C\nエーティエ\nStimmt was damit nicht?\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x08\x06クラン\nSie schmecken leider nicht sehr gut. Es tut mir\nwirklich leid. Ich sollte sie dir gar nicht geben.\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x08\x06クラン\nIch dachte, die Mischung würde gut zusammen-\npassen, aber da hab ich mich wohl geirrt... Jetzt\nmuss ich wohl wieder ganz von vorn beginnen.\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0C\nエーティエ\nHey. Clanne. Gräm dich nicht. Mit dem\nGeschmack habe ich sicher keine Probleme.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x08\x06クラン\nHuch? Wieso nicht?\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0C\nエーティエ\nIch liebe den Geschmack deiner Gurken, aber\nnoch mehr liebe ich die Sorgfalt, mit der du sie\nzubereitest.\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x0C\nエーティエ\nDu hast nicht einfach irgendwas eingelegt.\nDu hast sie extra für mich gemacht, und\nzwar ganz von Anfang an.\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0C\nエーティエ\nMan sieht ganz klar, dass du dir viele Gedanken\ngemacht hast, wie sie mir wohl am besten\nschmecken würden.\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0C\nエーティエ\nDeine Gurken machen so viel mehr, als nur\nmeine Muskeln zu kräftigen.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0C\nエーティエ\nDiese guten, guten Gurken sind Balsam für\nmeine Seele!\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0C\nエーティエ\nAlso mach dir um den Geschmack keine Sorgen.\nIch freue mich darauf, sie trotzdem zu essen.\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x08\x06クラン\nEtie... Das ist so lieb von dir.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0C\nエーティエ\n...\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x08\x06クラン\nÄhm... War das gerade dein Magen?\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x0C\nエーティエ\nDas hast du gehört, oder?\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x08\x06クラン\nAls du eben gesagt hast, der Geschmack spiele\nkeine Rolle, hat da dein Herz gesprochen...\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x08\x06クラン\n...oder dein Bauch?\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0C\nエーティエ\nIch habe jedes Wort ernst gemeint. Mann!\nBring mich nicht dazu, das alles wieder\nzurückzunehmen.\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x08\x06クラン\nOh, ist es nicht allmählich Zeit für dein\nTraining?\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x0C\nエーティエ\nJa, stimmt. Kann ich vorher noch ein paar\nGurken haben?\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x08\x06クラン\nSag nicht, dass ich dich nicht gewarnt hätte.\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x0C\nエーティエ\nClanne, komm schon. Ich habe doch gesagt,\ndass das egal ist, und das meine ich auch so.\nAlso, lass mich deine Liebe kosten!\x0E\x04\x00\x00
