MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nスタルーク\x021\n\x0E\x03\x00\x0C\x06ラピス\x022\n\x0E\x03\x02\x0C\nスタルーク\nIch gelobe, dich zu beschützen, Lapis!\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x01\x08\x06ラピス\n\x0E\x03\x02\x0C\nスタルーク\nJunge... Ich bin wirklich zu nichts nutze.\x0E\x04\x00\x00
MID_RELIANCE_B_#021	\x0E\x03\x02\x0C\nスタルーク\nIch schaffe es nicht einmal, einer Getreuen zu\nsagen, wie sehr ich sie schätze, ohne sie gleich\nzu verärgern.\x0E\x04\x00\x00
MID_RELIANCE_B_#022	\x0E\x03\x02\x0C\nスタルーク\nIch tauge nicht dazu, irgendeines Herrn zu sein.\x0E\x04\x00\x00
MID_RELIANCE_B_#023	\x0E\x03\x02\x0C\nスタルーク\n...\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nスタルーク\x021\n\x0E\x03\x00\x0C\x06ラピス\x022\n\x0E\x03\x02\x08\x06ラピス\nIch gelobe, Euch von nun an zu beschützen,\nPrinz Alcryst!\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x0C\nスタルーク\nLapis?\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x08\x06ラピス\nWie ich es immer wieder sage, ich bin Eure\nGetreue. Es ist meine Aufgabe, Euch zu\nbeschützen.\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x08\x06ラピス\nAber ich tue dies nicht, weil ich es tun muss.\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x08\x06ラピス\nIch möchte Euch beschützen, Prinz Alcryst.\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0C\nスタルーク\nWarum in aller Welt möchtest du mich\nbeschützen? Ich verdiene es doch gar nicht.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x08\x06ラピス\nDA! Genau das. Das meine ich, wenn ich\nsage: Ihr habt keine Ahnung.\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0C\nスタルーク\nDu sagtest letztes Mal, ich hätte keine Ahnung,\nwie du dich fühlen würdest.\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x08\x06ラピス\nEs geht nicht um meine Gefühle, Prinz Alcryst.\nIhr habt keine Ahnung, wie großartig Ihr wirklich\nseid.\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0C\nスタルーク\nWie... großartig ich bin?\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x08\x06ラピス\nIhr seid so aufmerksam. Ihr wisst immer so viel\nüber die anderen Leute.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x08\x06ラピス\nIhr konzentriert Euch dabei stets auf die\npositiven Eigenschaften. Ihr entdeckt\nFähigkeiten, die sonst keiner sieht.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x08\x06ラピス\nIch kann die vielen Male gar nicht mehr zählen,\nbei denen Ihr mich erinnert habt, wie gut ich\nbin.\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0C\nスタルーク\nEs ist nicht schwer, so etwas bei anderen zu\nbemerken, wenn alle fähiger und talentierter\nsind als ich. Und das auf dramatische Weise.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x08\x06ラピス\nNein, so ist das nicht! Ihr seid dazu in der Lage,\nweil Ihr ein netter Mann seid, Prinz Alcryst.\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x08\x06ラピス\nIhr seid talentiert, und warmherzig, und\nso charmant...\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x08\x06ラピス\nUnd doch würdet Ihr Euer Leben geben, um\nandere zu beschützen. Auch für Eure Getreuen,\ndie Euch beschützen.\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x08\x06ラピス\nGlaubt Ihr wirklich, das würde mich glücklich\nmachen?\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x0C\nスタルーク\nOh...\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0C\nスタルーク\nIn dem Fall... Wie wäre es, wenn wir eine\nAllianz des Schutzes formten?\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x08\x06ラピス\nWas ist das?\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x0C\nスタルーク\nDas bedeutet, ich gelobe, dich zu beschützen,\nund akzeptiere, dass du mich beschützt.\nUnd du tust das ebenfalls.\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x0C\nスタルーク\nAuf diese Weise beschützen wir denjenigen, den\nwir gerne haben, und akzeptieren im gleichen\nMaße, dass wir ebenfalls beschützt werden.\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x08\x06ラピス\nHahaha. Viel besser! Jetzt klingt Ihr endlich wie\nder liebenswürdige Prinz, der Ihr seid!\nIch bin dabei!\x0E\x04\x00\x00
MID_RELIANCE_A_#025	\x0E\x03\x02\x0C\nスタルーク\nDas freut mich zu hören. Versuchen wir es noch\neinmal, aber dieses Mal zusammen.\x0E\x04\x00\x00
MID_RELIANCE_A_#026	\x0E\x03\x02\x0C\nスタルーク\nIch gelobe, dich zu beschützen, Lapis.\x0E\x04\x00\x00
MID_RELIANCE_A_#027	\x0E\x03\x02\x08\x06ラピス\nUnd ich gelobe, Euch zu beschützen,\nPrinz Alcryst.\x0E\x04\x00\x00
MID_RELIANCE_A_#028	\x0E\x03\x02\x0C\nスタルーク\nIch danke dir... und nehme dein Gelöbnis an.\x0E\x04\x00\x00
