MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06フラン\x021\n\x0E\x03\x02\x08\x06フラン\nHmm. Hmm...\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x08\x06フラン\nIch... habe aufgehört, mich mit Geschichte zu\nbefassen.\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0E\x0Cディアマンド\nDu hast damit aufgehört? Was ist denn\npassiert? Ich dachte, es hätte endlich\nangefangen, dir Spaß zu machen.\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x08\x06フラン\nPrinz Diamant... Ihr habt gesagt, Ihr wolltet der\nganzen Welt Frieden bringen, aber...\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x08\x06フラン\nIst das wirklich wahr?\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0E\x0Cディアマンド\nNatürlich. Ich würde niemals lügen, was das\nbetrifft.\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x08\x06フラン\nWieso greift Brodia dann immer wieder\nElusia an?\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0E\x0Cディアマンド\nNun...\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x08\x06フラン\nIch habe über die Geschichte beider Königreiche\ngelesen. Es gibt hilflose Bewohner in Elusia, die\nschreckliche Angst vor Brodia haben.\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x08\x06フラン\nIhr sagt, Ihr wollt den Krieg beenden, aber was\nIhr wirklich meint, ist die Eroberung von Elusia,\nnicht wahr? Und das soll Frieden sein?!\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0E\x0Cディアマンド\n...\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x08\x06フラン\nJe länger ich in dem Geschichtsbuch las, desto\nweniger verstand ich die Welt. Es hat mir Angst\ngemacht.\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x08\x06フラン\nDeshalb habe ich es weggelegt. Ich habe genug\ndavon. Für immer.\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0E\x0Cディアマンド\nBrodia... ist ein Königreich der Krieger.\nBedauerlicherweise ist unsere Geschichte voller\ngewaltsamer Eroberungen fremder Gebiete.\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0E\x0Cディアマンド\nUnd ich bestreite nicht, dass manche Bewohner\nElusias von Brodia verletzt wurden – und uns\nhassen gelernt haben.\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x0E\x0Cディアマンド\nDas ist ein Teil unserer Vergangenheit, der nicht\nzu leugnen ist. Aber ich werde nicht zulassen,\ndass es auch ein Teil unserer Zukunft sein wird.\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x0E\x0Cディアマンド\nIch weiß, dass das kein leichtes Unterfangen\nwird, doch was ich dir sagte, war ernst gemeint.\nIch werde für Veränderung sorgen.\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x08\x06フラン\nIn Eurem eigenen Königreich, meint Ihr?\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x0E\x0Cディアマンド\nJa. Bitte glaube mir.\x0E\x04\x00\x00
MID_RELIANCE_B_#021	\x0E\x03\x02\x08\x06フラン\nIch weiß nicht... Letztes Mal habt Ihr mir die\nschlechten Seiten der Geschichte Brodias ganz\neinfach verschwiegen.\x0E\x04\x00\x00
MID_RELIANCE_B_#022	\x0E\x03\x02\x0E\x0Cディアマンド\nEs war nie meine Absicht, irgendetwas davon\nvor dir geheim zu halten.\x0E\x04\x00\x00
MID_RELIANCE_B_#023	\x0E\x03\x02\x0E\x0Cディアマンド\nAber... ich vermute, mich selbst quält eine Art\nunterdrücktes Schuldbewusstsein, was diesen\nTeil unserer Geschichte angeht.\x0E\x04\x00\x00
MID_RELIANCE_B_#024	\x0E\x03\x02\x0E\x0Cディアマンド\nIch kann verstehen, dass du wütend auf\nmich bist.\x0E\x04\x00\x00
MID_RELIANCE_B_#025	\x0E\x03\x02\x08\x06フラン\nNein, nein. Ich bin nicht wirklich wütend. Es ist\nnur so, dass ich...\x0E\x04\x00\x00
MID_RELIANCE_B_#026	\x0E\x03\x02\x08\x06フラン\nAch, ich weiß auch nicht. Ich bin wohl zu\nempfindlich, hm? Geschichte ist bedrückend...\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06フラン\x021\n\x0E\x03\x02\x08\x06フラン\nHmm. Hmm...\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x00\x12\x0Cディアマンド\x022\n\x0E\x03\x02\x0E\x0Cディアマンド\nIch bin erstaunt, Framme. Du starrst ja dein\nGeschichtsbuch wieder an!\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0E\x0Cディアマンド\nDabei wolltest du doch nichts mehr damit zu\ntun haben.\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x08\x06フラン\nNa ja...\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x08\x06フラン\nIch möchte mich bei Euch entschuldigen, Prinz\nDiamant.\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x08\x06フラン\nIhr habt vor, den Kriegszügen Eures Königreichs\nein Ende zu setzen, egal, wie schwer das wird,\nnicht wahr?\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x08\x06フラン\nIch hab eine Zeit lang darüber nachgedacht\nund dabei ist mir etwas Wichtiges bewusst\ngeworden.\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x08\x06フラン\nIch sollte mich von der Geschichte nicht so ein-\nschüchtern lassen, dass ich mich nicht mehr mit\nihr befasse. Im Gegenteil, ich sollte mehr lernen!\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x08\x06フラン\nMittlerweile lese ich dieses Geschichtsbuch, um\ndarin nach Möglichkeiten zu suchen, wie man\nKonflikten und Kriegen ein Ende setzen kann.\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0E\x0Cディアマンド\nFramme... Das ist großartig. Ich danke dir.\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x08\x06フラン\nNa ja, mir sind allerdings noch keinerlei gute\nIdeen gekommen.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0E\x0Cディアマンド\nDas ist in Ordnung. Selbst, wenn dir am Ende\nnichts einfällt... Was zählt, ist, dass du dich\nentschlossen hast, etwas zu unternehmen.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x08\x06フラン\nMhm. Wir können die Vergangenheit nicht mehr\nändern, aber wir können an der Gegenwart\narbeiten und eine bessere Zukunft anstreben.\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0E\x0Cディアマンド\nIch gedenke jedenfalls, mich durch ehrenhafte\nTaten in der Geschichte zu verewigen.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x08\x06フラン\nIst das ein Versprechen?\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0E\x0Cディアマンド\nDas ist es in der Tat. Ich verspreche es dir,\nFramme.\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x08\x06フラン\nGut. Dann werde ich auch weiter lernen und\nhelfen, wo ich kann.\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x0E\x0Cディアマンド\nWenn dem so ist, will ich dir beim Lernen\nhelfen.\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x08\x06フラン\nIhr?! Ihr wollt mit mir lernen? Das geht doch\nnicht.\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x08\x06フラン\nIhr seid ein Kronprinz! Ihr seid viel zu\nbeschäftigt, um mir bei dieser „Hausaufgabe“\nzu helfen, die ich von Vander bekommen habe.\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x0E\x0Cディアマンド\nKeineswegs. Und ob du es glaubst oder nicht,\nich war sogar immer schon ein verhältnismäßig\nguter Schüler.\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x08\x06フラン\nEuer „verhältnismäßig gut“ bedeutet für\nNormalsterbliche vermutlich „unerreichbar\nperfekt“...\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x0E\x0Cディアマンド\nSagen wir einfach: gut genug, um dir zu helfen.\nUnd Vander würde sich sicher freuen, dass dir\njemand hilft, dich aufs Lernen zu konzentrieren.\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x0E\x0Cディアマンド\nAlso, stürzen wir uns in die Arbeit und suchen\ngemeinsam nach einem Weg, der in eine\nfriedlichere Zukunft führt?\x0E\x04\x00\x00
MID_RELIANCE_A_#025	\x0E\x03\x02\x08\x06フラン\nOh, na gut. Ihr habt mich überzeugt. Danke,\nPrinz Diamant. Ich sehe meiner Zukunft jetzt\netwas weniger besorgt entgegen!\x0E\x04\x00\x00
MID_RELIANCE_A_#026	\x0E\x03\x02\x08\x06フラン\nIch will eine weise Behüterin werden, die sich\ndarauf berufen kann, zusammen mit dem König\nvon Brodia Geschichte studiert zu haben!\x0E\x04\x00\x00
