MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06ラピス\x021\n\x0E\x03\x00\x0E\x08ロサード\x022\n\x0E\x03\x02\x08\x06ラピス\nWeißt du was, Rosado? Das ist mir schon vor\neiner Weile aufgefallen, aber... du bist richtig\nsüß!\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0A\x08ロサード\nIch hab jetzt nicht alles verstanden, aber so\nernst wie du dreinblickst... Das scheint dich\nwirklich zu beschäftigen!\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0A\x08ロサード\nWas auch immer dich bedrückt, warum reden\nwir nicht darüber? Ich hör dir gerne zu.\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x08\x06ラピス\nWirklich? Wie lieb von dir! Das bedeutet mir\nsehr viel.\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x0A\x08ロサード\nUnd du bedeutest mir sehr viel! Du kannst\njederzeit zu mir kommen!\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06ラピス\x021\n\x0E\x03\x00\x0E\x08ロサード\x022\n\x0E\x03\x02\x08\x06ラピス\nHey, Rosado. Kann ich dich was fragen? Es hat\ndamit zu tun, worüber wir neulich gesprochen\nhaben.\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x0A\x08ロサード\nKlar, jederzeit!\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x08\x06ラピス\nDu meintest, das Geheimnis für Niedlichkeit sei\nSelbstvertrauen. Da frage ich mich... wie hast du\nes geschafft, so selbstbewusst zu werden?\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0A\x08ロサード\nHmm, gute Frage. Ich denke, das lag einfach\ndaran, wie ich aufgewachsen bin.\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x08\x06ラピス\nVerstehe.\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x0A\x08ロサード\nIch wurde in einem Dorf am See der Mysterien\ngeboren. Manche nennen es auch das Feendorf.\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0A\x08ロサード\nEs ist ein wundersamer Ort voller Schönheit, die\nnicht an alberne Vorstellungen gebunden ist, die\noft mit dem Geschlecht einhergehen.\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x08\x06ラピス\nOh! Das ist das erste Mal, dass ich von diesem\nOrt erfahre.\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0A\x08ロサード\nJeder akzeptiert dort jeden. Egal, wie man sich\nselbst sieht oder anderen gegenüber präsentiert,\nalle sind einfach wunderschön.\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0A\x08ロサード\nIn so einer Umgebung bin ich aufgewachsen. Es\nwar ein echter Schock für mich, zu merken, wie\nanders ich bin, als ich von dort fortging!\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0A\x08ロサード\nAber dann ist mir aufgefallen, dass ich gerne\nanders bin! Und ich will, dass jeder weiß, wie\nwundervoll es sein kann, anders zu sein.\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x08\x06ラピス\nDu meinst, es ist etwas... Gutes, wenn man\nanders ist?\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0A\x08ロサード\nEs ist nicht nur gut, es ist wundervoll! Deine\nUnterschiede sind es doch, die dich einzigartig\nmachen. Die dich zu... nun ja, dir selbst machen!\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x0A\x08ロサード\nDass ich mein Heimatdorf verlassen habe, hat\nmich auf gewisse Weise also sogar noch\nselbstbewusster werden lassen.\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x08\x06ラピス\nHm... Deine Einzigartigkeit wurde also zum\nQuell deiner Selbstsicherheit. Das gefällt mir!\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0A\x08ロサード\nMir auch! Und wenn dir das alles irgendwie\nweiterhilft, dann bin ich sogar noch glücklicher.\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x08\x06ラピス\nDanke. Deine Worte haben mir tatsächlich\nzu denken gegeben. Lass uns bald wieder\nmiteinander sprechen, ja?\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x0A\x08ロサード\nKlar doch! Jederzeit wieder!\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06ラピス\x021\n\x0E\x03\x00\x0E\x08ロサード\x022\n\x0E\x03\x02\x08\x06ラピス\nRosado, danke noch mal dafür, dass du neulich\ndeine Gedanken mit mir geteilt hast. Um ehrlich\nzu sein... Ich bin auch anders als die anderen.\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x0A\x08ロサード\nErzähl mir mehr! Ich will ganz genau wissen,\nwas dich einzigartig macht.\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x08\x06ラピス\nNun ja... Meine Familie ist, äh... arm.\nSehr arm. Dadurch habe ich mich immer\nwie eine Außenseiterin gefühlt.\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x08\x06ラピス\nGut, einfach nur arm zu sein, wäre ja eine\nSache. Aber darüber hinaus mag ich wilde\nPflanzen und bin unnatürlich stark.\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x08\x06ラピス\nIrgendwie bin ich wohl... ziemlich fixiert darauf,\nwie seltsam ich bin. Das macht es schwer, sich\nsonderlich selbstbewusst zu fühlen.\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0A\x08ロサード\nAlso für mich klingt nichts davon schlecht! Du\nweißt jede Menge über Pflanzen, du bist total\nstark... Das ist doch toll!\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x08\x06ラピス\nWenn du es so formulierst, klingt es tatsächlich\nsogar beinahe positiv, aber...\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0A\x08ロサード\nEs ist trotzdem schwer, es anderen gegenüber\nzu erwähnen, hm?\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x08\x06ラピス\nJa.\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0A\x08ロサード\nFalls es dir irgendwie hilft... lass mich dir etwas\nPeinliches von mir offenbaren. Ich habe dich\nimmer schon bewundert, Lapis.\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x08\x06ラピス\nWarte mal... Du? Du hast mich bewundert?!\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0A\x08ロサード\nJepp. Selbst, als wir uns am Viadukt noch als\nFeinde begegnet sind...\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0A\x08ロサード\nDu hast dieses riesige Schwert mit solch\nbeeindruckender Stärke geschwungen. Das war\ntotal lässig!\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0A\x08ロサード\nIch weiß noch genau, wie neidisch ich war, weil\nich so was nie schaffen würde.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x08\x06ラピス\nW-wirklich?\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0A\x08ロサード\nWirklich. Wie hast du es überhaupt geschafft, so\nstark zu werden? Kommt das alles nur von\ndeinem Training?\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x08\x06ラピス\nNein. Das liegt wohl daran, dass ich eine Menge\nBären in meiner Heimat bekämpfen musste.\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x0A\x08ロサード\nBären! Nun, dann kann man wohl sagen, deine\nStärke geht darauf zurück, wo du herkommst.\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x08\x06ラピス\nJa... Ja! Da hast du wohl recht!\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x08\x06ラピス\nDanke, Rosado. Nach all dem fühle ich mich\nschon viel selbstbewusster.\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x08\x06ラピス\nEines Tages werde ich mit Stolz sagen können,\ndass mein Heimatdorf mich zu der gemacht hat,\ndie ich bin!\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x08\x06ラピス\nVielleicht, äh... nicht so bald... Aber eines Tages\nbestimmt.\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x0A\x08ロサード\nIch finde, das ist ein schönes Ziel.\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x0A\x08ロサード\nWenn du so weit bist, solltest du dabei dein\nriesiges Schwert schwingen!\x0E\x04\x00\x00
MID_RELIANCE_A_#025	\x0E\x03\x02\x08\x06ラピス\nNatürlich. Am besten besorge ich mir dafür ein\nnoch größeres Schwert, damit du es ja nicht\nübersiehst.\x0E\x04\x00\x00
