MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cアルフレッド\x021\n\x0E\x03\x00\x10\nラファール\x022\n\x0E\x03\x02\x0E\x0Cアルフレッド\nHa! Ja!\x0E\x04\x00\x00
MID_RELIANCE_B_#009	Doch als mein Vater krank wurde und starb,\nschwor ich, für meine eigene Gesundheit zu\nkämpfen, und zwar mit aller Entschlossenheit.\x0E\x04\x02\x00
MID_RELIANCE_B_#010	Für meine Mutter und für meine Schwester gab\nich mein Bestes, um diesen Körper stark genug\nfür alles zu schmieden.\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0C\nラファール\nFür Eure Schwester, sagt Ihr...\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0E\x0Cアルフレッド\nSeither trainiere ich regelmäßig, und die\nErgebnisse sprechen für sich.\x0E\x04\x02\x00
MID_RELIANCE_B_#013	Ich könnte im Kampf mit \x0E\x0A\x008\x18dem Wyrmgott\x1Cder Wyrmgöttin und\nEuch nicht mithalten, wenn ich nicht ständig\nalles geben würde.\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x0C\nラファール\nIch verstehe. Ich sollte mich bei Euch für die\nharsche Verurteilung Eurer Bemühungen\nentschuldigen.\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0E\x0Cアルフレッド\nWie? Meint Ihr das ernst?\x0E\x04\x02\x00
MID_RELIANCE_B_#016	Ich wusste, ich kann Euch dafür begeistern.\nEs war nur eine Frage der Zeit, bis Ihr\nmittrainieren würdet!\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x0C\nラファール\nAugenblick mal. Das habe ich so nie gesagt.\x0E\x04\x02\x00
MID_RELIANCE_B_#018	Allerdings... bin ich das Laufen leid. Vielleicht\nsollte ich etwas Neues ausprobieren.\x0E\x04\x02\x00
MID_RELIANCE_B_#019	Wenn Ihr eine Form des Trainings vorschlagt,\ndie wirklich mein Interesse weckt, so werde ich\npartizipieren.\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x0E\x0Cアルフレッド\nNichts leichter als das, Mylord Rafal.\nÜberlasst das ganz mir!\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cアルフレッド\x021\n\x0E\x03\x00\x10\nラファール\x022\n\x0E\x03\x02\x0C\nラファール\nArgh! Blockt DAS hier!\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x0E\x0Cアルフレッド\nGut. Aber nicht gut genug!\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0C\nラファール\nUff!\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x0E\x0Cアルフレッド\nEure Lanze hat meinen Hals getroffen, die\nmeine Eure Brust. Einigen wir uns auf\nUnentschieden.\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0C\nラファール\nInakzeptabel. Hättet Ihr Eure führende Hand\nverwendet, wärt Ihr eindeutig als Sieger\nhervorgegangen.\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0E\x0Cアルフレッド\nVielleicht, aber ich bin an Lanzen auch viel\nmehr gewöhnt als Ihr. Unentschieden klingt\ndoch fair.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0C\nラファール\nSo sei es. Doch lasst uns nach der Pause einen\nweiteren Versuch starten – nun, da ich Eure\nVorgehensweise kenne.\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0E\x0Cアルフレッド\nEinverstanden. Kann ich Euch was fragen?\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x0C\nラファール\nSprecht frei heraus.\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0E\x0Cアルフレッド\nIn letzter Zeit scheint Ihr das Training richtig\nzu genießen. Gibt es dafür irgendeinen Grund?\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0C\nラファール\nDas ist allein Eure Schuld.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0E\x0Cアルフレッド\nMeine? Warum das denn?\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0C\nラファール\nEure Vergangenheit erinnerte mich an meine\neigene. Auch ich war in meiner Kindheit zu\nschwach. Stets fiel ich zurück.\x0E\x04\x02\x00
MID_RELIANCE_A_#014	Voller Scham, mich auf andere verlassen zu\nmüssen, begann ich, mein Leben lang Stärke\nnachzujagen.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0E\x0Cアルフレッド\nJa, das klingt ganz nach mir.\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0C\nラファール\nUnsere Pfade begannen ähnlich, doch der meine\nbog in eine andere Richtung ab.\x0E\x04\x02\x00
MID_RELIANCE_A_#017	Mein Machthunger wurde so stark, dass ich\nbereit war, alle anderen zu verletzen, um mehr\nzu erreichen.\x0E\x04\x02\x00
MID_RELIANCE_A_#018	Stärke ohne Mitgefühl ist schlimmer als nutzlos.\nDas habe ich nun begriffen, und dies zum Teil\ndank Euch.\x0E\x04\x02\x00
MID_RELIANCE_A_#019	Mein Herz kann mit dem Euren nicht mithalten.\nDoch mittels Training kann ich vielleicht\njene schützen, die mir wichtig sind.\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0E\x0Cアルフレッド\nDas könnt Ihr, und das werdet Ihr. Da bin ich\nsicher.\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x0C\nラファール\nLasst mich auch Euch eine Frage stellen.\nWarum verbringt Ihr Zeit mit mir?\x0E\x04\x02\x00
MID_RELIANCE_A_#022	Firene verehrt \x0E\x0A\x008\x18den Wyrmgott\x1Cdie Wyrmgöttin, und Ihr seid der\nPrinz. Für einen Dämonendrachen solltet Ihr nur\nVerachtung übrighaben.\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x0E\x0Cアルフレッド\nIch mag es nicht, Leute so in Schubladen zu\nstecken. Ich beurteile lieber, was ich selbst\nsehe.\x0E\x04\x02\x00
MID_RELIANCE_A_#024	Wenn ich Euch anblicke, dann sehe ich einen\nnetten Kerl. Ihr habt sogar Spaß am Training,\nalso wie schlimm könnt Ihr schon sein?\x0E\x04\x02\x00
MID_RELIANCE_A_#025	Außerdem sind wir aus demselben Holz\ngeschnitzt. Ich betrachte Euch irgendwie als\nmeinen Bruder.\x0E\x04\x00\x00
MID_RELIANCE_A_#026	\x0E\x03\x02\x0C\nラファール\nEinen weitaus älteren Bruder, meint Ihr wohl.\nDoch ich weiß den Gedanken zu schätzen.\x0E\x04\x00\x00
MID_RELIANCE_A_#027	\x0E\x03\x02\x0E\x0Cアルフレッド\nEigentlich bin ich der ältere Bruder hier.\nSchließlich habe ich viel mehr Trainings-\nerfahrung.\x0E\x04\x00\x00
MID_RELIANCE_A_#028	\x0E\x03\x02\x0C\nラファール\nLächerlich. Die Kluft an Jahren, die zwischen\nuns liegt, könnt Ihr nicht mal ansatzweise\nbegreifen.\x0E\x04\x00\x00
MID_RELIANCE_A_#029	\x0E\x03\x02\x0E\x0Cアルフレッド\nDann klären wir das in der nächsten\nTrainingsrunde, ja? Der Gewinner darf\nder große Bruder sein.\x0E\x04\x00\x00
MID_RELIANCE_A_#030	\x0E\x03\x02\x0C\nラファール\nIhr werdet es noch bereuen, eine solche Wette\nvorgeschlagen zu haben, kleiner Bruder.\x0E\x04\x00\x00
MID_RELIANCE_A_#031	\x0E\x03\x02\x0E\x0Cアルフレッド\nHahaha. Dann mal los!\x0E\x04\x00\x00
