MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06フラン\x021\n\x0E\x03\x00\x0C\x06ラピス\x022\n\x0E\x03\x02\x08\x06フラン\nLapis! Hey, Lapis! Ich hab gehört, du hast schon\nmal Bären erlegt. Ist das wahr?\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x08\x06フラン\nKlar. Dein Geheimnis ist bei mir sicher. Hach,\nich lerne richtig viel! Ich kann förmlich spüren,\nwie ich stärk--\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x08\x06フラン\n...\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x08\x06ラピス\nFramme? Was ist los?\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x08\x06フラン\nB... B-B-B...\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x08\x06ラピス\nWas?\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x08\x06フラン\nBÄÄÄÄÄÄR!\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x04\x03\x04
MID_RELIANCE_B_#021	\x0E\x03\x02\x08\x06フラン\nWo... bin ich?\x0E\x04\x00\x00
MID_RELIANCE_B_#022	\x0E\x03\x02\x08\x06ラピス\nFramme? Puh! Schön, dass du wieder bei\nSinnen bist. Beim Anblick des Bären vorhin bist\ndu einfach ohnmächtig geworden.\x0E\x04\x00\x00
MID_RELIANCE_B_#023	\x0E\x03\x02\x08\x06フラン\nAh! Der Bär! Jetzt erinnere ich mich wieder!\nWo ist er? Sind wir in Sicherheit?!\x0E\x04\x00\x00
MID_RELIANCE_B_#024	\x0E\x03\x02\x08\x06ラピス\nKeine Sorge. Ich habe ihn verscheuchen können.\x0E\x04\x00\x00
MID_RELIANCE_B_#025	\x0E\x03\x02\x08\x06フラン\nOh nein, das wollte ich doch machen!\nTut mir leid, Lapis, er hat mir einfach so einen\ngroßen Schrecken eingejagt...\x0E\x04\x00\x00
MID_RELIANCE_B_#026	\x0E\x03\x02\x08\x06ラピス\nMach dir nichts draus. Lassen wir es für heute\ngut sein und kehren heim. Nach diesem Erlebnis\nkönnten wir beide ein wenig Ruhe gebrauchen.\x0E\x04\x00\x00
MID_RELIANCE_B_#027	\x0E\x03\x02\x08\x06フラン\n...\x0E\x04\x00\x00
MID_RELIANCE_B_#028	\x0E\x03\x02\x08\x06フラン\nSchätze, ich muss mich mehr anstrengen...\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06フラン\x021\n\x0E\x03\x00\x0C\x06ラピス\x022
MID_RELIANCE_A_#002	\x0E\x03\x02\x08\x06ラピス\n...\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x08\x06ラピス\nHIIIJAAAH!\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x08\x06ラピス\nPuh! So viel dazu.\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x08\x06フラン\nDas war unglaublich...\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x08\x06ラピス\nFramme! Was tust du denn hier?\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x08\x06フラン\nIch hab gesehen, wie du heimlich in den Wald\naufgebrochen bist, also bin ich dir unbemerkt\ngefolgt.\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x08\x06フラン\nUnd dann erlegst du doch glatt diesen riesigen\nBären ganz allein.\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x08\x06ラピス\nÄhm...\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x08\x06フラン\nDu hast mich absichtlich zurückgelassen, nicht\nwahr? Weil ich immer alles verpatze?\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x08\x06ラピス\nOh, Framme, es tut mir wirklich leid. Dieser Bär\nwar einfach zu gefährlich. Ich wollte doch bloß,\ndass dir nichts zustößt.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x08\x06フラン\nJa. Ich versteh schon...\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x08\x06ラピス\nDas meine ich ernst, Framme. Und ganz\nnebenbei, ich finde, du hast dich gerade\nerstaunlich gut geschlagen.\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x08\x06フラン\nBei was bitte? Ich hab doch überhaupt\nnichts getan.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x08\x06ラピス\nDu hast keinen Laut von dir gegeben, während\nich mit dem Bären gekämpft habe, richtig?\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x08\x06フラン\nNa ja, mag sein, aber das ist nicht--\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x08\x06ラピス\nAlso hast du dich schon besser geschlagen als\nletztes Mal. Und beim nächsten Mal läuft es\nbestimmt noch besser. Du lernst dazu.\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x08\x06フラン\nOh, Lapis!\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x08\x06ラピス\nOch, jetzt weine doch nicht! Komm, lass uns\nerst mal was zu essen machen, ja?\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x08\x06フラン\nEssen? Aber wir haben doch gar nichts dabei.\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x04\x03\x04
MID_RELIANCE_A_#022	\x0E\x03\x02\x08\x06ラピス\nBitte sehr! Frisch zubereitete Bärensuppe!\nAchtung, sie ist noch heiß.\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x08\x06フラン\nBoah, sieht das gut aus!\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x08\x06ラピス\nMmmh. Sie sieht nicht nur gut aus, sie riecht\nauch gut! Da werden Erinnerungen wach. Diese\nSuppe haben wir zu Hause sehr oft zubereitet.\x0E\x04\x00\x00
MID_RELIANCE_A_#025	\x0E\x03\x02\x08\x06フラン\nDu willst nicht, dass die Leute wissen, dass du\nvom Land kommst, aber du hast da wirklich\ngerne gelebt, hm?\x0E\x04\x00\x00
MID_RELIANCE_A_#026	\x0E\x03\x02\x08\x06ラピス\nDa hast du wohl recht. Ich habe viele schöne\nErinnerungen an meine Zeit dort...\x0E\x04\x00\x00
MID_RELIANCE_A_#027	\x0E\x03\x02\x08\x06ラピス\nGut, essen wir. Aber sei vorsichtig. Die Suppe\nist wirklich heiß.\x0E\x04\x00\x00
MID_RELIANCE_A_#028	\x0E\x03\x02\x08\x06フラン\nWAAAH! HEISS, HEISS, HEISS, HEISS!\x0E\x04\x00\x00
MID_RELIANCE_A_#029	\x0E\x03\x02\x08\x06フラン\nOooch, ich hab mir die Zunge verbrannt...\x0E\x04\x00\x00
MID_RELIANCE_A_#030	\x0E\x03\x02\x08\x06ラピス\nOh nein. Ich hab dich doch extra gewarnt!\x0E\x04\x00\x00
MID_RELIANCE_A_#031	\x0E\x03\x02\x08\x06フラン\nAber sie riecht doch so lecker...\x0E\x04\x00\x00
