MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nミスティラ\x021\n\x0E\x03\x00\x0A\x04エル\x022\n\x0E\x03\x02\x06\x04エル\nEs dauert noch, bis der Kriegsrat beginnt.\nIrgendwie muss ich die Zeit sinnvoll nutzen.\x0E\x04\x02\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x06\x04エル\nMir war nicht bewusst, dass es so viele davon\ngibt. Ich bin mir des Titels unschlüssig.\nWählt Ihr bitte aus.\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x0C\nミスティラ\nIch kann gar nicht glauben, dass Ihr\nmich wirklich singen hören wollt!\n♪ Sag beim Essen leise Mahlzeit! ♪\x0E\x04\x02\x00
MID_RELIANCE_B_#019	Hihihi, ich kann mich nicht entscheiden.\nWarum singe ich sie Euch nicht einfach alle?\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x06\x04エル\nDas wäre sehr willkommen.\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nミスティラ\x021\n\x0E\x03\x00\x0A\x04エル\x022\n\x0E\x03\x02\x0C\nミスティラ\nSeufz!\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x06\x04エル\nSolch eine Melancholie ist höchst\nuncharakteristisch für Euch, Prinzessin\nTimerra.\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0C\nミスティラ\nOh. Hey, Nel.\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x06\x04エル\nVielleicht solltet Ihr ein wenig Fleisch braten?\nOffenbar fehlt es Euch an Energie, vor der Ihr\nsprühen könntet.\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0C\nミスティラ\nIhr erinnert Euch. Wie süß! Die Wahrheit ist,\ndass ich ein wenig das Vertrauen in meinen\nGesang verloren habe.\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x06\x04エル\nErklärt Euch.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0C\nミスティラ\nAls ich gerade Feuer machen wollte, kamen\nein paar Leute vorbei und sagten Sachen wie...\x0E\x04\x02\x00
MID_RELIANCE_A_#008	„Was sind das für grässliche Geräusche?“ und\n„Argh, meine Ohren bluten!“ und Schlimmeres.\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x06\x04エル\nUnverzeihlich.\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0C\nミスティラ\nOh, das war es nicht, das mich gestört hat.\x0E\x04\x02\x00
MID_RELIANCE_A_#011	Vielmehr hat mich die Frage beschäftigt, ob Ihr\nEuch auch so was denkt, aber einfach nur zu\nhöflich seid, um es auszusprechen.\x0E\x04\x02\x00
MID_RELIANCE_A_#012	Jetzt fürchte ich, dass Ihr meinen Gesang nur\naus Freundlichkeit ertragt. Tut mir leid, ich bin\neinfach ein großer Dummkopf.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x06\x04エル\nKorrekt. Ihr seid sogar ein sehr großer\nDummkopf.\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0C\nミスティラ\nWa--\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x06\x04エル\nIch genieße Euren Gesang von ganzem Herzen.\x0E\x04\x02\x00
MID_RELIANCE_A_#016	Jedes Eurer Lieder ist ein einzigartiger Schatz,\nden ich nirgendwo sonst verspüren kann.\x0E\x04\x02\x00
MID_RELIANCE_A_#017	Versteht doch. Wir Drachen leben eine sehr\nlange Zeit. Tausende von Jahren.\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x0C\nミスティラ\nIch weiß.\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x06\x04エル\nDer Verstand selbst eines Drachen ist kaum in\nder Lage, sich einen solchen Zeitraum\nvollständig zu behalten.\x0E\x04\x02\x00
MID_RELIANCE_A_#020	Daher verblassen viele unserer Erinnerungen,\nbeginnend mit den weniger wichtigen, und\ngehen verloren.\x0E\x04\x02\x00
MID_RELIANCE_A_#021	Und aus diesem Grund ist ein erinnerungs-\nwürdiges Lied mir wertvoller als jedes Talent\nfür Gesang.\x0E\x04\x02\x00
MID_RELIANCE_A_#022	Die Erinnerung an Eure Musik wird in meinem\nGedächtnis noch Hunderte, wenn nicht gar\nTausende von Jahren bewahrt werden.\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x0C\nミスティラ\nHui. Das ist mal ein Kompliment. Vielen Dank,\nNel.\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x06\x04エル\nGeht es Euch jetzt besser?\x0E\x04\x00\x00
MID_RELIANCE_A_#025	\x0E\x03\x02\x0C\nミスティラ\nOh, ja. Viel besser. Rumschmollen ist sowieso\nnicht mein Ding.\x0E\x04\x02\x00
MID_RELIANCE_A_#026	Ab jetzt werde ich mir bei Eurem Anblick das\nHerz aus dem Leibe singen. So werdet Ihr mich\nniemals vergessen!\x0E\x04\x00\x00
MID_RELIANCE_A_#027	\x0E\x03\x02\x06\x04エル\nHm. Darüber solltet Ihr Euch keine Sorgen\nmachen.\x0E\x04\x02\x00
MID_RELIANCE_A_#028	Die Erinnerung an Euch ist bereits für immer\nin mein Gedächtnis eingraviert.\x0E\x04\x00\x00
MID_RELIANCE_A_#029	\x0E\x03\x02\x0C\nミスティラ\nHihihi. Gut. Aber das wird mich nicht daran\nhindern, neue Lieder zu erfinden.\x0E\x04\x02\x00
MID_RELIANCE_A_#030	Ich habe schon eins für Euch. Ich nenne es\n„Schön ist es, auf dem Grill zu sein“. Sind die\nOhren gespitzt?\x0E\x04\x00\x00
MID_RELIANCE_A_#031	\x0E\x03\x02\x06\x04エル\nSelbstverständlich.\x0E\x04\x00\x00
