MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cアルフレッド\x021\n\x0E\x03\x00\x0A\x04ボネ\x022\n\x0E\x03\x02\x06\x04ボネ\nPrinz Alfred. Darf ich Euch um Erlaubnis für\neinen schnellen Schlecker bitten?\x0E\x04\x00\x00
MID_RELIANCE_B_#027	\x0E\x03\x02\x06\x04ボネ\nIch habe keine Beweise, dass es funktionieren\nwird, aber... es geschehen noch Zeichen und\nWunder.\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cアルフレッド\x021\n\x0E\x03\x00\x0A\x04ボネ\x022\n\x0E\x03\x02\x0E\x0Cアルフレッド\nBunet.\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x06\x04ボネ\nHoheit.\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0E\x0Cアルフレッド\nDu kochst so viele Gerichte für mich, und ich\nbin immer noch so ein Hänfling.\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x06\x04ボネ\nDann habe ich versagt. Ich bitte um Vergebung.\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0E\x0Cアルフレッド\nHey, das ist doch nicht deine Schuld. Du hast\nalles gegeben, das hat man gesehen.\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0E\x0Cアルフレッド\nAußerdem waren alle deine Speisen sehr lecker.\nKompliment an die Küche.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0E\x0Cアルフレッド\nNein, das echte Problem besteht darin, dass\nich einfach zu schwächlich veranlagt bin.\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x06\x04ボネ\nBitte geht nicht so hart mit Euch ins Gericht...\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x06\x04ボネ\nDie Speisen mögen es nicht geschafft haben,\nEure schlanke Gestalt zu kräftigen.\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x06\x04ボネ\nDoch es war nicht vergebens. All das Fleisch\nhat zu einer anderen Veränderung geführt.\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0E\x0Cアルフレッド\nIch kann dir nicht ganz folgen.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x06\x04ボネ\nUnsere Geschmäcke. Eurer und meiner.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0E\x0Cアルフレッド\nWir haben... Geschmäcke?\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x06\x04ボネ\nZunächst waren wir trocken und fade. Doch\nals unsere Bande sich vertieften, wurden unsere\nGeschmäcke würziger.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x06\x04ボネ\nVielleicht war das nicht die beste Art, es\nzu formulieren...\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0E\x0Cアルフレッド\nNein, ich verstehe, was du meinst. Wir haben\ngegenseitig neue Geschmäcke in uns\nhervorgebracht.\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x0E\x0Cアルフレッド\nZuvor waren wir Rohzutaten. Doch jetzt\nsind wir, äh, wie heißt es doch gleich?\nFusionskochkunst!\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x06\x04ボネ\nJa, ganz meine Meinung.\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x06\x04ボネ\nUnd ich stelle fest, dass ich oft und gerne an\nEuren spritzigen Pep denke.\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0E\x0Cアルフレッド\nSo erweist sich das Sprichwort als zutreffend:\nDer Weg zum Herzen eines Mannes führt durch\nseinen Magen.\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x06\x04ボネ\nDavon war ich immer überzeugt. Und ich freue\nmich daher darauf, wieder für Euch kochen zu\ndürfen.\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x0E\x0Cアルフレッド\nOooh, wirklich? Was gibt es denn Gutes?\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x06\x04ボネ\nEinen Gemüseteller, gekrönt von einer Eurer\nsüßen Blumen, frisch gemahlen.\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x06\x04ボネ\nUnd vielleicht etwas gegrillten Fisch, um das\nviele Fleisch von letztem Mal auszugleichen.\x0E\x04\x00\x00
MID_RELIANCE_A_#025	\x0E\x03\x02\x0E\x0Cアルフレッド\nIch bekomme ja schon Appetit, wenn ich dir\nnur zuhöre.\x0E\x04\x00\x00
MID_RELIANCE_A_#026	\x0E\x03\x02\x06\x04ボネ\nEsst weiter, was ich Euch serviere, und...\nwer weiß?\x0E\x04\x00\x00
MID_RELIANCE_A_#027	\x0E\x03\x02\x06\x04ボネ\nVielleicht bekommt Ihr dann eines Tages den\nKörper, nach dem Ihr Euch sehnt.\x0E\x04\x00\x00
MID_RELIANCE_A_#028	\x0E\x03\x02\x0E\x0Cアルフレッド\nDarauf hoffe ich, Bunet.\x0E\x04\x00\x00
MID_RELIANCE_A_#029	\x0E\x03\x02\x0E\x0Cアルフレッド\nEines Tages werden meine Muskeln so stark\nwie unsere Freundschaft sein!\x0E\x04\x00\x00
