MID_GR_El_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04エル\x021\n\x0E\x03\x00\x10\nディミトリ\x022\n\x0E\x03\x02\x06\x04エル\nEs ist eine Ehre, dich zu kennen, Emblem\nDimitri. Danke, dass du uns zu Hilfe eilst.\x0E\x04\x00\x00
MID_GR_Rafale_A_#004	\x0E\x03\x02\x0C\nラファール\nWenn du über meine Alleingänge in den\nKämpfen so besorgt bist, dann solltest du\nmich am besten dorthin begleiten.\x0E\x04\x00\x00
MID_GR_Selestia_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cセレスティア\x021\n\x0E\x03\x00\x10\nディミトリ\x022\n\x0E\x03\x02\x0E\x0Cセレスティア\nWie seltsam... Seit einiger Zeit fühle ich mich\nso flau und schwach.\x0E\x04\x00\x00
MID_GR_Selestia_C_#002	\x0E\x03\x02\x0C\nディミトリ\nAngesichts des... Knurrens, das ich da gerade\nvernahm, könnte es sein, dass du einfach nur\nhungrig bist?\x0E\x04\x00\x00
MID_GR_Selestia_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cセレスティア\x021\n\x0E\x03\x00\x10\nディミトリ\x022\n\x0E\x03\x02\x0C\nディミトリ\nDu und die anderen Mitglieder der Vier Winde,\nihr steht euch offenbar sehr nahe, Zelestia.\x0E\x04\x00\x00
MID_GR_Selestia_B_#002	\x0E\x03\x02\x0E\x0Cセレスティア\nJa, weil mir alle hier am Herzen liegen. Ihr drei\nscheint euch auch sehr nahe zu stehen.\x0E\x04\x00\x00
MID_GR_Selestia_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cセレスティア\x021\n\x0E\x03\x00\x10\nディミトリ\x022\n\x0E\x03\x02\x0E\x0Cセレスティア\nIch hörte, du hast mit vielen anderen Studenten\nin der Militärakademie zusammen gewohnt.\nDas klingt ja wie eine Familie.\x0E\x04\x00\x00
MID_GR_Selestia_A_#002	\x0E\x03\x02\x0C\nディミトリ\nFamilie? Durchaus nicht. Wir wurden in\nunterschiedlichen Häusern geboren, und\nwuchsen unter verschiedenen Umständen auf.\x0E\x04\x00\x00
MID_GR_Selestia_A_#003	\x0E\x03\x02\x0E\x0Cセレスティア\nDas ist doch egal. Jeder hier kommt aus\nunterschiedlichen Verhältnissen, und doch\nsind wir eine Familie.\x0E\x04\x00\x00
MID_GR_Selestia_A_#004	\x0E\x03\x02\x0C\nディミトリ\nVöllig unabhängig von der Herkunft, hm? Wie\nschön wäre es, wenn alle so denken würden.\x0E\x04\x00\x00
MID_GR_Gregory_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nグレゴリー\x021\n\x0E\x03\x00\x0E\x08クロード\x022\n\x0E\x03\x02\x0C\nグレゴリー\nGenaue Planung und Vorbereitung sind\nwichtiger als alles andere, findet Ihr nicht?\x0E\x04\x00\x00
MID_GR_Gregory_C_#002	\x0E\x03\x02\x0A\x08クロード\nDa stimme ich zu. Ohne ausreichende Informa-\ntionen wird man den Gegner niemals in eine\nFalle locken können.\x0E\x04\x00\x00
MID_GR_Gregory_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nグレゴリー\x021\n\x0E\x03\x00\x0E\x08クロード\x022\n\x0E\x03\x02\x0A\x08クロード\nIch versuche um jeden Preis so viele gegne-\nrische Einheiten wie möglich zu entfernen.\nSchlimmstenfalls fliehen wir eben.\x0E\x04\x00\x00
MID_GR_Gregory_B_#002	\x0E\x03\x02\x0C\nグレゴリー\nIhr genießt die Schlacht, nicht wahr?\nIch schätze, wir haben doch nicht so\nviel gemeinsam, wie ich dachte.\x0E\x04\x00\x00
MID_GR_Gregory_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nグレゴリー\x021\n\x0E\x03\x00\x0E\x08クロード\x022\n\x0E\x03\x02\x0A\x08クロード\nSelbst unter diesen blutrünstigen Massen kann\nich deine Vorliebe für die Flucht gut in meine\nStrategie integrieren.\x0E\x04\x00\x00
MID_GR_Gregory_A_#002	\x0E\x03\x02\x0C\nグレゴリー\nWelche Strategie?\x0E\x04\x00\x00
MID_GR_Gregory_A_#003	\x0E\x03\x02\x0A\x08クロード\nDu schleichst dich mitten unter die Gegner und\nstiftest Unruhe, und ich komme von außen über\ndie Flanke dazu.\x0E\x04\x00\x00
MID_GR_Gregory_A_#004	\x0E\x03\x02\x0C\nグレゴリー\nIch verstehe, ich verstehe... Moment. Nein.\nHieße das nicht, dass dann ich der Einzige\nin der Gefahrenzone wäre?\x0E\x04\x00\x00
MID_GR_Madeline_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nマデリーン\x021\n\x0E\x03\x00\x14\x0Eエーデルガルト\x022\n\x0E\x03\x02\x0C\nマデリーン\nIch lerne derzeit noch, aber meine Mutter und\nmein Vater waren beide hervorragende Ritter.\x0E\x04\x00\x00
MID_GR_Madeline_C_#002	\x0E\x03\x02\x10\x0Eエーデルガルト\nDas sehe ich dir an. Ich bin sicher, deine Eltern\nempfinden nichts als Stolz für dich.\x0E\x04\x00\x00
MID_GR_Madeline_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nマデリーン\x021\n\x0E\x03\x00\x14\x0Eエーデルガルト\x022\n\x0E\x03\x02\x0C\nマデリーン\nIch würde gerne mehr über Euch erfahren,\nEdelgard. Wie waren Eure Eltern?\x0E\x04\x00\x00
MID_GR_Madeline_B_#002	\x0E\x03\x02\x10\x0Eエーデルガルト\nMutter starb, als ich noch klein war.\nVater war gütig... Zu gütig für einen Kaiser.\x0E\x04\x00\x00
MID_GR_Madeline_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nマデリーン\x021\n\x0E\x03\x00\x14\x0Eエーデルガルト\x022\n\x0E\x03\x02\x10\x0Eエーデルガルト\nMadeline, warum lächelst du so?\x0E\x04\x00\x00
MID_GR_Madeline_A_#002	\x0E\x03\x02\x0C\nマデリーン\nWenn Ihr in der Nähe seid, frage ich mich oft,\nwie es wohl wäre, eine ältere Schwester zu\nhaben.\x0E\x04\x00\x00
MID_GR_Madeline_A_#003	\x0E\x03\x02\x0C\nマデリーン\nIch bin mir unserer unterschiedlichen Umstände\nnatürlich bewusst, aber ich hatte nie\nGeschwister, daher...\x0E\x04\x00\x00
MID_GR_Madeline_A_#004	\x0E\x03\x02\x10\x0Eエーデルガルト\nDanke. Du bist sehr liebenswürdig. Mit dir zu\nsprechen macht mich ebenfalls immer glücklich.\x0E\x04\x00\x00
