MID_OP1_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0C\x06アイク\x022\n\x0E\x03\x02\x0A\x08リュール\nWo sind wir hier?\x0E\x04\x00\x00
MID_ED1_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0C\x06アイク\x022\n\x0E\x03\x02\x08\x06アイク\nGut gemacht, \x0E\x06\x03\x00!\nDu hast die Prüfung hervorragend gemeistert.\x0E\x04\x00\x00
MID_ED1_#002	\x0E\x03\x02\x0A\x08リュール\nDanke schön, Ike.\x0E\x04\x00\x00
MID_ED1_#003	\x0E\x03\x02\x08\x06アイク\nDu sollst wissen, dass die Kämpfe von nun an\nviel fordernder sein werden.\x0E\x04\x00\x00
MID_ED1_#004	\x0E\x03\x02\x08\x06アイク\nEs ist wichtig, dass dir stets bewusst ist, dass\ndu \x0E\x0A\x00:\x18ein Anführer\x1Eeine Anführerin bist und dem Druck niemals\nnachgeben darfst.\x0E\x04\x00\x00
MID_ED1_#005	\x0E\x03\x02\x08\x06アイク\nIn diesem Krieg darf es keinen Rückzug geben.\x0E\x04\x00\x00
MID_ED1_#006	\x0E\x03\x02\x0A\x08リュール\nDu hast recht. Würden wir wegrennen, wäre die\nWelt bald in Finsternis gehüllt.\x0E\x04\x00\x00
MID_ED1_#007	\x0E\x03\x02\x0A\x08リュール\nAber ich habe Sorge, dass diese schweren\nKämpfe für jeden zu viel sein werden. Oder zu\nviel für mich.\x0E\x04\x00\x00
MID_ED1_#008	\x0E\x03\x02\x08\x06アイク\nEs gibt viele, die deine Hilfe benötigen. Mach\ndir keine Sorgen. Du bist mehr als fähig.\x0E\x04\x00\x00
MID_ED1_#009	\x0E\x03\x02\x08\x06アイク\nUnd wenn es dir scheint, dass dein Geist\nzerbricht, dann sind es die Bande, die du\ngeknüpft hast, die obsiegen werden.\x0E\x04\x00\x00
MID_ED1_#010	\x0E\x03\x02\x0A\x08リュール\nIch werde mir deine Worte im Herzen bewahren.\x0E\x04\x00\x00
MID_ED1_#011	\x0E\x03\x02\x08\x06アイク\nKeine Sorge. Wenn es so scheint, als hättest du\nsie vergessen, dann bin ich da, um dich zu\nerinnern.\x0E\x04\x00\x00
MID_ED1_#012	\x0E\x03\x02\x0A\x08リュール\nWirst du immer an meiner Seite bleiben?\x0E\x04\x00\x00
MID_ED1_#013	\x0E\x03\x02\x08\x06アイク\nImmer.\x0E\x04\x00\x00
MID_ED1_#014	\x0E\x03\x02\x0A\x08リュール\nDanke, Ike. Zu wissen, dass du bei mir bist,\nmacht mich froh.\x0E\x04\x00\x00
MID_LC1_#001	\x0E\x02\x02\x00
