MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06アンナ\x022\n\x0E\x03\x02\x08\x06アンナ\nHIYAH!
MID_RELIANCE_C_#013	\x0E\x03\x02\x06\x04ボネ\nMit anderen Worten: Meine Kochkunst würde\ndamit die nächste Ebene erreichen.\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x06\x04ボネ\nGib sie mir. ...Bitte?\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x08\x06アンナ\nSo also funktioniert das? Na, wenn es dir so\nwichtig ist, können wir uns auf etwas einigen.\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x08\x06アンナ\nNatürlich musst du zahlen. Ich habe schließlich\nnichts zu verschenken.\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x06\x04ボネ\nHe, du bist durchtrieben.\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x02\x08\x06アンナ\nMuss ich auch sein, wenn ich mich allein\ndurchschlagen soll.\x0E\x04\x00\x00
MID_RELIANCE_C_#019	\x0E\x03\x02\x06\x04ボネ\nIch werde deinen Preis entrichten. Dieses\nFeuerholz ist jede Ausgabe wert.\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06アンナ\x022\n\x0E\x03\x02\x08\x06アンナ\nHIYAH!
MID_RELIANCE_B_#002	\x0E\x03\x00\x0A\x04ボネ\x021\n\x0E\x03\x02\x06\x04ボネ\nGut abgehackt. Mal wieder.\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x08\x06アンナ\nLass mich raten... Du brauchst noch mehr Holz?\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x06\x04ボネ\nSo ist es.\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x06\x04ボネ\nDein Feuerholz brennt so gleichmäßig, dass ich\ndamit hervorragend die Ofenhitze kontrollieren\nkann.\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x06\x04ボネ\nDas Risotto, das ich gestern damit zubereitet\nhabe... Makellos, selbst nach meinen Standards.\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x08\x06アンナ\nSuper! Immer schön, wenn die Kunden zufrieden\nsind.\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x06\x04ボネ\nLady Anna, ich muss es fragen. Wie bist du im\nHolzhacken so gut geworden?\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x08\x06アンナ\nHmm.\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x08\x06アンナ\nWahrscheinlich, weil das zu meinen häuslichen\nPflichten gehörte, als ich noch zu Hause bei\nmeiner Familie lebte.\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x06\x04ボネ\nIch verstehe. Du musstest dein ganzes Leben\nlang hart arbeiten, hm?\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x08\x06アンナ\nJetzt hast du mich so weit, dass ich an meine\nFamilie denken muss. Der Lachsauflauf, den wir\nzusammen gegessen haben, war so lecker.\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x08\x06アンナ\n...\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x06\x04ボネ\nÄhm... Stimmt was nicht?\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x08\x06アンナ\nNee, alles Zucker. Tritt zurück und bewundere\ndie Meisterholzhackerin bei der Arbeit!\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x06\x04ボネ\nHmm...\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06アンナ\x022\n\x0E\x03\x02\x08\x06アンナ\nHIYAH!\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x08\x06アンナ\nHmm... Der letzte Schlag saß nicht so richtig.\nSeltsam.\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x08\x06アンナ\n...\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x08\x06アンナ\nIch vermisse sie alle so sehr...\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x00\x0A\x04ボネ\x021\n\x0E\x03\x02\x06\x04ボネ\nHey, Lady Anna. Arbeitest du wieder hart?\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x08\x06アンナ\nOh... Hey, Bunet.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x08\x06アンナ\nIch glaube kaum, dass du mein heutiges Holz\nhaben möchtest. Ich bin gerade gar nicht in\nForm.\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x06\x04ボネ\nIch bin nicht des Holzes wegen heute hier.\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x06\x04ボネ\nHier. Ich habe dir einen Lachsauflauf bereitet.\nIch hoffe, es kommt dem, woran du dich\nerinnerst, einigermaßen nahe.\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x08\x06アンナ\nOh, super. Kann ich ihn gleich essen?\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x06\x04ボネ\nJa, sicher. Solange er noch warm ist.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x08\x06アンナ\nVielen, vielen Dank!\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x08\x06アンナ\n...\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x08\x06アンナ\nMmmm! Das wärmt mich in Mark und Bein. Es\nschmeckt genau wie der Auflauf meiner Familie.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x06\x04ボネ\nDa bin ich froh. Es hat einige Arbeit erfordert.\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x06\x04ボネ\nIch musste die Kochkunst deiner Heimat\nstudieren und alle passenden Gewürze\nbesorgen.\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x06\x04ボネ\nIch war mir ganz und gar nicht sicher, den\ngenauen Geschmack hinzubekommen...\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x08\x06アンナ\nDeswegen also schmeckt es wie zu Hause.\nOh, das alles hast du für mich getan? Ich bin\ntotal gerührt!\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x08\x06アンナ\nIch hatte solches Heimweh, dass ich schon gar\nnicht mehr richtig Holz hacken konnte.\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x08\x06アンナ\nAber dieses kleine Häppchen Heimat hat mich\nwieder aufgebaut. Ich könnte hundert Stämme\nspalten!\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x06\x04ボネ\nWenn du jemals wieder Heimweh verspürst, sag\nmir Bescheid. Zumindest deine Geschmacks-\nknospen kann ich nach Hause bringen.\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x08\x06アンナ\nSehr gerne. Also, was schulde ich dir für den\nAuflauf?\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x06\x04ボネ\nGar nichts. Er war als Dank gedacht.\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x08\x06アンナ\nOh nein! So läuft das nicht bei mir.\x0E\x04\x00\x00
MID_RELIANCE_A_#025	\x0E\x03\x02\x08\x06アンナ\nWenn ich jetzt anfange, Almosen anzunehmen,\nwie soll ich dir dann weiterhin Holz verkaufen?\x0E\x04\x00\x00
MID_RELIANCE_A_#026	\x0E\x03\x02\x06\x04ボネ\nHa... Du bist wahrlich durchtrieben.\x0E\x04\x00\x00
MID_RELIANCE_A_#027	\x0E\x03\x02\x06\x04ボネ\nIn dem Fall kannst du mich einfach mit\nFeuerholz bezahlen. So viel, wie du denkst,\ndass der Auflauf wert ist.\x0E\x04\x00\x00
MID_RELIANCE_A_#028	\x0E\x03\x02\x08\x06アンナ\nSo machen wir's. Und ich lege noch was drauf,\nals Einstiegsangebot. Wie schön, mit dir\nGeschäfte zu machen.\x0E\x04\x00\x00
