MID_OP1_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06マロン\x021\n\x0E\x03\x02\x08\x06マロン\nIhr plant Strategien im Dienste eines Einzelnen.\nWerdet Ihr für sein Glück in den Kampf ziehen?\x0E\x04\x00\x00
MID_OP3_#068	\x0E\x03\x02\x12\x10M011_モーヴ\nDas war auch meine Absicht, doch die Königin\nvon Solm hat den Palast verlassen.\x0E\x04\x02\x00
MID_OP3_#069	Ich bin ihr gefolgt – und in Elusia gelandet.\x0E\x04\x00\x00
MID_OP3_#070	\x0E\x03\x02\x10\x0EE004_エル\nDie Königin von Solm ist also hier. Warum?\x0E\x04\x00\x00
MID_OP3_#071	\x0E\x03\x02\x12\x10M011_モーヴ\nBitte verzeiht meinen schwerwiegenden Fehler,\ndies nicht erahnt zu haben...\x0E\x04\x02\x00
MID_OP3_#072	Aber Königin Timerra hat sich mit einem\nArmring in der Hand und Truppen an ihrer\nSeite nach Elusia begeben.\x0E\x04\x02\x00
MID_OP3_#073	Es handelt sich tatsächlich um eine Invasion.\x0E\x04\x00\x00
MID_OP3_#074	\x0E\x03\x02\x10\x0EE004_エル\nVerstehe...\x0E\x04\x02\x00
MID_OP3_#075	Ich frage mich, ob das in irgendeinem Zusam-\nmenhang mit Elusias Ritual steht.\x0E\x04\x02\x00
MID_OP3_#076	Vielleicht beabsichtigt die Armee von Solm\ndie Kathedrale zu stürmen, um die Wieder-\nerweckung Sombrons zu verhindern.\x0E\x04\x00\x00
MID_OP3_#077	\x0E\x03\x02\x12\x10M011_モーヴ\nIch weiß nicht, ob die Armee von Elusia einen\nSchritt gemacht hat, um sich zu verteidigen.\nAber es ist nur noch eine Frage der Zeit.\x0E\x04\x00\x00
MID_OP3_#078	\x0E\x03\x02\x10\x0EE004_エル\nEin Aufeinandertreffen der Armeen wird die\nDinge nur noch weiter komplizieren. Wir sollten\nuns beeilen und weitergehen.\x0E\x04\x00\x00
MID_OP3_#079	\x0E\x03\x00\x1A\x14E004_マデリーン\x024\n\x0E\x03\x02\x16\x14E004_マデリーン\nJa. Ich kann Euch den Weg zeigen.\x0E\x04\x00\x00
MID_OP3_#080	\x0E\x03\x02\x0A\x08リュール\nOh, ich sollte mich wohl vorstellen, bevor wir\naufbrechen.\x0E\x04\x00\x00
MID_OP3_#081	\x0E\x03\x00\x16\x10M011_モーヴ\x024\n\x0E\x03\x02\x12\x10M011_モーヴ\nIhr seid \x0E\x0A\x00\x10\x06der\x06die \x0E\x0A\x00(\x10Wyrmgott\x14Wyrmgöttin aus einer anderen Welt.\nLiege ich da richtig?\x0E\x04\x00\x00
MID_OP3_#082	\x0E\x03\x02\x0A\x08リュール\nÄh... Ja, schon.\x0E\x04\x00\x00
MID_OP3_#083	\x0E\x03\x02\x12\x10M011_モーヴ\nIch bin Mauvier, Vizekommandant der Vier\nWinde. Erfreut, Euch kennenzulernen. Also\ndann, wollen wir?\x0E\x04\x00\x00
MID_OP3_#084	\x0E\x03\x02\x0A\x08リュール\nHm. Ich hatte irgendwie eine weitere über-\nschwängliche Reaktion erwartet...\x0E\x04\x00\x00
MID_OP4_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x14\x0EE004_エル\x021\n\x0E\x03\x00\x14\x0EE004_イル\x022\n\x0E\x03\x00\x0E\x08リュール\x023\n\x0E\x03\x00\x1A\x14E004_マデリーン\x024\n\x0E\x03\x02\x16\x14E004_マデリーン\nDie Armeen kämpfen vor der Hasaude-Kathe-\ndrale. Die Schlacht hat bereits begonnen.\x0E\x04\x00\x00
MID_OP4_#002	\x0E\x03\x02\x0A\x08リュール\nWir kommen zu spät.\x0E\x04\x00\x00
MID_OP4_#003	\x0E\x03\x02\x10\x0EE004_エル\nVielleicht ist uns das auch von Nutzen. Allein\nwären wir gegenüber jeder dieser Armeen\nim Nachteil.\x0E\x04\x02\x00
MID_OP4_#004	Begeben wir uns zu ihren Anführerinnen und\nholen die Armringe zurück, während sie abge-\nlenkt sind.\x0E\x04\x00\x00
MID_OP4_#005	\x0E\x03\x00\x16\x10M011_モーヴ\x024\n\x0E\x03\x02\x12\x10M011_モーヴ\nElusias Armee wird von Königin Ivy komman-\ndiert und die solmer Armee von Königin\nTimerra.\x0E\x04\x02\x00
MID_OP4_#006	Sie haben den Armring des Strategen sowie\nden Armring der vernarrten Schwester in Besitz.\x0E\x04\x00\x00
MID_OP4_#007	\x0E\x03\x02\x10\x0EE004_イル\nEs sollte uns möglich sein, lediglich die beiden\nKöniginnen zu besiegen.\x0E\x04\x00\x00
MID_OP4_#008	\x0E\x03\x02\x10\x0EE004_エル\nSeid Ihr darauf vorbereitet, \x0E\x0A\x00*\x14Göttlicher\x12Göttliche?\x0E\x04\x00\x00
MID_OP4_#009	\x0E\x03\x02\x0A\x08リュール\nBin ich.\x0E\x04\x00\x00
MID_OP4_#010	\x0E\x03\x02\x12\x10M011_モーヴ\nMit Eurer Erlaubnis werde ich mich zur\nKathedrale begeben und versuchen, das Ritual\nzu unterbrechen.\x0E\x04\x00\x00
MID_OP4_#011	\x0E\x03\x02\x10\x0EE004_エル\nEine ausgezeichnete Idee. Nur zu, Mauvier.\x0E\x04\x00\x00
MID_OP4_#012	\x0E\x03\x02\x12\x10M011_モーヴ\nSehr gut.\x0E\x04\x00\x00
MID_OP4_#013	\x0E\x03\x02\x10\x0EE004_イル\nAlso dann, auf geht's!\x0E\x04\x00\x00
MID_EV1_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x14\x0EE004_エル\x02t\n\x0E\x05\x01\x1C\x0EE004_エル\nAngry\n\x0E\x03\x02\x10\x0EE004_エル\nDie Armeen von Elusia und Solm befinden sich\nmitten in der Schlacht. Schlüpfen wir durch und\nüberraschen ihre Kommandantinnen.\x0E\x04\x00\x00
MID_EV2_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x18\x12E004_Boss\x02b\n\x0E\x05\x01$\x12E004_Boss\x0EStandBy\n\x0E\x03\x02\x14\x12E004_Boss\nWie ich sehe, haben wir ein paar ungebetene\nGäste! Egal. Meine Verstärkung wird sie\nauslöschen.\x0E\x04\x00\x00
MID_EV3_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x18\x12E004_Hide\x02b\n\x0E\x05\x01 \x12E004_Hide\nAngry\n\x0E\x03\x02\x14\x12E004_Hide\nKönigin Ivy scheint etwas zu unternehmen.\nDann werden wir das auch tun!\x0E\x04\x00\x00
MID_EV4_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x18\x12E004_Boss\x02b\n\x0E\x05\x01 \x12E004_Boss\nRelax\n\x0E\x03\x02\x14\x12E004_Boss\nGehet hin, meine süßen Verzerrten Wyvern!\nSchwärmt aus und vernichtet sie!\x0E\x04\x00\x00
MID_BT1_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x18\x12E004_Boss\x02b\n\x0E\x05\x01 \x12E004_Boss\nRelax\n\x0E\x03\x02\x14\x12E004_Boss\nSolltet Ihr hier sein, um das Ritual zu unter-\nbrechen, seid unbesorgt. Ich werde sicherstel-\nlen, dass Ihr hier nichts als den Tod vorfindet.\x0E\x04\x00\x00
MID_BT2_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x18\x12E004_Boss\x02b\n\x0E\x05\x01$\x12E004_Boss\x0EStandBy\n\x0E\x03\x02\x14\x12E004_Boss\nIhr Ungeheuer... Was habt Ihr getan?\x0E\x04\x00\x00
MID_BT3_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x18\x12E004_Hide\x02b\n\x0E\x05\x01 \x12E004_Hide\nAngry\n\x0E\x03\x02\x14\x12E004_Hide\nAlles, was wir wollen ist, sie davon abzuhalten,\nden Dämonendrachen zu erwecken. Warum\nstellt Ihr Euch uns in den Weg?\x0E\x04\x00\x00
MID_BT4_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x18\x12E004_Hide\x02b\n\x0E\x05\x01\x1E\x12E004_Hide\x08Pain\n\x0E\x03\x02\x14\x12E004_Hide\nNun wird Sombron zurückkehren... Aber das\nist genau das, was Ihr wolltet, nicht wahr?\x0E\x04\x00\x00
MID_BT5_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x18\x12E004_Boss\x02b\n\x0E\x05\x01&\x12E004_Boss\x10Surprise\n\x0E\x03\x02\x14\x12E004_Boss\nWas ist das? Für eine Fata Morgana sind wir viel\nzu weit von der solmer Wüste entfernt, meine\nTeuerste.\x0E\x04\x02\x00
MID_BT5_#002	\x0E\x05\x01 \x12E004_Boss\nSmile\nBist du wirklich eine andere Ivy? Fabelhaft.\nEs fehlt ein wenig Selbstvertrauen, aber daran\nkönnen wir ja vielleicht arbeiten.\x0E\x04\x00\x00
MID_BT5_#003	\x0E\x03\x00\x0E\x08アイビー\x02t\n\x0E\x05\x01\x16\x08アイビー\nAngry\n\x0E\x03\x02\x0A\x08アイビー\nBitte sag mir, dass ich ganz anders bin als du.\x0E\x04\x02\x00
MID_BT5_#004	Und du wiederholst die Fehler meines Vaters?\nIch muss dir wohl den Kopf zurechtrücken.\x0E\x04\x00\x00
MID_BT5_#005	\x0E\x05\x01\x1C\x12E004_Boss\x06Shy\n\x0E\x03\x02\x14\x12E004_Boss\nVater? Haha. Du meinst diesen alten Versager\nvon König?\x0E\x04\x02\x00
MID_BT5_#006	Er besaß die Frechheit, das Ritual unterbrechen\nzu wollen. Selbst als Opfergabe machte er nicht\ngerade viel her.\x0E\x04\x00\x00
MID_BT5_#007	\x0E\x05\x01\x1C\x08アイビー\x10Surprise\n\x0E\x03\x02\x0A\x08アイビー\nDu hast ihn getötet? Warum? Wofür?!\x0E\x04\x02\x00
MID_BT5_#008	\x0E\x05\x01\x14\x08アイビー\x08Pain\nDu hast Elusia zerstört. Ist überhaupt noch\njemand übrig, der dich Königin nennen kann?\x0E\x04\x00\x00
MID_BT6_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x18\x12E004_Boss\x02b\n\x0E\x05\x01 \x12E004_Boss\nAngry\n\x0E\x03\x02\x14\x12E004_Boss\nAch, wenn das nicht die nutzlose zweite\nPrinzessin ist. Mir wird übel bei deinem Anblick.\x0E\x04\x00\x00
MID_BT6_#002	\x0E\x03\x00\x12\x0Cオルテンシア\x02t\n\x0E\x05\x01 \x0Cオルテンシア\x10Surprise\n\x0E\x03\x02\x0E\x0Cオルテンシア\nIvy? Was ist denn in dich gefahren?\x0E\x04\x00\x00
MID_BT6_#003	\x0E\x03\x02\x14\x12E004_Boss\nHör auf mit deinem „Ivy“. Du hast kein Recht\nauf solche Vertraulichkeiten. Ich habe dich\nschon unzählige Male gewarnt.\x0E\x04\x02\x00
MID_BT6_#004	\x0E\x05\x01$\x12E004_Boss\x0EStandBy\nSolltest du geplant haben, mit Solm zusammen-\nzuarbeiten, um meine Aufmerksamkeit zu erre-\ngen – Gratulation. Dein Plan war ein Erfolg.\x0E\x04\x00\x00
MID_BT6_#005	\x0E\x05\x01\x16\x0Cオルテンシア\x06Sad\n\x0E\x03\x02\x0E\x0Cオルテンシア\nSo sprichst du also immer mit der Hortensia\nin dieser Welt, oder?\x0E\x04\x02\x00
MID_BT6_#006	\x0E\x05\x01\x1A\x0Cオルテンシア\nAngry\nDann bin ich froh, dass du mir das gesagt hast.\nDenn wenigstens muss sie dir dieses eine Mal\nnicht zuhören!\x0E\x04\x00\x00
MID_BT7_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x18\x12E004_Boss\x02b\n\x0E\x05\x01&\x12E004_Boss\x10Surprise\n\x0E\x03\x02\x14\x12E004_Boss\nSeid Ihr... \x0E\x0A\x00\x10\x06der\x06die \x0E\x0A\x00(\x10Wyrmgott\x14Wyrmgöttin? Hat das Ritual für\nEure Wiedererweckung in Lythos also wirklich\nfunktioniert?\x0E\x04\x00\x00
MID_BT7_#002	\x0E\x03\x00\x0E\x08リュール\x02t\n\x0E\x05\x01\x16\x08リュール\nAngry\n\x0E\x03\x02\x0A\x08リュール\nEs ist etwas kompliziert. Ich werde es Euch\nerklären, wenn diese Schlacht vorüber ist und\nIhr wieder auf die Stimme der Vernunft hört.\x0E\x04\x00\x00
MID_BT7_#003	\x0E\x05\x01$\x12E004_Boss\x0EStandBy\n\x0E\x03\x02\x14\x12E004_Boss\nDas ist ungerecht! \x0E\x0A\x00\x10\x06Der\x06Die \x0E\x0A\x00(\x10Wyrmgott\x14Wyrmgöttin ist ins Leben\nzurückgekehrt, während Lord Sombron noch\nunter den Toten dahindarbt?!\x0E\x04\x02\x00
MID_BT7_#004	\x0E\x05\x01\x1E\x12E004_Boss\x08Pain\nKein Anhänger des Dämonendrachen wird dies\ntolerieren. Elusia wird dies nicht dulden!\x0E\x04\x02\x00
