MID_OP1_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04グリ\x021\n\x0E\x03\x02\x06\x04グリ\nIn der tiefsten Finsternis der Einsamkeit...\nwürdet Ihr Euch das Licht zu eigen machen?\x0E\x04\x02\x00
MID_OP2_#010	\x0E\x03\x02\x10\x0EE003_エル\nMir war nicht klar, dass das so wichtig ist. Ich\nhoffe, Ihr könnt Eure Willkommensparade noch\nauf einen anderen Termin verschieben.\x0E\x04\x00\x00
MID_OP2_#011	\x0E\x03\x02\x0A\x08リュール\nIch will damit einfach nur sagen, dass\nVerbündete einander auf dem Laufenden halten\nsollten.\x0E\x04\x00\x00
MID_OP2_#012	\x0E\x03\x02\x18\x16E003_セレスティア\nPssst. Seid mal beide still. Da ist jemand.\x0E\x04\x00\x00
MID_OP2_#013	\x0E\x03\x02\x10\x0EE003_エル\nSie können uns unmöglich schon entdeckt\nhaben.\x0E\x04\x00\x00
MID_OP2_#014	\x0E\x03\x02\x0A\x08リュール\nDa vorne!\x0E\x04\x00\x00
MID_OP2_#015	\x0E\x03\x02\x10\x0EE003_イル\nWartet, \x0E\x0A\x00*\x14Göttlicher\x12Göttliche!\x0E\x04\x00\x00
MID_OP2_#016	\x0E\x03\x00\x1A\x14E003_グレゴリー\x024\n\x0E\x06\x000\x14E003_グレゴリー\x18MPID_Unknown\n\x0E\x03\x02\x16\x14E003_グレゴリー\nBitte, nein! Tut mir nicht weh!\x0E\x04\x00\x00
MID_OP2_#017	\x0E\x03\x00\x1C\x16E003_セレスティア\x024\n\x0E\x03\x02\x18\x16E003_セレスティア\nGregory!\x0E\x04\x00\x00
MID_OP2_#018	\x0E\x03\x02\x0A\x08リュール\nIhr beide... kennt euch?\x0E\x04\x00\x00
MID_OP2_#019	\x0E\x03\x02\x18\x16E003_セレスティア\nAllerdings. Gregory ist ein Mitglied der Vier\nWinde, so wie ich.\x0E\x04\x00\x00
MID_OP2_#020	\x0E\x03\x02\x0A\x08リュール\nDas sagt mir nichts.\x0E\x04\x00\x00
MID_OP2_#021	\x0E\x03\x02\x18\x16E003_セレスティア\nWir sind eine kleine Gruppe Ritter, die sich nach\ndem Krieg zusammengeschlossen haben, um\nMilady Nel und Mylord Nil zu beschützen.\x0E\x04\x02\x00
MID_OP2_#022	Wie der Name schon sagt, bestehen die Vier\nWinde aus vier Mitgliedern.\x0E\x04\x02\x00
MID_OP2_#023	Gregory ist eines davon.\x0E\x04\x00\x00
MID_OP2_#024	\x0E\x03\x02\x10\x0EE003_エル\nIch wies ihn an, Informationen für uns zu\nbeschaffen, so wie ich Zelestia anwies.\x0E\x04\x02\x00
MID_OP2_#025	Danke für dein Pflichtbewusstsein, Gregory.\nAber wir wollten uns doch in einiger Entfernung\nvon hier treffen.\x0E\x04\x00\x00
MID_OP2_#026	\x0E\x03\x00\x1A\x14E003_グレゴリー\x024\n\x0E\x06\x000\x14E003_グレゴリー\x18MPID_Gregory\n\x0E\x03\x02\x16\x14E003_グレゴリー\nStimmt, was das angeht... Ich bin erst in die\nfalsche Richtung gelaufen und nahm an,\nich würde unseren Treffpunkt nicht finden.\x0E\x04\x02\x00
MID_OP2_#027	Ich wusste nicht, was ich tun sollte und bin\nzurück zur Grenze gelaufen. Ich bin ja so froh,\nEuch gefunden zu haben.\x0E\x04\x00\x00
MID_OP2_#028	\x0E\x03\x02\x10\x0EE003_エル\nBevor du uns Bericht erstattest, gibt es etwas,\ndas du wissen solltest.\x0E\x04\x02\x00
MID_OP2_#029	Dieses Individuum hier, ist--\x0E\x04\x00\x00
MID_OP2_#030	\x0E\x03\x02\x16\x14E003_グレゴリー\nNicht \x0E\x0A\x00\x10\x06der\x06die \x0E\x0A\x00(\x10Wyrmgott\x14Wyrmgöttin, \x0E\x0A\x00\x10\x06den\x06die wir kennen.\nStimmt's?\x0E\x04\x00\x00
MID_OP2_#031	\x0E\x03\x02\x10\x0EE003_エル\nRichtig.\x0E\x04\x00\x00
MID_OP2_#032	\x0E\x03\x02\x16\x14E003_グレゴリー\nIch nehme also an, Euer Ritual hat funktioniert\nund Ihr habt \x0E\x0A\x00\x1A\x0Cdiesen\ndiese hier von woandersher\nbeschworen.\x0E\x04\x00\x00
MID_OP2_#033	\x0E\x03\x02\x10\x0EE003_エル\nAuch richtig. Das erspart mir die Erklärung.\x0E\x04\x00\x00
MID_OP2_#034	\x0E\x03\x02\x10\x0EE003_イル\nUnglaublich, Gregory! Wie bist du darauf\ngekommen?\x0E\x04\x00\x00
MID_OP2_#035	\x0E\x03\x02\x16\x14E003_グレゴリー\nIch weiß nicht genau. Etwas an \x0E\x0A\x00\x1C\x0Cdiesem\x0Cdieser scheint\nmir... wohl beängstigend zu sein.\x0E\x04\x00\x00
MID_OP2_#036	\x0E\x03\x02\x0A\x08リュール\nVielleicht, weil ich dich beinahe angegriffen\nhätte. Das tut mir leid.\x0E\x04\x00\x00
MID_OP2_#037	\x0E\x03\x02\x16\x14E003_グレゴリー\nNein, das ist es nicht. Ihr seid einfach anders\nals \x0E\x0A\x00\x10\x06die\x06der \x0E\x0A\x00(\x14Wyrmgöttin\x10Wyrmgott, \x0E\x0A\x00\x10\x06die\x06den ich kannte.\x0E\x04\x02\x00
MID_OP2_#038	Ich meine damit auch nicht das Aussehen. Es\nist, als ob mit Eurer Wesensart etwas nicht\nstimmt. Das ergibt wohl keinen Sinn, was?\x0E\x04\x00\x00
MID_OP2_#039	\x0E\x03\x00\x1C\x16E003_セレスティア\x024\n\x0E\x03\x02\x18\x16E003_セレスティア\nGregory hat einen scharfen Sinn dafür, wann es\nheißt, vorsichtig zu sein. Vielleicht nimmt er\nUnterschiede wahr, die andere nicht erkennen.\x0E\x04\x00\x00
MID_OP2_#040	\x0E\x03\x02\x0A\x08リュール\nAh...\x0E\x04\x00\x00
MID_OP2_#041	\x0E\x03\x00\x1A\x14E003_グレゴリー\x024\n\x0E\x03\x02\x16\x14E003_グレゴリー\nIst schon in Ordnung. Sofern Ihr keine Bedro-\nhung darstellt, werde ich mich sicherlich an\nEuch gewöhnen.\x0E\x04\x02\x00
MID_OP2_#042	Oh, und bitte verzeiht, wenn ich nicht auf\nangemessene Weise mit Euch rede. Etikette und\nso was war noch nie mein Ding.\x0E\x04\x00\x00
MID_OP2_#043	\x0E\x03\x02\x0A\x08リュール\nDas stört mich nicht. Bitte, sei ruhig zwanglos,\nwenn du mit mir sprichst.\x0E\x04\x00\x00
MID_OP2_#044	\x0E\x03\x02\x10\x0EE003_イル\nEs ist alles in Ordnung, Gregory. \x0E\x0A\x00\x10\x06Der\x06Die\n\x0E\x0A\x00(\x10Wyrmgott\x14Wyrmgöttin hat bewiesen, dass \x0E\x0A\x00\x0E\x04er\x06sie einen\nguten Charakter hat, \x0E\x0A\x00\x0E\x04er\x06sie ist voller Güte.\x0E\x04\x02\x00
MID_OP2_#045	Das stimmt, \x0E\x0A\x00*\x14Göttlicher\x12Göttliche. Ich mag Euch durchaus.\x0E\x04\x00\x00
MID_OP2_#046	\x0E\x03\x02\x0A\x08リュール\nDanke, Nil. Ich mag dich auch.\x0E\x04\x00\x00
MID_OP2_#047	\x0E\x03\x02\x10\x0EE003_エル\n...\x0E\x04\x00\x00
MID_OP2_#048	\x0E\x03\x02\x0A\x08リュール\nDu sagtest, die Vier Winde wären vier Ritter.\nWo sind denn die anderen zwei?\x0E\x04\x00\x00
MID_OP2_#049	\x0E\x03\x02\x10\x0EE003_エル\nSie befinden sich in den anderen Nationen,\nund sammeln dort Informationen.\x0E\x04\x02\x00
MID_OP2_#050	Zelestia war in Firene, Gregory ist für Brodia\nzuständig, die anderen beiden wurden nach\nElusia und Solm beordert.\x0E\x04\x00\x00
MID_OP2_#051	\x0E\x03\x00\x1C\x16E003_セレスティア\x024\n\x0E\x03\x02\x18\x16E003_セレスティア\nIch bin die Anführerin unserer kleinen Gruppe.\x0E\x04\x02\x00
MID_OP2_#052	Ich gebe zu, der Name Zelestia von den Vier\nWinden hat einiges Gewicht. Ich genieße als\nGeneralin einiges Ansehen.\x0E\x04\x00\x00
MID_OP2_#053	\x0E\x03\x00\x1A\x14E003_グレゴリー\x024\n\x0E\x03\x02\x16\x14E003_グレゴリー\nEntweder das, oder du bist einfach so laut,\ndass niemand umhinkommt, deinen Namen zu\nkennen.\x0E\x04\x00\x00
MID_OP2_#054	\x0E\x03\x00\x1C\x16E003_セレスティア\x024\n\x0E\x03\x02\x18\x16E003_セレスティア\nWas hast du da gesagt?!\x0E\x04\x00\x00
MID_OP2_#055	\x0E\x03\x00\x1A\x14E003_グレゴリー\x024\n\x0E\x03\x02\x16\x14E003_グレゴリー\nDas war ein Scherz! Komm schon, kein Grund\ngleich gewalttätig zu werden!\x0E\x04\x00\x00
MID_OP2_#056	\x0E\x03\x02\x0A\x08リュール\nWas war das?!\x0E\x04\x00\x00
MID_OP2_#057	\x0E\x03\x02\x10\x0EE003_イル\nWerden wir angegriffen?!\x0E\x04\x00\x00
MID_OP2_#058	\x0E\x03\x02\x16\x14E003_グレゴリー\nHaha... ha. Meine Verfolger scheinen uns ge-\nfunden zu haben. Tut mir leid, ich dachte, ich\nhätte sie abgehängt.\x0E\x04\x00\x00
MID_OP2_#059	\x0E\x03\x02\x10\x0EE003_エル\nErkläre uns das, Gregory.\x0E\x04\x00\x00
MID_OP2_#060	\x0E\x03\x02\x16\x14E003_グレゴリー\nOh, ähm... Man hat mich gesehen? Beim Aus-\nkundschaften? Ich rannte um mein Leben,\naber, ha ha... Ich glaube, man ist mir gefolgt.\x0E\x04\x00\x00
MID_OP2_#061	\x0E\x03\x02\x10\x0EE003_イル\nEins, zwei, drei – ach, zählen ist sinnlos. Die\nGegner sind in der Überzahl, und das bei\nWeitem.\x0E\x04\x02\x00
MID_OP2_#062	Wir sollten wegrennen.\x0E\x04\x00\x00
MID_OP2_#063	\x0E\x03\x02\x0A\x08リュール\nMoment. Warum wehren wir sie nicht ab?\x0E\x04\x00\x00
MID_OP2_#064	\x0E\x03\x02\x10\x0EE003_エル\nDa sie uns verfolgen, sind es Grenzwächter oder\nRitter. Sie haben keinen Armring bei sich.\x0E\x04\x02\x00
MID_OP2_#065	Ein Kampf wird uns erschöpfen, wir gewinnen\nnichts dabei.\x0E\x04\x00\x00
MID_OP2_#066	\x0E\x03\x02\x16\x14E003_グレゴリー\nIhr wollt wegrennen? Ich bin dabei. Hier\nentlang. Folgt mir!\x0E\x04\x00\x00
MID_OP3_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x14\x0EE003_イル\x022\n\x0E\x03\x00\x14\x0EE003_エル\x023\n\x0E\x03\x00\x1A\x14E003_グレゴリー\x024\n\x0E\x03\x02\x16\x14E003_グレゴリー\nHier sollten wir in Sicherheit sein. Verstecken\nwir uns hier für eine Weile.\x0E\x04\x00\x00
MID_OP3_#002	\x0E\x03\x02\x10\x0EE003_イル\nDa fällt mir ein, \x0E\x0A\x00*\x14Göttlicher\x12Göttliche...\x0E\x04\x02\x00
MID_OP3_#003	Ich kann erkennen, dass Ihr einen Kampf vor-\nzieht, jedoch sind wir daran gewöhnt, uns\ndefensiv zu verhalten.\x0E\x04\x00\x00
MID_OP3_#004	\x0E\x03\x02\x0A\x08リュール\nDas ist mir schon aufgefallen. Ihr wählt eure\nKämpfe mit Bedacht aus.\x0E\x04\x00\x00
MID_OP3_#005	\x0E\x03\x02\x16\x14E003_グレゴリー\nNatürlich. Was glaubt Ihr denn, wie wir es\ngeschafft haben, so lange zu überleben?\x0E\x04\x02\x00
MID_OP3_#006	Nicht dadurch, dass wir gegen jeden, der etwas\nvon uns will, kämpfen, sondern indem wir\nwegrennen.\x0E\x04\x00\x00
MID_OP3_#007	\x0E\x03\x02\x10\x0EE003_エル\nWir sind wohl dazu fähig, Embleme in Schlaf\nzu versetzen, aber wir sind nicht in der Lage,\njemanden anzugreifen.\x0E\x04\x00\x00
MID_OP3_#008	\x0E\x03\x00\x1C\x16E003_セレスティア\x024\n\x0E\x03\x02\x18\x16E003_セレスティア\nWären die Vier Winde den Ritterorden der\nanderen Nationen ebenbürtig, würde das\nvielleicht anders aussehen.\x0E\x04\x02\x00
MID_OP3_#009	Aber leider sind wir das nicht. Ich fürchte, wir\nsind so etwas wie eine Enttäuschung.\x0E\x04\x00\x00
MID_OP3_#010	\x0E\x03\x02\x10\x0EE003_イル\nUnsinn. Die Vier Winde haben unsere Leben\nwieder und wieder gerettet.\x0E\x04\x02\x00
MID_OP3_#011	Meine Schwester und ich sind sehr stolz auf\neuch.\x0E\x04\x00\x00
MID_OP3_#012	\x0E\x03\x02\x18\x16E003_セレスティア\nSo nette Worte, Mylord Nil. Ich danke Euch.\x0E\x04\x00\x00
MID_OP3_#013	\x0E\x03\x02\x10\x0EE003_エル\nDer Gegner hat die Verfolgung aufgegeben.\nGregory, erstatte uns Bericht.\x0E\x04\x00\x00
MID_OP3_#014	\x0E\x03\x00\x1A\x14E003_グレゴリー\x024\n\x0E\x03\x02\x16\x14E003_グレゴリー\nEtwas geht in Brodia vor sich. Sie haben damit\nbegonnen, Soldaten aus dem Land zu ent-\nsenden.\x0E\x04\x00\x00
MID_OP3_#015	\x0E\x03\x02\x10\x0EE003_エル\nIch hätte nicht erwartet, dass sie eine Invasion\nplanen. Wohin wurden sie entsendet?\x0E\x04\x00\x00
MID_OP3_#016	\x0E\x03\x02\x16\x14E003_グレゴリー\nDas weiß ich nicht. Wohin sie sie auch immer\nsenden, sie wissen, wie man das geheim hält.\x0E\x04\x02\x00
MID_OP3_#017	Aber wenn ich die weiteren Informationen, die\nich habe, hinzufüge, vermute ich, dass sie hinter\nden Sieben Armringen her sind.\x0E\x04\x00\x00
MID_OP3_#018	\x0E\x03\x02\x0A\x08リュール\nInteressant. Vielleicht hat Brodia das Gleiche\nvor wie wir – sie vor dem unbekannten Feind\nin Sicherheit zu bringen.\x0E\x04\x00\x00
MID_OP3_#019	\x0E\x03\x02\x16\x14E003_グレゴリー\nIch glaube nicht, dass das ihre Absicht ist. Mir\nscheint, sie wollen die Macht der Armringe für\nsich selbst nutzen.\x0E\x04\x00\x00
MID_OP3_#020	\x0E\x03\x02\x0A\x08リュール\nWas würde denn eine friedliebende Nation mit\nso viel Macht anfangen wollen?\x0E\x04\x00\x00
MID_OP3_#021	\x0E\x03\x02\x10\x0EE003_イル\nDer Vorteil, den die Emblem-Armringe bringen,\nwenn sie zusammengeführt werden, hängt von\nden Umständen ab.\x0E\x04\x02\x00
MID_OP3_#022	Werden alle sieben zusammengeführt, während\ndie Embleme wach sind, führt dies – wie Ihr\nwisst – zu enormer Macht.\x0E\x04\x02\x00
MID_OP3_#023	Führt alle sieben zusammen, während die\nEmbleme schlafen...\x0E\x04\x00\x00
MID_OP3_#024	\x0E\x03\x02\x10\x0EE003_エル\nUnd die Armringe werden Euch Immunität\nvor jedwedem Schaden verleihen...\x0E\x04\x00\x00
MID_OP3_#025	\x0E\x03\x02\x0A\x08リュール\nImmunität? Sie machen den Träger also\nunverwundbar?\x0E\x04\x00\x00
MID_OP3_#026	\x0E\x03\x02\x16\x14E003_グレゴリー\nGanz genau. Die ultimative Verteidigung.\x0E\x04\x02\x00
MID_OP3_#027	Ich kann mir für ein Land, das den Krieg hasst,\nnichts Wertvolleres vorstellen.\x0E\x04\x00\x00
MID_OP3_#028	\x0E\x03\x02\x10\x0EE003_イル\nAber dann benötigen sie schlafende Embleme.\nDazu brauchen sie Nels Hilfe.\x0E\x04\x02\x00
MID_OP3_#029	Vielleicht waren die „Assassinen“, die auf\nSchloss Lythos aufgetaucht sind, eigentlich\nEntführer aus Brodia?\x0E\x04\x00\x00
MID_OP3_#030	\x0E\x03\x02\x10\x0EE003_エル\nDas wäre möglich.\x0E\x04\x00\x00
MID_OP3_#031	\x0E\x03\x02\x16\x14E003_グレゴリー\nNun, wir wissen nichts Genaues darüber. Aber\neines wissen wir mit Gewissheit...\x0E\x04\x02\x00
MID_OP3_#032	Brodia wird eine Armee aufstellen, und zwar\nbald schon.\x0E\x04\x00\x00
MID_OP3_#033	\x0E\x03\x00\x0A\x04不明\x024\n\x0E\x03\x02\x06\x04不明\nIhr habt das alles allein herausgefunden! Gut\ngemacht. Allerdings befürchte ich, dass ich euch\ndeshalb nicht einfach laufen lassen kann.\x0E\x04\x00\x00
MID_OP3_#034	\x0E\x03\x02\x0A\x08リュール\nOh!\x0E\x04\x00\x00
MID_OP3_#035	\x0E\x03\x00\x1C\x16E003_セレスティア\x024\n\x0E\x03\x02\x18\x16E003_セレスティア\nUnmöglich! Ich habe nicht gespürt, dass sich\nuns jemand nähert.\x0E\x04\x00\x00
MID_OP3_#036	\x0E\x03\x02\x10\x0EE003_イル\nDas scheinen keine einfachen Soldaten zu sein.\x0E\x04\x00\x00
MID_OP3_#037	\x0E\x03\x02\x10\x0EE003_エル\nDas sind Königliche von Brodia.\x0E\x04\x00\x00
MID_OP3_#038	\x0E\x03\x00\x18\x12E003_Hide\x024\n\x0E\x03\x02\x14\x12E003_Hide\nSieh mal, Diamant. Hier sind sie.\x0E\x04\x02\x00
MID_OP3_#039	Nun mach kurzen Prozess mit ihnen. Oder\nmuss ich auch das noch für dich tun, du\nerbärmliche Figur von einem Bruder?\x0E\x04\x00\x00
MID_OP3_#040	\x0E\x03\x00\x18\x12E003_Boss\x021\x0E\x03\x02\x14\x12E003_Boss\nIch hatte vor, sie zu überraschen, Alcryst.\nDu hättest unsere Position nicht preisgeben\ndürfen.\x0E\x04\x00\x00
MID_OP3_#041	\x0E\x03\x02\x14\x12E003_Hide\nOh... Vielen Dank, dass du mich in den Plan\neinweihst.\x0E\x04\x00\x00
MID_OP3_#042	\x0E\x03\x02\x14\x12E003_Boss\nNel. Nil. Es ist mir kein Vergnügen. Ich hatte\ngehofft, wir würden uns das nächste Mal auf\nfreundschaftlicher Ebene treffen.\x0E\x04\x02\x00
MID_OP3_#043	Leider scheint Blutvergießen nun unausweich-\nlich zu sein.\x0E\x04\x00\x00
MID_OP3_#044	\x0E\x03\x02\x10\x0EE003_エル\nIhr müsst wirklich wütend sein, wenn Ihr die\nfriedliebenden Prinzipien Eurer Nation über\nBord werft.\x0E\x04\x00\x00
MID_OP3_#045	\x0E\x03\x02\x10\x0EE003_イル\nSieh mal, Nel. Er trägt einen der Armringe.\x0E\x04\x00\x00
MID_OP3_#046	\x0E\x03\x02\x14\x12E003_Hide\nIhr habt es also auf die Armringe abgesehen,\nhm? Was für ein Zufall! Euer Spion hat den\nrichtigen Schluss gezogen, wir wollen sie auch.\x0E\x04\x02\x00
MID_OP3_#047	Unsere Ziele sind anscheinend gleich. Was\nmeint ihr? Wollen wir unsere Kräfte noch\neinmal vereinen?\x0E\x04\x00\x00
MID_OP3_#048	\x0E\x03\x02\x10\x0EE003_エル\nDas kann ja wohl nicht Euer Ernst sein.\x0E\x04\x00\x00
MID_OP3_#049	\x0E\x03\x02\x14\x12E003_Hide\nOh, du hast recht, das ist es nicht. Wie habe\nich mich verraten?\x0E\x04\x00\x00
MID_OP3_#050	\x0E\x03\x02\x14\x12E003_Boss\nDer Krieg muss an der Wurzel ausgerottet\nwerden, bevor er sich weiter ausbreiten kann.\x0E\x04\x02\x00
MID_OP3_#051	Auch wenn es mich schmerzt, einstige Ver-\nbündete töten zu müssen – mir bleibt keine\nandere Wahl.\x0E\x04\x02\x00
MID_OP3_#052	Soldaten, ergreift die Waffen! Nehmt Milady\nNel lebend gefangen – zeigt gegenüber den\nanderen keine Gnade.\x0E\x04\x00\x00
MID_OP3_#053	\x0E\x03\x02\x10\x0EE003_エル\nDie Umstände erfordern es, dass wir kämpfen.\x0E\x04\x00\x00
MID_OP3_#054	\x0E\x03\x02\x10\x0EE003_イル\nZelestia. Gregory. Macht euch bereit.\x0E\x04\x00\x00
MID_OP3_#055	\x0E\x03\x00\x1C\x16E003_セレスティア\x024\n\x0E\x03\x02\x18\x16E003_セレスティア\nSehr gerne.\x0E\x04\x00\x00
MID_OP3_#056	\x0E\x03\x00\x1A\x14E003_グレゴリー\x024\n\x0E\x03\x02\x16\x14E003_グレゴリー\nIch konzentriere mich darauf, nicht verletzt\nzu werden...\x0E\x04\x00\x00
MID_OP3_#057	\x0E\x03\x02\x10\x0EE003_エル\nMacht Euch bereit, \x0E\x0A\x00*\x14Göttlicher\x12Göttliche. Ich erwarte die\ngleiche Leistung von Euch wie in der letzten\nSchlacht.\x0E\x04\x00\x00
MID_OP3_#058	\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x02\x0A\x08リュール\nSelbstverständlich.\x0E\x04\x00\x00
MID_EV1_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x18\x12E003_Boss\x02b\n\x0E\x05\x01 \x12E003_Boss\nAngry\n\x0E\x03\x02\x14\x12E003_Boss\nEs ist bedauerlich, dass wir gegeneinander\nkämpfen müssen, aber ich denke, wir sollten\nanfangen.\x0E\x04\x00\x00
MID_EV2_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x14\x0EE003_エル\x02t\n\x0E\x05\x01\x1C\x0EE003_エル\nAngry\n\x0E\x03\x02\x10\x0EE003_エル\nNehmt Euch vor der Artillerie von Brodia in\nAcht, die mit Magie angreift. Die Angriffe\nkönnen aus einiger Entfernung kommen.\x0E\x04\x00\x00
MID_EV3_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x14\x0EE003_エル\x02t\n\x0E\x05\x01\x1C\x0EE003_エル\nAngry\n\x0E\x03\x02\x10\x0EE003_エル\nDer Soldat dort bereitet eine massive Salve\nvor. Der Angriff wird einen großen Bereich\nerfassen. Macht Euch alle bereit.\x0E\x04\x00\x00
MID_EV4_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x18\x12E003_Boss\x02b\n\x0E\x05\x01 \x12E003_Boss\nAngry\n\x0E\x03\x02\x14\x12E003_Boss\nEmblem Veronica, ich werde mir Eure Macht\nleihen, die Helden via Kontrakt an Euch\nbindet.\x0E\x04\x00\x00
MID_BT1_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x18\x12E003_Boss\x02b\n\x0E\x05\x01 \x12E003_Boss\nAngry\n\x0E\x03\x02\x14\x12E003_Boss\nUnser Emblem besitzt eine beträchtliche Macht.\nGebt auf – bevor es zu spät ist.\x0E\x04\x00\x00
MID_BT2_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x18\x12E003_Boss\x02b\n\x0E\x05\x01\x1C\x12E003_Boss\x06Sad\n\x0E\x03\x02\x14\x12E003_Boss\nWir alle werden so oder so sterben. Wir\nhätten niemals versuchen sollen...\x0E\x04\x00\x00
MID_BT3_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x18\x12E003_Hide\x02b\n\x0E\x05\x01 \x12E003_Hide\nSmile\n\x0E\x03\x02\x14\x12E003_Hide\nSei dankbar, dass du gegen mich kämpfen\ndarfst und nicht gegen meinen unfähigen Bru-\nder. Ich werde dir ein sauberes Ende bereiten.\x0E\x04\x00\x00
MID_BT4_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x18\x12E003_Hide\x02b\n\x0E\x05\x01\x1E\x12E003_Hide\x08Pain\n\x0E\x03\x02\x14\x12E003_Hide\nEs wäre niemals so weit gekommen... wenn\nich König wäre...\x0E\x04\x00\x00
MID_BT5_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x18\x12E003_Boss\x02b\n\x0E\x05\x01\x1E\x12E003_Boss\x08Pain\n\x0E\x03\x02\x14\x12E003_Boss\nIch wollte mir nie selbst auf dem Schlacht-\nfeld gegenüberstehen. Aber wie es scheint,\nist dies nun doch der Fall.\x0E\x04\x00\x00
MID_BT5_#002	\x0E\x03\x00\x12\x0Cディアマンド\x02t\n\x0E\x05\x01\x1A\x0Cディアマンド\nAngry\n\x0E\x03\x02\x0E\x0Cディアマンド\nWie kannst du mit solch einer Einstellung\nerwarten, jemals siegreich zu sein?\x0E\x04\x00\x00
MID_BT5_#003	\x0E\x05\x01\x1C\x12E003_Boss\x06Sad\n\x0E\x03\x02\x14\x12E003_Boss\nSelbst durch einen Sieg würde sich nichts\nändern. Ich habe keine Ahnung, wie man ein\nguter König ist.\x0E\x04\x00\x00
MID_BT5_#004	\x0E\x05\x01&\x12E003_Boss\x10Surprise\n\x0E\x05\x01\x1C\x0Cディアマンド\x0CStrike\n\x0E\x03\x02\x0E\x0Cディアマンド\nDann leg deine Waffe nieder. Wenn du dazu\nnicht in der Lage bist, muss es etwas geben,\ndas du verteidigen willst!\x0E\x04\x02\x00
MID_BT5_#005	Wenn du ein wahrer König bist, liefere mir einen\nwürdigen Kampf!\x0E\x04\x00\x00
MID_BT6_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x18\x12E003_Boss\x02b\n\x0E\x05\x01\x1E\x12E003_Boss\x08Pain\n\x0E\x03\x02\x14\x12E003_Boss\nAlcryst? Du willst gegen mich kämpfen? Ich\nwusste es. Du würdest mich niemals als König\nakzeptieren.\x0E\x04\x02\x00
MID_BT6_#002	\x0E\x05\x01\x1C\x12E003_Boss\x06Sad\nIch hatte den Verdacht, dass du schon lange\nmeine Ermordung planst. Nun ist die Zeit\ngekommen, nicht wahr?\x0E\x04\x00\x00
