MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クロエ\x021\n\x0E\x03\x00\x0A\x04ボネ\x022\n\x0E\x03\x02\x08\x06クロエ\nBitte, Bunet!\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x06\x04ボネ\nOb man es nun auf einem Porzellanteller oder\nin billigem Einwickelpapier serviert... Gutes\nEssen ist und bleibt gutes Essen.\x0E\x04\x00\x00
MID_RELIANCE_A_#025	\x0E\x03\x02\x06\x04ボネ\nDie Gerichte von Imbissbuden können dem\nSpeisenden ebenso viel Freude bringen wie die\ngehobene Küche.\x0E\x04\x00\x00
MID_RELIANCE_A_#026	\x0E\x03\x02\x08\x06クロエ\nSo ist es! Danke, Bunet!\x0E\x04\x00\x00
MID_RELIANCE_A_#027	\x0E\x03\x02\x06\x04ボネ\nNun gut... Was würdest du gerne als Nächstes\nprobieren?\x0E\x04\x00\x00
MID_RELIANCE_A_#028	\x0E\x03\x02\x08\x06クロエ\nDu meinst, du würdest noch mehr für mich\nzubereiten?!\x0E\x04\x00\x00
MID_RELIANCE_A_#029	\x0E\x03\x02\x06\x04ボネ\nWer Essen wahrhaftig liebt, dessen Ersuchen\nwerde ich niemals ablehnen.\x0E\x04\x00\x00
MID_RELIANCE_A_#030	\x0E\x03\x02\x08\x06クロエ\nWirklich? Das heißt, du würdest weitere\nImbissbudengerichte für mich-- Oh, ich bin so\nglücklich, mir kommen gleich die Tränen!\x0E\x04\x00\x00
MID_RELIANCE_A_#031	\x0E\x03\x02\x06\x04ボネ\nImmer mit der Ruhe. Weder ich noch meine\nSpeisen laufen dir davon.\x0E\x04\x00\x00
MID_RELIANCE_A_#032	\x0E\x03\x02\x08\x06クロエ\nJa, du hast recht. Ich werde mich erst einmal\nberuhigen und gründlich darüber nachdenken.\x0E\x04\x00\x00
MID_RELIANCE_A_#033	\x0E\x03\x02\x08\x06クロエ\nDas nächste Imbissbudengericht, das ich dich\nzubereiten lasse, wird geradezu legendär sein!\x0E\x04\x00\x00
