MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04ルイ\x021\n\x0E\x03\x00\x0E\x08ロサード\x022\n\x0E\x03\x02\x0A\x08ロサード\nWas ist los, Louis? Kannst dich wohl nicht an\nmir sattsehen, was?\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0A\x08ロサード\nIch möchte einfach ein Bild von dir und mir\nhaben, Louis.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0A\x08ロサード\nEine Art Andenken an meinen Freund, wenn er\nmal nicht bei mir ist.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x06\x04ルイ\nAch, Rosado... Wie lieb von dir!\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0A\x08ロサード\nHahaha, ich geb mir Mühe.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x06\x04ルイ\nWäre es dir recht, wenn ich eine Maske\naufsetzte?\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0A\x08ロサード\nEine Maske?! Nur weil ich sage, es geht mir bei\ndiesem Bild nicht so ums Aussehen, heißt das\nnicht, dass ich dein Gesicht nicht zeichnen will!\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x06\x04ルイ\nEs war ja bloß so ein Vorschlag...\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x0A\x08ロサード\nDeine Vorschläge kannst du für dich behalten.\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x0A\x08ロサード\nNormalerweise werden die Leute einfach rot\nund stimmen dann zu. Wieso bist du bloß so\nanders?\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x06\x04ルイ\nVergib mir. Es freut mich natürlich sehr, dass\nich Teil deines Kunstwerks sein darf, doch ist es\nmir auch ein wenig peinlich.\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x06\x04ルイ\nIch bin ja nicht wirklich, ähm... niedlich.\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x0A\x08ロサード\nDa muss ich dir widersprechen. Du bist äußerst\nniedlich. Besonders, wenn du in Verlegenheit\ngerätst.\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x0A\x08ロサード\nDas Bild soll eine Art Memento sein, auf das\nwir eines Tages zurückblicken können. Wenn du\nnicht willst, ist das aber auch in Ordnung.\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x0A\x08ロサード\nAber stell dir das nur mal vor! Ich, viele Jahre in\nder Zukunft... ein alter Mann, der sich nach\neinem Andenken an seinen Freund Louis sehnt...\x0E\x04\x00\x00
MID_RELIANCE_A_#025	\x0E\x03\x02\x06\x04ルイ\nNun gut. Meinem Freund und seiner\nLeidenschaft zuliebe werde ich mein Schicksal\nhinnehmen.\x0E\x04\x00\x00
MID_RELIANCE_A_#026	\x0E\x03\x02\x0A\x08ロサード\nDanke! Gut, halte eine Minute lang still.\nEs dauert auch nicht lange.\x0E\x04\x00\x00
MID_RELIANCE_A_#027	\x0E\x03\x02\x0A\x08ロサード\nIrgendwann werden wir uns an diesen Moment\nerinnern. Und dann haben wir direkt das\nperfekte Bild dazu!\x0E\x04\x00\x00
MID_RELIANCE_A_#028	\x0E\x03\x02\x06\x04ルイ\nWenn es dem Gedenken an unsere Freundschaft\ndient, so werde ich es mit Freuden erdulden.\x0E\x04\x00\x00
