MID_OP1_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cオルテンシア\x021\n\x0E\x03\x00\x10\nスフォリア\x023\n\x0E\x03\x00\x10\nミスティラ\x024\n\x0E\x03\x00\x0E\x08リュール\x022\n\x0E\x03\x02\x0A\x08リュール\nKönigin Seforia!\x0E\x04\x00\x00
MID_OP1_#012	\x0E\x03\x02\x0E\x0Cオルテンシア\nIvy! Lange nicht gesehen. Weißt du, ich dachte,\ndu seist tot.\x0E\x04\x02\x00
MID_OP1_#013	Ich war so erleichtert, als ich hörte, dass du\nlebst. Aber was soll das? Was machst du bei\ndenen?\x0E\x04\x00\x00
MID_OP1_#014	\x0E\x03\x02\x0A\x08アイビー\nNun, ich...\x0E\x04\x00\x00
MID_OP1_#015	\x0E\x03\x02\x0E\x0Cオルテンシア\nSeit Vater sich geopfert hat, arbeitet Elusia mit\nLord Sombron zusammen.\x0E\x04\x02\x00
MID_OP1_#016	Aber du? Du hast uns verlassen, mich\nverlassen, und dich mit dem Feind verbrüdert.\x0E\x04\x02\x00
MID_OP1_#017	Du bist eine Verräterin, Ivy. Eine stinkende\nVerräterin!\x0E\x04\x00\x00
MID_OP1_#018	\x0E\x03\x02\x0A\x08アイビー\nIch habe niemanden verraten. Hortensia, bitte,\nhör mich an.\x0E\x04\x00\x00
MID_OP1_#019	\x0E\x03\x02\x0E\x0Cオルテンシア\nIch will kein Wort mehr aus deinem dreckigen,\nverräterischen Mund hören! Gebt mir einfach\ndie Ringe.\x0E\x04\x00\x00
MID_OP1_#020	\x0E\x03\x02\x0A\x08リュール\n...\x0E\x04\x02\x00
MID_OP1_#021	Nein, Hortensia. Niemals.\x0E\x04\x00\x00
MID_OP1_#022	\x0E\x03\x02\x0E\x0Cオルテンシア\nEntschuldigung, war ich nicht deutlich genug?\nHer damit, oder ich töte die Königin!\x0E\x04\x00\x00
MID_OP1_#023	\x0E\x03\x02\x0A\x08リュール\nIch habe dich verstanden. Aber ich werde nicht\ntun, was du verlangst.\x0E\x04\x02\x00
MID_OP1_#024	Ich würde alles, was sie, Timerra, Fogado\nund das Volk von Solm erreicht haben,\nwegwerfen.\x0E\x04\x02\x00
MID_OP1_#025	Also: Nein, ich gebe dir die Ringe nicht. Und\nich lasse nicht zu, dass du Königin Seforia\ntötest.\x0E\x04\x00\x00
MID_OP1_#026	\x0E\x03\x02\x0E\x0Cオルテンシア\nHngh.\x0E\x04\x00\x00
MID_OP1_#027	\x0E\x03\x01\x0A\x08アイビー\n\x0E\x03\x00\x10\nミスティラ\x022\n\x0E\x03\x02\x0C\nミスティラ\nIch stimme \x0E\x0A\x008\x18dem Wyrmgott\x1Cder Wyrmgöttin zu. Diese Ringe\nbleiben bei uns.\x0E\x04\x02\x00
MID_OP1_#028	\x0E\x03\x00\x0E\x08リュール\x024\n\x0E\x03\x02\x0A\x08リュール\nGenau.\x0E\x04\x00\x00
MID_OP1_#029	\x0E\x03\x02\x0C\nミスティラ\nWenn wir zulassen, dass der Dämonendrache\nsie bekommt, sind mein Land und mein Volk\ndem Untergang geweiht.\x0E\x04\x02\x00
MID_OP1_#030	Also droht, so viel Ihr wollt. Nehmt meine ganze\nFamilie als Geiseln, wenn es Euch glücklich\nmacht.\x0E\x04\x02\x00
MID_OP1_#031	Aber ich stehe für Solm ein – so, wie ich es\nimmer tun werde.\x0E\x04\x00\x00
MID_OP1_#032	\x0E\x03\x02\x0C\nスフォリア\nDa ist sie, die zukünftige Königin von Solm.\nUnd \x0E\x0A\x00@\x1Eihr Verbündeter\x1Eihre Verbündete, \x0E\x0A\x00\x10\x06der\x06die \x0E\x0A\x00(\x10Wyrmgott\x14Wyrmgöttin.\x0E\x04\x00\x00
MID_OP1_#033	\x0E\x03\x02\x0E\x0Cオルテンシア\nWas ist denn mit Euch los? Das ist Eure\nMutter! Ihr solltet Angst um sie haben!\x0E\x04\x02\x00
MID_OP1_#034	Heult schon! Winselt und bettelt um ihr Leben!\nGebt mir, was ich will!\x0E\x04\x02\x00
MID_OP1_#035	Nein – was ich brauche. Ich brauche die Ringe.\nNur so kann ich Vater wieder zurückholen.\x0E\x04\x00\x00
MID_OP1_#036	\x0E\x03\x01\x0A\x08リュール\n\x0E\x03\x00\x0E\x08アイビー\x024\n\x0E\x03\x02\x0A\x08アイビー\nHortensia... Er ist fort. Der Dämonendrache hat\nihn ermordet. Du hast es doch selbst gesehen.\x0E\x04\x02\x00
MID_OP1_#037	Du kannst ihn nicht zurückholen, selbst mit den\nRingen nicht.\x0E\x04\x00\x00
MID_OP1_#038	\x0E\x03\x02\x0E\x0Cオルテンシア\nDas weißt du doch gar nicht! Ich muss es\nversuchen! Ich muss Vater und Elusia retten!\x0E\x04\x02\x00
MID_OP1_#039	Alles ist so falsch. Ich will, das es wieder so\nwird, wie es mal war!\x0E\x04\x00\x00
MID_OP1_#040	\x0E\x03\x02\x0A\x08アイビー\nIch weiß, wie du dich fühlst.\x0E\x04\x00\x00
MID_OP1_#041	\x0E\x03\x02\x0E\x0Cオルテンシア\nNein! Raus aus meinem Kopf, klar? Ich bringe\nsie um! Ich tu's!\x0E\x04\x00\x00
MID_OP1_#042	\x0E\x03\x01\x0C\nミスティラ\n\x0E\x03\x00\x0E\x08リュール\x022\n\x0E\x03\x02\x0A\x08リュール\nIch glaube nicht, dass du das tun wirst.\x0E\x04\x02\x00
MID_OP1_#043	Nicht, wenn du den Schmerz kennst, einen\nElternteil zu verlieren.\x0E\x04\x00\x00
MID_OP1_#044	\x0E\x03\x02\x0E\x0Cオルテンシア\n...\x0E\x04\x00\x00
MID_OP1_#045	\x0E\x03\x02\x0C\nスフォリア\nWas jetzt? Nun mach schon, wenn es das ist,\nwas du wirklich willst. Ziehen wir das jetzt\ndurch oder nicht?\x0E\x04\x00\x00
MID_OP1_#046	\x0E\x03\x02\x0E\x0Cオルテンシア\nIch... Ich...\x0E\x04\x02\x00
MID_OP1_#047	Whaaa!\x0E\x04\x00\x00
MID_OP1_#048	\x0E\x03\x02\x0A\x08リュール\nSie braucht jetzt ihre Schwester.\x0E\x04\x00\x00
MID_OP1_#049	\x0E\x03\x02\x0A\x08アイビー\nEs ist alles gut, Hortensia. Oh, ich habe mir\nsolche Sorgen um dich gemacht.\x0E\x04\x00\x00
MID_OP1_#050	\x0E\x03\x02\x0E\x0Cオルテンシア\nIvy...\x0E\x04\x00\x00
MID_OP2_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cオルテンシア\x021\n\x0E\x03\x00\x0E\x08アイビー\x024\n\x0E\x03\x00\x0E\x08リュール\x022\n\x0E\x03\x00\x0C\x06セピア\x023\n\x0E\x03\x02\x08\x06セピア\nIch fürchte, ich muss die Wiedervereinigung\nhiermit abbrechen.\x0E\x04\x00\x00
MID_OP2_#002	\x0E\x03\x02\x0A\x08リュール\nZephia. Was macht Ihr denn hier?\x0E\x04\x00\x00
MID_OP2_#003	\x0E\x03\x02\x08\x06セピア\nIch habe dich auch vermisst, \x0E\x0A\x00*\x14Göttlicher\x12Göttliche. Ich\nmuss dir dafür danken, dass du uns geholfen\nhast, so viele Ringe zu sammeln.\x0E\x04\x02\x00
MID_OP2_#004	Alle – dachte ich jedenfalls. Bis der Diebstahl\nder Kronprinzessin, oder vielmehr der einstigen\nKronprinzessin, ans Licht kam.\x0E\x04\x00\x00
MID_OP2_#005	\x0E\x03\x02\x0A\x08アイビー\nHmpf.\x0E\x04\x00\x00
MID_OP2_#006	\x0E\x03\x02\x08\x06セピア\nGenug davon. Wichtiger jedoch...\nPrinzessin Hortensia.\x0E\x04\x00\x00
MID_OP2_#007	\x0E\x03\x02\x0E\x0Cオルテンシア\n...?\x0E\x04\x00\x00
MID_OP2_#008	\x0E\x03\x02\x08\x06セピア\nEinen Ring ohne Erlaubnis an sich zu nehmen?\nSich fortzuschleichen zu einem Ort wie diesem?\nWie ungezogen!\x0E\x04\x02\x00
MID_OP2_#009	Ich dachte, die Befehle von Lord Sombron und\nMilady Veyle waren eindeutig – warten,\nbeobachten.\x0E\x04\x02\x00
MID_OP2_#010	Oh, übrigens: Deine Getreuen? Sie wollten uns\nunterwegs aufhalten. Und sind gescheitert.\x0E\x04\x00\x00
MID_OP2_#011	\x0E\x03\x02\x0E\x0Cオルテンシア\nWo sind sie? Was habt Ihr mit Goldmary und\nRosado gemacht?\x0E\x04\x00\x00
MID_OP2_#012	\x0E\x03\x02\x08\x06セピア\nDas wirst du gleich selbst sehen. Nun, eigentlich\nwollten wir nicht so früh unseren Zug machen.\x0E\x04\x02\x00
MID_OP2_#013	Aber wo wir schon mal hier sind, wäre es eine\nSchande, ohne ein paar hübsche Souvenirs\nnach Hause zurückzukehren.\x0E\x04\x02\x00
MID_OP2_#014	Marni? Mauvier? Meint ihr nicht auch?\x0E\x04\x00\x00
MID_OP3_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x022\n\x0E\x03\x00\x0E\x08アイビー\x024\n\x0E\x03\x02\x0A\x08リュール\nNoch mehr Bluthunde.\x0E\x04\x00\x00
MID_OP3_#002	\x0E\x03\x00\x0C\x06モーヴ\x021\n\x0E\x03\x00\x0C\x06マロン\x023\n\x0E\x03\x02\x08\x06モーヴ\nIch hätte nicht gedacht, dass es so leicht sein\nwürde, in den uneinnehmbaren Palast von Solm\nzu kommen.\x0E\x04\x00\x00
MID_OP3_#003	\x0E\x03\x02\x08\x06マロン\nZephia, was tun wir mit der Königin? Sollen wir\nsie töten? Sie nutzt uns ja nichts mehr.\x0E\x04\x00\x00
MID_OP3_#004	\x0E\x03\x01\x08\x06モーヴ\n\x0E\x03\x00\x0C\x06セピア\x021\n\x0E\x03\x02\x08\x06セピア\nNein. Lord Sombron wird jeden Tropfen\nköniglichen Blutes genießen wollen.\x0E\x04\x00\x00
MID_OP3_#005	\x0E\x03\x02\x08\x06マロン\nAh! Hahaha, ich verstehe.\x0E\x04\x00\x00
MID_OP4_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x022\n\x0E\x03\x00\x0E\x08アイビー\x024\n\x0E\x03\x00\x0C\x06セピア\x021\n\x0E\x03\x02\x0A\x08リュール\nKönigin Seforia!\x0E\x04\x00\x00
MID_OP4_#002	\x0E\x03\x00\x12\x0Cオルテンシア\x023\n\x0E\x03\x02\x08\x06セピア\nWas für ein liebes Mädchen du bist, Prinzessin\nHortensia... Hierherzukommen, um für Lord\nSombron die Ringe zu holen.\x0E\x04\x02\x00
MID_OP4_#003	Nun, da wir drei hier sind... Warum helfen wir\nnicht, das zu beenden, was du angefangen hast?\x0E\x04\x02\x00
MID_OP4_#004	Wir können sie alle töten und zurück nach\nElusia gehen. Was meinst du?\x0E\x04\x00\x00
MID_OP4_#005	\x0E\x03\x02\x0E\x0Cオルテンシア\nAber... Aber ich...\x0E\x04\x00\x00
MID_OP4_#006	\x0E\x03\x02\x08\x06セピア\nKomm, meine Liebe. Gib den Befehl.\x0E\x04\x02\x00
MID_OP4_#007	Denk doch nur. Mit ihren Ringen werden wir so\nnahe dran sein, alle zwölf zu versammeln.\x0E\x04\x00\x00
MID_OP4_#008	\x0E\x03\x02\x0E\x0Cオルテンシア\nSo nah... Nur noch ein paar Ringe...\x0E\x04\x00\x00
MID_OP4_#009	\x0E\x03\x02\x0A\x08リュール\nHortensia? Was ist los?\x0E\x04\x00\x00
MID_OP4_#010	\x0E\x03\x02\x0E\x0Cオルテンシア\nMit allen Ringen wird Vater...\x0E\x04\x00\x00
MID_OP4_#011	\x0E\x03\x02\x08\x06セピア\nGenau das. König Hyacinth wird wiedererweckt\nwerden. Wir machen alles so, wie es früher\neinmal war.\x0E\x04\x00\x00
MID_OP4_#012	\x0E\x03\x02\x0E\x0Cオルテンシア\nWie es früher einmal... war...\x0E\x04\x02\x00
MID_OP4_#013	\x0E\x03\x01\x0E\x0Cオルテンシア\n\x0E\x03\x00\x1C\x16M014_オルテンシア\x023\n\x0E\x03\x02\x18\x16M014_オルテンシア\n...\x0E\x04\x02\x00
MID_OP4_#014	Ich werde sie alle töten. Ich werde ihre Ringe\nnehmen. Die einzige Möglichkeit Vater zu retten.\x0E\x04\x00\x00
MID_OP4_#015	\x0E\x03\x02\x0A\x08リュール\nWill sie wirklich gegen uns kämpfen?\x0E\x04\x00\x00
MID_OP4_#016	\x0E\x03\x02\x0A\x08アイビー\nHortensia, reiß dich zusammen. Bitte! Hortensia!\x0E\x04\x00\x00
MID_OP4_#017	\x0E\x03\x02\x08\x06セピア\nIch fürchte, sie kann dich nicht hören. Und jetzt\ngenießt es schön, euch gegenseitig zu töten, ja?\x0E\x04\x00\x00
MID_EV1_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x1C\x16M014_オルテンシア\x02b\n\x0E\x05\x01"\x16M014_オルテンシア\x08Pain\n\x0E\x03\x02\x18\x16M014_オルテンシア\nIch werde Euch besiegen. Es ist die einzige\nMöglichkeit, um... Argh! Aaah!\x0E\x04\x00\x00
MID_EV1_#002	\x0E\x03\x00\x0E\x08リュール\x02t\n\x0E\x05\x01\x1C\x08リュール\x10Surprise\n\x0E\x03\x02\x0A\x08リュール\nDas Emblem wird von der Energie des\nDämonendrachen durchströmt!\x0E\x04\x02\x00
MID_EV1_#003	\x0E\x05\x01\x16\x08リュール\nAngry\nVorsicht, alle zusammen.\x0E\x04\x00\x00
MID_BT1_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x1C\x16M014_オルテンシア\x02b\n\x0E\x05\x01&\x16M014_オルテンシア\x0CStatus\n\x0E\x03\x02\x18\x16M014_オルテンシア\nIch muss die Ringe haben. Ich muss Vater\nretten.\x0E\x04\x00\x00
MID_BT2_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x0E\x08アイビー\x02t\n\x0E\x05\x01\x14\x08アイビー\x08Pain\n\x0E\x03\x02\x0A\x08アイビー\nHortensia, bitte! Komm zu dir!\x0E\x04\x00\x00
MID_BT2_#002	\x0E\x03\x00\x1C\x16M014_オルテンシア\x02b\n\x0E\x05\x01"\x16M014_オルテンシア\x08Pain\n\x0E\x03\x02\x18\x16M014_オルテンシア\nWarum bekämpfst du mich, Ivy? Ich will doch\nnur Vater zurückbringen. Vermisst du ihn denn\ngar nicht?\x0E\x04\x00\x00
MID_BT2_#003	\x0E\x05\x01\x1A\x08アイビー\x0EStandBy\n\x0E\x03\x02\x0A\x08アイビー\nAber natürlich. So sehr, dass mein Herz nie\nheilen wird. Genau deswegen will ich dich nicht\nauch noch verlieren.\x0E\x04\x00\x00
MID_BT3_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x1C\x16M014_オルテンシア\x02b\n\x0E\x05\x01"\x16M014_オルテンシア\x08Pain\n\x0E\x03\x02\x18\x16M014_オルテンシア\nWieso läuft nie etwas so, wie ich es will?\x0E\x04\x00\x00
MID_BT4_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x16\x10M014_セピア\x02b\n\x0E\x05\x01\x1E\x10M014_セピア\nRelax\n\x0E\x03\x02\x12\x10M014_セピア\nDie gestohlenen Ringe. Ihr werdet sie zurück-\ngeben, nicht wahr?\x0E\x04\x00\x00
MID_BT5_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x16\x10M014_セピア\x02b\n\x0E\x05\x01\x1E\x10M014_セピア\nSmile\n\x0E\x03\x02\x12\x10M014_セピア\nSieh an, meine Lieblingseidechse! Wie gefällt dir\ndein Aufenthalt in Solm?\x0E\x04\x02\x00
MID_BT5_#002	Keine Sorge, deine Freunde sind bei mir gut\naufgehoben. Sigurd, Celica, Micaiah... Marth.\x0E\x04\x00\x00
MID_BT5_#003	\x0E\x03\x00\x0E\x08リュール\x02t\n\x0E\x05\x01\x18\x08リュール\x0CStrike\n\x0E\x03\x02\x0A\x08リュール\nIhr...\x0E\x04\x00\x00
MID_BT5_#004	\x0E\x05\x01 \x10M014_セピア\x0CStrike\n\x0E\x03\x02\x12\x10M014_セピア\nOh, wolltest du sie etwa sehen? Zu schade,\ndass ich sie nicht mitgebracht habe.\x0E\x04\x02\x00
MID_BT5_#005	\x0E\x05\x01\x1E\x10M014_セピア\nSmile\nIch konnte ja nicht zulassen, dass du sie dir\nschnappst, nicht wahr?\x0E\x04\x00\x00
MID_BT6_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x16\x10M014_セピア\x02b\n\x0E\x05\x01\x1C\x10M014_セピア\x08Pain\n\x0E\x03\x02\x12\x10M014_セピア\nDas wäre ja auch sonst zu leicht gewesen,\nschätze ich. Wir sehen uns bald genug wieder.\x0E\x04\x00\x00
MID_BT7_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x16\x10M014_マロン\x02b\n\x0E\x05\x01 \x10M014_マロン\x0CStrike\n\x0E\x03\x02\x12\x10M014_マロン\nDer Palast von Solm ist ja schon richtig hübsch.\nEin schöneres Grab, als Ihr verdient!\x0E\x04\x00\x00
MID_BT8_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x16\x10M014_マロン\x02b\n\x0E\x05\x01\x1C\x10M014_マロン\x08Pain\n\x0E\x03\x02\x12\x10M014_マロン\nDer Boden ist so rutschig! Das ist der einzige\nGrund, warum ich verloren habe! Ich gehe nach\nHause!\x0E\x04\x00\x00
MID_BT9_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x16\x10M014_モーヴ\x02b\n\x0E\x05\x01\x1E\x10M014_モーヴ\nAngry\n\x0E\x03\x02\x12\x10M014_モーヴ\nEure Armee ist kein leichter Gegner. Aus\nRespekt vor Euch werde ich alles geben,\nwas ich habe.\x0E\x04\x00\x00
MID_BT10_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x16\x10M014_モーヴ\x02b\n\x0E\x05\x01\x1C\x10M014_モーヴ\x08Pain\n\x0E\x03\x02\x12\x10M014_モーヴ\nDie Befehle sagten nicht, dass ich sterben soll.\nLebt wohl.\x0E\x04\x00\x00
MID_ED1_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cオルテンシア\x023\n\x0E\x03\x00\x0E\x08アイビー\x024\n\x0E\x03\x02\x0E\x0Cオルテンシア\nIvy, was... ist passiert?\x0E\x04\x00\x00
MID_ED1_#002	\x0E\x03\x02\x0A\x08アイビー\nOh, du bist wieder zu mir zurückgekommen!\nDen Himmeln sei Dank.\x0E\x04\x00\x00
MID_ED1_#003	\x0E\x03\x02\x0E\x0Cオルテンシア\nWo sind die ganzen elusianischen Soldaten?\x0E\x04\x00\x00
MID_ED1_#004	\x0E\x03\x00\x0E\x08リュール\x022\n\x0E\x03\x02\x0A\x08リュール\nSie haben sich zurückgezogen.\x0E\x04\x00\x00
MID_ED1_#005	\x0E\x03\x02\x0E\x0Cオルテンシア\nIch sollte mit ihnen gehen...\x0E\x04\x00\x00
MID_ED1_#006	\x0E\x03\x02\x0A\x08リュール\nNein. Das ist nicht sicher. Zephia könnte wieder\ndie Kontrolle über dich übernehmen.\x0E\x04\x00\x00
MID_ED1_#007	\x0E\x03\x02\x0E\x0Cオルテンシア\nAber ich war die letzte verbleibende Person\nin Schloss Elusia. Ohne mich ist das Land\nohne Führung.\x0E\x04\x02\x00
MID_ED1_#008	Niemand kann sich dann noch um das Land\nkümmern, das Vater hinterlassen hat...\x0E\x04\x00\x00
MID_ED1_#009	\x0E\x03\x02\x0A\x08アイビー\nDas ist wahr... Aber das liegt nicht in unseren\nHänden.\x0E\x04\x00\x00
MID_ED1_#010	\x0E\x03\x02\x0E\x0Cオルテンシア\nWie kannst du so etwas sagen? Interessiert dich\nElusia denn gar nicht?\x0E\x04\x00\x00
MID_ED1_#011	\x0E\x03\x02\x0A\x08アイビー\nNatürlich tut es das. Ich hätte gerne mein\nLeben gegeben, um unser Königreich\nzu beschützen.\x0E\x04\x02\x00
MID_ED1_#012	Aber es ist nicht mehr unser Königreich,\nsondern das des Dämonendrachen.\nDas musst du doch erkennen.\x0E\x04\x00\x00
MID_ED1_#013	\x0E\x03\x02\x0E\x0Cオルテンシア\n...\x0E\x04\x00\x00
MID_ED1_#014	\x0E\x03\x02\x0A\x08リュール\nPrinzessin Ivy...\x0E\x04\x00\x00
MID_ED1_#015	\x0E\x03\x02\x0A\x08アイビー\nIch wollte es nicht wahrhaben, aber Vater hörte\nauf, König zu sein, als der Dämonendrache\nerwachte.\x0E\x04\x02\x00
MID_ED1_#016	Seit damals schon lag die wahre Macht bei\nSombron, seiner Tochter und den Vier\nBluthunden.\x0E\x04\x02\x00
MID_ED1_#017	Wenn du jetzt zurückgehst, wirst du nur eine\nihrer Marionetten werden. Genau wie Vater.\x0E\x04\x00\x00
MID_ED1_#018	\x0E\x03\x02\x0E\x0Cオルテンシア\nIch...\x0E\x04\x00\x00
MID_ED1_#019	\x0E\x03\x02\x0A\x08アイビー\nIch will auch nach Hause gehen. Du glaubst\ngar nicht, wie sehr.\x0E\x04\x02\x00
MID_ED1_#020	Aber es gibt kein Zuhause, in das wir zurück-\nkehren könnten, bis wir den Dämonendrachen\nbesiegt haben.\x0E\x04\x02\x00
MID_ED1_#021	Nachdem wir zuließen, dass Vater seine Macht\nan Sombron übergab, schulden wir unserem\nVolk nichts Geringeres.\x0E\x04\x00\x00
MID_ED1_#022	\x0E\x03\x02\x0E\x0Cオルテンシア\n...\x0E\x04\x02\x00
MID_ED1_#023	Das Schloss. Mein einziges Zuhause, seit ich\nklein war... Wir können wirklich nicht mehr\nzurück, richtig?\x0E\x04\x00\x00
MID_ED1_#024	\x0E\x03\x02\x0A\x08アイビー\nNein... Können wir nicht.\x0E\x04\x00\x00
MID_ED1_#025	\x0E\x03\x02\x0E\x0Cオルテンシア\nDie kleine Ecke, in der ich mit meinen Freunden\nTee trank. Der Garten, in dem wir beide\nzusammen gelesen haben...\x0E\x04\x02\x00
MID_ED1_#026	Selbst Rosado und Goldmary. Ich habe alles\nund jeden zurückgelassen.\x0E\x04\x02\x00
MID_ED1_#027	In Ordnung, Ivy. Ich schließe mich diesem\nKampf an. Damit die Dinge eines Tages wieder\nso sind, wie sie waren.\x0E\x04\x00\x00
MID_ED1_#028	\x0E\x03\x02\x0A\x08アイビー\nDanke, Hortensia.\x0E\x04\x00\x00
MID_ED1_#029	\x0E\x03\x02\x0E\x0Cオルテンシア\nEs... tut mir wirklich leid. Alles, was ich getan\nhabe. \x0E\x0A\x00*\x14Göttlicher\x12Göttliche, Ihr solltet dies haben.\x0E\x04\x00\x00
MID_ED1_#030	\x0E\x03\x02\x0A\x08リュール\nDer Ring des Magisters. Einer der Ringe, die aus\nLythos gestohlen wurden. Danke, dass Ihr ihn\nzurückgebt.\x0E\x04\x00\x00
MID_ED1_#031	\x0E\x03\x02\x0E\x0Cオルテンシア\nDankt mir nicht zu sehr. Ich hatte eigentlich\nnicht vor, ihn Euch zu überreichen.\x0E\x04\x00\x00
MID_ED1_#032	\x0E\x03\x02\x0A\x08リュール\nTrotzdem danke.\x0E\x04\x00\x00
MID_ED1_#033	Lehre uns, Emblem der Akademie!\x0E\x04\x00\x00
MID_ED2_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06ベレト\x021\n\x0E\x03\x00\x0E\x08リュール\x022\n\x0E\x03\x02\x08\x06ベレト\nIch bin Emblem Byleth. Es fühlt sich an, als sei\nich gerade aus einem sehr langen Traum\nerwacht...\x0E\x04\x02\x00
MID_ED2_#002	Ich bin froh, dort zu sein, wo ich hingehöre – an\nEurer Seite. Verwendet meine Macht, um alle zu\nführen.\x0E\x04\x00\x00
MID_ED2_#003	\x0E\x03\x02\x0A\x08リュール\nDas werde ich. Danke, Emblem Byleth.\x0E\x04\x00\x00
MID_ED3_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nスフォリア\x021\n\x0E\x03\x00\x0E\x08リュール\x022\n\x0E\x03\x02\x0C\nスフォリア\nAlso, wie geht es allen?\x0E\x04\x00\x00
MID_ED3_#002	\x0E\x03\x02\x0A\x08リュール\nKönigin Seforia, Ihr seid wohlauf!\x0E\x04\x00\x00
MID_ED3_#003	\x0E\x03\x02\x0C\nスフォリア\nDas bin ich. Elusianische Soldaten wollten\nmich verschleppen, doch ich wurde gerade\nrechtzeitig gerettet.\x0E\x04\x00\x00
MID_ED3_#004	\x0E\x03\x00\x10\nミスティラ\x023\n\x0E\x03\x02\x0C\nミスティラ\nWir haben sie besiegt.\x0E\x04\x00\x00
MID_ED3_#005	\x0E\x03\x00\x12\x0Cディアマンド\x024\n\x0E\x03\x02\x0E\x0Cディアマンド\nAlfred und ich wollten helfen.\x0E\x04\x00\x00
MID_ED3_#006	\x0E\x03\x01\x0E\x0Cディアマンド\n\x0E\x03\x00\x12\x0Cアルフレッド\x024\n\x0E\x03\x02\x0E\x0Cアルフレッド\nDoch bis wir unsere Waffen gezogen hatten,\nwar der Kampf schon vorbei.\x0E\x04\x00\x00
MID_ED3_#007	\x0E\x03\x02\x0C\nミスティラ\nHahaha, das ist eben die solmer Palastwache.\nNicht schlecht, hm?\x0E\x04\x00\x00
MID_ED3_#008	\x0E\x03\x02\x0A\x08リュール\nIch bin nur froh, dass es der Königin gut geht.\nGut gemacht, alle zusammen.\x0E\x04\x00\x00
MID_ED3_#009	\x0E\x03\x02\x0C\nスフォリア\nSelber gut gemacht. Keine Feinde mehr zu\nsehen. Mein Palast ist frei von ihnen.\x0E\x04\x02\x00
MID_ED3_#010	\x0E\x0A\x00*\x14Göttlicher\x12Göttliche, habt Dank dafür, dass Ihr die Ringe\nund meine Familie mit solchem Mut beschützt\nhabt.\x0E\x04\x02\x00
MID_ED3_#011	Wie Ihr spracht, der Ausdruck in Euren Augen...\nIhr wart wahrlich ein Abbild Königin Lumeras.\x0E\x04\x00\x00
MID_ED3_#012	\x0E\x03\x02\x0A\x08リュール\n...\x0E\x04\x02\x00
MID_ED3_#013	Eure Worte bedeuten mir viel... Ich danke Euch.\x0E\x04\x00\x00
