MID_OP1_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06セピア\x021\n\x0E\x03\x00\x0C\x06マロン\x022\n\x0E\x03\x00\x0A\x04グリ\x023\n\x0E\x03\x00\x0C\x06モーヴ\x024\n\x0E\x03\x02\x08\x06セピア\nWas?\x0E\x04\x02\x00
MID_EV2_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x0E\x08リュール\x02t\n\x0E\x05\x01\x1C\x08リュール\x10Surprise\n\x0E\x03\x02\x0A\x08リュール\nEr ist verschwunden. Griss muss Emblem\nCelicas Macht nutzen.\x0E\x04\x02\x00
MID_EV2_#002	\x0E\x05\x01\x16\x08リュール\nAngry\nEr versteckt sich wahrscheinlich in den\nSchatten. Seid vorsichtig.\x0E\x04\x00\x00
MID_EV3_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x0E\x08リュール\x02t\n\x0E\x05\x01\x1C\x08リュール\x10Surprise\n\x0E\x03\x02\x0A\x08リュール\nSchon wieder? Wo ist er hin?\x0E\x04\x00\x00
MID_EV4_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x14\x0EM020_グリ\x02b\n\x0E\x05\x01\x1C\x0EM020_グリ\nSmile\n\x0E\x03\x02\x10\x0EM020_グリ\nHabt ihr das Versteckspiel satt? Ich auch!\nLos – lassen wir alle Grausamkeit raus!\x0E\x04\x00\x00
MID_EV5_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x14\x0EM020_グリ\x02b\n\x0E\x05\x01\x1E\x0EM020_グリ\x0CStatus\n\x0E\x03\x02\x10\x0EM020_グリ\nOh, Celly! Du kannst es kaum erwarten, was?\nLass alles raus!\x0E\x04\x00\x00
MID_EV6_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x14\x0EM020_グリ\x02b\n\x0E\x05\x01 \x0EM020_グリ\x0EStandBy\n\x0E\x03\x02\x10\x0EM020_グリ\nHehehe! Das fühlt sich gut an! So gut! Ich\nwerde euch töten! Euch alle!\x0E\x04\x00\x00
MID_BT1_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x14\x0EM020_グリ\x02b\n\x0E\x05\x01 \x0EM020_グリ\x0EStandBy\n\x0E\x03\x02\x10\x0EM020_グリ\nAlso, wie sieht der Plan aus? Wollt ihr mich\nabstechen? Verprügeln? In Stücke reißen?!\x0E\x04\x00\x00
MID_BT2_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x14\x0EM020_グリ\x02b\n\x0E\x05\x01\x1E\x0EM020_グリ\x0CStatus\n\x0E\x03\x02\x10\x0EM020_グリ\nWelche Schmerzen hättest du gerne, \x0E\x0A\x00*\x14Göttlicher\x12Göttliche?\nIch mache es allen recht.\x0E\x04\x00\x00
MID_BT2_#002	\x0E\x03\x00\x0E\x08リュール\x02t\n\x0E\x05\x01\x16\x08リュール\nAngry\n\x0E\x03\x02\x0A\x08リュール\nGib mir den Ring, Griss.\x0E\x04\x00\x00
MID_BT2_#003	\x0E\x03\x02\x10\x0EM020_グリ\nHehehe! Du ignorierst mich? Oh, das verletzt\nmeine Gefühle.\x0E\x04\x02\x00
MID_BT2_#004	\x0E\x05\x01\x1C\x0EM020_グリ\nSmile\nNa gut, ich gebe dir den Ring. Sobald ich\ngenug habe!\x0E\x04\x00\x00
MID_BT3_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x14\x0EM020_グリ\x02b\n\x0E\x05\x01\x1C\x0EM020_グリ\nSmile\n\x0E\x03\x02\x10\x0EM020_グリ\nHehehe! So gefällt mir das...\x0E\x04\x00\x00
MID_ED1_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x022\n\x0E\x03\x00\x0A\x04グリ\x021\n\x0E\x03\x02\x0A\x08リュール\nDer Ring! Wir haben ihn zurück!\x0E\x04\x00\x00
MID_ED1_#002	\x0E\x03\x02\x06\x04グリ\nHehehe.\x0E\x04\x00\x00
MID_ED1_#003	\x0E\x03\x02\x0A\x08リュール\nWas gibt es da zu lachen?\x0E\x04\x00\x00
MID_ED1_#004	\x0E\x03\x02\x06\x04グリ\nGar nichts.\x0E\x04\x02\x00
MID_ED1_#005	Beschwöre sie lieber. Du willst sie doch von\nLord Sombrons Macht befreien?\x0E\x04\x00\x00
MID_ED1_#006	\x0E\x03\x02\x0A\x08リュール\nIch weiß.\x0E\x04\x02\x00
MID_ED1_#007	Stehe uns bei, Emblem von Echoes!\x0E\x04\x00\x00
MID_ED1_#008	\x0E\x03\x02\x06\x04グリ\n...\x0E\x04\x00\x00
MID_ED2C_#001	\x0E\x02\x00\x10\x0EDefault\n\x0E\x03\x00\x0E\x08リュール\x022\n\x0E\x03\x00\x0C\x06セリカ\x021\n\x0E\x03\x02\x08\x06セリカ\nVielen Dank, \x0E\x06\x03\x00!\x0E\x04\x00\x00
MID_ED2C_#002	\x0E\x03\x02\x0A\x08リュール\nEmblem Celica, ich bin sehr erleichtert,\nEuch zurückzuhaben.\x0E\x04\x00\x00
MID_ED2C_#003	\x0E\x03\x01\x08\x06セリカ\n\x0E\x03\x00\x0A\x04グリ\x021\n\x0E\x03\x02\x06\x04グリ\nHahaha... Ahahahaha!\x0E\x04\x00\x00
MID_ED2C_#004	\x0E\x03\x02\x0A\x08リュール\n...\x0E\x04\x00\x00
MID_ED2C_#005	\x0E\x03\x02\x06\x04グリ\nOh, Mann. Ist das nicht alles zum Totlachen?\x0E\x04\x02\x00
MID_ED2C_#006	Zephia, es ist genau, wie du vorhergesagt hast!\x0E\x04\x00\x00
MID_ED2C_#007	\x0E\x03\x02\x0A\x08リュール\nDu hast offenbar den Verstand verloren.\x0E\x04\x00\x00
MID_ED2C_#008	\x0E\x03\x02\x06\x04グリ\nWas für ein überhebliches Gefasel.\x0E\x04\x02\x00
MID_ED2C_#008_2	\x0E\x03\x02\x06\x04グリ\n„Du hast offenbar den Verstand verloren.“\nWirklich süß.\x0E\x04\x02\x00
MID_ED2C_#009	Die wahre Frage ist doch, ob DU den Verstand\nverloren hast! Du tust so, als seist du \x0E\x0A\x00\x12\x06ein\x08eine\n\x0E\x0A\x00\x18\x08Gott\x0CGöttin. Aber du kämpfst auf der falschen Seite.\x0E\x04\x02\x00
MID_ED2C_#010	Was glotzt du mich so dämlich an?\x0E\x04\x02\x00
MID_ED2C_#010_2	Du hältst dich für \x0E\x0A\x00>\x1Ceinen Wyrmgott\x1Eeine Wyrmgöttin?\nDann sag ich dir jetzt mal was.\x0E\x04\x02\x00
MID_ED2C_#011	Du bist das Kind des Dämonendrachen!\x0E\x04\x00\x00
MID_ED2C_#012	\x0E\x03\x02\x0A\x08リュール\nIch bin sein Kind? Nein, aber... Wie?\x0E\x04\x00\x00
MID_ED2_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04グリ\x021\n\x0E\x03\x00\x0E\x08リュール\x022\n\x0E\x03\x00\x10\nヴァンドレ\x024\n\x0E\x03\x02\x0C\nヴァンドレ\nWie kannst du es wagen, solche Verleumdungen\nvon dir zu geben? Solche Lügen?\x0E\x04\x00\x00
MID_ED2_#002	\x0E\x03\x02\x06\x04グリ\nWenn der Drache sich nicht erinnert, warum zur\nHölle solltest du dann irgendwas wissen?\x0E\x04\x02\x00
MID_ED2_#003	Warst du vor tausend Jahren dabei? Hmmm?\x0E\x04\x00\x00
MID_ED2_#004	\x0E\x03\x02\x0C\nヴァンドレ\nHrm.\x0E\x04\x00\x00
MID_ED2_#005	\x0E\x03\x02\x06\x04グリ\nIch sage euch, wie ich es herausgefunden habe.\nWyrmgötter und Dämonendrachen können\nEmbleme beschwören, richtig?\x0E\x04\x02\x00
MID_ED2_#006	Aber sie tun es nicht auf dieselbe Weise.\nWyrmgötter beten. Dämonendrachen hingegen...\x0E\x04\x02\x00
MID_ED2_#007	Sie verwenden Anrufungen.\x0E\x04\x00\x00
MID_ED2_#008	\x0E\x03\x02\x0A\x08リュール\n...!\x0E\x04\x00\x00
MID_ED2_#009	\x0E\x03\x02\x06\x04グリ\nSo hast du Celica beschworen. So hast du es\ndie ganze Zeit getan, nicht wahr?\x0E\x04\x02\x00
MID_ED2_#010	Das bedeutet, du bist – sprich mir nach –\ndas Kind des Dämonendrachen.\x0E\x04\x00\x00
MID_ED2_#011	\x0E\x03\x02\x0A\x08リュール\nAber dann... verstehe ich nicht, warum Mutter\nmich ihr Kind genannt hat.\x0E\x04\x00\x00
MID_ED2_#012	\x0E\x03\x02\x06\x04グリ\nWoher soll ich das wissen? Das musst du sie\nselbst fragen. Oh, das geht ja nicht mehr.\x0E\x04\x00\x00
MID_ED2_#013	\x0E\x03\x02\x0C\nヴァンドレ\nDu niederträchtiger...\x0E\x04\x00\x00
MID_ED2_#014	\x0E\x03\x02\x06\x04グリ\nHahaha, was auch immer. Jedenfalls habe ich\njetzt, wofür ich gekommen bin.\x0E\x04\x02\x00
MID_ED2_#015	Schade, dass es mich einen Ring gekostet hat.\nAber ich sollte Zeit gewinnen, und das habe ich.\x0E\x04\x02\x00
MID_ED2_#016	Lord Sombron und Milady Veyle sollten\ninzwischen längst verschwunden sein.\x0E\x04\x00\x00
MID_ED2_#017	\x0E\x03\x02\x0A\x08リュール\nDu meinst... Sie waren also hier.\x0E\x04\x00\x00
MID_ED2_#018	\x0E\x03\x02\x06\x04グリ\nUps. Das wollte ich eigentlich gar nicht verraten.\x0E\x04\x02\x00
MID_ED2_#019	Aber was soll's. \x0E\x0A\x00<\x1AEuer Wyrmgott\x1EEure Wyrmgöttin ist \x0E\x0A\x00\x12\x06ein\x08eine\n\x0E\x0A\x000\x14Schwindler\x18Schwindlerin. Lasst euch Zeit mit eurem\nZerfall.\x0E\x04\x02\x00
MID_ED2_#020	Zerstreut ihr euch in alle Himmelsrichtungen?\nSchneidet ihr euch gegenseitig die Hälse durch?\nDie Qual der Wahl!\x0E\x04\x02\x00
MID_ED2_#021	Man sieht sich.\x0E\x04\x00\x00
MID_ED2_#022	\x0E\x03\x01\x06\x04グリ\n\x0E\x03\x02\x0C\nヴァンドレ\nHalt!\x0E\x04\x00\x00
MID_ED2_#023	\x0E\x03\x01\x0C\nヴァンドレ\n\x0E\x03\x02\x0A\x08リュール\nIch bin... Ich bin das Kind des...\x0E\x04\x00\x00
MID_ED2_#024	\x0E\x03\x00\x12\x0Cアルフレッド\x021\n\x0E\x03\x02\x0E\x0Cアルフレッド\nEr hat gelogen, \x0E\x0A\x00*\x14Göttlicher\x12Göttliche. Ich glaube davon\nkein Wort.\x0E\x04\x00\x00
MID_ED2_#025	\x0E\x03\x00\x0E\x08アイビー\x023\n\x0E\x03\x02\x0A\x08アイビー\nWir dürfen den Feind keinen Keil zwischen uns\ntreiben lassen. Wir müssen ruhig bleiben.\x0E\x04\x00\x00
MID_ED2_#026	\x0E\x03\x01\x0E\x0Cアルフレッド\n\x0E\x03\x00\x12\x0Cディアマンド\x021\n\x0E\x03\x02\x0E\x0Cディアマンド\nZu sagen, dass Sombron nicht hier ist, war\nvielleicht ein weiterer Versuch, uns in die\nIrre zu führen.\x0E\x04\x00\x00
MID_ED2_#027	\x0E\x03\x01\x0A\x08アイビー\n\x0E\x03\x00\x10\nミスティラ\x023\n\x0E\x03\x02\x0C\nミスティラ\nSehen wir uns um und finden es heraus.\x0E\x04\x00\x00
MID_ED3_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08アイビー\x024\n\x0E\x03\x00\x12\x0Cディアマンド\x023\n\x0E\x03\x00\x10\nミスティラ\x021\n\x0E\x03\x02\x0C\nミスティラ\nUnd?\x0E\x04\x00\x00
MID_ED3_#002	\x0E\x03\x02\x0E\x0Cディアマンド\nHier ist tatsächlich niemand.\x0E\x04\x00\x00
MID_ED3_#003	\x0E\x03\x02\x0A\x08アイビー\nJa. Sombron ist nicht mehr im Schloss.\x0E\x04\x00\x00
MID_ED3_#004	\x0E\x03\x01\x0C\nミスティラ\n\x0E\x03\x00\x12\x0Cアルフレッド\x021\n\x0E\x03\x02\x0E\x0Cアルフレッド\nWas sollen wir jetzt tun?\x0E\x04\x00\x00
MID_ED3_#005	\x0E\x03\x00\x0E\x08リュール\x022\n\x0E\x03\x02\x0A\x08リュール\n...\x0E\x04\x02\x00
MID_ED3_#006	Wenn Griss die Wahrheit gesagt hat,\nsollte ich gehen.\x0E\x04\x00\x00
MID_ED3_#007	\x0E\x03\x01\x0A\x08アイビー\n\x0E\x03\x01\x0E\x0Cディアマンド\n\x0E\x03\x02\x0E\x0Cアルフレッド\nWas meint Ihr mit „gehen“?\x0E\x04\x00\x00
MID_ED3_#008	\x0E\x03\x02\x0A\x08リュール\nIn der Nacht, in der Mutter starb, hatte ich einen\nAlbtraum, in dem ich von Flammen umgeben\nwar.\x0E\x04\x02\x00
MID_ED3_#009	Mein Haar und meine Augen waren rot. Jetzt\nverstehe ich... Es war kein Albtraum. Es war\neine Erinnerung.\x0E\x04\x00\x00
MID_ED3_#010	\x0E\x03\x02\x0E\x0Cアルフレッド\nEin böser Traum beweist gar nichts.\x0E\x04\x00\x00
MID_ED3_#011	\x0E\x03\x02\x0A\x08リュール\nVielleicht nicht. Aber das hier.\x0E\x04\x02\x00
MID_ED3_#012	Emblem Sigurd.\x0E\x04\x00\x00
MID_ED3_#013	\x0E\x03\x00\x0E\x08シグルド\x024\n\x0E\x03\x02\x0A\x08シグルド\nIch bin hier.\x0E\x04\x00\x00
MID_ED3_#014	\x0E\x03\x02\x0A\x08リュール\nIhr kanntet mich bereits vor tausend Jahren,\nnicht wahr? Antwortet mir.\x0E\x04\x02\x00
MID_ED3_#015	Hat Griss die Wahrheit gesagt? Bin ich das\nKind des Dämonendrachen?\x0E\x04\x00\x00
MID_ED3_#016	\x0E\x03\x02\x0A\x08シグルド\n...\x0E\x04\x02\x00
MID_ED3_#017	Das seid Ihr.\x0E\x04\x00\x00
MID_ED3_#018	\x0E\x03\x02\x0E\x0Cアルフレッド\n...\x0E\x04\x00\x00
MID_ED3_#019	\x0E\x03\x00\x10\nヴァンドレ\x023\n\x0E\x03\x02\x0C\nヴァンドレ\nWie kann das sein?\x0E\x04\x00\x00
MID_ED3_#020	\x0E\x03\x02\x0A\x08リュール\nEs stimmt also.\x0E\x04\x00\x00
MID_ED3_#021	\x0E\x03\x02\x0A\x08シグルド\nEs tut mir leid. Da Ihr Eure Erinnerungen\nverloren hattet, dachten wir, Ihr könntet\nauf diese Weise glücklich leben.\x0E\x04\x02\x00
MID_ED3_#022	Darauf habe ich mich am Tag Eures Erwachens\nmit Lumera geeinigt.\x0E\x04\x00\x00
MID_ED3_#023	\x0E\x03\x02\x0A\x08リュール\nWarum hat Mutter mich ihr Kind genannt?\x0E\x04\x00\x00
MID_ED3_#024	\x0E\x03\x02\x0A\x08シグルド\nSombron hatte Euch den Rücken gekehrt. Euer\nLeben war in Gefahr.\x0E\x04\x02\x00
