MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nシトリニカ\x021\n\x0E\x03\x00\x0E\x08ヴェイル\x022\n\x0E\x03\x02\x0C\nシトリニカ\nHmm...\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x0A\x08ヴェイル\nOh.\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0A\x08ヴェイル\nVerstehe!\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0A\x08ヴェイル\nDas sind keine Geschenke, das sind Opfergaben.\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x0A\x08ヴェイル\nSie sind genauso wie die schönen Opfergaben,\ndie mir meine Verehrer in Elusia darbrachten.\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x0A\x08ヴェイル\nIn der Hoffnung, ihre Wünsche und Gebete\nwürden erhört.\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x0C\nシトリニカ\nWirklich? Du meine Güte.\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x0A\x08ヴェイル\nNun, ich werde nichts von dir annehmen,\nCitrinne.\x0E\x04\x00\x00
MID_RELIANCE_B_#021	\x0E\x03\x02\x0A\x08ヴェイル\nDas ist bedauerlich, wirklich.\x0E\x04\x00\x00
MID_RELIANCE_B_#022	\x0E\x03\x02\x0A\x08ヴェイル\nDas Einzige, was ich wollte, war, dass wir\nFreundinnen sind.\x0E\x04\x00\x00
MID_RELIANCE_B_#023	\x0E\x03\x01\x0A\x08ヴェイル\n\x0E\x03\x02\x0C\nシトリニカ\nOje... Milady Veyle...\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nシトリニカ\x021\n\x0E\x03\x00\x0E\x08ヴェイル\x022\n\x0E\x03\x02\x0C\nシトリニカ\nMilady Veyle? Hättet Ihr einen Moment für\nmich?\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x0A\x08ヴェイル\nIch denke schon.\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0C\nシトリニカ\nIch möchte, dass Ihr wisst, dass... ich nur eine\nFreundschaft mit Euch wollte. Ehrlich.\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x0C\nシトリニカ\nAber anscheinend habe ich mit meinem Be-\nnehmen nur alles durcheinander gebracht. Ich\nmöchte mich dafür entschuldigen.\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0A\x08ヴェイル\n...\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0A\x08ヴェイル\nBevor ich deine Entschuldigung annehme, habe\nich noch eine Frage an dich.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0A\x08ヴェイル\nWas meintest du damit, als du sagtest, ich möge\ndie Geschenke um deinetwillen annehmen?\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0C\nシトリニカ\nIch wollte einfach nur meine Lieblingssache\nsehen...\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x0C\nシトリニカ\nDas Lächeln auf dem Gesicht einer Freundin.\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0A\x08ヴェイル\nDu wolltest mein Lächeln sehen?\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0C\nシトリニカ\nJa. Deswegen bat ich Euch, die Dinge meinet-\nwegen anzunehmen.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0A\x08ヴェイル\nDas Kleid, die Insel, die Krone... Das waren\nkeine Opfergaben? Das waren Geschenke.\nFür mich.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0C\nシトリニカ\nIch verspreche es Euch. Ich wollte sie Euch zum\nGeschenk machen, das ist alles.\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0C\nシトリニカ\nIch dachte, dass ich dann von Euch ein Lächeln\nzu sehen bekomme, das einer Prinzessin Ehre\nmacht.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0A\x08ヴェイル\nEs tut mir so leid, Citrinne. Ich habe deine\nAbsichten vollkommen missverstanden.\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0A\x08ヴェイル\nIch hoffe, es ist noch nicht zu spät.\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x0C\nシトリニカ\nNein, überhaupt nicht! Die Urkunde für die Insel\nbefindet sich immer noch in meinen Händen.\nWartet ma--\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x0A\x08ヴェイル\nOh, nein, das meinte ich nicht! Ich brauche\nkeine teuren Geschenke.\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x0A\x08ヴェイル\nIch wollte sagen, ich hoffe, es ist noch nicht zu\nspät, Freundinnen zu sein. Ich hoffe, wir können\nsofort... damit anfangen?\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0C\nシトリニカ\nNatürlich!\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x0C\nシトリニカ\nNatürlich können wir das, Milady Veyle!\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x0C\nシトリニカ\nIch sehe Euch bereits als eine meiner liebsten\nFreundinnen an.\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x0A\x08ヴェイル\nHahaha, das macht mich so glücklich, Citrinne.\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x0A\x08ヴェイル\nDeine Freundschaft ist das schönste Geschenk,\ndas du mir je machen konntest.\x0E\x04\x00\x00
