MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cディアマンド\x021\n\x0E\x03\x00\x10\nミスティラ\x022\n\x0E\x03\x02\x0C\nミスティラ\n♪Spaß, Spaß, Spaß für jeden! Singe, singe,\nsinge, auf dass die Kasse klingle!♪\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0E\x0Cディアマンド\nHeute nicht. Eigentlich wollte ich Euch auf dem\nWeg durch den Ort begleiten. Vielleicht lerne\nich auf die Weise das ein oder andere.\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0C\nミスティラ\nOooh, Ihr werdet heute mit mir abhängen?\nKlasse!\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x0C\nミスティラ\nNa, dann los. Dies ist doch der perfekte\nPlatz, um loszulegen.\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0E\x0Cディアマンド\nHier? An so einem öffentlichen Platz?\nUnd womit legen wir eigentlich los?\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0C\nミスティラ\n♪Heute ist der Taaag, ich werde für alle\nsiiiingen!♪\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0C\nミスティラ\n♪Los, Prinz Diamant! Lasst Eure Stimme\nerkliiingen!♪\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0E\x0Cディアマンド\nI-ich?! Nein, ich werde nicht, ähm... Das ist nicht\ndas, was ich...\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0C\nミスティラ\n♪Oh, seht euch das mal an, ei der Daus!\nDer große, starke Prinz ist eine ängstliche\nMaus!♪\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0E\x0Cディアマンド\nIch bin der Kronprinz von Brodia. Ich bin KEINE\nängstliche Maus!\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0E\x0Cディアマンド\nLasst mich mal, äh...\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x0E\x0Cディアマンド\n♪Oh, Brodiaaa, Land der Stärke und Ma-hacht,\nBöses i-ist nicht erlaubt... daaaa...♪\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0E\x0Cディアマンド\n♪Oh neiiin, nun starrrt mich jeder aaan.\nPrinzessin Timerraaa, was soll ich nur tuuun...♪\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0C\nミスティラ\n♪Siiingt einfach weiter, oh Unmusikalischer...♪\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x04\x03\x04
MID_RELIANCE_B_#018	\x0E\x03\x02\x0E\x0Cディアマンド\nDas war wesentlich schwerer als mein normales\nKampftraining...\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x0C\nミスティラ\nGut. So. Und wie denkt Ihr nun darüber, wie\nich die Dinge angehe?\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x0E\x0Cディアマンド\nInteragiert Ihr auf diese Weise mit Eurem\nVolk im Königinreich? Und Ihr tut das stets\nauf diese Weise?\x0E\x04\x00\x00
MID_RELIANCE_B_#021	\x0E\x03\x02\x0E\x0Cディアマンド\nIch gebe zu... es fühlte sich gut an, so\nherausgefordert zu werden. Es war wie\neine frische Brise.\x0E\x04\x00\x00
MID_RELIANCE_B_#022	\x0E\x03\x02\x0E\x0Cディアマンド\nDessen ungeachtet bin ich vermutlich nicht\nfür Eure Art der Regentschaft geeignet.\x0E\x04\x00\x00
MID_RELIANCE_B_#023	\x0E\x03\x02\x0E\x0Cディアマンド\nIch diene meinem Volk besser durch physische\nStärke und Kampfkraft.\x0E\x04\x00\x00
MID_RELIANCE_B_#024	\x0E\x03\x02\x0C\nミスティラ\nErgibt Sinn. Jeder auf seine Art und so weiter.\x0E\x04\x00\x00
MID_RELIANCE_B_#025	\x0E\x03\x02\x0E\x0Cディアマンド\nVielen Dank, dass ich mich Euch anschließen\ndurfte, Prinzessin Timerra. Der heutige Tag\nhat mir Spaß gemacht.\x0E\x04\x00\x00
MID_RELIANCE_B_#026	\x0E\x03\x02\x0C\nミスティラ\nSo ging es mir auch! Wir beide haben\nverschiedene Arten und Weisen, aber wir\nbilden ein gutes Team.\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cディアマンド\x021\n\x0E\x03\x00\x10\nミスティラ\x022\n\x0E\x03\x02\x0C\nミスティラ\nPrinz Diamant. Macht es Euch etwas aus,\nwenn ich heute bei Eurem Training mitmache?\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x0E\x0Cディアマンド\nNein, gar nicht, aber ich muss Euch warnen...\nMein Training kann sehr intensiv sein.\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0C\nミスティラ\nHey, ich kann mehr als nur singen, wisst Ihr!\nIhr werdet sehen. Dieses Mädchen hier hat\nAusdauer.\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x0E\x0Cディアマンド\nOh ja? Wenn das der Fall ist, sollten wir\nanfangen.\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x04\x03\x04
MID_RELIANCE_A_#006	\x0E\x03\x02\x0E\x0Cディアマンド\nSo! Die Hälfte wäre geschafft. Legen wir eine\nkurze Pause ein.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0C\nミスティラ\nPuuh... Hui...\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0C\nミスティラ\nIhr... habt nicht gescherzt... als Ihr meintet...\ndies sei hart...\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x0C\nミスティラ\nIch habe... den Mund sehr... voll genommen...\nich fühle mich... ziemlich ausgebrannt...\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0E\x0Cディアマンド\nIch bin überrascht, dass Ihr so lange mitgehalten\nhabt! Die meisten hätten viel eher aufgehört.\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0E\x0Cディアマンド\nIhr seid bereits sehr stark. Stellt Euch mal\nvor, wie stark Ihr werden könntet, würdet\nIhr Euer Training ausweiten.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0C\nミスティラ\nVielen Dank, aber... ich werde die Dinge auf\nmeine Art angehen, das gilt ja auch für Euch.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0C\nミスティラ\nPuh. In Ordnung.\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0C\nミスティラ\nHe, nur so zwischen Euch und mir. Haltet Ihr\nFrieden wirklich für möglich?\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0E\x0Cディアマンド\nAh. Das ist eine enorme Frage... eine, über die\nich mir selbst oft Sorgen mache.\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0E\x0Cディアマンド\nLetztlich ist es unsere Pflicht, als Anführer,\ndaran zu glauben, dass Frieden möglich ist.\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x0E\x0Cディアマンド\nWenn wir nicht dafür kämpfen, unseren\nVölkern diese Art von Zukunft zu sichern,\nwer soll es dann tun?\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x0C\nミスティラ\nIhr habt recht. Die Zukunft ist unsicher, umso\nmehr haben wir einen Grund, es zu versuchen.\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x0C\nミスティラ\nIch muss schon sagen, mit Euch zu reden hat in\nmir die Hoffnung geweckt, dass vor uns Gutes\nliegt.\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0E\x0Cディアマンド\nDas freut mich. Wir sind beide die Erben eines\nKönigreiches. Wann immer Ihr das Bedürfnis zu\nreden habt, ich bin da.\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x0C\nミスティラ\nDanke. Ich weiß das wirklich zu schätzen.\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x0E\x0Cディアマンド\nAlso gut, die Pause ist vorbei. Zeit, mit dem\nTraining fortzufahren. Meint Ihr, Ihr könnt\nweitermachen?\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x0C\nミスティラ\nWisst Ihr was? Mir ist gerade etwas Großartiges\neingefallen.\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x0C\nミスティラ\nWie wäre es, wenn wir auf dem restlichen\nWeg singen würden? Das wäre doch eine\nvergnügliche Herausforderung.\x0E\x04\x00\x00
MID_RELIANCE_A_#025	\x0E\x03\x02\x0E\x0Cディアマンド\nHa! Klingt lustig. Aber, äh... Ihr fangt an.\x0E\x04\x00\x00
