MID_PLACE_Filene	Firene
MCID_M014_OUTLINE	Die Armee \x0E\x0A\x00<\x1Cdes Wyrmgottes\x1Cder Wyrmgöttin erfährt\nvon Hortensias Angriff und eilt so-\nfort zurück zum Palast von Solm.
MCID_M015_PREFIX	Kapitel 15
MCID_M015	Tänzer in den Ruinen
MCID_M015_PLACE	Nördliche Festung
MCID_M015_OUTLINE	Auf der Suche nach dem Ring der\nWeltveränderin begibt sich die\nGruppe zur Nördlichen Festung.
MCID_M016_PREFIX	Kapitel 16
MCID_M016	Strandreise
MCID_M016_PLACE	Azurküste
MCID_M016_OUTLINE	Gerade als die Armee \x0E\x0A\x00\x10\x06des\x06der Wyrm-\n\x0E\x0A\x00\x1C\x0Cgottes\x0Cgöttin einen neuen Ring geborgen\nhat, erreicht sie ein Bericht.
MCID_M017_PREFIX	Kapitel 17
MCID_M017	Zerstörte Ruhe
MCID_M017_PLACE	Floramühlstadt
MCID_M017_OUTLINE	Die Gruppe verfolgt elusianische\nKriegsschiffe nach Firene und\nerreicht so Floramühlstadt.
MCID_M018_PREFIX	Kapitel 18
MCID_M018	Eine kalte Reise
MCID_M018_PLACE	Route nach Elusia
MCID_M018_OUTLINE	Nachdem die Gruppe die Wahrheit\nüber Veyle erfahren hat, bricht sie\nauf nach Elusia.
MCID_M019_PREFIX	Kapitel 19
MCID_M019	Die tote Stadt
MCID_M019_PLACE	Hafen von Givre
MCID_M019_OUTLINE	Nach einem erfolgreich abgewehr-\nten Angriff auf See erreicht die\nGruppe einen elusianischen Hafen.
MCID_M020_PREFIX	Kapitel 20
MCID_M020	Das Schloss ohne König
MCID_M020_PLACE	Schloss Elusia
MCID_M020_OUTLINE	Nach dem Sieg über Marni und\nMauvier erreicht die Armee \x0E\x0A\x00\x10\x06des\x06der\n\x0E\x0A\x00,\x14Wyrmgottes\x14Wyrmgöttin endlich Schloss Elusia.
MCID_M021_PREFIX	Kapitel 21
MCID_M021	Die Rückkehr
MCID_M021_PLACE	Schloss Lythos
MCID_M021_OUTLINE	Nach Griss' Enthüllungen verfolgt\ndie Gruppe den Dämonendrachen\nbis zu Schloss Lythos,
MCID_M022_PREFIX	Kapitel 22
MCID_M022	Dämonisch und göttlich
MCID_M022_PLACE	Schloss Lythos
MCID_M023_PREFIX	Kapitel 23
MCID_M023	Die Vier Bluthunde
MCID_M023_PLACE	Lavafelder
MCID_M023_OUTLINE	Mit dem Ziel, die Barriere um Elyos\nzu brechen, sucht die Gruppe nach\ndem ersten Dämonendrachensiegel.
MCID_M024_PREFIX	Kapitel 24
MCID_M024	Erinnerungen
MCID_M024_PLACE	Bergregion
MCID_M024_OUTLINE	Mit dem Artefakt von Zephia macht\ndie Gruppe sich auf die Suche nach\ndem versunkenen Drachensiegel.
MCID_M025_PREFIX	Kapitel 25
MCID_M025	Das letzte Siegel
MCID_M025_PLACE	Tempel von Gradlon
MCID_M025_OUTLINE	Vor dem letzten Drachensiegel er-\nwartet die Armee \x0E\x0A\x00<\x1Cdes Wyrmgottes\x1Cder Wyrmgöttin\neine finstere Überraschung...
MCID_M026_PREFIX	Kapitel 26
MCID_M026	Das letzte Bündnis
MCID_M026_PLACE	Portal zu anderen Welten
MCID_S001_PREFIX	Nebenquest
MCID_S001	Aufkeimendes Talent
MCID_S001_PLACE	Dorf der Teefelder
MCID_S001_OUTLINE	Kann die Armee \x0E\x0A\x00<\x1Cdes Wyrmgottes\x1Cder Wyrmgöttin\ndie Dorfbewohner vor den angrei-\nfenden Verzerrten beschützen?
MCID_S002_PREFIX	Nebenquest
MCID_S002	Mysteriöse Händlerin
MCID_S002_PLACE	Banditenversteck
MCID_S002_OUTLINE	In einer Banditenfestung macht\nsich eine kleine Diebin auf die\nSuche nach Schätzen.
MCID_S003_PREFIX	Nebenquest
MCID_S003	Die Erhabene
MCID_S003_PLACE	Arena der Götter
MCID_S003_OUTLINE	Ein Ort von großer Bedeutung für\nEmblem Lucina und Schauplatz\neiner Prüfung für \x0E\x0A\x008\x18den Wyrmgott\x1Cdie Wyrmgöttin.
MCID_S004_PREFIX	Nebenquest
MCID_S004	Die Dame der Ebene
MCID_S004_PLACE	Ebene der Winde
MCID_S004_OUTLINE	Ein Ort von großer Bedeutung für\nEmblem Lyn und Schauplatz einer\nPrüfung für \x0E\x0A\x008\x18den Wyrmgott\x1Cdie Wyrmgöttin.
MCID_S005_PREFIX	Nebenquest
MCID_S005	Der strahlende Held
MCID_S005_PLACE	Festung der Hoffnung
MCID_S005_OUTLINE	Ein Ort von großer Bedeutung für\nEmblem Ike und Schauplatz einer\nPrüfung für \x0E\x0A\x008\x18den Wyrmgott\x1Cdie Wyrmgöttin.
MCID_S006_PREFIX	Nebenquest
MCID_S006	Der Magister
MCID_S006_PLACE	Heilige Gruft
MCID_S006_OUTLINE	Ein Ort von großer Bedeutung für\nEmblem Byleth und Schauplatz\neiner Prüfung für \x0E\x0A\x008\x18den Wyrmgott\x1Cdie Wyrmgöttin.
MCID_S007_PREFIX	Nebenquest
MCID_S007	Die Weltveränderin
MCID_S007_PLACE	Kreuzweg des Schicksals
MCID_S007_OUTLINE	Ein Ort von großer Bedeutung für\nEmblem Corrin und Schauplatz\neiner Prüfung für \x0E\x0A\x008\x18den Wyrmgott\x1Cdie Wyrmgöttin.
MCID_S008_PREFIX	Nebenquest
MCID_S008	Azurblauer Zwilling
MCID_S008_PLACE	Finstere Ruinen
MCID_S008_OUTLINE	Ein Ort von großer Bedeutung für\nEmblem Eirika und Schauplatz\neiner Prüfung für \x0E\x0A\x008\x18den Wyrmgott\x1Cdie Wyrmgöttin.
MCID_S009_PREFIX	Nebenquest
MCID_S009	Der Heilige Ritter
MCID_S009_PLACE	Fluss des Zwielichts
MCID_S009_OUTLINE	Ein Ort von großer Bedeutung für\nEmblem Sigurd und Schauplatz\neiner Prüfung für \x0E\x0A\x008\x18den Wyrmgott\x1Cdie Wyrmgöttin.
MCID_S010_PREFIX	Nebenquest
MCID_S010	Der weise Lord
MCID_S010_PLACE	Über alle Brücken
MCID_S010_OUTLINE	Ein Ort von großer Bedeutung für\nEmblem Leif und Schauplatz einer\nPrüfung für \x0E\x0A\x008\x18den Wyrmgott\x1Cdie Wyrmgöttin.
MCID_S011_PREFIX	Nebenquest
MCID_S011	Tochter des Lichts
MCID_S011_PLACE	Eisige Festung
MCID_S011_OUTLINE	Ein Ort von großer Bedeutung für\nEmblem Micaiah und Schauplatz\neiner Prüfung für \x0E\x0A\x008\x18den Wyrmgott\x1Cdie Wyrmgöttin.
MCID_S012_PREFIX	Nebenquest
MCID_S012	Der junge Löwe
MCID_S012_PLACE	Der Schrein des Siegels
MCID_S012_OUTLINE	Ein Ort von großer Bedeutung für\nEmblem Roy und Schauplatz einer\nPrüfung für \x0E\x0A\x008\x18den Wyrmgott\x1Cdie Wyrmgöttin.
MCID_S013_PREFIX	Nebenquest
MCID_S013	Die gütige Prinzessin
MCID_S013_PLACE	Vergessener Schrein
MCID_S013_OUTLINE	Ein Ort von großer Bedeutung für\nEmblem Celica und Schauplatz\neiner Prüfung für \x0E\x0A\x008\x18den Wyrmgott\x1Cdie Wyrmgöttin.
MCID_S014_PREFIX	Nebenquest
MCID_S014	Der Heldenkönig
MCID_S014_PLACE	Verheertes Schloss
MCID_S014_OUTLINE	Ein Ort von großer Bedeutung für\nEmblem Marth und Schauplatz\neiner Prüfung für \x0E\x0A\x008\x18den Wyrmgott\x1Cdie Wyrmgöttin.
MCID_S015_PREFIX	Nebenquest
MCID_S015	Bande werden geknüpft
MCID_S015_PLACE	Garten der Erinnerung
MCID_S015_OUTLINE	An einem Ort, der dem Park von\nSchloss Lythos ähnelt, wird ein\nmysteriöser Ring aufbewahrt.
MID_ENCOUNT	Gefecht
MID_ENCOUNT_TRAINING	Training
MID_RULE_Title	Sieg
MID_RULE_Title_LOSE	Niederlage
MID_RULE_ANNIHILATE	Alle Gegner besiegen.
MID_RULE_DESTROY_BOSS	Gegnerischen Kommandant besiegen.
MID_RULE_DESTROY_BOSS_TURN	Gegn. Kommandant in \x0E\x01\x00\x00 Zügen besiegen.
MID_RULE_SURVIVE_TURN	\x0E\x01\x00\x00 Züge überleben.
MID_RULE_COMMON_LOSE	\x0E\x06\x03\x00 wird besiegt.
MID_RULE_WANNIHILATION_LOSE	Alle Verbündeten werden besiegt.
MID_RULE_M000_WIN	Alle Gegner besiegen.
MID_RULE_M001_WIN	Alle Gegner besiegen.
MID_RULE_M002_WIN	Lumera besiegen.
MID_RULE_M003_WIN	Alle Gegner besiegen.
MID_RULE_M004_WIN	Rodine besiegen.
MID_RULE_M005_WIN	Nelucce besiegen.
MID_RULE_M006_WIN	Teronda besiegen.
MID_RULE_M006_LOSE	\x0E\x06\x03\x00 oder Yunaka wird besiegt.
MID_RULE_M007_WIN	Hortensia besiegen.
MID_RULE_M008_WIN	Ivy besiegen.
MID_RULE_M008_LOSE	\x0E\x06\x03\x00 wird besiegt oder Gegner erreichen Gebiet.
MID_RULE_M009_WIN	Ivy besiegen.
MID_RULE_M010_WIN	Hyacinth und Verzerrten Morion besiegen.
MID_RULE_M011_WIN	\x0E\x06\x03\x00 entkommt.
MID_RULE_M012_WIN	Alle Gegner besiegen.
MID_RULE_M013_WIN	Tetchie und Totchie besiegen.
MID_RULE_M014_WIN	Hortensia, Zephia, Marni und Mauvier besiegen.
MID_RULE_M015_WIN	Seadall entkommt.
MID_RULE_M015_LOSE	\x0E\x06\x03\x00 oder Seadall wird besiegt.
MID_RULE_M016_WIN	Marni und Mauvier besiegen.
MID_RULE_M017_WIN	Alle sechs gegn. Kommandanten besiegen.
MID_RULE_M018_WIN	Abyme besiegen.
MID_RULE_M019_WIN	Marni und Mauvier besiegen.
MID_RULE_M020_WIN	Griss besiegen.
MID_RULE_M021_WIN	Veyle besiegen.
MID_RULE_M022_WIN	Alle Emblem-Ringe wiedererlangen.
MID_RULE_M023_WIN	Zephia und Griss besiegen.
MID_RULE_M024_WIN	\x0E\x06\x03\x00 der Vergangenheit besiegen.
MID_RULE_M024_LOSE	\x0E\x06\x03\x00 wird besiegt oder \x0E\x01\x00\x00 Züge verstreichen.
MID_RULE_M025_WIN	Verzerrte Lumera besiegen.
MID_RULE_M026_WIN	Sombron besiegen.
MID_RULE_S001_WIN	Alle Gegner besiegen.
MID_RULE_S002_WIN	Mitan besiegen.
MID_RULE_S003_WIN	Emblem Lucina besiegen.
MID_RULE_S004_WIN	Emblem Lyn besiegen.
MID_RULE_S005_WIN	Emblem Ike besiegen.
MID_RULE_S006_WIN	Emblem Byleth besiegen.
MID_RULE_S007_WIN	Emblem Corrin besiegen.
MID_RULE_S008_WIN	Emblem Eirika besiegen.
MID_RULE_S009_WIN	Emblem Sigurd besiegen.
MID_RULE_S010_WIN	Emblem Leif besiegen.
MID_RULE_S011_WIN	Emblem Micaiah besiegen.
MID_RULE_S011_LOSE	\x0E\x06\x03\x00 wird besiegt oder Gegner erreichen Gebiet.
MID_RULE_S012_WIN	Emblem Roy besiegen.
MID_RULE_S013_WIN	Emblem Celica besiegen.
MID_RULE_S014_WIN	Emblem Marth besiegen.
MID_RULE_S015_WIN	Den Ring wiedererlangen.
MID_RULE_S015_LOSE	\x0E\x06\x03\x00 wird besiegt oder Gegner flieht.
MID_RULE_TURN_LOSE	\x0E\x06\x03\x00 wird besiegt oder \x0E\x01\x00\x00 Züge verstreichen.
MID_RULE_VERSUS_LOSE	Alle Verbündeten werden besiegt oder \x0E\x01\x00\x00 Züge verstreichen.
MTID_Nothing	Kein Effekt
MTID_Engage	Emblem-Energie
MTID_SoulOfDead	Geist
MTID_GuardFence	Zaun
MTID_BreakableWall	Brüchige Wand
MTID_Cargo	Gerümpel
MTID_Crystal	Kristall
MTID_Pedestal	Podest
MTID_Rock	Fels
MTID_RockLarge	Felsblock
MTID_Sandbag	Sandsack
MTID_Chair	Bank
MTID_Paling	Palisade
MTID_Barrier	Bollwerk
MTID_ObstacleLow	Hindernis
MTID_Altar	Altar
MTID_Rubble	Geröll
MTID_Pier	Kai
MTID_Ground	Boden
MTID_Forest	Wald
MTID_Grove	Hain
MTID_Desert	Sand
MTID_Quicksand	Treibsand
MTID_Shallow	Untiefe
MTID_River	Fluss
MTID_Waterway	Graben
MTID_Mountain	Berg
MTID_Sky	Himmel
MTID_Bridge	Brücke
MTID_BridgeBroken	Zerst. Brücke
MTID_BridgeRise	Hochgez. Brücke
MTID_Ruin	Ruinen
MTID_Windmill	Windmühle
MTID_PrivateHouse	Haus
MTID_House	Konstrukt
MTID_StoneStatue	Statue
MTID_Building	Gebäude
MTID_Hull	Schiff
MTID_Sarcophagus	Sarg
MTID_Object	Hindernis
MTID_Bush	Gehölz
MTID_Sea	Gewässer
MTID_Tile	Boden
MTID_Lava	Lava
MTID_Wall	Wand
MTID_Stairs	Treppe
MTID_SummonCircle	Siegel
MTID_WallLow	Niedr. Wand
MTID_Door	Tür
MTID_Chest	Truhe
MTID_Chest_Empty	Leere Truhe
MTID_Roof	Dach
MTID_TileCollapsed	Zerst. Boden
MTID_TileRecovery	Heilfeld
MTID_TileDefense	Schutzfeld
MTID_Fort	Festung
MTID_Pillar	Säule
MTID_PillarLarge	Gr. Säule
MTID_Cliff	Klippe
MTID_Bonfire	Leuchtfeuer
MTID_Candlestick	Kronleuchter
MTID_Beach	Strand
MTID_Shrubbery	Gesträuch
MTID_Deck	Deck
MTID_Mast	Mast
MTID_EvilDragonVein	Dämonendrachensiegel
MTID_BowCannon	Ballista
MTID_MagicCannon	Mag. Artillerie
MTID_FireCannon	Flammenkanone
MTID_Ring_Siglud	Ring des Heiligen Ritters
MTID_Ring_Celica	Ring der gütigen Prinzessin
MTID_Ring_Micaiah	Ring der Tochter des Lichts
MTID_Ring_Roy	Ring des jungen Löwen
MTID_Ring_Leaf	Ring des weisen Lords
MTID_Ring_Lucina	Ring der Erhabenen
MTID_Ring_Lin	Ring der Dame der Ebene
MTID_Ring_Ike	Ring des strahlenden Helden
MTID_Ring_Byleth	Ring des Magisters
MTID_Ring_Kamui	Ring der Weltveränderin
MTID_Ring_Eirik	Ring der azurblauen Zwillinge
MTID_NoEntry	Gesperrt
MTID_HelpSpot	Zugang
MTID_Sandbox	Sand
MTID_GoldMountain	Goldhaufen
MTID_Spring	Quelle
MTID_IceFloor	Eis
MTID_Snowman	Schneemann
MTID_Hay	Heu
MTID_Cactus	Kakteen
MTID_RoseArch	Torbogen
MTID_Remains	Ruinen
MTID_Cart	Karren
MTID_Well	Brunnen
MTID_Loading	Kisten
MTID_Fence	Barrikade
MTID_AnimalStatue	Alpakastatue
MTID_SoraStatue	Schutzwesenstatue
MTID_EarthPillar	Steinsäule
MTID_Fog	Nebel
MTID_Fire	Flammen
MTID_Miasma	Miasma
MTID_Aroma	Schein
MTID_Block	Eissäule
MTID_Water	Wasser
MTID_Ivy	Ranken
MTID_Light	Glanz
MID_TE_Avoid	Aw.
MID_TE_Heal	Heilung/Runde
MID_TE_Damage	Schaden/Runde
MID_TE_Def	Ver.
MID_TE_MDef	Res.
MID_TE_PlayerDamage	Ver./Res. (Verb.)
MID_TE_EnemyDamage	Ver./Res. (Geg.)
MID_TE_Break	Unzerbrechlich
MID_TE_FlightOnly	Nur Flugeinh.
MID_TE_NoEntry	Unpassierb.
MID_TE_Destroy	Zerstörbar
MID_TE_Shine	Erhellt angrenzende Felder.
MID_TE_HelpSpot	Einh. platzieren
MID_TE_Cannon_Attack	Agr.
MID_TE_Cannon_Hit	Trf.
MID_TE_Cannon_Stock	\x0E\x01\x00\x00/\x0E\x01\x01\x00
MID_TE_Skill_Effect	Fähig.-Effekte
MID_TE_Move	Bew.
