MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ロサード\x021\n\x0E\x03\x00\x0E\x08セアダス\x022\n\x0E\x03\x02\x0A\x08セアダスHmm...\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x0A\x08セアダス\nBitte.\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x02\x0A\x08セアダス\nVielleicht ist es etwas, das unbewusst geschieht,\noder... vielleicht verbirgst du das Geheimnis\nabsichtlich vor mir.\x0E\x04\x00\x00
MID_RELIANCE_C_#019	\x0E\x03\x02\x0A\x08セアダス\nIn jedem Fall finde ich es heraus. Dies verlangt\nmeine Berufsehre als Tänzer!\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ロサード\x021\n\x0E\x03\x00\x0E\x08セアダス\x022\n\x0E\x03\x02\x0A\x08ロサード\nZzz... zzz...\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x0A\x08セアダス\nSehr gut. Rosado schläft.\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0A\x08ロサード\n...Mmmh... niedlich...\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0A\x08セアダス\nEr muss irgendein geheimes Schönheits-\nprogramm durchziehen. Ich meine, man muss\nihn sich doch nur mal anschauen.\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0A\x08セアダス\nObwohl ich ihn die ganze Zeit beobachte,\nkann ich immer noch nicht ergründen, was es\nwohl sein mag.\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x0A\x08ロサード\n...Mmmh... Hihihi... Mmmh...\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0A\x08セアダス\nArgh. Was für eine grässliche Schlafposition.\nDas ist ja überhaupt nicht gut für die\nKörperhaltung.\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0A\x08セアダス\nHm. Schlaf soll ja gut für die Haut sein. Aber\ndas ist doch Unfug. Schlafen tut ja jeder.\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0A\x08セアダス\nIch muss geduldig bleiben. Irgendwann muss er\ndoch mal was Interessantes tun.\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x04\x03\x04
MID_RELIANCE_B_#011	\x0E\x03\x02\x0A\x08ロサード\nAh, ich fühle mich heute früh großartig!\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0A\x08セアダス\nSo, er ist gerade aufgewacht. Jetzt wäscht er\nsein Gesicht. Endlich erfahre ich sein\nGeheimnis.\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0A\x08セアダス\nMit solch schimmernder Haut muss er doch eine\nbesondere Feuchtigkeitscreme verwenden.\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x0A\x08セアダス\nAber welche? Das muss ich wissen!\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0A\x08ロサード\n♪Hmm-hmm!♪\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0A\x08セアダス\nWie seltsam. Keine Feuchtigkeitscreme...\nüberhaupt keine.\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x0A\x08セアダス\nEr hat sein Gesicht gewaschen und ist dann\nsofort zum Haarewaschen übergegangen.\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x0A\x08セアダス\nUnd das ganz ohne Shampoo!\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x0A\x08ロサード\nMunter und erfrischt. Und jetzt ein feines\nFrühstück.\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x0A\x08セアダス\nWas? Kein ölbasierter Conditioner? Kein\nparfümiertes Haargel? Er... Er hat es nicht mal\ngetrocknet.\x0E\x04\x00\x00
MID_RELIANCE_B_#021	\x0E\x03\x02\x0A\x08セアダス\nIst es denn die Möglichkeit? Rosado hat wirklich\nkein besonderes Schönheitsprogramm?\x0E\x04\x00\x00
MID_RELIANCE_B_#022	\x0E\x03\x02\x0A\x08セアダス\nNein! Ich wette, es hat was damit zu tun, was\ner isst. Das muss sein Schönheitsgeheimnis sein.\x0E\x04\x00\x00
MID_RELIANCE_B_#023	\x0E\x03\x02\x0A\x08セアダス\nIch werde nicht rasten und nicht ruhen, bis ich\nes herausgefunden habe. Wenn Rosado so... un-\nglaublich gut aussehen kann, kann ich das auch!\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ロサード\x021\n\x0E\x03\x00\x0E\x08セアダス\x022\n\x0E\x03\x02\x0A\x08ロサード\n...\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x0A\x08ロサード\nDas Grillhähnchen ist heute vorzüglich.\nMagst du auch was, Seadall?\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0A\x08セアダス\nOh, Geist der Karten! Lasse dein heiliges Licht\nherniederleuchten und enthülle mir Rosados\nSchönheitsgeheimnis...\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x0A\x08セアダス\nNiemand kann so wunderschön aussehen,\nohne einen Trick dafür im Ärmel zu\nverstecken!\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0A\x08セアダス\nEr... er lebt einfach, wie es ihm gefällt.\nEr isst einfach, was ihm gefällt!\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0A\x08セアダス\nUnd ich, ich achte nur darauf, was meinem\nTanz gut tut – und ignoriere den Geschmack.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0A\x08セアダス\nGeist der Karten, bist du wirklich und absolut\nsicher, dass er überhaupt nichts Besonderes\ntut?\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0A\x08ロサード\nHahaha. Hast du mir hinterherspioniert?\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x0A\x08ロサード\nWenn ja, brauchst du nicht zu fragen. Dann hast\ndu ja schon gesehen, dass ich nichts\nBesonderes tue.\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0A\x08セアダス\n...Ich schätze, du hast recht.\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0A\x08セアダス\nRosado, es ist einfach unglaublich, dass du gar\nnichts machst und trotzdem immer so...\ngut aussiehst.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0A\x08ロサード\nDa musst du nicht auf mich neidisch sein.\nDu kannst genauso sehr leben, wie es dir gefällt.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0A\x08セアダス\nDas ist das Geheimnis? Leben, wie es mir\ngefällt?\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0A\x08セアダス\nHm. Schadet es am Ende meinem Tanz, wenn\nich alle Speisen, die ich wirklich mag, vermeide?\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0A\x08セアダス\nVielleicht liegt das Geheimnis, gut auszusehen\nund sich auch so zu fühlen, nur darin, sein Le-\nben von Lüsten und Begierden leiten zu lassen.\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0A\x08セアダス\nMich darauf zu konzentrieren, geschmacklose\nSpeisen zu mir zu nehmen, nimmt meiner\nTanzkunst ebenfalls die Würze!\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x0A\x08セアダス\nDas ist es! Das muss es sein! Rosados\nLebensstil ist der Beweis!\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x0A\x08セアダス\nAlso gut. Von heute an werde ich mir die Dinge,\ndie ich liebe, nicht länger versagen!\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x0A\x08セアダス\nIch werde Grillhähnchen essen, mit allerlei\nHonigsoßen. Süß! Würzig! Extrasüß!\nExtrawürzig!\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0A\x08セアダス\nVon nun an werde ich essen, was immer mein\nHerz begehrt, und werde schlafen, wann immer\nich will!\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x0A\x08ロサード\nIch hoffe, er übertreibt es nicht. Übermaß,\negal wobei, ist schließlich ungesund...\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x0A\x08ロサード\nAndererseits...\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x0A\x08ロサード\nSoll er sich ruhig mal verwöhnen. Wichtig ist\ndoch gerade nur, dass er sich wohlfühlt.\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x0A\x08ロサード\nDen Rest findet er dann selbst heraus!\x0E\x04\x00\x00
