MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06モーヴ\x021\n\x0E\x03\x00\x10\nラファール\x022\n\x0E\x03\x02\x08\x06モーヴ\nSo. Jetzt müssen wir sie nur noch\nzusammenpacken und wegräumen.\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0C\nラファール\nJa. In meiner Welt gab es einen Mann namens\nMauvier, der große Ähnlichkeit mit dir aufwies.\x0E\x04\x02\x00
MID_RELIANCE_A_#006	Ich war schuld an seinem Tod.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x08\x06モーヴ\nDann geht es also um Buße.\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0C\nラファール\nDas habe ich gar nicht... Argh.\x0E\x04\x02\x00
MID_RELIANCE_A_#009	Vielleicht hast du nicht unrecht. Diese Schuld,\ndie ich verspüre, ist eine schwere Bürde.\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x08\x06モーヴ\nIch bin nicht die Person, die Ihr verletzt habt,\nMylord Rafal, auch wenn ich Euch noch so sehr\nan sie erinnern mag.\x0E\x04\x02\x00
MID_RELIANCE_A_#011	Ungeachtet Eurer Gefühle bin ich nicht in der\nPosition, eine Entschuldigung zu akzeptieren\noder Euch Vergebung zu gewähren.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0C\nラファール\nDas ist wahr. Für dich ist mein Geständnis\nnichts weiter als die Geschichte eines völlig\nFremden.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x08\x06モーヴ\nExakt. Was immer ich dazu sagen könnte,\nwürde sich letztlich nur als hohl\nherausstellen.\x0E\x04\x02\x00
MID_RELIANCE_A_#014	Ihr solltet Eure Anstrengungen in andere\nRichtungen lenken.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0C\nラファール\nWeise Worte.\x0E\x04\x02\x00
MID_RELIANCE_A_#016	Keine Wiedergutmachung, die ich dir leiste,\nwird das von mir begangene Böse ungeschehen\nmachen.\x0E\x04\x02\x00
MID_RELIANCE_A_#017	Meine jämmerlichen Anbiederungen waren\nnichts als der kindische Versuch, mein\neigenes Ego zu streicheln.\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x08\x06モーヴ\nFalls es Euch tröstet: Ich weiß genau, wie Ihr\nEuch fühlt.\x0E\x04\x02\x00
MID_RELIANCE_A_#019	Auch ich habe vieles, für das ich Buße tun\nmuss.\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0C\nラファール\nIch hoffe, es wird dir gelingen.\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x08\x06モーヴ\nKeiner von uns kann die Vergangenheit\nverändern. Das Einzige, was uns bleibt, ist,\ndie Zukunft zu verbessern.\x0E\x04\x02\x00
MID_RELIANCE_A_#022	Wenn wir die Welt besser machen können, als\nsie war, bevor wir sie verletzten, wäre das\nein Anfang.\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x0C\nラファール\nDu gehst mit gutem Beispiel voran. Vielleicht\nsollte ich dir folgen, um meine Bürde zu\nerleichtern.\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x08\x06モーヴ\nWenn das der Fall ist, bin ich froh darüber.\x0E\x04\x02\x00
MID_RELIANCE_A_#025	Ich hätte da noch einige Kisten zu verstauen.\nMögt Ihr mir zur Hand gehen?\x0E\x04\x00\x00
MID_RELIANCE_A_#026	\x0E\x03\x02\x0C\nラファール\nSicher.\x0E\x04\x00\x00
