MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cオルテンシア\x021\n\x0E\x03\x00\x0E\x08リンデン\x022\n\x0E\x03\x02\x0E\x0Cオルテンシア\nHey, Lindon! Meine Schwester will dich\nsprechen.\x0E\x04\x00\x00
MID_RELIANCE_B_#024	\x0E\x03\x02\x0E\x0Cオルテンシア\nIch bin immer noch eine Prinzessin von Elusia.\nDaher lass mich wissen, wenn ich dabei helfen\nkann.\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cオルテンシア\x021\n\x0E\x03\x02\x0E\x0Cオルテンシア\n...\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x0E\x0Cオルテンシア\nWas kann ich für Elusia tun?\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0E\x0Cオルテンシア\nWas kann ich tun, Vater? Hilf mir...\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x00\x0E\x08リンデン\x022\n\x0E\x03\x02\x0A\x08リンデン\nWäre er hier, würde König Hyacinth sicherlich\nsagen, dass Ihr unserem Königreich bereits\ngut dient.\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0E\x0Cオルテンシア\nLindon...\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0E\x0Cオルテンシア\nWie kannst du da so sicher sein? Mein Vater\nist... fort.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0E\x0Cオルテンシア\nIvy war immer die Mustertochter, aber ich...\nIch war stets nur im Weg.\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0E\x0Cオルテンシア\nWenn ich mir vorstelle, wie er auf mich\nherabblickt, sehe ich in seinem Gesicht nur\nEnttäuschung.\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x0A\x08リンデン\nIch war einst ein Getreuer des älteren Bruders\ndes Königs – Eures Onkels. Ich denke, Ihr\nwusstet das.\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0A\x08リンデン\nDamals... hatte ich keine hohe Meinung von\nKönig Hyacinth.\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0E\x0Cオルテンシア\nWirklich? Ich hatte ja keine Ahnung.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0A\x08リンデン\nEs gab einen Disput über die Thronfolge, bei\ndem Euer Onkel offen den Anspruch Eures\nVaters abgelehnt hat.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0A\x08リンデン\nAm Ende hatte der ältere Bruder den Kampf\num den Thron verloren... und verließ kurz\ndarauf das Land.\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0A\x08リンデン\nIch hatte leidenschaftlich für Euren Onkel\nvotiert und verspürte daher von Anfang an\nVerachtung für Euren Vater.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0A\x08リンデン\nDoch dann sagte Euer Vater eines Tages zu mir,\n„Lindon, du dienst unserem Königreich gut.“\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0E\x0Cオルテンシア\nAh...\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x0A\x08リンデン\nIch wusste nicht, was ich davon halten sollte.\nEr und ich sollten doch Gegner sein!\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x0A\x08リンデン\nDann begriff ich, dass es ihm ernst war. In\nunsicheren Zeiten waren wir beide tief um\nElusias Sicherheit besorgt.\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x0A\x08リンデン\nDeswegen kann ich mit Gewissheit für ihn\nsprechen und verkünden... Ihr dient dem\nKönigreich gut.\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0E\x0Cオルテンシア\nDas bedeutet mir viel.\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x0A\x08リンデン\nAußerdem lieben alle Eltern ihre Kinder.\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x0A\x08リンデン\nKönig Hyacinth könnte niemals von Euch\nenttäuscht sein, Prinzessin Hortensia.\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x0A\x08リンデン\nHinsichtlich der großgezogenen Kinder steht es\ndrei zu null zwischen uns. Ihr habt also keine\nGrundlage, mir zu widersprechen.\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x0E\x0Cオルテンシア\nSchon gut, schon gut. Ihr habt mich überzeugt.\x0E\x04\x00\x00
MID_RELIANCE_A_#025	\x0E\x03\x02\x0E\x0Cオルテンシア\nEs geht mir jetzt wirklich viel besser.\nVielen Dank.\x0E\x04\x00\x00
MID_RELIANCE_A_#026	\x0E\x03\x02\x0E\x0Cオルテンシア\nIch werde weiterhin auf mich achten – und\nweiterhin mein Bestes geben. Ich werde dafür\nsorgen, dass Vater stolz auf mich sein kann.\x0E\x04\x00\x00
MID_RELIANCE_A_#027	\x0E\x03\x02\x0A\x08リンデン\nGenau so. Das ist die richtige Einstellung.\x0E\x04\x00\x00
MID_RELIANCE_A_#028	\x0E\x03\x02\x0A\x08リンデン\nIch habe vielleicht wenig Zeit, aber viele gute\nRatschläge. Wann immer Ihr reden möchtet,\nfindet Ihr bei mir ein offenes Ohr.\x0E\x04\x00\x00
MID_RELIANCE_A_#029	\x0E\x03\x02\x0A\x08リンデン\nIhr seid eine feine und fähige junge Dame.\nIch bin schon sehr gespannt, was Ihr später\nim Leben erreichen werdet.\x0E\x04\x00\x00
MID_RELIANCE_A_#030	\x0E\x03\x02\x0E\x0Cオルテンシア\nAuch Euch werde ich stolz machen, Lindon.\x0E\x04\x00\x00
