MID_OP1_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04不明\x021\n\x0E\x03\x02\x06\x04不明\nWünscht ihr, unschuldig zu bleiben, euch fest\nan die Lehren, denen ihr folgt, zu halten?\x0E\x04\x02\x00
MID_OP2_#023	Dein heißgeliebter Zwilling? Der, den du um\njeden Preis beschützen wolltest, sodass du gar\nvor Vater geflohen bist und alles riskiert hast?\x0E\x04\x02\x00
MID_OP2_#024	Er ist schon ziemlich lange tot.\x0E\x04\x00\x00
MID_OP2_#025	\x0E\x03\x02\x10\x0EE006_エル\n...\x0E\x04\x00\x00
MID_OP2_#026	\x0E\x03\x02\x14\x12E005_Boss\nErkennst du es jetzt? Du bist allein.\x0E\x04\x02\x00
MID_OP2_#027	\x0E\x0A\x00<\x1CDeine geliebte\x1CDein geliebter \x0E\x0A\x00(\x14Wyrmgöttin\x10Wyrmgott, die Vier Winde,\ndein leiblicher Zwillingsbruder – alle fort!\x0E\x04\x02\x00
MID_OP2_#028	Hahahaha. Ist das nicht wundervoll?!\x0E\x04\x02\x00
MID_OP2_#029	Endlich stehen wir uns als Gleiche gegenüber!\nUnd wenn dieser Kampf endlich vorbei ist...\x0E\x04\x02\x00
MID_OP2_#030	kannst du mir ein Ende bereiten.\x0E\x04\x00\x00
MID_OP2_#031	\x0E\x03\x02\x10\x0EE006_エル\nWas?\x0E\x04\x00\x00
MID_OP2_#032	\x0E\x03\x02\x14\x12E005_Boss\nIch war immer ein unglückliches und einsames\nKind. Ich kann mich nicht mal mehr an das\nGesicht meines eigenen Zwillings erinnern.\x0E\x04\x02\x00
MID_OP2_#033	Ich wusste, du würdest mir meine Täuschung\nnie verzeihen, aber für eine Weile... genoss ich\nes, dein Nil zu sein.\x0E\x04\x02\x00
MID_OP2_#034	Du warst so nett und fürsorglich zu mir. So\nfreundlich. Ich begann, in dir meine einzig echte\nSchwester zu sehen...\x0E\x04\x02\x00
MID_OP2_#035	Selbst jetzt sind die Erinnerungen an unsere\nZeit auf Schloss Lythos... für mich unbezahlbar.\x0E\x04\x02\x00
MID_OP2_#036	Aber dieser Schatz ist ein gestohlener Schatz.\nUnd dieser Schmerz... Dieser Schmerz ist uner-\nträglich. Daher bitte ich dich...\x0E\x04\x02\x00
MID_OP2_#037	Bitte beende meine Qual.\x0E\x04\x00\x00
MID_OP2_#038	\x0E\x03\x02\x10\x0EE006_エル\nWas soll das, Nil? Was geht hier vor?\x0E\x04\x00\x00
MID_OP2_#039	\x0E\x03\x02\x14\x12E005_Boss\nNein... Argh. Nein! „Beende meine Qual“?\nJämmerlich! Lachhaft!\x0E\x04\x02\x00
MID_OP2_#040	Vater legte seine Hand auf meine Brust. Er\nnannte mich seinen wahren Erben!\x0E\x04\x02\x00
MID_OP2_#041	Ich muss weitermachen, bis seine Wünsche\nverwirklicht sind!\x0E\x04\x02\x00
MID_OP2_#042	Er hat ganz sicher beabsichtigt, dass ich dieses\nZiel erreiche. Ja, er hätte mich sonst sicherlich\nnicht seinen wahren Erben genannt.\x0E\x04\x02\x00
MID_OP2_#043	Vielleicht war das aber auch ein Trick. Oder\neinfach nur Mitleid. Ich weiß es nicht... Hngh.\nVerfluchter Schmerz, er endet nie!\x0E\x04\x00\x00
MID_OP2_#044	\x0E\x03\x02\x10\x0EE006_エル\nNil! Bleib bei mir.\x0E\x04\x00\x00
MID_OP2_#045	\x0E\x03\x02\x14\x12E005_Boss\nArgh... Ich werde mich würdig erweisen!\x0E\x04\x02\x00
MID_OP2_#046	Ich werde Vater rächen, seinen Wunsch erfüllen,\nund der Erbe des Dämonendrachenvermächt-\nnisses werden!\x0E\x04\x00\x00
MID_OP2_#047	\x0E\x03\x02\x0A\x08リュール\nDas Somniel dieser Welt wurde also vernichtet.\nDas überrascht mich nicht.\x0E\x04\x00\x00
MID_OP2_#048	\x0E\x03\x02\x14\x12E005_Boss\n\x0E\x0A\x00*\x14Göttlicher\x12Göttliche. Ihr seid gekommen.\x0E\x04\x00\x00
MID_OP2_#049	\x0E\x03\x02\x0A\x08リュール\nIch bin nur wegen Nel hier. Bitte, lass sie gehen.\x0E\x04\x00\x00
MID_OP2_#050	\x0E\x03\x02\x14\x12E005_Boss\nBefreie den letzten Armring von seinem Siegel,\nund ich werde es in Erwägung ziehen.\x0E\x04\x00\x00
MID_OP2_#051	\x0E\x03\x02\x0A\x08リュール\nEin Siegel? Wovon sprichst du?\x0E\x04\x00\x00
MID_OP2_#052	\x0E\x03\x02\x14\x12E005_Boss\nDies ist der Armring der drei Häuser.\x0E\x04\x02\x00
MID_OP2_#053	Er wurde mit einem Siegel versehen, sodass\nniemand seiner Macht habhaft werden kann.\x0E\x04\x02\x00
MID_OP2_#054	Die Embleme in seinem Inneren können weder\ngeweckt noch kann der Armring von seinem\nPlatz fortbewegt werden.\x0E\x04\x00\x00
MID_OP2_#055	\x0E\x03\x02\x0A\x08リュール\nDas Somniel ist also vom Himmel gefallen,\naber der Armring blieb an Ort und Stelle. Das\nmuss frustrierend sein.\x0E\x04\x00\x00
MID_OP2_#056	\x0E\x03\x02\x14\x12E005_Boss\nZiemlich. \x0E\x0A\x00\x10\x06Die\x06Der \x0E\x0A\x00(\x14Wyrmgöttin\x10Wyrmgott erzählte mir vor\nder letzten Schlacht gegen Vater von dem\nSiegel.\x0E\x04\x02\x00
MID_OP2_#057	Es kann nur von der Person gebrochen werden,\ndie es angebracht hat. Aber \x0E\x0A\x002\x18diese Närrin\x16dieser Narr ist\nnun tot.\x0E\x04\x02\x00
MID_OP2_#058	Und deswegen kann ich nicht Vaters wahrer\nErbe werden. Nicht, ohne alle sieben Armringe\nin Besitz zu haben.\x0E\x04\x02\x00
MID_OP2_#059	Meine Hoffnung keimte mit Eurer Ankunft\nwieder auf. Ich habe lange auf diesen Augen-\nblick gewartet.\x0E\x04\x00\x00
MID_OP2_#060	\x0E\x03\x02\x0A\x08リュール\nDenn ich kann das Siegel entfernen.\x0E\x04\x00\x00
MID_OP2_#061	\x0E\x03\x02\x14\x12E005_Boss\nDas könnt Ihr. Und das werdet Ihr, sonst töte\nich Nel.\x0E\x04\x00\x00
MID_OP2_#062	\x0E\x03\x02\x10\x0EE006_エル\nTut es nicht, \x0E\x0A\x00*\x14Göttlicher\x12Göttliche.\x0E\x04\x00\x00
MID_OP2_#063	\x0E\x03\x02\x0A\x08リュール\nIch muss es tun. Für dich, Nel.\x0E\x04\x02\x00
MID_OP2_#064	Und fertig. Zufrieden?\x0E\x04\x00\x00
MID_OP2_#065	\x0E\x03\x02\x14\x12E005_Boss\nHehehe. Ahahahaha.\x0E\x04\x02\x00
MID_OP2_#066	Der letzte der Armringe ist endlich in meinem\nBesitz!\x0E\x04\x02\x00
MID_OP2_#067	Erwacht, Embleme! Erfüllt mir mein Begehr!\x0E\x04\x02\x00
MID_OP2_#068	Endlich, Vater... Endlich ist mir Erfolg\nbeschieden!\x0E\x04\x02\x00
MID_OP2_#069	Raaaar!\x0E\x04\x00\x00
MID_OP2_#070	\x0E\x03\x02\x0A\x08リュール\nIch habe getan, was du verlangt hast. Nun lass\nNel gehen.\x0E\x04\x00\x00
MID_OP2_#071	\x0E\x03\x00\x18\x12E006_Boss\x022\n\x0E\x03\x02\x14\x12E006_Boss\nWarum sollte ich das tun? Nun, da ich habe,\nwas ich wollte?\x0E\x04\x00\x00
MID_OP2_#072	\x0E\x03\x02\x0A\x08リュール\nMonster!\x0E\x04\x00\x00
MID_OP2_#073	\x0E\x03\x02\x14\x12E006_Boss\nHahaha. Leb wohl, armselige Schwester!\x0E\x04\x00\x00
MID_OP2_#074	\x0E\x03\x02\x0A\x08リュール\nNel!\x0E\x04\x00\x00
MID_OP2_#075	\x0E\x03\x02\x18\x16E006_セレスティア\nDas reicht jetzt!\x0E\x04\x00\x00
MID_OP2_#076	\x0E\x03\x02\x14\x12E006_Boss\nWas ist das?!\x0E\x04\x00\x00
MID_OP2_#077	\x0E\x03\x02\x0A\x08リュール\nZelestia! Gregory! Madeline!\x0E\x04\x00\x00
MID_OP2_#078	\x0E\x03\x02\x18\x16E006_セレスティア\nSeid Ihr verletzt, Milady Nel?!\x0E\x04\x00\x00
MID_OP2_#079	\x0E\x03\x02\x10\x0EE006_エル\nMeine Winde! Worte vermögen meine Erleich-\nterung nicht auszudrücken.\x0E\x04\x02\x00
MID_OP2_#080	Ich bin so froh, euch wohlauf zu sehen!\x0E\x04\x00\x00
MID_OP2_#081	\x0E\x03\x02\x0A\x08リュール\nMoment. Wo ist Mauvier?\x0E\x04\x00\x00
MID_OP2_#082	\x0E\x03\x02\x18\x16E006_セレスティア\n\x0E\x0A\x00*\x14Göttlicher\x12Göttliche, Milady Nel... Es tut mir so leid.\nMauvier...\x0E\x04\x02\x00
MID_OP2_#083	Mauvier ist...\x0E\x04\x00\x00
MID_OP2_#084	\x0E\x03\x02\x10\x0EE006_エル\nWas ist passiert?\x0E\x04\x00\x00
MID_OP3_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x1C\x16E004_セレスティア\x021\n\x0E\x03\x00\x1A\x14E004_グレゴリー\x022\n\x0E\x03\x00\x16\x10M011_モーヴ\x023\n\x0E\x03\x00\x1A\x14E004_マデリーン\x024\n\x0E\x03\x02\x18\x16E004_セレスティア\nDie Säulen wurden zerstört, der Tempel wird\nnun einstürzen.\x0E\x04\x02\x00
MID_OP3_#002	Leb wohl, meine geliebte Familie...\x0E\x04\x02\x00
MID_OP3_#003	Huch!\x0E\x04\x00\x00
MID_OP3_#004	\x0E\x03\x02\x16\x14E004_グレゴリー\nMauvier?! Hast du da einen Stab für... Teleport?\x0E\x04\x02\x00
MID_OP3_#005	Wo ist Zelestia? Hast du sie nach draußen\ngeschickt?\x0E\x04\x00\x00
MID_OP3_#006	\x0E\x03\x02\x12\x10M011_モーヴ\nDas war von vornherein meine Absicht.\x0E\x04\x02\x00
MID_OP3_#007	Warum sollen alle von uns sterben, wenn es\nausreicht, wenn nur einer von uns hierbleibt?\x0E\x04\x00\x00\n
MID_OP3_#008	\x0E\x03\x02\x16\x14E004_グレゴリー\nDu Idiot! Du kannst dich doch nicht selbst\ndamit nach draußen befördern! Gib das Ding\nher! Wenn jemand zurückbleibt, dann ich!\x0E\x04\x00\x00
MID_OP3_#009	\x0E\x03\x02\x12\x10M011_モーヴ\nGregory, du bist Zelestias neuer Vize. Leiste\nihr gute Dienste.\x0E\x04\x00\x00
MID_OP3_#010	\x0E\x03\x02\x16\x14E004_マデリーン\nWarum hast du uns nicht eingeweiht, Mauvier?\x0E\x04\x00\x00
MID_OP3_#011	\x0E\x03\x02\x12\x10M011_モーヴ\nMadeline, ich wünsche dir das größtmögliche\nGlück. Ich erkenne nun, dass dich zu beschüt-\nzen, mein--\x0E\x04\x00\x00
MID_OP3_#012	\x0E\x03\x02\x16\x14E004_マデリーン\nHör auf damit! Hör auf, dich zu verabschieden!\nIch dachte, wir würden gemeinsam gehen und\nich hätte dies nicht sagen müssen.\x0E\x04\x02\x00
MID_OP3_#013	Mauvier, ich liebe--\x0E\x04\x00\x00
MID_OP3_#014	\x0E\x03\x02\x12\x10M011_モーヴ\nSo. Es ist vollbracht.\x0E\x04\x02\x00
MID_OP3_#015	Es tut mir leid, dass ich euch alle täuschen\nmusste.\x0E\x04\x02\x00
MID_OP3_#016	Ihr wart meine Familie und ich bin dankbar für\njeden Tag, den wir gemeinsam verbracht haben.\x0E\x04\x02\x00
MID_OP3_#017	Aber diese Zeit ist nun vorbei. Von nun an\nmüsst ihr ohne mich weitermachen.\x0E\x04\x02\x00
MID_OP3_#018	Milady Veyle... Bald werde ich bei Euch sein.\x0E\x04\x00\x00
MID_OP4_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x14\x0EE006_エル\x021\n\x0E\x03\x00\x18\x12E006_Boss\x022\n\x0E\x03\x00\x0E\x08リュール\x023\n\x0E\x03\x00\x1C\x16E006_セレスティア\x024\n\x0E\x03\x02\x10\x0EE006_エル\nNein... Mauvier...\x0E\x04\x00\x00
MID_OP4_#002	\x0E\x03\x02\x0A\x08リュール\nIch kann es nicht glauben.\x0E\x04\x00\x00
MID_OP4_#003	\x0E\x03\x02\x18\x16E006_セレスティア\nEin selbstloses, heroisches Opfer. Bis zum\nSchluss war er ein wahrer Ritter.\x0E\x04\x00\x00
MID_OP4_#004	\x0E\x03\x02\x14\x12E006_Boss\nWenn ich daran denke, dass ich nur einen von\neuch elenden Vier Winden zum Schweigen\ngebracht habe... Wieso lebt ihr noch?!\x0E\x04\x02\x00
MID_OP4_#005	Egal. Ihr alle seid in den Augen von Lord\nSombron verabscheuungswürdig. Und ihr\nwerdet hier sterben!\x0E\x04\x00\x00
MID_OP4_#006	\x0E\x03\x02\x0A\x08リュール\nNein, Nil! Wir werden nicht zulassen, dass du\nin Sombrons Fußstapfen trittst!\x0E\x04\x02\x00
MID_OP4_#007	Wir werden verhindern, dass du sein Erbe wirst,\nwas immer dafür auch nötig ist! Winde! Nel!\x0E\x04\x00\x00
MID_OP4_#008	\x0E\x03\x02\x18\x16E006_セレスティア\nJa... Ihr mögt einen von uns getötet haben, aber\nwir sind immer noch ein mächtiger Sturm!\x0E\x04\x00\x00
MID_OP4_#009	\x0E\x03\x00\x1A\x14E006_グレゴリー\x023\x0E\x03\x02\x16\x14E006_グレゴリー\nIch gebe nicht klein bei. Mauvier würde mir\nbefehlen, tapfer zu sein – als neuer Vize.\x0E\x04\x00\x00
MID_OP4_#010	\x0E\x03\x00\x1A\x14E006_マデリーン\x024\x0E\x03\x02\x16\x14E006_マデリーン\nWenn mein Herr den falschen Weg einschlägt,\nist es meine Pflicht, ihn aufzuhalten. Ich werde\ntun, was ich tun muss.\x0E\x04\x00\x00
MID_OP4_#011	\x0E\x03\x02\x10\x0EE006_エル\nIch könnte es nicht ertragen, einen von euch zu\nverlieren. Nicht einen einzigen mehr.\x0E\x04\x02\x00
MID_OP4_#012	Dies soll unsere letzte Schlacht sein.\x0E\x04\x02\x00
MID_OP4_#013	Bruder...\x0E\x04\x00\x00
MID_EV1_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x10\n青リュール\x02b\n\x0E\x06\x00&\n青リュール\x18MPID_Unknown\n\x0E\x03\x04\x0C\n青リュール\n\x0E\x05\x01\x18\n青リュール\nAngry\n\x0E\x03\x02\x0C\n青リュール\nBitte, du musst ihn aufhalten. Du kannst haben,\nwas von meiner Macht noch übrig ist.\x0E\x04\x00\x00
MID_EV1_#002	\x0E\x03\x01\x0C\n青リュール\n\x0E\x03\x00\x0E\x08リュール\x02t\n\x0E\x05\x01\x1C\x08リュール\x10Surprise\n\x0E\x03\x02\x0A\x08リュール\nDas ist... so viel.\x0E\x04\x02\x00
MID_EV1_#003	\x0E\x05\x01\x16\x08リュール\nAngry\nIch danke dir. Ich werde obsiegen!\x0E\x04\x00\x00
MID_EV2_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x14\x0EE006_エル\x02t\n\x0E\x05\x01\x1C\x0EE006_エル\nAngry\n\x0E\x03\x02\x10\x0EE006_エル\nDas Gelände ist instabil. Wir sollten zu dieser\nInsel im Nordwesten eilen.\x0E\x04\x00\x00
MID_EV3_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x14\x0EE006_エル\x02t\n\x0E\x05\x01\x1C\x0EE006_エル\nAngry\n\x0E\x03\x02\x10\x0EE006_エル\nAus dem Wirbel kommt gegnerische Verstär-\nkung. Wir müssen das verhindern, und zwar bei\nallen Wirbeln.\x0E\x04\x00\x00
MID_EV4_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x14\x0EE006_エル\x02t\n\x0E\x05\x01"\x0EE006_エル\x10Surprise\n\x0E\x03\x02\x10\x0EE006_エル\nDas war beunruhigend. Hätte ich dort gestan-\nden, wäre ich mit Sicherheit jetzt nicht mehr\nunter Euch.\x0E\x04\x02\x00
MID_EV4_#002	\x0E\x05\x01\x1A\x0EE006_エル\x08Pain\nNil scheint Macht aus jenen zu ziehen, die er auf\ndiese Weise tötet.\x0E\x04\x02\x00
MID_EV4_#003	\x0E\x05\x01\x1C\x0EE006_エル\nAngry\nEs wäre das Risiko wohl wert, die Anzahl der\nGegner auf einer Insel zu minimieren, bevor sie\nsinkt.\x0E\x04\x00\x00
MID_EV5_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x14\x0EE006_エル\x02t\n\x0E\x05\x01"\x0EE006_エル\x10Surprise\n\x0E\x03\x02\x10\x0EE006_エル\nDort drüben wurde etwas zurückgelassen. Es\nscheint harmlos zu sein, aber vielleicht sollten\nwir uns das mal genauer ansehen.\x0E\x04\x00\x00
MID_BT1_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x18\x12E005_Boss\x02b\n\x0E\x06\x00.\x12E005_Boss\x18MPID_Il_E006\n\x0E\x05\x01 \x12E005_Boss\nSmile\n\x0E\x03\x02\x14\x12E005_Boss\nVermisst Ihr Eure alte Welt? Oh, wie schade.\nEs gibt kein Zurück! Nicht, nachdem Ihr Euch\nmir widersetzt habt.\x0E\x04\x00\x00
MID_BT2_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x18\x12E005_Boss\x02b\n\x0E\x06\x00.\x12E005_Boss\x18MPID_Il_E006\n\x0E\x05\x01\x1E\x12E005_Boss\x08Pain\n\x0E\x03\x02\x14\x12E005_Boss\nIch wurde besiegt? Das kann nicht sein. Vater...\nVater!\x0E\x04\x00\x00
MID_BT3_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x1A\x14E006_Hide1\x02b\n\x0E\x05\x01"\x14E006_Hide1\nSmile\n\x0E\x03\x02\x16\x14E006_Hide1\nIch bin ja so glücklich... Jeder ist hier, wie in\nalten Zeiten. Um ehrlich zu sein, ich habe stets\ngehofft...\x0E\x04\x00\x00
MID_BT4_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x1A\x14E006_Hide1\x02b\n\x0E\x05\x01"\x14E006_Hide1\nSmile\n\x0E\x03\x02\x16\x14E006_Hide1\nNun kann ich wieder mit allen zusammen sein...\nzwischen all den wunderschönen Blumen...\n\x0E\x0A\x00(\x14Wyrmgöttin\x10Wyrmgott, ich...\x0E\x04\x00\x00
MID_BT5_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x1A\x14E006_Hide2\x02b\n\x0E\x05\x01"\x14E006_Hide2\nSmile\n\x0E\x03\x02\x16\x14E006_Hide2\nEndlich! Keine Verpflichtungen mehr, und auch\nkein Druck oder sonst etwas! Ich muss einfach\nnur dieses Unkraut ausrotten.\x0E\x04\x00\x00
MID_BT6_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x1A\x14E006_Hide2\x02b\n\x0E\x05\x01\x1E\x14E006_Hide2\x06Shy\n\x0E\x03\x02\x16\x14E006_Hide2\nIch sterbe mit Stolz und Würde als Letzte der\nköniglichen Familie von Firene. Mutter... Ihr\nsollt wissen, dass ich glücklich war...\x0E\x04\x00\x00
MID_BT7_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x1A\x14E006_Hide3\x02b\n\x0E\x05\x01\x1E\x14E006_Hide3\x06Sad\n\x0E\x03\x02\x16\x14E006_Hide3\nEs scheint, es gibt keine Hoffnung auf Frieden\nwie früher. Wer bleibt, den Thron zu erben?\x0E\x04\x00\x00
MID_BT8_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x1A\x14E006_Hide3\x02b\n\x0E\x05\x01\x1E\x14E006_Hide3\x06Sad\n\x0E\x03\x02\x16\x14E006_Hide3\nVielen Dank. Ich muss nicht länger kämpfen.\nBrodia, es tut mir leid, dass ich ein schwacher\nKönig war...\x0E\x04\x00\x00
MID_BT9_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x1A\x14E006_Hide4\x02b\n\x0E\x05\x01 \x14E006_Hide4\x08Pain\n\x0E\x03\x02\x16\x14E006_Hide4\nIch bin tot? Ich, der brillante zukünftige König?\nDas ist unmöglich. Und doch frage ich mich,\nwie Ihr hierherkommt.\x0E\x04\x00\x00
MID_BT10_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x1A\x14E006_Hide4\x02b\n\x0E\x05\x01\x1E\x14E006_Hide4\x06Sad\n\x0E\x03\x02\x16\x14E006_Hide4\nIch darf nicht weiter Schande über mich\nbringen. Es tut mir leid, dass ich dir kein guter\nBruder war, Diamant...\x0E\x04\x00\x00
MID_BT11_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x1A\x14E006_Hide5\x02b\n\x0E\x05\x01 \x14E006_Hide5\x08Pain\n\x0E\x03\x02\x16\x14E006_Hide5\nIch sollte überglücklich sein, ein Kind des\nDämonendrachen erwacht zu sehen. Warum\nfühle ich mich dann so leer?\x0E\x04\x00\x00
MID_BT12_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x1A\x14E006_Hide5\x02b\n\x0E\x05\x01\x1E\x14E006_Hide5\x06Sad\n\x0E\x03\x02\x16\x14E006_Hide5\nSelbst wenn es zu spät für Reue ist... Ich\nwünschte, ich könnte Hortensia um Verzeihung\nbitten...\x0E\x04\x00\x00
MID_BT13_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x1A\x14E006_Hide6\x02b\n\x0E\x05\x01$\x14E006_Hide6\x0CNormal\n\x0E\x03\x02\x16\x14E006_Hide6\nAlle sind fort. Sogar \x0E\x0A\x00\x10\x06die\x06der \x0E\x0A\x00(\x14Wyrmgöttin\x10Wyrmgott. Und\nniemand wird zurückkommen...\x0E\x04\x00\x00
MID_BT14_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x1A\x14E006_Hide6\x02b\n\x0E\x05\x01"\x14E006_Hide6\nSmile\n\x0E\x03\x02\x16\x14E006_Hide6\nEs ist vorbei... Vielleicht können wir nun alle\nwieder zusammen sein. Vielleicht wird Ivy\nsich nun endlich freuen, mich zu sehen...\x0E\x04\x00\x00
MID_BT24_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x1A\x14E005_Hide1\x02b\n\x0E\x05\x01(\x14E005_Hide1\x10Surprise\n\x0E\x03\x02\x16\x14E005_Hide1\n\x0E\x0A\x00*\x14Göttlicher\x12Göttliche... Haben sie Euch auch ins Leben\nzurückgebracht wie mich?\x0E\x04\x00\x00
MID_BT24_#002	\x0E\x03\x00\x0E\x08リュール\x02t\n\x0E\x05\x01\x16\x08リュール\nAngry\n\x0E\x03\x02\x0A\x08リュール\nNicht ganz. Warte, bedeutet das, du weißt,\ndass du eine Verzerrte bist?\x0E\x04\x00\x00
MID_BT24_#003	\x0E\x05\x01$\x14E005_Hide1\x0CNormal\n\x0E\x03\x02\x16\x14E005_Hide1\nIch hätte in Elusia sterben sollen. Aber wie Ihr\nseht, bin ich noch hier.\x0E\x04\x02\x00
MID_BT24_#004	Wenn Ihr auch zurückgebracht wurdet, dann\nkann ich vielleicht auch alle anderen, die mir\nnahestehen, wiedersehen.\x0E\x04\x02\x00
MID_BT24_#005	\x0E\x05\x01$\x14E005_Hide1\x0CStatus\nIhr seid auf meiner Seite, oder, \x0E\x0A\x00*\x14Göttlicher\x12Göttliche? Ihr\nmüsst es sein. Warum steht Ihr mir dann aber\nim Weg?\x0E\x04\x00\x00
MID_BT15_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x1A\x14E006_Hide7\x02b\n\x0E\x05\x01\x1E\x14E006_Hide7\x06Sad\n\x0E\x03\x02\x16\x14E006_Hide7\nIch tue dies nicht aus Bosheit. Es ist einfach so,\ndass ich eine Pflicht als letzte Königin von Solm\nzu erfüllen habe.\x0E\x04\x00\x00
