MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ジェーデ\x021\n\x0E\x03\x00\x0E\x08ロサード\x022\n\x0E\x03\x02\x0A\x08ジェーデ\nHallo, Rosado. Ich würde dich gerne etwas\nfragen, falls du einen Moment erübrigen kannst.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0A\x08ジェーデ\nManchmal frage ich mich, ob ich versuchen\nsollte, meine Emotionen deutlicher zum\nAusdruck zu bringen.\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0A\x08ロサード\nAber deine mysteriöse Aura ist doch genau, was\ndich so besonders macht. Lass dir ja nicht\neinfallen, sie zu verbergen!\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x0A\x08ジェーデ\nTja dann... werd ich's nicht tuuun, tihihi.\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0A\x08ロサード\nDa! Da war es wieder! Das war so niedlich, ich\nhalt's kaum aus!\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0A\x08ジェーデ\nIch bin froh, dass uns dieses kleine Experiment\neinander nähergebracht hat, Rosado.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0A\x08ジェーデ\nIch habe dadurch zwar keine Methode entdeckt,\nmit der ich die nötige Energie aufbringen\nkönnte, um die ganze Nacht durchzuschreiben...\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0A\x08ジェーデ\nAber diese Lektionen in Niedlichkeit werden mir\ndefinitiv helfen, die witzigen Eigenarten einiger\nmeiner Charaktere genauer auszuarbeiten.\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0A\x08ジェーデ\nEs ist unterhaltsam, sich Gedanken darüber zu\nmachen, wodurch genau etwas niedlich wird.\nIch finde, das ist eine gute kreative Übung.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0A\x08ジェーデ\nIch danke dir dafür, dass du deine Zeit so mit\nmir teilst. Diese Unterhaltungen sind zu etwas\nBesonderem für mich geworden.\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0A\x08ロサード\n...\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x0A\x08ロサード\nDu bist... der Inbegriff der Niedlichkeit!\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x0A\x08ロサード\nDie Art, wie deine wahren Gefühle durchkamen.\nSo rein und glänzend... wie ein Sonnenstrahl!\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x0A\x08ジェーデ\nDankeee! Aber ich muss noch sooo vieles\nlernen von dir, rosiger Rosado, Meister der\nNiedlichkeit, tihihi!\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0A\x08ロサード\nHahaha, das ist zu viel des Lobes! Danke!\x0E\x04\x00\x00
