MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06メリン\x021\n\x0E\x03\x00\x0E\x08パネトネ\x022\n\x0E\x03\x02\x08\x06メリン\nAlles klar. Zeit für unsere tägliche\nGesangsprobe.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x08\x06メリン\nPerfekt! Jetzt wird es niemand mehr wagen, uns\ndie Solmer Lärmtröten zu nennen.\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0A\x08パネトネ\nBestimmt nicht. Wir werden im ganzen\nKöniginreich ein Lächeln auf die Gesichter der\nLeute zaubern.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x08\x06メリン\nAnstatt Löcher in die Trommelfelle!\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0A\x08パネトネ\nWir könnten sogar bald in einem Konzert\nauftreten.\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x08\x06メリン\nIn einem Konzert, hm?\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x0A\x08パネトネ\nUnser Publikum wird so begeistert sein, dass sie\nuns die Solmer Sirenen nennen werden!\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x08\x06メリン\nOh, das wäre fantastisch. Ich möchte, dass die\nLeute mich Sirene nennen.\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0A\x08パネトネ\nIch zittere vor Aufregung. Nehmen wir unsere\nBemühungen der Gesangsproben umgehend\nwieder auf!\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x08\x06メリン\nSo ist es. Wir müssen „Drei Frau hoch“\nschnellstens aufführungsreif bekommen.\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x0A\x08パネトネ\nJa. Wir werden unsere Stimmen zu einer\nzerschmetternden Harmonie verbinden, die\ndie Chefin mit Stolz erfüllen wird!\x0E\x04\x00\x00
