MID_GR_El_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04エル\x021\n\x0E\x03\x00\x0C\x06クロム\x022\n\x0E\x03\x02\x06\x04エル\nWie nostalgisch, wieder mit dir sprechen zu\nkönnen. Es ist lange her.\x0E\x04\x00\x00
MID_GR_Rafale_B_#002	\x0E\x03\x02\x0C\nラファール\nIch gebe nicht mehr vor, Nil zu sein. Und du\nsolltest auch nicht versuchen, jemand anderes\nals du selbst zu sein.\x0E\x04\x00\x00
MID_GR_Rafale_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nラファール\x021\n\x0E\x03\x00\x0C\x06ルフレ\x022\n\x0E\x03\x00\x0C\x06クロム\x023\n\x0E\x03\x02\x0C\nラファール\nIch bin überrascht, dich zu sehen, Daraen.\nIch ging davon aus, dass du mir lieber aus\ndem Weg gehen würdest.\x0E\x04\x00\x00
MID_GR_Rafale_A_#002	\x0E\x03\x02\x08\x06ルフレ\nIch verspüre keinen Hass auf Euch, Rafal.\nIch bin selbst eine Art Dämonendrache.\nDaher kann ich Eure Gefühle nachvollziehen.\x0E\x04\x00\x00
MID_GR_Rafale_A_#003	\x0E\x03\x02\x08\x06クロム\nLassen wir die Vergangenheit hinter uns, um\ngemeinsam eine bessere Zukunft zu erschaffen.\x0E\x04\x00\x00
MID_GR_Rafale_A_#004	\x0E\x03\x02\x0C\nラファール\nIhr habt recht. Auch ich muss die Vergangenheit\nruhen lassen und nach vorne blicken. Vielen\nDank euch beiden.\x0E\x04\x00\x00
MID_GR_Selestia_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cセレスティア\x021\n\x0E\x03\x00\x0C\x06クロム\x022\n\x0E\x03\x02\x08\x06クロム\nWärmt Euch auf, und ruht Euch aus. Eine\nErkältung wäre das Letzte, was Ihr in einem\nKampf gebrauchen könnt.\x0E\x04\x00\x00
MID_GR_Selestia_C_#002	\x0E\x03\x02\x0E\x0Cセレスティア\nMagiedrachen verfügen über eine hohe\nKörpertemperatur. Daher friere ich nicht.\nAber ich weiß die Fürsorge zu schätzen.\x0E\x04\x00\x00
MID_GR_Selestia_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cセレスティア\x021\n\x0E\x03\x00\x0C\x06クロム\x022\n\x0E\x03\x02\x0E\x0Cセレスティア\n\x0E\x03\x02\x08\x06クロム\nZelestia, wurde ich gerade Zeuge, wie Ihr\ngenügend Essen verspeist habt, um zehn Leute\nsatt zu bekommen?\x0E\x04\x00\x00
MID_GR_Selestia_B_#002	\x0E\x03\x02\x0E\x0Cセレスティア\nNatürlich. Magiedrachen haben ja auch einen\nzehnmal größeren Magen... Nur ein Scherz.\nIch war schlichtweg hungrig.\x0E\x04\x00\x00
MID_GR_Selestia_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cセレスティア\x021\n\x0E\x03\x00\x0C\x06クロム\x022\n\x0E\x03\x02\x0E\x0Cセレスティア\nIch möchte den Vier Winden Ehre machen.\nWie wird man ein so großartiger Feldherr\nwie Ihr?\x0E\x04\x00\x00
MID_GR_Selestia_A_#002	\x0E\x03\x02\x08\x06クロム\nBei den Hirten konnte ich mich immer auf meine\nwunderbaren Gefährten verlassen. An mir selbst\nist nichts Großartiges.\x0E\x04\x00\x00
MID_GR_Selestia_A_#003	\x0E\x03\x02\x08\x06クロム\nEiner meiner Ritter hat mir sogar die Steine auf\nmeinem Weg aufgesammelt. Ich mag der An-\nführer sein, aber letztlich bin ich nur ich selbst.\x0E\x04\x00\x00
MID_GR_Selestia_A_#004	\x0E\x03\x02\x0E\x0Cセレスティア\nSeine Schwäche zu zeigen ist ein Zeichen von\nStärke. Danke. Ich hoffe, ich kann ebenso\nwerden wie Ihr.\x0E\x04\x00\x00
MID_GR_Gregory_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nグレゴリー\x021\n\x0E\x03\x00\x0C\x06クロム\x022\n\x0E\x03\x02\x0C\nグレゴリー\nIn Kämpfen mit Euch zusammen habe ich kaum\nZeit, Angst zu empfinden. Wir stürmen einfach\nin die Menge...\x0E\x04\x00\x00
MID_GR_Gregory_C_#002	\x0E\x03\x02\x08\x06クロム\nNun, Daraen ist unser Stratege. Und wenn der\nKampf uns härter macht, kann er Euch auch\ntapferer machen.\x0E\x04\x00\x00
MID_GR_Gregory_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nグレゴリー\x021\n\x0E\x03\x00\x0C\x06クロム\x022\n\x0E\x03\x02\x0C\nグレゴリー\nWas für ein Festmahl wir heute hatten!\nMoment... Ist das Blut auf meiner Kleidung?\nBin ich tödlich verwundet?\x0E\x04\x00\x00
MID_GR_Gregory_B_#002	\x0E\x03\x02\x08\x06クロム\nBeruhigt Euch, Gregory. Das ist kein Blut,\nnur die Tomatensoße von vorhin.\x0E\x04\x00\x00
MID_GR_Gregory_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nグレゴリー\x021\n\x0E\x03\x00\x0C\x06クロム\x022\n\x0E\x03\x02\x0C\nグレゴリー\nIch wäre gern so tapfer wie Ihr. Stattdessen\nmache ich mich lächerlich, indem ich immer\nvor allem wegrenne...\x0E\x04\x00\x00
MID_GR_Gregory_A_#002	\x0E\x03\x02\x08\x06クロム\nGrämt Euch nicht. Sich selbst retten zu wollen\nist ein natürliches Verlangen. Man muss es nur\ngelegentlich im Zaum halten.\x0E\x04\x00\x00
MID_GR_Gregory_A_#003	\x0E\x03\x02\x08\x06クロム\nIch habe auch manchmal Angst. Angst, meine\nFreunde zu verlieren – und das inspiriert mich,\nstark zu bleiben und weiterzukämpfen.\x0E\x04\x00\x00
MID_GR_Gregory_A_#004	\x0E\x03\x02\x0C\nグレゴリー\nAngst als Inspiration der Stärke... Ja, das werde\nich das nächste Mal versuchen. Gebt mich noch\nnicht auf!\x0E\x04\x00\x00
MID_GR_Madeline_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nマデリーン\x021\n\x0E\x03\x00\x0C\x06クロム\x022\n\x0E\x03\x02\x08\x06クロム\nEine Biene? Hier? Sucht sie etwa Blütennektar?\nAh, sie fliegt zu Euch hinüber, Madeline.\x0E\x04\x00\x00
MID_GR_Madeline_C_#002	\x0E\x03\x02\x0C\nマデリーン\nB-B-Biene?! Die kenne ich aus meiner Welt\nnicht. Nicht, dass ich Angst hätte, aber... gehen\nwir lieber woanders hin!\x0E\x04\x00\x00
MID_GR_Madeline_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nマデリーン\x021\n\x0E\x03\x00\x0C\x06クロム\x022\n\x0E\x03\x02\x08\x06クロム\nHabt Ihr Angst vor Insekten? Ich könnte Daraen\num eine Strategie bitten, sie fortzujagen.\x0E\x04\x00\x00
MID_GR_Madeline_B_#002	\x0E\x03\x02\x0C\nマデリーン\nGibt es so eine Strategie überhaupt?\nÄh, n-nicht nötig. Eine aufstrebende\nRitterin fürchtet doch kein Insekt!\x0E\x04\x00\x00
MID_GR_Madeline_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nマデリーン\x021\n\x0E\x03\x00\x0C\x06クロム\x022\n\x0E\x03\x02\x08\x06クロム\nEure Eltern sind sicherlich stolz darauf, dass Ihr\nihre Durchsetzungsfähigkeit geerbt habt. Ich\ndarf das sagen – ich bin selbst Vater.\x0E\x04\x00\x00
MID_GR_Madeline_A_#002	\x0E\x03\x02\x0C\nマデリーン\nIhr habt eine Tochter? Aber Ihr seht noch so\njung aus! Das hätte ich nicht erwartet. Ihr habt\nnie etwas von ihr erwähnt.\x0E\x04\x00\x00
MID_GR_Madeline_A_#003	\x0E\x03\x02\x08\x06クロム\nHabe ich nicht? Nun, jetzt schon. Ich werde\nüber Euch wachen, bis Ihr eine Ritterin\ngeworden seid!\x0E\x04\x00\x00
MID_GR_Madeline_A_#004	\x0E\x03\x02\x0C\nマデリーン\nBitte behandelt mich nicht wie ein Kind. Aber...\nich weiß den Gedanken zu schätzen. Ich\nverlasse mich auf Euch.\x0E\x04\x00\x00
