MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08アンバー\x021\n\x0E\x03\x00\x0E\x08ゼルコバ\x022\n\x0E\x03\x02\x0A\x08ゼルコバ\nAmber. Ich möchte mit dir... sprechen.\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0A\x08アンバー\nJa, das stimmt. Die Alpakas zu Hause sind\nsehr flauschig – und SUPERFLUFFIG.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0A\x08ゼルコバ\nIch muss diese Wolle haben, Amber. Du musst\nsie für mich... besorgen...\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0A\x08アンバー\nNun, ich könnte meinen Leuten zu Hause einen\nBrief schreiben. Sie würden mir bestimmt Wolle\nschicken... Aber wozu denn?\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0A\x08ゼルコバ\nSie wird zum... Stricken... benötigt.\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x0A\x08アンバー\nWhoa. Du strickst gerne, Zelkov? Das hätte\nich nie im Leben vermutet.\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x0A\x08ゼルコバ\nEs sollte dich nicht... überraschen... dass ich\neiner Handarbeit von solch delikater Feinheit\nund Eleganz nachgehe.\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x02\x0A\x08ゼルコバ\nZurück zur Sache. Ich benötige Alpakawolle\nder höchsten Qualität, um mein... ultimatives...\nMeisterstück anzufertigen.\x0E\x04\x00\x00
MID_RELIANCE_C_#019	\x0E\x03\x02\x0A\x08アンバー\nIch bin dabei! Wenn es nur ums Handarbeiten\ngeht, beschaffe ich dir die Sachen. Kein\nProblem.\x0E\x04\x00\x00
MID_RELIANCE_C_#020	\x0E\x03\x02\x0A\x08アンバー\nAußerdem kann ich dann auch sehen, was\ndu daraus genau machst. Ich wette, es ist\netwas Seltsames.\x0E\x04\x00\x00
MID_RELIANCE_C_#021	\x0E\x03\x02\x0A\x08ゼルコバ\nDanke schön, Amber. Ich bin dankbar für\ndeine... Hilfestellung... in dieser Sache.\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08アンバー\x021\n\x0E\x03\x00\x0E\x08ゼルコバ\x022\n\x0E\x03\x02\x0A\x08アンバー\nTut mir leid, dass du warten musstest, Zelkov.\nRate, was gerade eben angekommen ist!\nDie Alpakawolle von zu Hause.\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x0A\x08ゼルコバ\nGanz ausgezeichnet. Im Hinblick auf den\nAspekt der... Fluffigkeit... übersteigt sie meine\nkühnsten Vorstellungen.\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0A\x08アンバー\nNatürlich tut sie das! Alpakawolle ist warm,\nleicht und superreißfest. Das perfekte Material!\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0A\x08ゼルコバ\nSie ist in der Tat vom Feinsten. Nun ist\ndie Erschaffung meines... ultimativen...\nMeisterstücks gesichert.\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0A\x08ゼルコバ\nWenn die ganze Strickwelt ihre Augen auf mein\nWerk legt, Amber, dann wirst... du... ihre\nDankbarkeit besitzen.\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x0A\x08アンバー\nMeine Familie strickt ebenfalls Sachen aus\nAlpakawolle. Siehst du meinen Pulli? Den\nhat mein Vater gestrickt!\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0A\x08ゼルコバ\nAha. Nun, was die... Bezahlung... angeht...\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0A\x08アンバー\nOh, ich möchte kein Geld von dir. Sieh es als\nGeschenk an!\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0A\x08ゼルコバ\nMan muss Dienste, die man in Anspruch nahm,\nauch bezahlen. Ansonsten hat man... Schulden.\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0A\x08アンバー\nEhrlich, ist schon gut. Ich habe meinen Leuten\nin einem Brief von dir erzählt. Sie freuten sich,\ndir Wolle schicken zu können!\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0A\x08アンバー\nIch erzählte, dass du mit dem berühmten flau-\nschigen Zeug von unserer Farm etwas herstellen\nmöchtest. Da sagten sie, es sei umsonst!\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0A\x08アンバー\nDu würdest doch solch eine Freundlichkeit\nvon einigen einfachen Alpakafarmern nicht\nabweisen, nicht wahr?\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0A\x08ゼルコバ\nWenn es zum Wohle derer ist, die mir die Wolle\nzur Verfügung gestellt haben, dann werde ich...\nwiderwillig... akzeptieren.\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x0A\x08ゼルコバ\nAber ich werde ihnen ein Zeichen meiner Dank-\nbarkeit zukommen lassen. Ein Oberteil... makel-\nlos... mit handwerklichem Geschick erschaffen.\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0A\x08ゼルコバ\nIch kann die Tiefe meiner Wertschätzung...\nnur... zum Ausdruck bringen, indem ich ihre\nFertigkeiten übertreffe.\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0A\x08アンバー\nWhoa! Ich wette, meine Leute zu Hause wären\nbegeistert, einen Pulli zu bekommen, der von\ndir gestrickt wurde, Zelkov.\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x0A\x08ゼルコバ\nDamit ist es beschlossen. Ich werde nicht ruhen,\nbis deine ganze Familie... bewundert... was ich\nanfertige.\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08アンバー\x021\n\x0E\x03\x00\x0E\x08ゼルコバ\x022\n\x0E\x03\x02\x0A\x08ゼルコバ\nMeine bedeutende Arbeit ist... vollendet...\nAmber. Dies hier werde ich deiner Familie\nschicken.\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x0A\x08アンバー\nWhoa! Zelkov! Ich kann das gar nicht glauben!\nDiese Stiche, diese Handwerkskunst...\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0A\x08アンバー\nDas ist der absolut perfekteste Pulli, den\nich je im Leben gesehen habe! Der schlägt\nsogar die Sachen, die meine Familie herstellt.\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x0A\x08ゼルコバ\nIch habe meiner Dankbarkeit nun... Ausdruck...\nverliehen. Leb wohl.\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0A\x08アンバー\nHey, Zelkov! Warte!\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0A\x08ゼルコバ\nHm? Gibt es... noch... etwas?\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0A\x08アンバー\nIch meine das wirklich so. Du hast Generationen\nvon selbst entwickelten Strickfertigkeiten mit\neinem einzigen Pulli übertroffen.\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0A\x08アンバー\nIch weiß, du hast dir dabei viel Mühe gegeben,\naber dahinter muss doch ein Geheimnis stecken.\nWie hast du das geschafft?\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x0A\x08ゼルコバ\nMüßige Betätigungen geben mir einen\nGrund, um weiterzuleben. Sie sind so eine Art\nvon... Fallsicherung.\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0A\x08アンバー\nWie eine Rückversicherung?\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0A\x08ゼルコバ\nIch fürchte mich am meisten davor, ohne einen\nZweck zu leben. ...Keine... Motivation zu\nbesitzen.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0A\x08ゼルコバ\nMein momentaner Zweck ist, Prinzessin Ivy\nzu... schützen. Aber dieser Zweck besteht nur\nso lange, bis Frieden eingekehrt ist.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0A\x08ゼルコバ\nDaher benötige ich eine... Fallsicherung. Einen\nzweiten Zweck, den ich bedeutsam finde.\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0A\x08アンバー\nWhoa. Das klingt anstrengend. Ich meine, ich\nhabe meine eigenen Ziele, aber meistens habe\nich eigentlich immer nur Spaß.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0A\x08ゼルコバ\nIn dieser Hinsicht, Amber... beneide... ich dich.\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0A\x08アンバー\nHör zu, Zelkov... Wenn du nach dem Krieg\nwirklich deinen Grund zu leben verlierst...\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x0A\x08アンバー\nWarum ziehst du dann nicht in mein altes\nHeimatdorf? Du weißt schon, der Weiler mit\nden Alpakas?\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x0A\x08ゼルコバ\nWelchem... Zweck... sollte das dienen?\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x0A\x08アンバー\nMachst du Witze? Mit deinen Strickkünsten\nwürden die Leute dir das Geld nur so hinterher-\nwerfen!\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0A\x08アンバー\nDu könntest Kleidung und Dekorationen aus\nAlpakawolle herstellen – und jeden Tag echte\nAlpakas streicheln!\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x0A\x08ゼルコバ\nDarin kann ich einen gewissen... Reiz...\nerkennen.\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x0A\x08アンバー\nDu solltest auf jeden Fall den Ort vorher\nbesuchen. Du weißt schon, um ein Gefühl dafür\nzu bekommen, bevor du dorthin ziehst.\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x0A\x08アンバー\nMeine ganze Familie – mich eingeschlossen –\nwürde dich mit offenen Armen und jeder Menge\nUmarmungen empfangen!\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x0A\x08ゼルコバ\nNun gut. Ich werde es sicher mal... besuchen.\x0E\x04\x00\x00
MID_RELIANCE_A_#025	\x0E\x03\x02\x0A\x08ゼルコバ\nWas immer die Zukunft auch für uns bereithält,\nzumindest haben wir nun etwas, auf das wir\nuns freuen können.\x0E\x04\x00\x00
