MID_GR_El_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04エル\x021\n\x0E\x03\x00\x0E\x08セネリオ\x022\n\x0E\x03\x02\x0A\x08セネリオ\nDu bist durch die ganze Welt gereist – für\nFremde? Du bist seltsam.\x0E\x04\x00\x00
MID_GR_Rafale_B_#002	\x0E\x03\x02\x0A\x08セネリオ\nWenn du Zeit hast, dich auf andere zu\nkonzentrieren, warum widmest du diese Zeit\ndann nicht deinen Freunden?\x0E\x04\x00\x00
MID_GR_Rafale_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nラファール\x021\n\x0E\x03\x00\x0E\x08セネリオ\x022\n\x0E\x03\x02\x0C\nラファール\nWarum starrst du mich so an? Benötigst du so\ndringend meine Aufmerksamkeit?\x0E\x04\x00\x00
MID_GR_Rafale_A_#002	\x0E\x03\x02\x0A\x08セネリオ\nIch kenne jemanden, der war wie du... er hatte\nschwarze Flügel... Und war jemand, den ich\nebenfalls nicht zum Freund haben wollte.\x0E\x04\x00\x00
MID_GR_Rafale_A_#003	\x0E\x03\x02\x0C\nラファール\nWie ungewöhnlich – du sprichst über dich! Du\nhast mein Interesse geweckt. Sprich weiter.\x0E\x04\x00\x00
MID_GR_Rafale_A_#004	\x0E\x03\x02\x0A\x08セネリオ\n...Schon gut. Vergiss es.\x0E\x04\x00\x00
MID_GR_Selestia_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cセレスティア\x021\n\x0E\x03\x00\x0E\x08セネリオ\x022\n\x0E\x03\x02\x0E\x0Cセレスティア\nEs ist mir erneut ein Vergnügen, Euch zu tref-\nfen. Ich erinnere mich, dass ich mich mit Euch\nirgendwie verwandt fühlte. Wie kann das sein?\x0E\x04\x00\x00
MID_GR_Selestia_C_#002	\x0E\x03\x02\x0A\x08セネリオ\nWer weiß? Vielleicht bildest du dir das nur ein.\x0E\x04\x00\x00
MID_GR_Selestia_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cセレスティア\x021\n\x0E\x03\x00\x0E\x08セネリオ\x022\n\x0E\x03\x02\x0E\x0Cセレスティア\nIhr besitzt immer noch eine große Macht, Soren.\nIch bin ein Magiedrache, dennoch ist meine\nMagie schwach. Ich beneide Euch.\x0E\x04\x00\x00
MID_GR_Selestia_B_#002	\x0E\x03\x02\x0A\x08セネリオ\n...Wirklich? Ich habe niemals um diese Macht\ngebeten.\x0E\x04\x00\x00
MID_GR_Selestia_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cセレスティア\x021\n\x0E\x03\x00\x0E\x08セネリオ\x022\n\x0E\x03\x02\x0E\x0Cセレスティア\nSoren... Was unser Gespräch neulich angeht...\x0E\x04\x00\x00
MID_GR_Selestia_A_#002	\x0E\x03\x02\x0E\x0Cセレスティア\nIch kenne Euch kaum und doch beneidete ich\nEuch sofort um Eure Macht. Bitte verzeiht.\nMeine Worte waren unsensibel.\x0E\x04\x00\x00
MID_GR_Selestia_A_#003	\x0E\x03\x02\x0A\x08セネリオ\nSchon gut. Ich nehme zurück, dass ich die\nMacht nicht haben wollte.\x0E\x04\x00\x00
MID_GR_Selestia_A_#004	\x0E\x03\x02\x0A\x08セネリオ\nDiese Macht hat mir zu einem Platz in der\nWelt verholfen. Ohne sie wäre mein Wunsch\nnie in Erfüllung gegangen.\x0E\x04\x00\x00
MID_GR_Gregory_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nグレゴリー\x021\n\x0E\x03\x00\x0E\x08セネリオ\x022\n\x0E\x03\x02\x0C\nグレゴリー\nIhr seid ein Stratege, ja? Bitte nehmt mich gerne\nzur Unterstützung dazu. Also, wenn es gar nicht\nanders geht.\x0E\x04\x00\x00
MID_GR_Gregory_C_#002	\x0E\x03\x02\x0A\x08セネリオ\nFalls du vorhaben solltest, wegzurennen, werde\nich dich dort einsetzen, wo es keine Flucht-\nmöglichkeit gibt.\x0E\x04\x00\x00
MID_GR_Gregory_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nグレゴリー\x021\n\x0E\x03\x00\x0E\x08セネリオ\x022\n\x0E\x03\x02\x0A\x08セネリオ\nWieso versuchst du ständig, wegzurennen? Hast\ndu irgendwo noch Schulden?\x0E\x04\x00\x00
MID_GR_Gregory_B_#002	\x0E\x03\x02\x0C\nグレゴリー\nWie bitte? Ich laufe nicht aufgrund von\nSchulden weg. Wie kommt Ihr denn auf so was?\x0E\x04\x00\x00
MID_GR_Gregory_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nグレゴリー\x021\n\x0E\x03\x00\x0E\x08セネリオ\x022\n\x0E\x03\x02\x0C\nグレゴリー\nMöchtet Ihr ein wenig spazieren gehen oder so?\nSicherlich braucht Ihr doch auch mal eine\nAbwechslung?\x0E\x04\x00\x00
MID_GR_Gregory_A_#002	\x0E\x03\x02\x0A\x08セネリオ\nIch brauche nichts.\x0E\x04\x00\x00
MID_GR_Gregory_A_#003	\x0E\x03\x02\x0C\nグレゴリー\nOh... Nun, sollte Euch irgendetwas plagen,\nlasst es mich wissen. Ich bin für Euch da.\x0E\x04\x00\x00
MID_GR_Gregory_A_#004	\x0E\x03\x02\x0A\x08セネリオ\nDu und ich könnten unterschiedlicher nicht\nsein. Bitte erspare mir deine unerwünschte\nAufmerksamkeit.\x0E\x04\x00\x00
MID_GR_Madeline_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nマデリーン\x021\n\x0E\x03\x00\x0E\x08セネリオ\x022\n\x0E\x03\x02\x0C\nマデリーン\nSir Soren, habt Ihr gerade Zeit? Ich würde Euch\ngerne um eine Trainingsrunde bitten!\x0E\x04\x00\x00
MID_GR_Madeline_C_#002	\x0E\x03\x02\x0A\x08セネリオ\nWieso fragst du da gerade mich? Du musst\ndoch viele andere Trainingspartner haben.\x0E\x04\x00\x00
MID_GR_Madeline_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nマデリーン\x021\n\x0E\x03\x00\x0E\x08セネリオ\x022\n\x0E\x03\x02\x0A\x08セネリオ\nDeine Angriffe sind zu schlicht angelegt. So\nals ob du dem Gegner sagen würdest, wann\ner ausweichen solle.\x0E\x04\x00\x00
MID_GR_Madeline_B_#002	\x0E\x03\x02\x0C\nマデリーン\nIhr beobachtet mich wirklich genau. Dabei\nseid Ihr immer so kühl und distanziert. Das\nüberrascht mich jetzt.\x0E\x04\x00\x00
MID_GR_Madeline_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nマデリーン\x021\n\x0E\x03\x00\x0E\x08セネリオ\x022\n\x0E\x03\x02\x0A\x08セネリオ\nVielleicht solltest du deinen Wunsch, eine\nRitterin zu werden, für eine Weile aufgeben.\x0E\x04\x00\x00
MID_GR_Madeline_A_#002	\x0E\x03\x02\x0C\nマデリーン\nWie? B-bedeutet... Bedeutet das, Ihr denkt,\nich könne keine Ritterin werden?\x0E\x04\x00\x00
MID_GR_Madeline_A_#003	\x0E\x03\x02\x0A\x08セネリオ\nDu erinnerst mich an jemanden, der... für\ndie Aufgabe nicht geschaffen war. Du musst\ndich nicht dazu zwingen.\x0E\x04\x00\x00
MID_GR_Madeline_A_#004	\x0E\x03\x02\x0C\nマデリーン\nIch weiß Euren Rat zu schätzen, aber ich werde\nmich nicht überfordern.\x0E\x04\x00\x00
