MID_Hub_ThisTime	Akt. Zeit
MID_Hub_Mascot_Accessories_Help	Wähle, was du ändern möchtest.
MID_Hub_Mascot_Accessories_Choice	Wähle ein Accessoire.
MID_Hub_Mascot_Accessories_Parts	Accessoires
MID_Hub_Mascot_Accessories_Head	Kopf
MID_Hub_Mascot_Accessories_Tail	Schweif
MID_Hub_Mascot_Accessories_Color	Schalfarbe
MID_Hub_Mascot_Accessories_Color_Choice	Wähle die Farbe des Schals.
MID_Hub_Mascot_Accessories_None	Nichts
MID_Hub_Pedestal	Podest
MID_Hub_Skill_Inheritance	Fähigkeiten erben
MID_Hub_Ring_Gacha	Band-Ringe erstellen
MID_Hub_Ring_Merge	Band-Ringe verschmelzen
MID_Hub_Ring_Cleaning	Ringe polieren
MID_Hub_RefineGodWeapon	Bündniswaffen
MID_Hub_Inheritance_End	Geerbt
MID_Hub_Inheritance_Level	Ab Lv. \x0E\x01\x00\x00
MID_Hub_Inheritance_Invalid	Dieser Effekt tritt während eines\nBündnisses mit Emblem \x0E\x01\x00\x00\nnicht zusätzlich in Kraft.
MID_Hub_Inheritance_Skill	Geerbte Fähigkeiten
MID_Hub_Inheritance_Skill_HELP	Wähle eine Fähigkeit zum Erben.
MID_Hub_Inheritance_LevelHelp	Ab Band-Level \x0E\x01\x00\x00
MID_Hub_GodBodLevel	Band-Level
MID_Hub_Inheritance_Skill_Confirmation	Diese Fähigkeit erben?
MID_Hub_Inheritance_Skill_Yes	Erben
MID_Hub_Inheritance_Skill_Finish	\x0E\x01\x00\x00\x0E\x01\x01\x00 geerbt.
MID_Hub_Ring_Common_God_Empty	Du hast keine Ringe.
MID_Hub_H_Ring_Gacha	Wähle ein Emblem, um Ringe zu erstellen.
MID_Hub_Ring_Gacha_TotalRefinedCount	Insgesamt erstellt
MID_Hub_Ring_Gacha_RingList	Erhaltene Ringe des Bandes
MID_Hub_Ring_Gacha_1_Time_TitleHelp	Wähle die zu erstellende Menge.
MID_Hub_Ring_Gacha_1_Time	1 erstellen
MID_Hub_Ring_Gacha_10_Times	10 erstellen
MID_Hub_Ring_Gacha_New	NEU!
MID_Hub_Ring_Merge_Help	Einzuschmelzende Ringe wählen.
MID_Hub_Ring_Merge_Empty	Keine vorhanden.
MID_Hub_Ring_Merge_Needed_Count	Benötigte Materialien:
MID_Hub_Ring_Merge_Failed_Full	Du kannst keine Ringe mehr tragen.
MID_Hub_Ring_Merge_Confirm	Diese Ringe des Bandes einschmelzen?
MID_Hub_Ring_Merge_Yes	Einschmelzen
MID_Hub_Ring_Cleaning_GodSelect	Wähle einen Ring zum Polieren.
MID_Hub_Ring_Cleaning_Help	Wähle, wer ihn polieren soll.
MID_Hub_Ring_Cleaning_Confirm	\x0E\x01\x00\x00 von \x0E\x01\x01\x00 polieren lassen?
MID_Hub_Ring_Cleaning_Yes	Polieren
MID_Hub_Ring_Cleaning_Finish	Beenden
MID_Hub_Ring_Cleaning_Finish_Confirm	Polieren beenden?
MID_Hub_RefineGodWeapon_Refine	Verstärken
MID_Hub_RefineGodWeapon_Refine_Help	Bündniswaffe zum Verstärken wählen.
MID_Hub_RefineGodWeapon_RefineCapacity	Kapazität
MID_Hub_RefineGodWeapon_RefineStatus	Werte
MID_Hub_RefineGodWeapon_Empty	Keine Bündniswaffen verfügbar.
MID_Hub_RefineGodWeapon_Nothing	Keine Verstärkungen.
MID_Hub_RefineGodWeapon_SelectParam_Help	Zu verstärkenden Wert wählen.
MID_Hub_RefineGodWeapon_Comfirm	\x0E\x01\x01\x00 von \x0E\x01\x00\x00 verstärken?
MID_Hub_RefineGodWeapon_Contents	Verstärken:
MID_Hub_RefineGodWeapon_Comfirm_Skill	Effektivität zur Waffe „\x0E\x01\x01\x00“ von\n\x0E\x01\x00\x00 hinzufügen?
MID_Hub_RefineGodWeapon_Comfirm_Skill_Yes	Hinzufügen
MID_Hub_RefineGodWeapon_Comfirm_Skill_Change	Effektivität der Waffe „\x0E\x01\x01\x00“ von\n\x0E\x01\x00\x00 ersetzen?
MID_Hub_RefineGodWeapon_Comfirm_Skill_Change_Yes	Ersetzen
MID_Hub_RefineGodWeapon_Comfirm_Yes	Verstärken
MID_Hub_RefineGodWeapon_Comfirm2	\x0E\x01\x01\x00 von \x0E\x01\x00\x00 auf\n\x0E\x01\x02\x00 Lv. \x0E\x01\x03\x00 verstärkt.
MID_Hub_RefineGodWeapon_Comfirm2_Skill	\x0E\x01\x02\x00 zur Waffe „\x0E\x01\x01\x00“ von\n\x0E\x01\x00\x00 hinzugefügt.
MID_Hub_RefineGodWeapon_PowerUpValue	Kap.-Bedarf
MID_Hub_RefineGodWeapon_Reset	Entfernen
MID_Hub_RefineGodWeapon_Reset_Help	Wähle eine Bündniswaffe, von der etwas entfernt werden soll.
MID_Hub_RefineGodWeapon_ResetParam_Help	Wähle eine Verstärkung, die entfernt werden soll.
MID_Hub_RefineGodWeapon_Reset_Comfirm	\x0E\x01\x01\x00 von \x0E\x01\x00\x00 auf\n\x0E\x01\x02\x00 Lv. \x0E\x01\x03\x00 zurücksetzen?
MID_Hub_RefineGodWeapon_Reset_Comfirm_Skill	\x0E\x01\x02\x00 von der Waffe „\x0E\x01\x01\x00“\nvon \x0E\x01\x00\x00 entfernen?
MID_Hub_RefineGodWeapon_Reset_Comfirm_Yes	Entfernen
MID_Hub_RefineGodWeapon_Reset_Comfirm2	\x0E\x01\x01\x00 von \x0E\x01\x00\x00 auf\n\x0E\x01\x02\x00 Lv. \x0E\x01\x03\x00 zurückgesetzt.
MID_Hub_RefineGodWeapon_Reset_Comfirm2_Skill	\x0E\x01\x02\x00 von der Waffe „\x0E\x01\x01\x00“\nvon \x0E\x01\x00\x00 entfernt.
MID_Hub_Arena_Gate	Trainingssiegel
MID_Hub_Arena_Limit	Übrig:
MID_Hub_Arena_Lv_MAX	Max. Band-Level erreicht.
MID_Hub_Arena_Lv_Cap	Sieh das Gespräch an, um\nden Band-Level zu erhöhen.
MID_Hub_Arena_Lv_Cap_Look	Band-Gespräch ansehen
MID_Hub_Arena_Lv_Once	Du kannst den Band-Level\njeweils nur um 5 erhöhen.
MID_Hub_Arena_Help	Wähle eine Aktion.
MID_Hub_Arena_Start	Standard
MID_Hub_Arena_Start_Help	Wähle eine Einheit zum Trainieren.
MID_Hub_Arena_GodRelianceUp_Start	Emblem
MID_Hub_Arena_GodRelianceUp_Start_Got_Select_Help	Wähle einen Emblem-Partner.
MID_Hub_Arena_GodRelianceUp_Lv_Select	Wähle einen Band-Level.
MID_Hub_Arena_GodRelianceUp_Help	Lass eine Einheit mit einem\nEmblem trainieren, um ihren\nBand-Level zu erhöhen.\nMehr Level kosten mehr\nFragmente des Bandes.
MID_Hub_Arena_GodRelianceUp_Start_Confirm	Training mit \x0E\x01\x00\x00 und \x0E\x01\x01\x00 beginnen?
MID_Hub_Arena_NoWeapon	Dieser Charakter kann am Training nicht\nteilnehmen, da er keine ausrüstbaren Waffen\nbei sich trägt.
MID_Hub_Arena_Start_Confirm	Training von \x0E\x01\x00\x00 beginnen?
MID_Hub_Arena_Win	SIEG
MID_Hub_Arena_Lose	NIEDERLAGE
MID_Hub_Arena_Draw	UNENTSCHIEDEN
MID_Hub_Arena_BattleStart	VS.
MID_Hub_Level_Choice	Wähle eine Schwierigkeit.
MID_Hub_NewLevel_Open	Wird im Verlauf des Spiels freigeschaltet.
MID_Hub_MiniGame_Expert	Experte
MID_Hub_MiniGame_Start	LOS!
MID_Hub_MiniGame_Finish	ENDE!
MID_Hub_MiniGame_Stop	STOPP!
MID_Hub_Mascot_Take_MuscleExercises	Brauchst du einen Trainingspartner?\n\x0E\x06\x05\x00 hilft dir, wenn seine\nZuneigung zu dir groß genug ist.
MID_Hub_Mascot_Take_MuscleExercises_Yes	Mit \x0E\x06\x05\x00 trainieren
MID_Hub_Mascot_NoTake_MuscleExercises	Allein trainieren
MID_Hub_Mascot_Take_Fishing	Brauchst du einen Angelpartner?\n\x0E\x06\x05\x00 hilft dir, wenn seine\nZuneigung zu dir groß genug ist.
MID_Hub_Mascot_Take_Fishing_Yes	Mit \x0E\x06\x05\x00 angeln
MID_Hub_Mascot_NoTake_Fishing	Allein angeln
MID_Hub_Mascot_Take_DragonRide	Brauchst du einen Reitpartner?\n\x0E\x06\x05\x00 hilft dir, wenn seine\nZuneigung zu dir groß genug ist.
MID_Hub_Mascot_Take_DragonRide_Yes	Mit \x0E\x06\x05\x00 reiten
MID_Hub_Mascot_NoTake_DragonRide	Allein reiten
MID_Hub_MiniGame_AddDifficulty	Schwierigkeitsgrad „\x0E\x01\x00\x00“\nwurde hinzugefügt.
MID_Hub_MiniGame_AddDifficulty_Muscle	Schwierigkeitsgrad „Eisern“ wurde hinzugefügt.\n(Diese Schwierigkeit dient dazu, deinen eigenen\nRekord zu brechen. Er beinhaltet keine\nBelohnungen oder Werte-Erhöhungen.)
MID_Hub_MiniGame_MascotHelp	Beistand
MID_Hub_MiniGame_MascotHelp_Count	Beistände
MID_Hub_MiniGame_ThisTimeScore	Punkte
MID_Hub_MiniGame_BestScore	Rekord
MID_Hub_MiniGame_NoScore	Kein Rekord
MID_Hub_MiniGame_TryResult	Ergebnis
MID_Hub_MiniGame_DifficultyTipe	Niveau: \x0E\x01\x00\x00
MID_Hub_MiniGame_NewRecord	Neuer Rekord!
MID_Hub_MiniGame_Result_SSS	A+++
MID_Hub_MiniGame_Result_SS	A++
MID_Hub_MiniGame_Result_S	A+
MID_Hub_MiniGame_Result_A	A
MID_Hub_MiniGame_Result_B	B
MID_Hub_MiniGame_Result_C	C
MID_Hub_MiniGame_Result_D	D
MID_Hub_MiniGame_Result_E	E
MID_Hub_MiniGame_Result_F	F
MID_Hub_MuscleExercises_Menu_Choice	Wähle eine Übung.
MID_Hub_MuscleExercises_Rule	Regeln
MID_Hub_MuscleExercises_Effect	Effekt
MID_Hub_MuscleExercises_Continuity	Du erhältst keine weiteren Boni oder\nBelohnungen. Möchtest du das Krafttraining\ndennoch fortsetzen?
MID_Hub_MuscleExercises_Continuity_Unacquired	Möchtest du das Krafttraining fortsetzen?
MID_Hub_MuscleExercises_Continuity_Yes	Fortsetzen
MID_Hub_MuscleExercises_Muscle	Eisern
MID_Hub_MuscleExercises_Perfect	Perfekt
MID_Hub_MuscleExercises_Good	Gut
MID_Hub_MuscleExercises_Bad	Schlecht
MID_Hub_MuscleExercises_Assist	Beistand
MID_Hub_MuscleExercises_SpeedUp	Schneller!
MID_Hub_MuscleExercises_Record	Aktueller Rekord
MID_Hub_MuscleExercises_SuccessCount	Erfolge
MID_Hub_MuscleExercises_ErrorCount	Fehler
MID_Hub_MuscleExercises_Result	Ergebnis
MID_Hub_MuscleExercises_StatusUp	\x0E\x01\x00\x00 +\x0E\x01\x01\x00 im nächsten Kampf.
MID_Hub_MuscleExercises_PushUps	Liegestütze
MID_Hub_MuscleExercises_PushUps_Rule_0	Halte die Leiste in der\nrichtigen Position an.
MID_Hub_MuscleExercises_PushUps_Rule_1	Tempo wird höher. Nach\ndrei Fehlern ist es vorbei.
MID_Hub_MuscleExercises_PushUps_Rule_2	Stä. von \x0E\x06\x03\x00 im\nnächsten Kampf evtl. höher.
MID_Hub_MuscleExercises_Ads	Klappmesser
MID_Hub_MuscleExercises_Ads_Rule_0	Fülle d. Leiste durch schnel-\nles Drücken des Knopfes.
MID_Hub_MuscleExercises_Ads_Rule_1	Drücke so schnell du kannst.\nSpielende bei leerer Leiste.
MID_Hub_MuscleExercises_Ads_Rule_2	KP von \x0E\x06\x03\x00 im\nnächsten Kampf evtl. höher.
MID_Hub_MuscleExercises_Squat	Kniebeugen
MID_Hub_MuscleExercises_Squat_Rule_0	Bewege beide Sticks der\nAnzeige entsprechend.
MID_Hub_MuscleExercises_Squat_Rule_1	Folge den Pfeilen. Nach\ndrei Fehlern ist es vorbei.
MID_Hub_MuscleExercises_Squat_Rule_2	Beh. von \x0E\x06\x03\x00 im\nnächsten Kampf evtl. höher.
MID_Hub_Fishing_Continue_RodSelect	Wähle eine Angelrute.
MID_Hub_Fishing_Continue	Weiterangeln?
MID_Hub_Fish_Pcture_Book	Fischlexikon
MID_Hub_Fishing_BonusFish	Bonus-Spezies
MID_Hub_Fishing_Rod	Angelrute
MID_Hub_Fishing_Fish	Fische
MID_Hub_Fishing_Limit	Noch
MID_Hub_Fishing_Count	Gefangen
MID_Hub_Fishing_Success	Geschafft
MID_Hub_Fishing_Perfect	Perfekt
MID_Hub_Fishing_Escaped_Fast	Zu früh...
MID_Hub_Fishing_Escaped_Late	Zu spät...
MID_Hub_Fishing_Escaped	Er ist entkommen...
MID_Hub_Fishing_BestSize	Rekord
MID_Hub_Fishing_Centimeter	cm
MID_Hub_Fishing_Size	Größe
MID_Hub_Fishing_TinySize	Winzig
MID_Hub_Fishing_SmallSize	Klein
MID_Hub_Fishing_MiddleSize	Mittel
MID_Hub_Fishing_LargeSize	Groß
MID_Hub_Fishing_BigSize	Sehr groß
MID_Hub_Fishing_GiantSize	Riesig
MID_Hub_Fishing_Shadow_Small	Kleiner Schatten
MID_Hub_Fishing_Shadow_Big	Großer Schatten
MID_Hub_Fishing_Shadow_Giant	Riesiger Schatten
MID_Hub_Fishing_GetItem	Erhalt. Items
MID_Hub_Fishing_Conditions	Angel-Tipps
MID_Hub_Fishing_TimeZone	Tageszeit
MID_Hub_Fishing_TimeZone_Night	\x0E\x08\x02\x10\x0EEveningAbend\x0E\x08\x02\x0C\nNightNacht
MID_Hub_Fishing_FishType	Gefangene Fischarten
MID_Hub_Fishing_Continue_Yes	Weiter
MID_Hub_Fishing_End	Beenden
MID_Hub_Fishing_Bonus	BONUS!
MID_Hub_Fishing_Hit	ANBISS!
MID_Hub_Fishing_UnicornChar	Einhornforelle
MID_Hub_H_Fishing_UnicornChar	Das Horn, das an ihrem Kopf\nwächst, bricht manchmal. Ihr\nFleisch wird zu Paste verarbeitet.
MID_Hub_Fishing_PonYamame	Sint-Forelle
MID_Hub_H_Fishing_PonYamame	Das schöne gepunktete Muster\nan ihren Seiten verblasst mit\nder Zeit. Ihr Fleisch ist delikat.
MID_Hub_Fishing_HellKoi	Caria-Karpfen
MID_Hub_H_Fishing_HellKoi	Seine manchmal lebhaften Farben\nmachen ihn zu einem beliebten\nHaustier. Nahrhaft und delikat.
MID_Hub_Fishing_RavanaTrout	Tierra-Forelle
MID_Hub_H_Fishing_RavanaTrout	Leicht zu fangen. Ein Fisch aus\nElusia, der getrocknet wird, um\nseinen Geschmack zu erhalten.
MID_Hub_Fishing_SlitFinSalmon	Tipa-Lachs
MID_Hub_H_Fishing_SlitFinSalmon	Der meistgefangene Fisch in\nBrodia. Bekannt für seine langen\nFlossen und sein rotes Fleisch.
MID_Hub_Fishing_MandCobbBass	Monvill-Barsch
MID_Hub_H_Fishing_MandCobbBass	Ein wahres Monster, beliebt beim\nBarschwettfischen in Solm.\nErgibt schmackhaftes Sashimi.
MID_Hub_Fishing_BanganHerring	Samia-Hering
MID_Hub_H_Fishing_BanganHerring	Seine oft großen Schulen über-\nraschen Fischer mit einem guten\nFang. Von mildem Geschmack.
MID_Hub_Fishing_TeoteSquid	Paffo-Kalmar
MID_Hub_H_Fishing_TeoteSquid	Kluge Fischer machen es sich\nzum Vorteil, dass sie Glitzerndes\nlieben. Wird fein gehackt serviert.
MID_Hub_Fishing_BlosEel	Mykenä-Aal
MID_Hub_H_Fishing_BlosEel	Sein schleimiger Körper macht es\nschwierig, ihn vom Haken zu lö-\nsen. Von herzhaftem Geschmack.
MID_Hub_Fishing_LogerOctopus	Matob-Oktopus
MID_Hub_H_Fishing_LogerOctopus	Man sollte ihn einholen, bevor er\nsich an Felsen festhält. Sein\nganzer Körper ist genießbar.
MID_Hub_Fishing_HegeBeardCatfish	Mir-Wels
MID_Hub_H_Fishing_HegeBeardCatfish	Er navigiert mithilfe seiner langen\nBarteln. Wird gekocht, gebraten\noder getrocknet serviert.
MID_Hub_Fishing_SarriaDogMorayEel	Canisaria-Aal
MID_Hub_H_Fishing_SarriaDogMorayEel	Dicker, aggressiver Fisch mit\ngefährlich scharfen Fängen. Sein\nFleisch ist voll im Geschmack.
MID_Hub_Fishing_OmemeSardine	Glotz-Sardine
MID_Hub_H_Fishing_OmemeSardine	Ein kleiner Fisch aus Firene, der\nzum Selbstschutz in Schwärmen\nschwimmt. Leicht zu säubern.
MID_Hub_Fishing_AvidCrab	Samar-Krabbe
MID_Hub_H_Fishing_AvidCrab	Bei Tagesanbruch leichter zu\nfangen, da sie sich am Tag im\nSand versteckt. Schale ist essbar.
MID_Hub_Fishing_MunonTailHorseMackerel	Gela-Makrele
MID_Hub_H_Fishing_MunonTailHorseMackerel	Gut geeignet für jene, die die\nZubereitung von Fisch üben\nwollen. Getrocknet sehr lecker.
MID_Hub_Fishing_DosmaRay	Flachkopf-Rochen
MID_Hub_H_Fishing_DosmaRay	Der Schwanz ist giftig. Das\nMuster auf seinem Bauch über-\nrascht alle mit einem Lächeln.
MID_Hub_Fishing_DemonFangCod	Valcamo-Dorsch
MID_Hub_H_Fishing_DemonFangCod	Erstklassiger Fisch, beliebt in\nBrodia und Firene. Alles von ihm\nwird verwendet.
MID_Hub_Fishing_TephraSkipjack	Bisot-Thunfisch
MID_Hub_H_Fishing_TephraSkipjack	Ein kräftiger Fisch, der um sein\nLeben kämpft. Frische Gerichte\nvon diesem Fisch sind beliebt.
MID_Hub_Fishing_RainbowTrout	Prismaforelle
MID_Hub_H_Fishing_RainbowTrout	Ein extrem seltener, mysteriöser\nFisch mit bunten Schuppen. Er\nist eine wahre Delikatesse.
MID_Hub_Fishing_EnchantSkipjack	Mirakelthunfisch
MID_Hub_H_Fishing_EnchantSkipjack	Wenig ist über diese seltene Art\nvon Thunfisch bekannt, da sie\nsich so schwer fangen lässt.
MID_Hub_DragonRide_NowScore	Punkte:
MID_Hub_DragonRide_BreakTarget	Treffer
MID_Hub_DragonRide_Target_Pattern	Typen
MID_Hub_DragonRide_Target_Normals	Standard
MID_Hub_DragonRide_Target_Normals_Help	Ein Standardziel, das bei\nTreffern mit Drachen-\nschlag zerstört wird.
MID_Hub_DragonRide_Target_Big	Explosiv
MID_Hub_DragonRide_Target_Big_Help	Zerstört alle Ziele in der\nUmgebung, wenn es\ngetroffen wird.
MID_Hub_DragonRide_Target_Link	Kette
MID_Hub_DragonRide_Target_Link_Help	Zerstört benachbarte\nZiele in einer Reihe, wenn\nes getroffen wird.
MID_Hub_DragonRide_Target_Special	Verstärker
MID_Hub_DragonRide_Target_Special_Help	Stärkt deinen Drachen-\nschlag vorübergehend,\nwenn es getroffen wird.
MID_Hub_DragonRide_Target_Rroulette	Wild
MID_Hub_DragonRide_Target_Rroulette_Help	Dieses Ziel ändert seinen\nTyp fortlaufend, bis es\ngetroffen wird.
MID_Hub_DragonRide_Operation	Steuerung
MID_Hub_DragonRide_Operation_Title_Stick	Steuerung (Sticks)
MID_Hub_DragonRide_Operation_Title_Gyro	Bewegungsst.
MID_Hub_DragonRide_Operation_To_Stick	Zu Sticks wechseln
MID_Hub_DragonRide_Operation_To_Gyro	Zu Bewegungsst. wechseln
MID_Hub_DragonRide_Operation_Plus	Pause/Zurück
MID_Hub_DragonRide_Operation_A	Feuerschlag
MID_Hub_DragonRide_Operation_Y	Zieltempo
