MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0E\x08ジェーデ\x022\n\x0E\x03\x02\x0A\x08リュール\nJade! Geht es dir gut?!\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0A\x08ジェーデ\nIch denke, ich habe einen bleibenden Eindruck\nhinterlassen... und jede Menge blaue Flecken.\nDie kommen nie wieder.\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0A\x08ジェーデ\nIch danke Euch, dass Ihr so besorgt um mich\nwart. Ihr müsst Euch um meine Sicherheit nun\nkeine Gedanken mehr machen.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0A\x08リュール\nUnglaublich. Du hast das wirklich ganz allein\ngeregelt, genau, wie du es angekündigt hattest.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0A\x08リュール\nIch muss zugeben... Ich bin ein wenig\nenttäuscht. Ich hatte wirklich gehofft,\ndir dabei helfen zu können.\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0A\x08ジェーデ\nOh, ich würde Euch niemals in meine\nungelösten Angelegenheiten hineinziehen,\n\x0E\x0A\x00*\x14Göttlicher\x12Göttliche.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0A\x08リュール\nWarum nicht? Wir sind Freunde, Jade.\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0A\x08ジェーデ\nFreunde...\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x0A\x08ジェーデ\nHm.\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x0A\x08リュール\nWas ist denn?\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x0A\x08ジェーデ\nIch bin einfach glücklich.\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0A\x08ジェーデ\nIch weiß, manchmal ist es schwer, meinen\nGesichtsausdruck zu deuten. Ich bin nicht sehr\ngut darin, meine Gefühle zu zeigen.\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x0A\x08ジェーデ\nAber es tut mir wirklich leid, Euch Sorgen\nbereitet zu haben. Vielen Dank, dass Ihr Euch\num mich sorgt, \x0E\x0A\x00*\x14Göttlicher\x12Göttliche.\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x0A\x08リュール\nEs ist mir ein Vergnügen, Jade.\x0E\x04\x00\x00
MID_RELIANCE_S_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0E\x08ジェーデ\x022\n\x0E\x03\x02\x0A\x08リュール\nJade... Dein Vater studiert Edelsteine und deine\nMutter stellt Schmuck her. Stimmt das?\x0E\x04\x00\x00
MID_RELIANCE_S_#002	\x0E\x03\x02\x0A\x08ジェーデ\nDas stimmt, \x0E\x0A\x00*\x14Göttlicher\x12Göttliche.\x0E\x04\x00\x00
MID_RELIANCE_S_#003	\x0E\x03\x02\x0A\x08ジェーデ\nIch lebte in einem Ort mit vielen Minen.\nJeder dort hatte etwas mit Mineralien oder\nEdelsteinen zu tun.\x0E\x04\x00\x00
MID_RELIANCE_S_#004	\x0E\x03\x02\x0A\x08ジェーデ\nIch hätte meiner Mutter gerne ab und zu bei\nihrer Arbeit mit dem Schmuck geholfen, aber\nich hatte zwei linke Hände.\x0E\x04\x00\x00
MID_RELIANCE_S_#005	\x0E\x03\x02\x0A\x08ジェーデ\nAlso schloss ich mich schließlich den Wachen\nan, die unsere Minen bewachten.\x0E\x04\x00\x00
MID_RELIANCE_S_#006	\x0E\x03\x02\x0A\x08リュール\nDu hast dich bestimmt schon als Kind mit\nEdelsteinen und Schmuck beschäftigt.\x0E\x04\x00\x00
MID_RELIANCE_S_#007	\x0E\x03\x02\x0A\x08ジェーデ\nNatürlich. Wahrscheinlich kenne ich mich damit\nbesser aus als die meisten.\x0E\x04\x00\x00
MID_RELIANCE_S_#008	\x0E\x03\x02\x0A\x08リュール\nIn dem Fall würde ich gerne deine Meinung\nhierzu hören...\x0E\x04\x00\x00
MID_RELIANCE_S_#009	\x0E\x03\x02\x0A\x08ジェーデ\nDer Paktring?\x0E\x04\x00\x00
MID_RELIANCE_S_#010	\x0E\x03\x02\x0A\x08ジェーデ\nHmm.\x0E\x04\x00\x00
MID_RELIANCE_S_#011	\x0E\x03\x02\x0A\x08ジェーデ\nIhm wohnt eine geheimnisvolle Macht inne.\nKein anderer Ring hat sich je so angefühlt.\x0E\x04\x00\x00
MID_RELIANCE_S_#012	\x0E\x03\x02\x0A\x08リュール\nGenau das finde ich auch.\x0E\x04\x00\x00
MID_RELIANCE_S_#013	\x0E\x03\x02\x0A\x08リュール\nNun, sowohl der Ring als auch seine Macht\ngehören jetzt dir, Jade.\x0E\x04\x00\x00
MID_RELIANCE_S_#014	\x0E\x03\x02\x0A\x08ジェーデ\nHuch? W-wie meint Ihr das?\x0E\x04\x00\x00
MID_RELIANCE_S_#015	\x0E\x03\x02\x0A\x08リュール\nIch meine, sie gehören nun dir – sofern du sie\nhaben möchtest. Lass sie ein Symbol des Ban-\ndes sein, das uns immer stärker verbindet.\x0E\x04\x00\x00
MID_RELIANCE_S_#016	\x0E\x03\x02\x0A\x08リュール\nIch möchte an deiner Seite bleiben, Jade. Dann\nwirst du nie wieder allein kämpfen müssen.\x0E\x04\x00\x00
MID_RELIANCE_S_#017	\x0E\x03\x02\x0A\x08リュール\nAlso... Wirst du den Ring annehmen? Bitte?\x0E\x04\x00\x00
MID_RELIANCE_S_#018	\x0E\x03\x02\x0A\x08ジェーデ\n...\x0E\x04\x00\x00
MID_RELIANCE_S_#019	\x0E\x03\x02\x0A\x08リュール\nEs war kein Scherz, als du sagtest, deine Mimik\nwäre manchmal nicht ganz einfach zu deuten,\noder?\x0E\x04\x00\x00
MID_RELIANCE_S_#020	\x0E\x03\x02\x0A\x08リュール\nAber ich glaube, ich verstehe dich. Ich weiß,\nwas du jetzt fühlst.\x0E\x04\x00\x00
MID_RELIANCE_S_#021	\x0E\x03\x02\x0A\x08ジェーデ\nJa. Ich weiß, dass Ihr das tut.\x0E\x04\x00\x00
MID_RELIANCE_S_#022	\x0E\x03\x02\x0A\x08ジェーデ\nIch bin glücklich. Ich bin so, so glücklich.\x0E\x04\x00\x00
MID_RELIANCE_S_#023	\x0E\x03\x02\x0A\x08ジェーデ\nEs ist wirklich der Paktring... Ich danke Euch.\nSo sehr.\x0E\x04\x00\x00
MID_RELIANCE_S_#024	\x0E\x03\x02\x0A\x08リュール\nWirst du den Weg an meiner Seite fortsetzen?\x0E\x04\x00\x00
MID_RELIANCE_S_#025	\x0E\x03\x02\x0A\x08ジェーデ\nAber natürlich, \x0E\x0A\x00(\x10Wyrmgott\x14Wyrmgöttin \x0E\x06\x03\x00.\x0E\x04\x00\x00
MID_RELIANCE_S_#026	\x0E\x03\x02\x0A\x08ジェーデ\nDas Band, das uns verbindet, ist nun stärker\nals Eisen... und nichts wird es durchtrennen\nkönnen.\x0E\x04\x00\x00
