MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08パンドロ\x021\n\x0E\x03\x00\x0C\x06モーヴ\x022\n\x0E\x03\x02\x08\x06モーヴ\n...\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x08\x06モーヴ\nDu willst Zeit mit trivialem Geschwätz\nverschwenden, während die Welt voller Leiden\nist?\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0A\x08パンドロ\nSoweit ich weiß, dürfen selbst Priester ab und\nzu eine Pause einlegen.\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x08\x06モーヴ\nUnd während wir rasten, wächst das Leid. Nein,\nich bleibe meiner Sache treu.\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0A\x08パンドロ\nÄh... hm... Wie wär's, wenn du ausnahmsweise\ndeine Pläne heute mal änderst? Die Sachen auf\nmeine Art angehst?\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0A\x08パンドロ\nKomm schon. Die leidenden Massen sind in\neiner Stunde auch noch da, versprochen.\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x08\x06モーヴ\n...\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x08\x06モーヴ\nDein Humor stößt auf taube Ohren, Pandreo.\nDennoch... werde ich mit dir speisen. Dieses\neine Mal.\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0A\x08パンドロ\nHey. Das war ja leichter als erwartet.\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x0A\x08パンドロ\nIch weiß genau den richtigen Ort. Es wird\ngroßartig.\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08パンドロ\x021\n\x0E\x03\x00\x0C\x06モーヴ\x022\n\x0E\x03\x02\x0A\x08パンドロ\nAlso, was sagst du? Es war doch schön, mal zu\nentspannen und gemeinsam das Brot zu\nbrechen, oder?\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x08\x06モーヴ\nErstaunlicherweise war die Gesellschaft ebenso\nwunderbar wie die Speise.\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x08\x06モーヴ\nIch begreife nun deine Denkweise. Es ist\nwichtig, sich von Zeit zu Zeit zu erholen.\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x0A\x08パンドロ\nHab ich's nicht gesagt?\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0A\x08パンドロ\nDann lass uns morgen gleich wieder zusammen\nessen.\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x08\x06モーヴ\nBedaure, aber nein.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0A\x08パンドロ\nWas? Wieso?\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x08\x06モーヴ\nWeil nun du an der Reihe bist, meinen Ansatz\ndes Lebens zu erfahren.\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x0A\x08パンドロ\nHm?\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x08\x06モーヴ\nIch lehre dich die Kunst, dich vollumfänglich der\nHilfe für andere hinzugeben.\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0A\x08パンドロ\nNun, du hast meine Art versucht, da ist es nur\nfair, wenn ich auch deine ausprobiere.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0A\x08パンドロ\nWer weiß? Vielleicht lerne ich ja was.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0A\x08パンドロ\nAber danach solltest du auf jeden Fall wieder\nmit mir essen gehen.\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x08\x06モーヴ\nIch hatte nur diesem einzigen Mahl zugestimmt.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0A\x08パンドロ\nWir sollten uns abwechseln. Einen Tag meine\nArt, den nächsten Tag wieder deine...\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x08\x06モーヴ\nUnd so weiter, in alle Ewigkeit.\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x0A\x08パンドロ\nExakt. Reichen wir einander die Hände und\nbeten erneut für den Weltfrieden.\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x08\x06モーヴ\nHahaha, du bist wirklich hartnäckig.\x0E\x04\x00\x00
