MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0E\x08ロサード\x022\n\x0E\x03\x02\x0A\x08リュール\nHallo, Rosado.\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0A\x08ロサード\nJepp. Aber es ist wirklich ein interessantes\nGerücht.\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0A\x08ロサード\nEin Gerücht über einen Ort mit einer Aussicht,\ndie jede Mühe wert ist.\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0A\x08ロサード\nWenn nur ein Fünkchen Wahrheit darin liegt,\nkann mich nichts davon fernhalten. Keine\nEntfernung, keine Erschöpfung, kein Durst!\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0A\x08リュール\nIch bewundere, wie sehr du deine Arbeit liebst,\nRosado.\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0A\x08ロサード\nIch liebe zwar vor allem die „Daumen hoch“ von\nanderen, aber danke.\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0A\x08リュール\nDaumen... hoch?\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x0A\x08ロサード\nAch, Ihr wisst schon. Lächeln, Komplimente –\nalles, womit die Leute mir zeigen, dass ihnen\nmeine Kunst gefällt.\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0A\x08ロサード\nJe öfter ich höre, dass jemandem meine\nZeichnungen gefallen, desto glücklicher bin ich.\nUnd umso motivierter!\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0A\x08リュール\nEs ist auf jeden Fall erhebend, wenn jemand\ndeine Arbeit sieht und schätzt.\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x0A\x08ロサード\nOh! Wir sind fast da – kommt!\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x0A\x08ロサード\nDas Zeichnen ist wichtig für mich, aber auch\ndie Reise, die zu einer Zeichnung führt.\nGenießen wir diesen Ort – Ihr und ich!\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x0A\x08リュール\nIch folge dir, Rosado.\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0E\x08ロサード\x022\n\x0E\x03\x02\x0A\x08リュール\nRosado, deine Interpretation der Landschaft von\nneulich ist einfach atemberaubend.\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x0A\x08リュール\nIch sah sie im Café ausgestellt. Jeder, der dort\nvorbeikam, blieb stehen und konnte seine Augen\nnicht abwenden.\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0A\x08ロサード\nOh, ich bin so froh! Da war der Ausflug doch\ndie Mühe wert, nicht wahr?\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x0A\x08リュール\nDas war er. Obwohl wir fast ertrunken wären,\nals wir diesen Fluss durchquerten.\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0A\x08リュール\nUnd dann das Rudel Wölfe, das uns jagte!\nIch dachte wirklich, nun hätte unser letztes\nStündlein geschlagen.\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0A\x08リュール\nAber das alles sind jetzt nur noch schöne\nErinnerungen. Und die Aussicht am Ende\nhat uns für alles entschädigt.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0A\x08ロサード\nVielen Dank, dass Ihr mit mir gekommen seid.\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0A\x08ロサード\nOhne Eure Hilfe hätte ich das Bild nie zeichnen\nkönnen.\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x0A\x08リュール\nIch wollte dich fragen, Rosado – geht es dir\nbei deiner Leidenschaft wirklich nur darum,\ndass es anderen gefällt?\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0A\x08ロサード\nWie?\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0A\x08リュール\nAls ich dich zeichnen sah, fühlte es sich an, als\nhättest du ein anderes Ziel, weit entfernt von\nder Beurteilung durch andere.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0A\x08ロサード\nJa... schon, irgendwie.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0A\x08ロサード\nDie Welt ist voller Schönheit. Die meisten\nwerden nur einen Bruchteil davon sehen.\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0A\x08リュール\nDas ist wahr. Es gibt wohl kaum jemanden,\nder jemals alles Schöne mit eigenen Augen\nsehen wird.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0A\x08ロサード\nDas ist wirklich eine Verschwendung, nicht\nwahr?\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0A\x08ロサード\nDort draußen gibt es so viel Schönes, für das\nes nicht einmal einen Namen gibt. Einzigartige\nund kostbare Dinge.\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x0A\x08ロサード\nAber wenn ich anderen ein wenig von dieser\nVielfalt in der Welt zeigen kann, dann bin ich\nglücklich.\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x0A\x08ロサード\nIch denke, ich kann dabei helfen, eine Welt zu\nerschaffen, in der jeder jeden akzeptiert und\ndie Verschiedenheiten der anderen schätzt.\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x0A\x08リュール\nDen Geist öffnen, indem man den Leuten neue\nDinge zeigt... Ich wusste nicht, dass in dir so ein\nDenker steckt.\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0A\x08ロサード\nHa! Vielleicht tue ich mich ja auch nur wichtig.\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x0A\x08リュール\nÜberhaupt nicht. Ich achte dich sehr, Rosado.\nNun sogar noch mehr.\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x0A\x08ロサード\nIch danke Euch. Das bedeutet mir sehr viel.\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x0A\x08ロサード\nMöchtet Ihr mich das nächste Mal wieder\nbegleiten, wenn ich mich auf die Suche nach\neiner schönen Landschaft mache?\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x0A\x08リュール\nLiebend gern. Ich bin gespannt darauf, was du\nmir nächstes Mal zeigen wirst!\x0E\x04\x00\x00
MID_RELIANCE_S_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0E\x08ロサード\x022\n\x0E\x03\x02\x0A\x08ロサード\nHey \x0E\x0A\x00*\x14Göttlicher\x12Göttliche. Ihr findet doch auch, dass ich\nniedlich bin, oder?\x0E\x04\x00\x00
MID_RELIANCE_S_#002	\x0E\x03\x02\x0A\x08リュール\nJa, ich finde, du bist niedlich.\x0E\x04\x00\x00
MID_RELIANCE_S_#003	\x0E\x03\x02\x0A\x08ロサード\nSchön, dass wir uns da einig sind. Das sollte\ndies leichter machen.\x0E\x04\x00\x00
MID_RELIANCE_S_#004	\x0E\x03\x02\x0A\x08ロサード\nDa ich die niedlichste Person in Eurem Leben\nbin, möchte ich Euch dies geben.\x0E\x04\x00\x00
MID_RELIANCE_S_#005	\x0E\x03\x02\x0A\x08リュール\nÄh, ja?\x0E\x04\x00\x00
MID_RELIANCE_S_#006	\x0E\x03\x02\x0A\x08ロサード\nHier. Was haltet Ihr davon, \x0E\x0A\x00*\x14Göttlicher\x12Göttliche?\x0E\x04\x00\x00
MID_RELIANCE_S_#007	\x0E\x03\x02\x0A\x08リュール\nEin Haarschmuck? Der ist wunderschön.\x0E\x04\x00\x00
MID_RELIANCE_S_#008	\x0E\x03\x02\x0A\x08ロサード\nNichts als das Beste für Euch! Ich habe ihn aus\ndem Feendorf, meiner Heimat!\x0E\x04\x00\x00
MID_RELIANCE_S_#009	\x0E\x03\x02\x0A\x08リュール\nVielen Dank! Aber warum gibst du ihn mir?\x0E\x04\x00\x00
MID_RELIANCE_S_#010	\x0E\x03\x02\x0A\x08ロサード\nIch dachte mir, wenn Ihr den tragen würdet,\nwäret Ihr die niedlichste Person in Eurem\nLeben.\x0E\x04\x00\x00
MID_RELIANCE_S_#011	\x0E\x03\x02\x0A\x08リュール\nIch? \x0E\x0A\x00\x10\x06Der\x06Die Niedlichste?\x0E\x04\x00\x00
MID_RELIANCE_S_#012	\x0E\x03\x02\x0A\x08ロサード\nGenau. Ich bin ein Experte auf diesem Gebiet,\ndaher sollte ich das wohl wissen.\x0E\x04\x00\x00
MID_RELIANCE_S_#013	\x0E\x03\x02\x0A\x08ロサード\nIhr wäret nicht nur \x0E\x0A\x00\x10\x06der\x06die Niedlichste in Eurem\neigenen Leben, sondern auch in meinem.\x0E\x04\x00\x00
MID_RELIANCE_S_#014	\x0E\x03\x02\x0A\x08リュール\n...\x0E\x04\x00\x00
MID_RELIANCE_S_#015	\x0E\x03\x02\x0A\x08ロサード\nIch bin sicher, Ihr versteht, dass es für mich\nnicht leicht ist, so etwas zu gestehen.\x0E\x04\x00\x00
MID_RELIANCE_S_#016	\x0E\x03\x02\x0A\x08ロサード\nAber ich kann mir nicht helfen. Ihr seid für mich\njemand ganz Besonderes, \x0E\x0A\x00*\x14Göttlicher\x12Göttliche.\x0E\x04\x00\x00
MID_RELIANCE_S_#017	\x0E\x03\x02\x0A\x08リュール\nDafür gibt es einen Daumen hoch.\x0E\x04\x00\x00
MID_RELIANCE_S_#018	\x0E\x03\x02\x0A\x08ロサード\nHahaha, was denn?\x0E\x04\x00\x00
MID_RELIANCE_S_#019	\x0E\x03\x02\x0A\x08リュール\nIch bin froh über dein Geständnis. Ich fühle\ndir gegenüber dasselbe, Rosado.\x0E\x04\x00\x00
MID_RELIANCE_S_#020	\x0E\x03\x02\x0A\x08リュール\nDu bist mein bester und engster Freund. Ich\nbin dankbar, ein Teil deines Lebens sein zu\ndürfen.\x0E\x04\x00\x00
MID_RELIANCE_S_#021	\x0E\x03\x02\x0A\x08ロサード\nOooch, \x0E\x0A\x00*\x14Göttlicher\x12Göttliche...\x0E\x04\x00\x00
MID_RELIANCE_S_#022	\x0E\x03\x02\x0A\x08リュール\nAlso dann... Ich möchte dir ebenfalls etwas\ngeben.\x0E\x04\x00\x00
MID_RELIANCE_S_#023	\x0E\x03\x02\x0A\x08ロサード\nDer Paktring? Der ist ein kostbares Geschenk.\nSeid Ihr Euch sicher, dass ich ihn haben soll?\x0E\x04\x00\x00
MID_RELIANCE_S_#024	\x0E\x03\x02\x0A\x08リュール\nIch kann dir nicht einen Daumen hoch geben\nund es dabei belassen. Diese Geste drückt\nmeine Gefühle besser aus.\x0E\x04\x00\x00
MID_RELIANCE_S_#025	\x0E\x03\x02\x0A\x08ロサード\nIn dem Falle bin ich glücklich und nehme ihn\nan. Das ist immerhin ein niedlicher Ring! Es\npasst, dass er von Euch kommt.\x0E\x04\x00\x00
MID_RELIANCE_S_#026	\x0E\x03\x02\x0A\x08ロサード\nUnd da diese Art von Niedlichkeit zu allem\npasst, werde ich ihn immer tragen.\x0E\x04\x00\x00
MID_RELIANCE_S_#027	\x0E\x03\x02\x0A\x08リュール\nBitte, tu das. Nichts würde mich glücklicher\nmachen.\x0E\x04\x00\x00
MID_RELIANCE_S_#028	\x0E\x03\x02\x0A\x08ロサード\nDann lasst ihn uns als Erinnerung an unsere\newige Freundschaft ansehen, \x0E\x06\x03\x00.\x0E\x04\x00\x00
MID_RELIANCE_S_#029	\x0E\x03\x02\x0A\x08ロサード\nEgal, was auch passiert, seht Ihr diesen Ring\nan meinem Finger, dann wisst Ihr, dass ich für\nEuch da sein werde.\x0E\x04\x00\x00
