MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08アンバー\x021\n\x0E\x03\x00\x0E\x08セアダス\x022\n\x0E\x03\x02\x0A\x08セアダス\nWas? Wirklich?! Hier?! Lese... ich das gerade\nrichtig?\x0E\x04\x00\x00
MID_RELIANCE_B_#026	\x0E\x03\x02\x0A\x08アンバー\nNein, ist doch nicht deine Schuld. Ich bin\nderjenige, der sich zum Narren gemacht hat.\nSag deinen Karten, dass es mir leid tut...\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08アンバー\x021\n\x0E\x03\x00\x0E\x08セアダス\x022\n\x0E\x03\x02\x0A\x08セアダス\nAmber, kann ich kurz mit dir reden?\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x0A\x08アンバー\nOh, Seadall. Tut mir leid, aber ich möchte\neigentlich gerne für eine Weile allein sein.\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0A\x08アンバー\nDie Sache mit dem „Regenerlöser“ ist mir immer\nnoch ziemlich peinlich. Ich bin wirklich ein\nDummkopf.\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x0A\x08セアダス\nDarüber wollte ich gerade mit dir reden.\nEs hat geregnet. Du bist also wirklich ein\nErlöser!\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0A\x08アンバー\nÄh...\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0A\x08アンバー\nWhoa.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0A\x08アンバー\nWarte, nein! Ich war dort. Ich habe all das Zeugs\ngemacht und es kam kein einziger Tropfen\nRegen.\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0A\x08アンバー\nIch weiß es zu schätzen, dass du mich\naufmuntern möchtest...\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x0A\x08アンバー\nAber durch diese Art von Verhätschelung fühle\nich mich noch mehr wie ein Dummkopf.\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0A\x08セアダス\nSo etwas tue ich nicht. Ich sage es dir, Amber...\nDu hast es regnen lassen. Genau, wie meine\nKarten es vorhergesagt haben.\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0A\x08セアダス\nEs hat nicht dort geregnet, wo wir standen,\naber es hat in einem Dorf ein paar Meilen\nentfernt geregnet.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0A\x08アンバー\nHat es das?!\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0A\x08セアダス\nEs hatte dort seit Jahren nicht mehr geregnet.\nDas Getreide war kurz davor, vollständig zu\nvertrocknen.\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0A\x08セアダス\nDann, ganz plötzlich, fing es an zu regnen.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0A\x08セアダス\nIch sage dir, das passierte direkt, nachdem du\ndein seltsames Regenlied beendet hattest.\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0A\x08アンバー\nWhoa. Was? Nein. Wirklich? Ich war das?\nEhrlich?!\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x0A\x08アンバー\nIch habe es geschafft! Ich bin der legendäre\nErlöser irgendeines Dorfes irgendwo!\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x0A\x08アンバー\nIch bin so... glücklich. Andere zu retten, ist\ndas beste Gefühl auf der ganzen Welt.\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x0A\x08セアダス\nWenn die Kämpfe vorüber sind, wie wäre es\ndann, wenn wir dem Dorf einen Besuch\nabstatten? Ich stelle dich allen vor.\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0A\x08セアダス\n„Hört her, ihr einfachen Bewohner. Kommt,\nseht euren Alpakas liebenden Erlöser!“\nJepp, genau das werde ich sagen.\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x0A\x08アンバー\nNein, sag das nicht so! Das lässt mich schon\nwieder so steif aussehen!\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x0A\x08セアダス\nKeine Sorge. Ich verspreche dir, ich werde dich\nganz ordentlich als „Mann, den die Legenden\nweissagten“ vorstellen. Das hast du dir verdient.\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x0A\x08アンバー\nJa! Und wenn du das getan hast, dann werde\nich dem genialen Wahrsager danken, der mich\nvorhergesagt hat!\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x0A\x08セアダス\nHahahaha. Nun bin ich an der Reihe, peinlich\nberührt zu sein.\x0E\x04\x00\x00
MID_RELIANCE_A_#025	\x0E\x03\x02\x0A\x08アンバー\nWir geben ein ziemlich tolles Duo ab, weißt du?\x0E\x04\x00\x00
MID_RELIANCE_A_#026	\x0E\x03\x02\x0A\x08セアダス\nIch denke, uns bleibt gar keine Wahl. Den\nKarten zufolge sind wir dazu bestimmt,\nFreunde zu sein.\x0E\x04\x00\x00
MID_RELIANCE_A_#027	\x0E\x03\x02\x0A\x08アンバー\nHahaha, Junge, diese Karten sind so schlau.\x0E\x04\x00\x00
MID_RELIANCE_A_#028	\x0E\x03\x02\x0A\x08アンバー\nAuf eine aufkeimende Freundschaft. Nichts\nwird uns nassmachen können! Äh, zumindest,\nwenn ich es nicht regnen lasse.\x0E\x04\x00\x00
