MID_GR_Lueur_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0E\x08クロード\x022\n\x0E\x03\x02\x0A\x08リュール\nHallo, Claude. Ich habe gehört, dass man dich\nauch den „Meister des Reißbretts“ nannte.\nHast du ein paar Taktikratschläge für mich?\x0E\x04\x00\x00
MID_GR_Vandre_A_#002	\x0E\x03\x02\x10\x0Eエーデルガルト\nEs war beeindruckend komplex. Eure Finger\nsind sehr geschickt, Sir Vander.\x0E\x04\x00\x00
MID_GR_Vandre_A_#003	\x0E\x03\x02\x0C\nヴァンドレ\nEs ehrt mich, dass ihr das sagt. Manche haben\nbehauptet, das Stricken würde sich für einen\nRitter meiner Statur nicht ziemen, doch--\x0E\x04\x00\x00
MID_GR_Vandre_A_#004	\x0E\x03\x02\x10\x0Eエーデルガルト\nWas für ein Unsinn! Ich bin sehr ungeschickt,\nwas derartige Feinarbeiten betrifft, daher bin\nich sogar eher neidisch auf Eure Fähigkeiten.\x0E\x04\x00\x00
MID_GR_Clan_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クラン\x021\n\x0E\x03\x00\x10\nディミトリ\x022\n\x0E\x03\x02\x0C\nディミトリ\nDu wirkst stets so glücklich, Clanne. Was ist\ndein Geheimnis?\x0E\x04\x00\x00
MID_GR_Clan_C_#002	\x0E\x03\x02\x08\x06クラン\nIch liebe es einfach, Behüter \x0E\x0A\x00<\x1Cdes Wyrmgottes\x1Cder Wyrmgöttin zu\nsein. Und dann darf ich heute auch noch mit\nEuch reden!\x0E\x04\x00\x00
MID_GR_Clan_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クラン\x021\n\x0E\x03\x00\x10\nディミトリ\x022\n\x0E\x03\x02\x08\x06クラン\nVielen Dank für all Eure Hilfe auf dem Schlacht-\nfeld. Dadurch kommen wir viel besser zurecht!\x0E\x04\x00\x00
MID_GR_Clan_B_#002	\x0E\x03\x02\x0C\nディミトリ\nGerne. Du kannst immer auf mich zählen.\x0E\x04\x00\x00
MID_GR_Clan_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クラン\x021\n\x0E\x03\x00\x10\nディミトリ\x022\n\x0E\x03\x02\x08\x06クラン\nMylord Dimitri, stört es Euch auch nicht, so viel\nZeit mit mir zu verbringen? Ich gehe Euch doch\nnicht etwa auf die Nerven, oder?\x0E\x04\x00\x00
MID_GR_Clan_A_#002	\x0E\x03\x02\x0C\nディミトリ\nKeineswegs. Wenn ich an deiner Seite bin, fühlt\nes sich an, als wäre ich wieder unter meinen\nKlassenkameraden, was mich sehr erheitert.\x0E\x04\x00\x00
MID_GR_Clan_A_#003	\x0E\x03\x02\x08\x06クラン\nWie waren Eure Klassenkameraden denn so?\nMeint Ihr, sie hätten mich auch als Freund\nakzeptiert?\x0E\x04\x00\x00
MID_GR_Clan_A_#004	\x0E\x03\x02\x0C\nディミトリ\nIch denke, du wärst unter ihnen sehr beliebt\ngewesen. So sehr, dass es dich womöglich\nsogar etwas überfordert hätte.\x0E\x04\x00\x00
MID_GR_Fram_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06フラン\x021\n\x0E\x03\x00\x0E\x08クロード\x022\n\x0E\x03\x02\x0A\x08クロード\nDas waren ziemlich merkwürdige Bewegungen,\ndie du da gestern einstudiert hast. Wofür übst\ndu sie?\x0E\x04\x00\x00
MID_GR_Fram_C_#002	\x0E\x03\x02\x08\x06フラン\nOh, das? Da bin ich nur ein paar Posen durch-\ngegangen. Als Behüterin \x0E\x0A\x00<\x1Cdes Wyrmgottes\x1Cder Wyrmgöttin muss\nman schließlich eine gute Figur machen!\x0E\x04\x00\x00
MID_GR_Fram_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06フラン\x021\n\x0E\x03\x00\x0E\x08クロード\x022\n\x0E\x03\x02\x08\x06フラン\nIch bin so frustriert. Ich hätte vieles besser\nmachen können in der letzten Schlacht, aber\nich...\x0E\x04\x00\x00
MID_GR_Fram_B_#002	\x0E\x03\x02\x0A\x08クロード\nSei nicht so streng zu dir selbst. Gib einfach\nweiterhin dein Bestes, dann wird es nächstes\nMal sicher besser laufen.\x0E\x04\x00\x00
MID_GR_Fram_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06フラン\x021\n\x0E\x03\x00\x0E\x08クロード\x022\n\x0E\x03\x02\x08\x06フラン\nIhr wirkt immer so fröhlich. Es gibt nichts, das\nEuch herunterziehen kann, oder?\x0E\x04\x00\x00
MID_GR_Fram_A_#002	\x0E\x03\x02\x0A\x08クロード\nHey, wir Embleme sind auch nur Menschen!\nNatürlich bin ich auch schon einmal traurig\ngewesen. Mehr als einmal sogar.\x0E\x04\x00\x00
MID_GR_Fram_A_#003	\x0E\x03\x02\x08\x06フラン\nTatsächlich? Das beruhigt mich irgendwie.\nWärt Ihr bereit, mir davon zu erzählen?\x0E\x04\x00\x00
MID_GR_Fram_A_#004	\x0E\x03\x02\x0A\x08クロード\nManchmal erzähle ich zum Beispiel einen Witz,\nder viel Vorbereitung braucht – und dann\nruiniert Dimitri ihn direkt vor der Pointe.\x0E\x04\x00\x00
MID_GR_Alfred_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cアルフレッド\x021\n\x0E\x03\x00\x0E\x08クロード\x022\n\x0E\x03\x02\x0E\x0Cアルフレッド\nClaude! Wie wäre es mit einem kleinen Wett-\nbewerb, um zu sehen, wer stärker ist? Es gibt\nkeinen schnelleren Weg, sich anzufreunden!\x0E\x04\x00\x00
MID_GR_Alfred_C_#002	\x0E\x03\x02\x0A\x08クロード\nIch schließe ja gerne neue Freundschaften, aber\nso ein Wettbewerb wäre etwas ungerecht. Wie\nwäre es stattdessen mit einem Brettspiel?\x0E\x04\x00\x00
MID_GR_Alfred_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cアルフレッド\x021\n\x0E\x03\x00\x0E\x08クロード\x022\n\x0E\x03\x02\x0E\x0Cアルフレッド\nWas haltet Ihr von den Muskeln, die ich seit\nNeuestem aufgebaut habe, Claude? Nicht\nschlecht, oder?\x0E\x04\x00\x00
MID_GR_Alfred_B_#002	\x0E\x03\x02\x0A\x08クロード\nIch bin jedenfalls beeindruckt! Wer hätte\ngedacht, dass Ihr so viele Muskeln verbergt?\x0E\x04\x00\x00
MID_GR_Alfred_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cアルフレッド\x021\n\x0E\x03\x00\x0E\x08クロード\x022\n\x0E\x03\x02\x0E\x0Cアルフレッド\nIch hörte, Ihr erforscht die medizinischen\nPflanzen dieser Welt, richtig? Euer Lerneifer\nist bemerkenswert!\x0E\x04\x00\x00
MID_GR_Alfred_A_#002	\x0E\x03\x02\x0A\x08クロード\nEs ist wichtig, stets Medizin dabeizuhaben. Man\nweiß nie, wann jemand vergiftet werden könnte.\x0E\x04\x00\x00
MID_GR_Alfred_A_#003	\x0E\x03\x02\x0E\x0Cアルフレッド\nOh, Ihr fertigt also Gegengifte an? Benötigt Ihr\nvielleicht eine Versuchsperson? Mein Körper\nhält das sicher aus!\x0E\x04\x00\x00
MID_GR_Alfred_A_#004	\x0E\x03\x02\x0A\x08クロード\nIhr habt wirklich vor nichts Angst, oder? Ich\nhoffe, diese Zuversicht hilft Euch, ein langes\nLeben zu führen.\x0E\x04\x00\x00
MID_GR_Boucheron_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nブシュロン\x021\n\x0E\x03\x00\x10\nディミトリ\x022\n\x0E\x03\x02\x0C\nブシュロン\nMir kam zu Ohren, dass Ihr auch einer Königs-\nfamilie entstammt, Dimitri, aber Ihr seid ganz\nanders als Prinz Alfred.\x0E\x04\x00\x00
MID_GR_Boucheron_C_#002	\x0E\x03\x02\x0C\nディミトリ\nDas überrascht mich nicht. Die Kultur von\nFaerghus legt viel Wert auf Schlichtheit und\nDisziplin.\x0E\x04\x00\x00
MID_GR_Boucheron_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nブシュロン\x021\n\x0E\x03\x00\x10\nディミトリ\x022\n\x0E\x03\x02\x0C\nブシュロン\nMein Orientierungssinn ist furchtbar. Ich ver-\nbringe mehr Zeit damit, meinen Ort zum Angeln\nwiederzufinden, als mit dem Angeln selbst!\x0E\x04\x00\x00
MID_GR_Boucheron_B_#002	\x0E\x03\x02\x0C\nディミトリ\nLass mich wissen, wenn du das nächste Mal\nangeln gehst. Dann begleite ich dich.\x0E\x04\x00\x00
MID_GR_Boucheron_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nブシュロン\x021\n\x0E\x03\x00\x10\nディミトリ\x022\n\x0E\x03\x02\x0C\nディミトリ\nWas ist los, Boucheron? Deine Augen sehen\nleicht angeschwollen aus...\x0E\x04\x00\x00
MID_GR_Boucheron_A_#002	\x0E\x03\x02\x0C\nブシュロン\nOh... Verzeiht, ich wollte Euch keine Sorgen\nbereiten...\x0E\x04\x00\x00
MID_GR_Boucheron_A_#003	\x0E\x03\x02\x0C\nディミトリ\nIch leihe dir gerne ein Ohr, wenn dich etwas\nbekümmert. Aber natürlich nur, wenn du willst...\x0E\x04\x00\x00
MID_GR_Boucheron_A_#004	\x0E\x03\x02\x0C\nブシュロン\nOh nein, es war nur... Das Buch, das ich gerade\nlese, ist wirklich gut. So gut, dass mir schon\nbeim Gedanken daran die Tränen kommen...\x0E\x04\x00\x00
MID_GR_Etie_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nエーティエ\x021\n\x0E\x03\x00\x0E\x08クロード\x022\n\x0E\x03\x02\x0A\x08クロード\nDu bist immer so voller Energie, Etie. Ich sehe\ndich ständig deine Runden drehen.\x0E\x04\x00\x00
MID_GR_Etie_C_#002	\x0E\x03\x02\x0C\nエーティエ\nDas Laufen gibt mir Kraft. Wollt Ihr mir beim\nnächsten Mal Gesellschaft leisten?\x0E\x04\x00\x00
MID_GR_Etie_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nエーティエ\x021\n\x0E\x03\x00\x0E\x08クロード\x022\n\x0E\x03\x02\x0A\x08クロード\nIrgendetwas an deinem Teeservice ist anders,\naber ich bin mir nicht sicher, was.\x0E\x04\x00\x00
MID_GR_Etie_B_#002	\x0E\x03\x02\x0C\nエーティエ\nIhr habt ein gutes Auge, Claude. Das sind\nbeschwerte Teetassen, die ich verwende, um\nmeine Muskeln zu stärken!\x0E\x04\x00\x00
MID_GR_Etie_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nエーティエ\x021\n\x0E\x03\x00\x0E\x08クロード\x022\n\x0E\x03\x02\x0C\nエーティエ\nIhr seid wirklich großartig in Form. Könnt Ihr\nirgendwelche Trainingsgeheimnisse mit mir\nteilen?\x0E\x04\x00\x00
MID_GR_Etie_A_#002	\x0E\x03\x02\x0A\x08クロード\nDu erinnerst mich an einen alten Freund von\nmir. Er hat ständig an seiner Trainingsroutine\ngearbeitet.\x0E\x04\x00\x00
MID_GR_Etie_A_#003	\x0E\x03\x02\x0A\x08クロード\nIch weiß noch, wie er nach einer Unterhaltung\nmit Dimitri ganz aufgeregt war...\x0E\x04\x00\x00
MID_GR_Etie_A_#004	\x0E\x03\x02\x0C\nエーティエ\nMit Dimitri? Ausgezeichnet! Dann muss ich\nsofort mit Dimitri sprechen. Könnt Ihr ihn bitte\nherbeirufen?\x0E\x04\x00\x00
MID_GR_Celine_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08セリーヌ\x021\n\x0E\x03\x00\x14\x0Eエーデルガルト\x022\n\x0E\x03\x02\x0A\x08セリーヌ\nWas haltet Ihr von einer Teestunde? So gute\nTeeblätter wie dieses Jahr hatte ich noch nie.\x0E\x04\x00\x00
MID_GR_Celine_C_#002	\x0E\x03\x02\x10\x0Eエーデルガルト\nEine gute Idee. Ich kann zwar nichts schmecken,\ndoch der Duft würde mir sicherlich gefallen.\x0E\x04\x00\x00
MID_GR_Celine_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08セリーヌ\x021\n\x0E\x03\x00\x14\x0Eエーデルガルト\x022\n\x0E\x03\x02\x0A\x08セリーヌ\nMein Bruder war einst so kränklich, dass er nie\ndas Zimmer verlassen konnte. Aber sein\nTraining hat ihn wieder auf die Beine gebracht.\x0E\x04\x00\x00
MID_GR_Celine_B_#002	\x0E\x03\x02\x10\x0Eエーデルガルト\nEine meiner Klassenkameradinnen hat auch nie\nihr Zimmer verlassen, allerdings aus ganz\nanderen Gründen. Das Training hat sie gehasst.\x0E\x04\x00\x00
MID_GR_Celine_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08セリーヌ\x021\n\x0E\x03\x00\x14\x0Eエーデルガルト\x022\n\x0E\x03\x02\x0A\x08セリーヌ\nEine Militärakademie, an der zukünftige\nHerrscher gemeinsam studieren... Für mich\nklingt das wirklich erstaunlich!\x0E\x04\x00\x00
MID_GR_Celine_A_#002	\x0E\x03\x02\x0A\x08セリーヌ\nMit starken Verbündeten findet man leichter\nfriedliche Lösungen. Und mit Euch dreien an\nunserer Seite ist die Zukunft vielversprechend!\x0E\x04\x00\x00
MID_GR_Celine_A_#003	\x0E\x03\x02\x10\x0Eエーデルガルト\nIch hoffe, Ihr habt recht. Andere haben uns auch\nals großartige Gruppe bezeichnet.\x0E\x04\x00\x00
MID_GR_Celine_A_#004	\x0E\x03\x02\x10\x0Eエーデルガルト\nUnd zumindest im Augenblick haben wir nicht\ndie Absicht, einander zu bekämpfen. Wir alle\nwünschen uns, diese Welt zu retten.\x0E\x04\x00\x00
MID_GR_Louis_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04ルイ\x021\n\x0E\x03\x00\x14\x0Eエーデルガルト\x022\n\x0E\x03\x02\x06\x04ルイ\nIhr scheint häufig bis an Eure Grenzen zu gehen.\nIch hoffe, Ihr gönnt Euch auch genügend Ruhe...\x0E\x04\x00\x00
MID_GR_Louis_C_#002	\x0E\x03\x02\x10\x0Eエーデルガルト\nAus irgendeinem Grund fühle ich mich sogar\nentspannter, wenn ich aktiv bin. Das ist wohl\neinfach meine Art.\x0E\x04\x00\x00
MID_GR_Louis_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04ルイ\x021\n\x0E\x03\x00\x14\x0Eエーデルガルト\x022\n\x0E\x03\x02\x06\x04ルイ\nSind Dimitri und Claude gute Freunde? Sie\nscheinen viel Zeit miteinander zu verbringen.\x0E\x04\x00\x00
MID_GR_Louis_B_#002	\x0E\x03\x02\x10\x0Eエーデルガルト\nHmm, nun ja, ich denke zumindest nicht, dass\nsie Feinde sind. Wieso fragst du?\x0E\x04\x00\x00
MID_GR_Louis_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04ルイ\x021\n\x0E\x03\x00\x14\x0Eエーデルガルト\x022\n\x0E\x03\x02\x06\x04ルイ\nIch soll meine Präsenz verborgen haben und Ihr\nwollt wissen, wieso? Aber worauf genau\nbezieht Ihr Euch denn?\x0E\x04\x00\x00
MID_GR_Louis_A_#002	\x0E\x03\x02\x10\x0Eエーデルガルト\nGanz einfach: Als ich zuletzt mit \x0E\x0A\x008\x18dem Wyrmgott\x1Cder Wyrmgöttin\nsprach, habe ich mich zufällig umgesehen und\ndich im Verborgenen entdeckt.\x0E\x04\x00\x00
MID_GR_Louis_A_#003	\x0E\x03\x02\x06\x04ルイ\nEs war nicht wirklich meine Absicht, mich zu\nverstecken. Ich wollte Euch nur nicht unterbre-\nchen, also bin ich eins mit der Wand geworden.\x0E\x04\x00\x00
MID_GR_Louis_A_#004	\x0E\x03\x02\x10\x0Eエーデルガルト\nEins mit der Wand...? Das verstehe ich nicht\nganz. Du hättest dich doch einfach hinzu-\ngesellen können.\x0E\x04\x00\x00
MID_GR_Chloe_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クロエ\x021\n\x0E\x03\x00\x10\nディミトリ\x022\n\x0E\x03\x02\x08\x06クロエ\nIch habe Euch ein Imbissbudengericht aus\nFischaugen mitgebracht! Oh, aber... Es tut mir\nleid, Ihr könnt ja gar nichts essen, oder?\x0E\x04\x00\x00
MID_GR_Chloe_C_#002	\x0E\x03\x02\x0C\nディミトリ\nDu musst dich nicht entschuldigen. Es ist\nerbaulich genug, dich essen zu sehen. Bitte,\nlass es dir schmecken!\x0E\x04\x00\x00
MID_GR_Chloe_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クロエ\x021\n\x0E\x03\x00\x10\nディミトリ\x022\n\x0E\x03\x02\x08\x06クロエ\nWas ist Euer Lieblingsessen? Ich habe großes\nInteresse an den Delikatessen anderer Welten!\x0E\x04\x00\x00
MID_GR_Chloe_B_#002	\x0E\x03\x02\x0C\nディミトリ\nLass mich überlegen... Es gab da ein Gericht mit\ngebackenem Gewürzkäse, das ich sehr gerne\nmochte...\x0E\x04\x00\x00
MID_GR_Chloe_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クロエ\x021\n\x0E\x03\x00\x10\nディミトリ\x022\n\x0E\x03\x02\x0C\nディミトリ\nAls heutigen Imbiss zur Teestunde hast du...\nvon schwarzem Tee durchzogene Backwaren?\x0E\x04\x00\x00
MID_GR_Chloe_A_#002	\x0E\x03\x02\x08\x06クロエ\nJa! Außerdem sind sie mit Bergschafskäse\ngefüllt, was ihnen ihren einzigartigen Duft\nverleiht!\x0E\x04\x00\x00
MID_GR_Chloe_A_#003	\x0E\x03\x02\x0C\nディミトリ\nMir ist aufgefallen, dass du in letzter Zeit\ndeine Mahlzeiten viel genauer beschreibst.\x0E\x04\x00\x00
MID_GR_Chloe_A_#004	\x0E\x03\x02\x08\x06クロエ\nHihihi. Na ja, ich dachte mir, wenn Ihr Euch die\nGerichte lebhaft vorstellen könnt, würdet Ihr\nvielleicht mehr Freude an ihnen finden!\x0E\x04\x00\x00
MID_GR_Diamand_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cディアマンド\x021\n\x0E\x03\x00\x10\nディミトリ\x022\n\x0E\x03\x02\x0E\x0Cディアマンド\nManche sagen, ein Thron sei einsam. Doch eine\nNation kann nicht allein auf einem einzigen\nIndividuum ruhen. Stimmt Ihr dem zu?\x0E\x04\x00\x00
MID_GR_Diamand_C_#002	\x0E\x03\x02\x0C\nディミトリ\nAllerdings. Genau deshalb braucht man Freunde\nund Verbündete, denen man vertrauen kann.\nUnd weise Anführer ebenfalls.\x0E\x04\x00\x00
MID_GR_Diamand_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cディアマンド\x021\n\x0E\x03\x00\x10\nディミトリ\x022\n\x0E\x03\x02\x0E\x0Cディアマンド\nEntschuldigt die banale Frage, aber... Was denkt\nIhr, wie ein König sich verhalten sollte, Dimitri?\x0E\x04\x00\x00
MID_GR_Diamand_B_#002	\x0E\x03\x02\x0C\nディミトリ\nDas Wichtigste ist meiner Meinung nach, dass\nein Monarch sein Volk in eine bessere Zukunft\nführt.\x0E\x04\x00\x00
MID_GR_Diamand_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cディアマンド\x021\n\x0E\x03\x00\x10\nディミトリ\x022\n\x0E\x03\x02\x0E\x0Cディアマンド\nIn meiner Heimat finden häufig Gesellschafts-\ntänze statt. Ich bin nicht besonders geschickt\ndarin, aber sie lassen sich nicht vermeiden.\x0E\x04\x00\x00
MID_GR_Diamand_A_#002	\x0E\x03\x02\x0E\x0Cディアマンド\nIhr wirkt, als würdet Ihr Euch gut auf einer\nunserer Galas machen, Dimitri. Seid Ihr mit dem\nTanzen vertraut?\x0E\x04\x00\x00
MID_GR_Diamand_A_#003	\x0E\x03\x02\x0C\nディミトリ\nGenug zumindest, um den Schein zu wahren.\nAber gesellige Zusammenkünfte liegen mir nicht\nsonderlich.\x0E\x04\x00\x00
MID_GR_Diamand_A_#004	\x0E\x03\x02\x0C\nディミトリ\nEs gab einen großen Ball an der Militäraka-\ndemie, aber ich habe mich irgendwann davon-\ngeschlichen, um etwas Zeit für mich zu haben.\x0E\x04\x00\x00
MID_GR_Umber_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08アンバー\x021\n\x0E\x03\x00\x0E\x08クロード\x022\n\x0E\x03\x02\x0A\x08アンバー\nWenn die Kämpfe hinter uns liegen, möchte ich\nmehr über die Legenden lernen, die es in allen\nRegionen gibt.\x0E\x04\x00\x00
MID_GR_Umber_C_#002	\x0E\x03\x02\x0A\x08クロード\nEin guter Plan! Das ist die Art von Ambition,\ndie jeder hegen sollte.\x0E\x04\x00\x00
MID_GR_Umber_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08アンバー\x021\n\x0E\x03\x00\x0E\x08クロード\x022\n\x0E\x03\x02\x0A\x08アンバー\nClaude, Ihr stammt aus einer adligen Familie,\nrichtig? Habt Ihr also all Eure Zeit in einem\nAnwesen verbracht?\x0E\x04\x00\x00
MID_GR_Umber_B_#002	\x0E\x03\x02\x0A\x08クロード\nIch bin eher so eine Art Außenseiter. Bevor ich\nzur Militärakademie kam, war ich oft von zu\nHause fort.\x0E\x04\x00\x00
MID_GR_Umber_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08アンバー\x021\n\x0E\x03\x00\x0E\x08クロード\x022\n\x0E\x03\x02\x0A\x08アンバー\nMir gefällt, dass Ihr so unbekümmert seid! Aber\nmacht Ihr Euch gar keine Sorgen, dass die Leute\nEuch deshalb nicht ernst nehmen könnten?\x0E\x04\x00\x00
MID_GR_Umber_A_#002	\x0E\x03\x02\x0A\x08クロード\nIch spiele meine Stärken lieber herunter. Man\nkommt mit Feinden viel besser klar, wenn man\nvon ihnen unterschätzt wird.\x0E\x04\x00\x00
MID_GR_Umber_A_#003	\x0E\x03\x02\x0A\x08クロード\nAußerdem ist es leichter, sich mit Leuten\nanzufreunden, die einen nicht gleich für eine\nBedrohung halten.\x0E\x04\x00\x00
MID_GR_Umber_A_#004	\x0E\x03\x02\x0A\x08アンバー\nDa ist was dran! Ihr seid wirklich schlau. Ich\nhoffe, ich kann bald mehr von Euch lernen!\x0E\x04\x00\x00
MID_GR_Jade_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ジェーデ\x021\n\x0E\x03\x00\x14\x0Eエーデルガルト\x022\n\x0E\x03\x02\x0A\x08ジェーデ\nIhr beobachtet mich nun schon seit einer Weile,\nMilady Edelgard. Stimmt irgendetwas nicht?\x0E\x04\x00\x00
MID_GR_Jade_C_#002	\x0E\x03\x02\x10\x0Eエーデルガルト\nVerzeih mir. Es ist nur so: Du kämpfst mit einer\nAchtsamkeit und Sorgfalt, die mich an eine\nScharfschützin erinnert, die ich einst kannte.\x0E\x04\x00\x00
MID_GR_Jade_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ジェーデ\x021\n\x0E\x03\x00\x14\x0Eエーデルガルト\x022\n\x0E\x03\x02\x10\x0Eエーデルガルト\nIch bin vor Kurzem auf ein Buch gestoßen, in\nwelchem Amber die Hauptrolle spielte...\x0E\x04\x00\x00
MID_GR_Jade_B_#002	\x0E\x03\x02\x0A\x08ジェーデ\nEs ist mir eine Ehre zu wissen, dass ein Emblem\nzu meiner Leserschaft gehört... Wie gefiel Euch\ndie Geschichte?\x0E\x04\x00\x00
