MID_OP1_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0A\x04リン\x022\n\x0E\x03\x02\x06\x04リン\nAh, die Brise, der Duft... Es fühlt sich an wie zu\nHause.\x0E\x04\x00\x00
MID_ED1_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0A\x04リン\x022\n\x0E\x03\x02\x06\x04リン\nWhoa. Du hast mich eindeutig geschlagen.\nDu bist sehr stark.\x0E\x04\x00\x00
MID_ED1_#002	\x0E\x03\x02\x0A\x08リュール\nUnd du warst sehr fähig, wie erwartet. Und\ndazu ebenfalls sehr stark.\x0E\x04\x00\x00
MID_ED1_#003	\x0E\x03\x02\x0A\x08リュール\nIch frage mich, ob ich so hätte werden können\nwie du. Wenn ich auf diesen Ebenen aufge-\nwachsen wäre, meine ich.\x0E\x04\x00\x00
MID_ED1_#004	\x0E\x03\x02\x06\x04リン\nHahaha, vielleicht. Ich habe hier draußen\nkämpfen gelernt, doch mehr noch von Eliwood\nund Hector.\x0E\x04\x00\x00
MID_ED1_#005	\x0E\x03\x02\x06\x04リン\nWir sind lange zusammen gereist. Manchmal\nhaben wir untereinander Übungskämpfe\nveranstaltet, wie eben auch.\x0E\x04\x00\x00
MID_ED1_#006	\x0E\x03\x02\x06\x04リン\nDurch sie habe ich die Konzepte von\nGerechtigkeit und Mut gelernt. Und sie gaben\nmir die Stärke, anderen zu vertrauen.\x0E\x04\x00\x00
MID_ED1_#007	\x0E\x03\x02\x06\x04リン\nDiese Stärke ist es, die mich zu der macht,\ndie ich heute bin.\x0E\x04\x00\x00
MID_ED1_#008	\x0E\x03\x02\x0A\x08リュール\nAls ich erwachte, hatte ich keine Erinnerungen,\nund niemanden, auf den ich mich verlassen\nkonnte.\x0E\x04\x00\x00
MID_ED1_#009	\x0E\x03\x02\x0A\x08リュール\nDoch jetzt habe ich so viele Freunde um mich,\nvon denen ich über die Welt lernen kann... und\nüber mich.\x0E\x04\x00\x00
MID_ED1_#010	\x0E\x03\x02\x0A\x08リュール\nIch hoffe, dass ich am Ende meiner Reise so\nstark sein werde wie sie. Und wie du.\x0E\x04\x00\x00
MID_ED1_#011	\x0E\x03\x02\x06\x04リン\nDu wirst ganz sicher noch stärker werden.\nDas weiß ich ganz gewiss!\x0E\x04\x00\x00
MID_ED1_#012	\x0E\x03\x02\x06\x04リン\nNatürlich werde auch ich dabei helfen.\x0E\x04\x00\x00
MID_ED1_#013	\x0E\x03\x02\x0A\x08リュール\nVielen Dank, Lyn.\x0E\x04\x00\x00
MID_LC1_#001	\x0E\x02\x02\x00
