MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0C\x06ジャン\x022\n\x0E\x03\x02\x0A\x08リュール\nJean? Bekommst du im Café etwa nicht\ngenug Gemüse?\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0C\x06ジャン\x022\n\x0E\x03\x02\x0A\x08リュール\nWie ich sehe, pflückst du heute wieder Kräuter.\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x08\x06ジャン\nMit diesen hier lassen sich bei mir zu Hause\nalle möglichen Krankheiten und Verletzungen\nbehandeln.\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x08\x06ジャン\nFrüher bin ich oft zusammen mit meinem Vater\nlosgezogen, um die zu ernten.\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0A\x08リュール\nAuf der Insel hatte ich leider kaum Gelegenheit,\nmich mit deinem Vater zu unterhalten. Wie ist er\ndenn so?\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x08\x06ジャン\nWenn ich fleißig lerne oder ihm bei irgendwas\nhelfe, lobt er mich wie 'n braves Hündchen.\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x08\x06ジャン\nAber wenn ich mal was vermassel, wird er\nrichtig wütend und schimpft mich wie 'n\nHündchen, das was angestellt hat...\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0A\x08リュール\nAlso bist du in beiden Fällen ein Hündchen, hm?\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x08\x06ジャン\nHahaha! Jetzt, wo Ihr's sagt...\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x08\x06ジャン\nAn manchen Tagen bin ich prima mit ihm\nausgekommen, aber es gab auch welche,\nda hab ich ihn echt gehasst.\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x08\x06ジャン\nAber jetzt, wo er nich' da is', weiß ich ihn\nviel mehr zu schätzen. Meine Mutter auch.\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x08\x06ジャン\nFrüher, als ich beide noch jeden Tag gesehen\nhab, war mir das nich' klar, aber ich hab echt\n'ne Menge Respekt für meine Eltern.\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x08\x06ジャン\nIch glaub, ihre Erziehung is' echt der Grund,\nweshalb ich mich jetzt so sehr ins Zeug lege.\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0A\x08リュール\nDas hast du schön gesagt... Jean...\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x08\x06ジャン\nHö?! Weint Ihr etwa?!\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0A\x08リュール\nDiese Geschichte über deine Familie war\neinfach... ergreifend.\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x08\x06ジャン\nDanke, \x0E\x0A\x00*\x14Göttlicher\x12Göttliche.\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x08\x06ジャン\nHier, nehmt diesen Umschlag. Der hilft bei\ngeschwollenen Augen.\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x0A\x08リュール\nHahaha... Danke, Jean.\nGenau das habe ich jetzt gebraucht.\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0C\x06ジャン\x022\n\x0E\x03\x02\x0A\x08リュール\nIch habe hier etwas für dich, Jean.\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x08\x06ジャン\nHeilkräuter? Oh! Und gleich so viele.\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0A\x08リュール\nIch fand eine Stelle im Wald, an der sie nur\nso gewuchert sind, also habe ich so viele wie\nmöglich gepflückt.\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x08\x06ジャン\nBoah... Danke! Das wird meinen Leuten daheim\n'ne große Hilfe sein.\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0A\x08リュール\nWas du mir über deine Eltern erzähltest, hat\nmich tief beeindruckt. Ich will dir und deiner\nFamilie helfen, so gut ich kann.\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x08\x06ジャン\nDanke schön, \x0E\x0A\x00*\x14Göttlicher\x12Göttliche.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x08\x06ジャン\nHey, was is' denn mit Eurem Arm passiert?\nDer is' ja total zerkratzt.\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0A\x08リュール\nAch, nachdem ich die Stelle mit den Kräutern\nfand, rutschte ich aus und stürzte einen Hügel\nhinab.\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x08\x06ジャン\nOh nein! Kommt, setzt Euch, damit ich die\nVerletzung gleich behandeln kann.\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0A\x08リュール\nEs ist wirklich nicht schlimm.\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x08\x06ジャン\nBitte, \x0E\x0A\x00*\x14Göttlicher\x12Göttliche. Wir wollen doch nich',\ndass sich Eure offenen Wunden entzünden.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0A\x08リュール\nAlso gut. Nur zu.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x08\x06ジャン\nMal sehen...\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x08\x06ジャン\nWisst Ihr, \x0E\x0A\x00*\x14Göttlicher\x12Göttliche... Ich glaub, es war\nganz gut, dass ich die Insel verlassen hab,\num mit Euch zu reisen.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0A\x08リュール\nAch ja?\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x08\x06ジャン\nIhr seid 'ne sehr großherzige Person, aber Ihr\nkönntet ruhig 'n bisschen großherziger zu Euch\nselbst sein.\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x08\x06ジャン\nEgal, wie wenig Ihr auf Euch Acht gebt –\nsolang ich an Eurer Seite bin, wird's Euch\ngarantiert gutgehen.\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x08\x06ジャン\nSo herzlich, wie Ihr zu mir wart, will ich\nauch zu Euch sein. Hundertmal so viel!\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x0A\x08リュール\nOh.\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x08\x06ジャン\nSo. Alles verbunden. Eure Wunden sollten nun\nratzfatz heilen.\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x0A\x08リュール\nIch danke dir! Ich bin auch froh, dich dabei zu\nhaben.\x0E\x04\x00\x00
MID_RELIANCE_S_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0C\x06ジャン\x022\n\x0E\x03\x02\x0A\x08リュール\nDas war heute eine recht ertragreiche Ausbeute.\x0E\x04\x00\x00
MID_RELIANCE_S_#002	\x0E\x03\x02\x08\x06ジャン\nVor allem dank Euch. Hat Euch die harte Arbeit\ndenn nich' müde gemacht?\x0E\x04\x00\x00
MID_RELIANCE_S_#003	\x0E\x03\x02\x0A\x08リュール\nAch was. Ich hatte viel Spaß mit dir an meiner\nSeite. Von mir aus hätten wir noch stundenlang\nweiterpflücken können.\x0E\x04\x00\x00
MID_RELIANCE_S_#004	\x0E\x03\x02\x08\x06ジャン\nOh oh. Sieht aus, als hättet Ihr Euch wieder\nwehgetan.\x0E\x04\x00\x00
MID_RELIANCE_S_#005	\x0E\x03\x02\x0A\x08リュール\nHm? Oh, nein. Die Wunde habe ich mir in der\nletzten Schlacht zugezogen, als ich einem\nunserer Verbündeten zu Hilfe eilte.\x0E\x04\x00\x00
MID_RELIANCE_S_#006	\x0E\x03\x02\x0A\x08リュール\nIch ließ sie direkt im Anschluss behandeln, aber\nsie hat wohl trotzdem eine Narbe hinterlassen.\x0E\x04\x00\x00
MID_RELIANCE_S_#007	\x0E\x03\x02\x08\x06ジャン\nVersucht das hier mal. Das ist 'ne Salbe aus\nKräutern, die wir letztens gepflückt haben.\x0E\x04\x00\x00
MID_RELIANCE_S_#008	\x0E\x03\x02\x08\x06ジャン\nWenn Ihr die draufschmiert, sollte die Rötung\nruckzuck wieder weggehen. Ihr müsst sie aber\ngut einziehen lassen.\x0E\x04\x00\x00
MID_RELIANCE_S_#009	\x0E\x03\x02\x0A\x08リュール\nDanke schön.\x0E\x04\x00\x00
MID_RELIANCE_S_#010	\x0E\x03\x02\x08\x06ジャン\nWenn Ihr Euch mal wieder wehtun solltet... oder\nsonst wie in Schwierigkeiten steckt, könnt Ihr\nauf mich zählen.\x0E\x04\x00\x00
MID_RELIANCE_S_#011	\x0E\x03\x02\x08\x06ジャン\nIch will, dass Ihr Euch auf mich genauso\nverlassen könnt, wie sich all die anderen\nauf Euch verlassen.\x0E\x04\x00\x00
MID_RELIANCE_S_#012	\x0E\x03\x02\x0A\x08リュール\nAch Jean, hast du es noch nicht gemerkt?\x0E\x04\x00\x00
MID_RELIANCE_S_#013	\x0E\x03\x02\x0A\x08リュール\nDas tue ich bereits.\x0E\x04\x00\x00
MID_RELIANCE_S_#014	\x0E\x03\x02\x08\x06ジャン\nA-ach echt?\x0E\x04\x00\x00
MID_RELIANCE_S_#015	\x0E\x03\x02\x0A\x08リュール\nVon allen in der Armee bist du jemand,\nauf den ich mich immer verlassen kann.\x0E\x04\x00\x00
MID_RELIANCE_S_#016	\x0E\x03\x02\x0A\x08リュール\nTatsächlich hatte ich schon länger im Sinn, dir\ndiesen Paktring zu geben, den ich bei mir trage.\x0E\x04\x00\x00
MID_RELIANCE_S_#017	\x0E\x03\x02\x08\x06ジャン\nIch weiß nich'... So was Wertvolles sollte\neigentlich nur jemand bekommen, der so\n'ner Sache auch würdig ist.\x0E\x04\x00\x00
MID_RELIANCE_S_#018	\x0E\x03\x02\x0A\x08リュール\nIch kann mir keinen anderen vorstellen, der\nwürdiger ist als du. Schließlich bist du die\nganze Zeit über für mich dagewesen.\x0E\x04\x00\x00
MID_RELIANCE_S_#019	\x0E\x03\x02\x08\x06ジャン\nNa ja... Klingt schon logisch.\x0E\x04\x00\x00
MID_RELIANCE_S_#020	\x0E\x03\x02\x08\x06ジャン\nVielen Dank also! Betrachtet mich ab sofort als\nEuren ganz persönlichen Leibarzt!\x0E\x04\x00\x00
MID_RELIANCE_S_#021	\x0E\x03\x02\x0A\x08リュール\nSo soll es sein.\x0E\x04\x00\x00
MID_RELIANCE_S_#022	\x0E\x03\x02\x08\x06ジャン\nAber dann muss ich auf jeden Fall noch 'ne\nMenge Bücher wälzen und ganz viel üben!\x0E\x04\x00\x00
MID_RELIANCE_S_#023	\x0E\x03\x02\x08\x06ジャン\nDer Leibarzt \x0E\x0A\x00<\x1Cdes Göttlichen\x1Cder Göttlichen darf sich nämlich\nkeine Schnitzer leisten!\x0E\x04\x00\x00
MID_RELIANCE_S_#024	\x0E\x03\x02\x0A\x08リュール\nLass dir ruhig Zeit. Sobald dieser Krieg vorbei\nist, gibt es an mir sicher weit weniger Wunden\nzu behandeln.\x0E\x04\x00\x00
MID_RELIANCE_S_#025	\x0E\x03\x02\x08\x06ジャン\nStimmt. Ähm, \x0E\x06\x03\x00...\x0E\x04\x00\x00
MID_RELIANCE_S_#026	\x0E\x03\x02\x08\x06ジャン\nDanke, dass Ihr an mich glaubt. Ich werd mich\nganz dolle ins Zeug legen, damit ich Euch auch\nein würdiger Arzt sein kann.\x0E\x04\x00\x00
