MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06ラピス\x021\n\x0E\x03\x00\x0C\x06アンナ\x022\n\x0E\x03\x02\x08\x06アンナ\nHey, du bist Lapis, stimmt's? Ich habe schon\nüberall nach dir gesucht!\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x08\x06アンナ\nUnd da du die Arbeit hast, bekommst du\nnatürlich einen Anteil ab. Komm schon, bitteee.\nBring ein kleines Mädchen nicht zum Weinen.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x08\x06ラピス\nNun mal langsam mit den jungen Pferden.\nWas für Sachen soll ich denn herstellen?\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x08\x06アンナ\nNun, ich komme aus dem Dorf des Winters,\nalso wäre etwas, das dazu passt, schön!\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x08\x06ラピス\nVerstehe. Du möchtest also, dass ich etwas\nherstelle, das dich an deine Leute in deinem\nHeimatort erinnert.\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x08\x06アンナ\nDu bist die Ideenabteilung. Hast du ein Produkt\nfertig, lasse ich meine Verkaufsmagie wirken.\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x08\x06ラピス\nSicher... Ja.\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x02\x08\x06アンナ\nWas? Du glaubst mir nicht? Denkst du etwa,\nich könne einen Verkauf nicht erfolgreich\nabschließen, nur weil ich ein kleines Kind bin?\x0E\x04\x00\x00
MID_RELIANCE_C_#019	\x0E\x03\x02\x08\x06アンナ\nIch garantiere dir: Wenn ich es nicht schaffe,\nzu verkaufen, was immer du hergestellt hast,\nbekommst du von mir eine Milliarde Goldstücke!\x0E\x04\x00\x00
MID_RELIANCE_C_#020	\x0E\x03\x02\x08\x06アンナ\nDabei kannst du nicht verlieren!\x0E\x04\x00\x00
MID_RELIANCE_C_#021	\x0E\x03\x02\x08\x06ラピス\nNa schön. Ich werde mir überlegen, was ich\nherstellen könnte.\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06ラピス\x021\n\x0E\x03\x00\x0C\x06アンナ\x022\n\x0E\x03\x02\x08\x06ラピス\nLady Anna? Ich habe etwas hergestellt, das den\nGeist deines Heimatortes perfekt widerspiegelt.\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x08\x06アンナ\nWirklich?! Das ging aber schnell!\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x08\x06ラピス\nJa. Ich habe hier und da Krimskrams gefunden\nund daraus eine Schneemannpuppe gebastelt.\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x08\x06アンナ\nOh! Ist die niedlich!\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x08\x06ラピス\nDas ist aber noch nicht alles. Siehst du die\nGlocke, die der Schneemann trägt? Dreh sie\nmal.\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x08\x06アンナ\nSo?\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x08\x06アンナ\nHey! Er spielt sogar Musik! Wie hast du\ndas hinbekommen?!\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x08\x06ラピス\nDas ist eine Spieluhr, die jemand weggeworfen\nhatte! Ich habe sie in die Gestaltung mit\neinbezogen.\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x08\x06ラピス\nOh, und wenn du dir die Puppe aus\nverschiedenen Blickwinkeln ansiehst, funkelt\nsie.\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x08\x06ラピス\nIch habe kleine funkelnde Steinchen angeklebt.\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x08\x06アンナ\nDas ist einfach genial! Oh, ich wusste, dass ich\nein Auge für Talente habe!\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x08\x06アンナ\nUnd da du Weggeworfenes als Materialien\nverwendest, liegen unsere Produktionskosten\npraktisch bei null!\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x08\x06アンナ\nDas ist das absolut BESTE! Es kombiniert\nmeine beiden Lieblingsfaktoren: Niedlich und\nkostenlos!\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x08\x06ラピス\nEs freut mich, dass es dir gefällt! Danke, dass\ndu mir die Gelegenheit gibst, meine kreative\nAder auszuleben.\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x08\x06アンナ\nGlaub mir, ich bin diejenige, die dir danken\nsollte.\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x08\x06アンナ\nWarte nur, bis du deinen Anteil am Profit\nbekommst. Das wird ein Bombengeschäft!\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06ラピス\x021\n\x0E\x03\x00\x0C\x06アンナ\x022\n\x0E\x03\x02\x08\x06ラピス\nLady Anna, hast du schon einen Käufer für\ndie Schneemannpuppe gefunden?\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x08\x06アンナ\nOh, stimmt... Die Sache ist die...\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x08\x06ラピス\nWas... Was ist denn? Weinst du?\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x08\x06アンナ\n...\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x08\x06ラピス\nDu konntest sie nicht verkaufen, hm?\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x08\x06アンナ\nNein. Es tut mir wirklich, wirklich leid.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x08\x06アンナ\nIch habe sie herumgetragen, auf der Suche nach\neinem Käufer. Da ist sie mir hingefallen. Es\nist... nicht mehr viel von ihr übrig.\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x08\x06ラピス\nOh. Verstehe.\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x08\x06アンナ\nJämmerlich, was? Und ich habe noch damit\nangegeben.\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x08\x06アンナ\nIch werde dir die Milliarde Goldstücke geben,\ndie ich dir versprochen habe. Ich hoffe, du\nkannst mir verzeihen.\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x08\x06ラピス\nIst schon gut, Lady Anna. Ich brauche kein Geld.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x08\x06アンナ\nDu brauchst... kein Geld? Wie bitte?\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x08\x06ラピス\nNein. Ich will keinen Lohn. Ich möchte einfach\nnur die Chance haben, für dich etwas\nherzustellen.\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x08\x06アンナ\nWie meinst du das?\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x08\x06ラピス\nDas Basteln der Puppe hat mir Spaß gemacht.\nIch würde es hassen, wenn es unsere einzige\nZusammenarbeit gewesen wäre.\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x08\x06ラピス\nUnd außerdem... habe ich seit ich klein war\nimmer wieder etwas über das Dorf des\nWinters gehört.\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x08\x06ラピス\nEin einsam gelegenes Dorf in Elusia, in dem\ndas ganze Jahr Winterfeste stattfinden. Ich\nhabe stets davon geträumt, es mal zu besuchen.\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x08\x06アンナ\nDie Kunde davon kommt weit herum, hm?\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x08\x06ラピス\nJa! Um ehrlich zu sein, dachte ich immer, das\nsei Stoff für Gutenachtgeschichten! Aber es\nexistiert wirklich! Wer hätte das gedacht!\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x08\x06ラピス\nIch habe mich überaus glücklich geschätzt,\netwas herstellen zu dürfen, das so einen\nwundersamen Ort feiert...\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x08\x06ラピス\nAlso, was sagst du? Geben wir uns eine zweite\nChance. Oder wie viele Chancen wir auch immer\nbenötigen, bis es klappt!\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x08\x06アンナ\nMir gefällt diese Einstellung.\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x08\x06アンナ\nFangen wir noch einmal an! Dieses Mal werden\nwir es richtig angehen.\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x08\x06ラピス\nWie meinst du das?\x0E\x04\x00\x00
MID_RELIANCE_A_#025	\x0E\x03\x02\x08\x06アンナ\nIch meine damit, dass wir in echte Materialien\ninvestieren, statt auf Weggeworfenes zu\nvertrauen.\x0E\x04\x00\x00
MID_RELIANCE_A_#026	\x0E\x03\x02\x08\x06ラピス\nÄhm... Das ist ein bisschen beängstigend.\nNormalerweise verwende ich keine richtigen\nMaterialien.\x0E\x04\x00\x00
MID_RELIANCE_A_#027	\x0E\x03\x02\x08\x06アンナ\nWie viel schwieriger kann das schon sein?\x0E\x04\x00\x00
MID_RELIANCE_A_#028	\x0E\x03\x02\x08\x06ラピス\nNun, ich muss einfach mein Bestes geben und\netwas herstellen, das sie uns aus den Regalen\nreißen!\x0E\x04\x00\x00
MID_RELIANCE_A_#029	\x0E\x03\x02\x08\x06アンナ\nBraves Mädchen!\x0E\x04\x00\x00
MID_RELIANCE_A_#030	\x0E\x03\x02\x08\x06アンナ\nSobald wir wieder im Geschäft sind, bumm!\nMachen wir ein Bombengeschäft und setzen\nuns jung zur Ruhe!\x0E\x04\x00\x00
