MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0E\x08アンバー\x022
MID_RELIANCE_A_#004	\x0E\x03\x02\x0A\x08アンバー\nG-\x0E\x0A\x00*\x14Göttlicher\x12Göttliche?! Wie habt Ihr das gemacht?\nWie konntet Ihr wissen, was ich gesagt habe?\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0A\x08リュール\nIch habe dir oft zugehört, wenn du mit ihnen\ngesprochen hast. Ich vermute, ich habe etwas\nvon der Sprache aufgeschnappt.\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0A\x08アンバー\nEcht jetzt?! Whoa.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0A\x08リュール\nWhoa!\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0A\x08アンバー\nJa! Whoa! Wartet, wofür stand denn Euer\nWhoa?\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x0A\x08リュール\nHast du das denn nicht gehört? Es klang wie\nder entfernte Ruf eines echten Alpakas!\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0A\x08アンバー\nOooch, ich habe es verpasst! Was sagte es?\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0A\x08リュール\nIch glaube selbst nicht, dass ich das sage, aber\nich meine, sie sagten: „Wir kommen dich besu-\nchen, wenn wir ein freies Wochenende haben.“\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0A\x08アンバー\nWirklich?! Ooooch! Diese liebenswerten\nFellknäuel! Ich muss ihnen antworten. Lasst\nmich mal überlegen.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0A\x08アンバー\nHnn H-H, H Hnn Hnn!!\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0A\x08リュール\n„Keine Sorge, Freunde. Ihr seid herzlich\neingeladen, mich jederzeit zu besuchen.“\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0A\x08アンバー\nH-Hnn H-Hnn H-Hnn\nH-H-Hnn H-Hnnn!!\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0A\x08リュール\n„\x0E\x0A\x00\x10\x06Der\x06Die Göttliche ist hier. Daher geht es mir gut.\nPasst auf euch auf.“ Habe ich das richtig\nverstanden?\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x0A\x08アンバー\nJaaa! Genau das habe ich gesagt!\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x0A\x08アンバー\nUnglaublich. Das war ja fast Muttersprachler-\nniveau! Ihr habt wirklich die Ohren eines\nAlpakas.\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x0A\x08リュール\nIch fühle mich geehrt, das zu hören.\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0A\x08アンバー\nWahnsinn! Wenn ich bei Euch bin, fühle ich\nmich fast wie zu Hause auf der Farm.\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x0A\x08リュール\nOh? Erinnere ich dich also an ein Farmtier?\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x0A\x08アンバー\nHuch? Nein! So meinte ich das nicht! Tut mir\nleid, wenn das so geklungen hat.\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x0A\x08リュール\nSchon gut, Amber. Ich freue mich, dass du\ndas so empfindest. Ich möchte nicht, dass ein\nFreund wie du sich einsam fühlt.\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x0A\x08アンバー\nWhoaaa! So eine enorme Wärme! Danke, G.\nIhr seid \x0E\x0A\x00\x10\x06der\x06die Beste.\x0E\x04\x00\x00
MID_RELIANCE_A_#025	\x0E\x03\x02\x0A\x08リュール\nH-Hnn-Hnn Hnn-H-Hnn.\x0E\x04\x00\x00
MID_RELIANCE_A_#026	\x0E\x03\x02\x0A\x08アンバー\nHmm... Lasst mich raten. „Gern geschehen“?\x0E\x04\x00\x00
MID_RELIANCE_A_#027	\x0E\x03\x02\x0A\x08リュール\nGanz genau!\x0E\x04\x00\x00
MID_RELIANCE_S_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0E\x08アンバー\x022
MID_RELIANCE_S_#002	\x0E\x03\x02\x0A\x08アンバー\nDies ist mein Heimatort... uuund das hier ist\neine der Alpakafarmen meiner Familie.\x0E\x04\x00\x00
MID_RELIANCE_S_#003	\x0E\x03\x02\x0A\x08アンバー\nDas nächste könnt Ihr bestimmt erraten. Ich\ngebe Euch einen Hinweis: Es ist ein Alpaka!\x0E\x04\x00\x00
MID_RELIANCE_S_#004	\x0E\x03\x02\x0A\x08リュール\nIch wusste gar nicht, dass du so gut im\nZeichnen bist, Amber. Diese Illustrationen\nsind unglaublich.\x0E\x04\x00\x00
MID_RELIANCE_S_#005	\x0E\x03\x02\x0A\x08アンバー\nOooh, danke!\x0E\x04\x00\x00
MID_RELIANCE_S_#006	\x0E\x03\x02\x0A\x08リュール\nWenn ich mir die so ansehe, werde ich direkt\nein bisschen neidisch.\x0E\x04\x00\x00
MID_RELIANCE_S_#007	\x0E\x03\x02\x0A\x08リュール\nEs ist offensichtlich, dass du deinen Heimatort\nliebst und vermisst. Ich kann mich nicht mal\ndaran erinnern, wo mein Zuhause ist.\x0E\x04\x00\x00
MID_RELIANCE_S_#008	\x0E\x03\x02\x0A\x08アンバー\n\x0E\x0A\x00*\x14Göttlicher\x12Göttliche...\x0E\x04\x00\x00
MID_RELIANCE_S_#009	\x0E\x03\x02\x0A\x08アンバー\n...\x0E\x04\x00\x00
MID_RELIANCE_S_#010	\x0E\x03\x02\x0A\x08アンバー\nEuer Zuhause ist genau hier.\x0E\x04\x00\x00
MID_RELIANCE_S_#011	\x0E\x03\x02\x0A\x08リュール\nWie? Genau hier?\x0E\x04\x00\x00
MID_RELIANCE_S_#012	\x0E\x03\x02\x0A\x08アンバー\nGenau hier an meiner Seite!\x0E\x04\x00\x00
MID_RELIANCE_S_#013	\x0E\x03\x02\x0A\x08リュール\nHm?!\x0E\x04\x00\x00
MID_RELIANCE_S_#014	\x0E\x03\x02\x0A\x08アンバー\nHört zu, \x0E\x0A\x00*\x14Göttlicher\x12Göttliche! Wäret Ihr ein legendäres\nSchwert, so wäre ich die legendäre Scheide,\ndie Euch beschützt!\x0E\x04\x00\x00
MID_RELIANCE_S_#015	\x0E\x03\x02\x0A\x08アンバー\nWenn Euch eine Schlacht lädiert und voller\nKratzer zurücklässt, werde ich da sein und\nEuch wieder auf Vordermann bringen!\x0E\x04\x00\x00
MID_RELIANCE_S_#016	\x0E\x03\x02\x0A\x08アンバー\nUnd ich werde Euch immer wieder zurück nach\nHause bringen... gesund und munter, tausende\nMale.\x0E\x04\x00\x00
MID_RELIANCE_S_#017	\x0E\x03\x02\x0A\x08リュール\nAmber...\x0E\x04\x00\x00
MID_RELIANCE_S_#018	\x0E\x03\x02\x0A\x08リュール\nNein. Das geht nicht an. Ich bin glücklich, dass\ndu so empfindest, aber ich...\x0E\x04\x00\x00
MID_RELIANCE_S_#019	\x0E\x03\x02\x0A\x08アンバー\nI-Ihr habt recht, \x0E\x0A\x00*\x14Göttlicher\x12Göttliche. Tut mir leid. Das\nwar sehr ungebührlich von mir, nicht wahr?\nAch, menno...\x0E\x04\x00\x00
MID_RELIANCE_S_#020	\x0E\x03\x02\x0A\x08リュール\nNein! Das meinte ich nicht. Wenn ich ein\nSchwert bin, dann bist du auch eines. Wir\nkämpfen gemeinsam!\x0E\x04\x00\x00
MID_RELIANCE_S_#021	\x0E\x03\x02\x0A\x08アンバー\nWhoa.\x0E\x04\x00\x00
MID_RELIANCE_S_#022	\x0E\x03\x02\x0A\x08リュール\nDu träumst davon, ein Legendärer Held zu\nwerden, nicht wahr? Nun, ich möchte dir dabei\nhelfen, diesen Traum zu verwirklichen!\x0E\x04\x00\x00
MID_RELIANCE_S_#023	\x0E\x03\x02\x0A\x08アンバー\n\x0E\x0A\x00*\x14Göttlicher\x12Göttliche, ich...\x0E\x04\x00\x00
MID_RELIANCE_S_#024	\x0E\x03\x02\x0A\x08リュール\nIch möchte, dass du den Paktring trägst, Amber.\nWirst du das für mich tun?\x0E\x04\x00\x00
MID_RELIANCE_S_#025	\x0E\x03\x02\x0A\x08リュール\nAlles, was ich dafür brauche, ist dein Ver-\nsprechen, ein Schwert an meiner Seite zu sein.\x0E\x04\x00\x00
MID_RELIANCE_S_#026	\x0E\x03\x02\x0A\x08アンバー\nJepp! Ich meine, Ja! Wenn das Eure Bedingung\nist, dann könnt Ihr auf mich zählen!\x0E\x04\x00\x00
MID_RELIANCE_S_#027	\x0E\x03\x02\x0A\x08リュール\nLass uns gemeinsam eine friedliche Welt\naufbauen, Amber.\x0E\x04\x00\x00
MID_RELIANCE_S_#028	\x0E\x03\x02\x0A\x08リュール\nUnd dann, irgendwann... möchte ich deine\nAlpakafarm in deiner Heimat besuchen.\x0E\x04\x00\x00
MID_RELIANCE_S_#029	\x0E\x03\x02\x0A\x08アンバー\nNatürlich! Mein Heimatort ist Euer Heimatort.\x0E\x04\x00\x00
MID_RELIANCE_S_#030	\x0E\x03\x02\x0A\x08アンバー\nIch danke Euch, \x0E\x0A\x00*\x14Göttlicher\x12Göttliche. Ich bin gerade total\nüberwältigt. Ich weiß nicht, was ich sagen soll.\x0E\x04\x00\x00
MID_RELIANCE_S_#031	\x0E\x03\x02\x0A\x08アンバー\nOh! Ich sollte den Alpakas zu Hause davon\nerzählen! Sie werden ganz aus dem Häuschen\nsein!\x0E\x04\x00\x00
MID_RELIANCE_S_#032	\x0E\x03\x02\x0A\x08アンバー\nHnn, Hn H-Hn, Hn Hn...\x0E\x04\x00\x00
MID_RELIANCE_S_#033	\x0E\x03\x02\x0A\x08リュール\nAh... Klingt, als würde das eine Weile dauern.\nVerschiebe es auf später, ja? Ich möchte auch\ngerne dabei sein.\x0E\x04\x00\x00
MID_RELIANCE_S_#034	\x0E\x03\x02\x0A\x08リュール\nAußerdem hätte ich dich im Moment gerne\netwas präsenter hier, weißt du.\x0E\x04\x00\x00
MID_RELIANCE_S_#035	\x0E\x03\x02\x0A\x08アンバー\nOh! Sicher doch, \x0E\x0A\x00(\x10Wyrmgott\x14Wyrmgöttin \x0E\x06\x03\x00!\x0E\x04\x00\x00
MID_RELIANCE_S_#036	\x0E\x03\x02\x0A\x08アンバー\nWir sind nun Zwillingsklingen, für immer zu-\nsammengeschmiedet! Selbst, wenn Ihr es eines\nTages bereut! Was nicht passieren wird!\x0E\x04\x00\x00
