MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nマデリーン\x021\n\x0E\x03\x00\x10\nグレゴリー\x022\n\x0E\x03\x02\x0C\nマデリーン\nPuuuh. Genug trainiert, das sollte für heute\nreichen. Ich bin ganz schön ins Schwitzen\ngeraten.\x0E\x04\x00\x00
MID_RELIANCE_C_#018	Du wirst nach deinem Training bestimmt er-\nschöpft sein. Ich wollte dir nicht auf die Nerven\ngehen – wir können uns später noch unterhalten.\x0E\x04\x00\x00
MID_RELIANCE_C_#019	\x0E\x03\x02\x0C\nマデリーン\nNa gut... Pass auf dich auf, Gregory.\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nマデリーン\x021\n\x0E\x03\x00\x10\nグレゴリー\x022\n\x0E\x03\x02\x0C\nグレゴリー\nHey, Madeline. Trainierst du heute wieder?\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x0C\nマデリーン\nHallo, Gregory. Das tue ich. Aber ich wollte\ngerade eine Pause einlegen.\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0C\nグレゴリー\nEs tut mir leid wegen neulich. Du warst dabei,\nmir etwas über deine Eltern zu erzählen und\nich hab das Thema auf mich gelenkt...\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0C\nマデリーン\nBitte, mach dir darüber keine Gedanken.\x0E\x04\x02\x00
MID_RELIANCE_B_#005	Aber ich habe mir Sorgen um dich gemacht...\nWürdest du wohl deine Geschichte mit mir\nteilen?\x0E\x04\x02\x00
MID_RELIANCE_B_#006	Nur, wenn du das wirklich möchtest. Ich würde\nes einfach hassen, wenn ich dich aus der\nFassung bringe, ohne zu wissen, womit.\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0C\nグレゴリー\nIch danke dir dafür. Du bist viel erwachsener\nals ich.\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0C\nマデリーン\nSo weit würde ich jetzt nicht gehen.\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0C\nグレゴリー\nEs ist eine uralte Geschichte und nicht mal\nhalbwegs interessant. Aber wenn du sie hören\nmöchtest...\x0E\x04\x02\x00
MID_RELIANCE_B_#010	Ich wuchs in drückender Armut auf. Und was\nalles noch schlimmer machte: Meine Eltern\nhassten sich.\x0E\x04\x02\x00
MID_RELIANCE_B_#011	Manches Mal waren sie sogar gewalttätig. Ich\nkann mich nicht erinnern, dass sie jemals nett\nzu mir waren.\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0C\nマデリーン\nWie furchtbar...\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0C\nグレゴリー\nSelbst an meinen Geburtstagen hatten sie nichts\nals Ablehnung für mich übrig. Alles, was ich\nmir gewünscht hätte, war ein Plüschtier.\x0E\x04\x02\x00
MID_RELIANCE_B_#014	Du weißt, dass ich Schmerzen nicht ausstehen\nkann. Also tat ich alles, um ein gutes Kind zu\nsein, damit sie mich nicht bestraften, aber...\x0E\x04\x02\x00
MID_RELIANCE_B_#015	Es half nichts. Sie haben mich nie geliebt. Bis\nzum bitteren Ende nicht, als sie... mich\nverkauften.\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0C\nマデリーン\nDas ist schrecklich... Ich kann mir Eltern gar\nnicht vorstellen, die ihr eigenes Kind einfach\nso loswerden.\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x0C\nグレゴリー\nGlaub es oder glaub es nicht, es ist die\nWahrheit. Die Welt ist voller Leute wie sie.\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x0C\nマデリーン\nEs tut mir so leid, Gregory. Ich hatte ja keine\nAhnung.\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x0C\nグレゴリー\nDu musst dich nicht entschuldigen. Das\nGespräch über ein Zuhause hat einfach die\nErinnerungen an meines wachgerufen.\x0E\x04\x02\x00
MID_RELIANCE_B_#020	Aber deine Eltern scheinen wunderbare Leute\ngewesen zu sein. Du solltest ihre Liebe tragen\nwie eine Medaille.\x0E\x04\x00\x00
MID_RELIANCE_B_#021	\x0E\x03\x02\x0C\nマデリーン\nUnd deine Eltern... Wie stehst du heute zu\nihnen?\x0E\x04\x00\x00
MID_RELIANCE_B_#022	\x0E\x03\x02\x0C\nグレゴリー\nIch hasse sie. Ich kann ihnen nicht vergeben.\nAber ich versuche, mich selbst zu überzeugen,\ndass sie ihre Gründe hatten.\x0E\x04\x02\x00
MID_RELIANCE_B_#023	Ich konnte mich selbst erst nicht so davon\ndistanzieren, aber die Vier Winde halfen mir. Ihr\nwurdet meine Familie.\x0E\x04\x00\x00
MID_RELIANCE_B_#024	\x0E\x03\x02\x0C\nマデリーン\nDas macht mich froh.\x0E\x04\x00\x00
MID_RELIANCE_B_#025	\x0E\x03\x02\x0C\nグレゴリー\nEines Tages werde ich fähig sein, meinen Eltern\nall das zu sagen. Bis dahin... danke ich dir, dass\ndu mir zugehört hast.\x0E\x04\x00\x00
MID_RELIANCE_B_#026	\x0E\x03\x02\x0C\nマデリーン\nNein, ich danke dir, dass du mir davon erzählt\nhast.\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nマデリーン\x021\n\x0E\x03\x00\x10\nグレゴリー\x022\n\x0E\x03\x02\x0C\nマデリーン\nHmm... Ja, das ist perfekt. Genau so, wie ich\nes mir vorgestellt habe.\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x0C\nグレゴリー\nWas siehst du dir da an? Du wirkst so aufge-\nkratzt. Hast du eine neue Form von Training\nerfunden?\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0C\nマデリーン\nHUCH!\x0E\x04\x02\x00
MID_RELIANCE_A_#004	Oh! Gregory... Du übst dich im Anschleichen,\nwie ich sehe. Gute Technik.\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0C\nグレゴリー\nHahaha. Danke. Also... Was ist das? Ein Haufen\nStaub?\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0C\nマデリーン\nVerzeihung?\x0E\x04\x02\x00
MID_RELIANCE_A_#007	Das ist ein Schäfchen, ein Plüschtier! Ich habe\nnoch nie ein Spielzeug gebastelt, daher ist es\nwohl nicht sehr schön geworden.\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0C\nグレゴリー\nOooh, ein Plüschtier! Ja... Ja, ich glaube, jetzt\nerkenne ich es. JA! Das sieht toll aus. Ist das,\nähm... ein Geschenk für jemanden?\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x0C\nマデリーン\nNun, ich hörte, dass du weiche und knuddelige\nSachen magst.\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0C\nグレゴリー\nMoment... Ist das für MICH?\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0C\nマデリーン\nJa, so hatte ich das gedacht. Aber vielleicht\nbehalte ich das Kleine auch für mich.\x0E\x04\x02\x00
MID_RELIANCE_A_#012	Ein Haufen Staub ist kein passendes Ge-\nschenk für einen Ritter... Auf meinem Bett wird\nes sich sicher wohlfühlen.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0C\nグレゴリー\nGib es mir! Es ist perfekt, Madeline. Ich würde\nes so gerne haben... Bitte!\x0E\x04\x02\x00
MID_RELIANCE_A_#014	Es tut mir leid, dass ich es beleidigt habe.\nDieses Schäfchen ist wirklich alles, was ich\njemals haben wollte!\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0C\nマデリーン\nNa schön, na schön! Ist ja gut... Hier, für dich.\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0C\nグレゴリー\nDanke!\x0E\x04\x02\x00
MID_RELIANCE_A_#017	Es ist unglaublich! Es ist so weich und\nkuschelig. Ich war noch nie so glücklich wie\njetzt!\x0E\x04\x02\x00
MID_RELIANCE_A_#018	Aber... warum hast du das denn für mich ge-\nbastelt? Ich hab doch gar nichts getan, um\nes zu verdienen.\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x0C\nマデリーン\nWeil du erzählt hast, dass du dir als kleiner\nJunge immer ein Plüschtier gewünscht hast.\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0C\nグレゴリー\nHm?\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x0C\nマデリーン\nNatürlich kann ich nicht durch die Zeit reisen\nund dies dem kleinen Gregory schenken.\x0E\x04\x02\x00
MID_RELIANCE_A_#022	Aber ich kann zumindest dem Gregory, der hier\nvor mir steht, meine Zuneigung zeigen.\x0E\x04\x02\x00
MID_RELIANCE_A_#023	Wir Gefährten von den Vier Winden?\nWir lieben dich. Und unsere Freunde hier tun\ndas ebenfalls.\x0E\x04\x02\x00
MID_RELIANCE_A_#024	Du wirst geliebt. Selbst wenn die Liebe später\nkommt, als sie hätte kommen sollen.\x0E\x04\x02\x00
MID_RELIANCE_A_#025	Das wollte ich irgendwie zum Ausdruck bringen,\ndaher habe ich dir dieses Geschenk gebastelt.\x0E\x04\x00\x00
MID_RELIANCE_A_#026	\x0E\x03\x02\x0C\nグレゴリー\nIch... Ich weiß nicht, was ich sagen soll.\x0E\x04\x02\x00
MID_RELIANCE_A_#027	Ich dachte immer, ich wäre neidisch auf alle, die\nin einer liebevollen Familie aufgewachsen sind.\x0E\x04\x02\x00
MID_RELIANCE_A_#028	Aber selbst wenn meine Eltern mich nicht\nliebten, habe ich Freunde, die das tun. Und die\nmir diese Liebe auch zeigen.\x0E\x04\x00\x00
MID_RELIANCE_A_#029	\x0E\x03\x02\x0C\nマデリーン\nGanz genau. Und dieser Haufen Staub ist der\nBeweis dafür.\x0E\x04\x00\x00
MID_RELIANCE_A_#030	\x0E\x03\x02\x0C\nグレゴリー\nDas ist nicht nur ein Haufen Staub. Das ist das\nniedlichste, knuddeligste Schäfchen, das jemals\nherumfluffte.\x0E\x04\x02\x00
MID_RELIANCE_A_#031	Ich liebe es so sehr. Ich kann spüren, wie mein\njüngeres Ich lächelt.\x0E\x04\x02\x00
MID_RELIANCE_A_#032	Vielen Dank, Madeline. Ich werde es immer\nin Ehren halten.\x0E\x04\x02\x00
MID_RELIANCE_A_#033	Ich würde gerne wissen, was du magst. Ich\nmöchte dir dein herzliches Geschenk mit einem\nebensolchen Geschenk von mir vergelten.\x0E\x04\x00\x00
MID_RELIANCE_A_#034	\x0E\x03\x02\x0C\nマデリーン\nHihihi. Ich kann es kaum erwarten.\x0E\x04\x00\x00
