MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cディアマンド\x021\n\x0E\x03\x00\x0E\x08ジェーデ\x022\n\x0E\x03\x02\x0A\x08ジェーデ\n...\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0A\x08ジェーデ\nEs ist eine unerwartete Ehre, dass meine\nGeschichten das Leben des Kronprinzen in\nGefahr bringen.\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x0A\x08ジェーデ\nWelchen Teil lest Ihr gerade?\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0E\x0Cディアマンド\nKapitel 19 von „Die Abenteuer von Amber,\nTollpatsch ohne Absicht“.\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0A\x08ジェーデ\nAh. Ihr seid an der Stelle, wo Amber gerade das\nTurnier gewonnen hat?\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0E\x0Cディアマンド\nEr kehrte in seinen Heimatort zurück, um\nseinen Sieg zu feiern, aber keiner glaubte ihm!\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0E\x0Cディアマンド\nUnd dann diese Szene, als er auf dem riesigen\nAlpaka durch die offene Weite reitet, um seine\nTränen zu trocknen...\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0A\x08ジェーデ\nAls er vom Alpaka absteigt, sind seine Augen\ntrocken, aber dann spuckt ihn das Alpaka an.\nArmer Amber.\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0E\x0Cディアマンド\nDies ist nicht nur ein lustiger Roman, Jade.\nDieses Buch ist ein Kunstwerk.\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0E\x0Cディアマンド\nSag mir, wann wird der nächste Roman fertig\nsein?\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x0A\x08ジェーデ\nNun... Genau darüber wollte ich mit Euch reden.\nIch überlege, eine Pause vom Schreiben einzu-\nlegen. Nur für eine kurze Weile.\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0E\x0Cディアマンド\nOh. Wirklich?\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0E\x0Cディアマンド\nIch glaube, ich verstehe es. Unsere Schlachten\nwerden immer erbitterter. Daran lässt sich\nnichts ändern.\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x0A\x08ジェーデ\nJa. Das spielt mit Sicherheit auch eine Rolle,\naber...\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x0A\x08ジェーデ\nIn letzter Zeit fühlt sich alles, was ich schreibe,\nfür mich so platt an. Meine eigenen Ideen\nlangweilen mich.\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x0E\x0Cディアマンド\nAh. Du hast eine Schaffenskrise?\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x0A\x08ジェーデ\nJa. Ich muss meinen Stift eine Weile ruhen\nlassen. Es tut mir leid, sollte Euch diese\nNachricht enttäuschen, Prinz Diamant.\x0E\x04\x00\x00
MID_RELIANCE_B_#021	\x0E\x03\x02\x0E\x0Cディアマンド\nEs gibt keinen Grund, sich zu entschuldigen. Ich\nbin ein eifriger, aber auch geduldiger Leser.\nNimm dir alle Zeit, die du brauchst.\x0E\x04\x00\x00
MID_RELIANCE_B_#022	\x0E\x03\x02\x0A\x08ジェーデ\nIch danke Euch. Sobald ich wieder anfange zu\nschreiben, lasse ich es Euch wissen.\x0E\x04\x00\x00
MID_RELIANCE_B_#023	\x0E\x03\x02\x0E\x0Cディアマンド\nIch bin froh zu hören, dass du dir eine Pause\ngönnst. In der Zwischenzeit...\x0E\x04\x00\x00
MID_RELIANCE_B_#024	\x0E\x03\x02\x0E\x0Cディアマンド\nKönnte ich doch das nächste Buch schreiben.\x0E\x04\x00\x00
MID_RELIANCE_B_#025	\x0E\x03\x02\x0A\x08ジェーデ\nHöh?\x0E\x04\x00\x00
MID_RELIANCE_B_#026	\x0E\x03\x02\x0E\x0Cディアマンド\nKeine Sorge, ich bereichere mich nicht an deiner\nArbeit. Es wird eher so etwas wie eine Neben-\nhandlung. Ich liebe diese Herausforderung.\x0E\x04\x00\x00
MID_RELIANCE_B_#027	\x0E\x03\x02\x0A\x08ジェーデ\nÄhm... Euch ist es Ernst damit, oder?\x0E\x04\x00\x00
MID_RELIANCE_B_#028	\x0E\x03\x02\x0E\x0Cディアマンド\nIch meine es ernst. Ich gebe dir Bescheid, wenn\nes fertig geschrieben ist. Du ruhst dich bis dahin\naus.\x0E\x04\x00\x00
MID_RELIANCE_B_#029	\x0E\x03\x02\x0A\x08ジェーデ\nJa. Verstanden.\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cディアマンド\x021\n\x0E\x03\x00\x0E\x08ジェーデ\x022\n\x0E\x03\x02\x0E\x0Cディアマンド\nJade! Ich habe den ersten Entwurf fertig.\nMagst du ihn mal lesen?\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x0E\x0Cディアマンド\nDer Titel lautet „Die zusätzlichen Abenteuer von\nAmber, Tollpatsch ohne Absicht“.\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0A\x08ジェーデ\nIhr... Ihr habt es wirklich geschrieben.\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x0A\x08ジェーデ\nJa. Natürlich, Prinz Diamant. Ich würde es\nliebend gerne lesen.\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0E\x0Cディアマンド\n...\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0A\x08ジェーデ\nHm, das ist wirklich lustig. Allerdings...\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0E\x0Cディアマンド\nSei ehrlich. Halte dich nicht zurück.\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0A\x08ジェーデ\nDiese Seiten könnten noch mehr lustige\nWendungen vertragen. Wenn Ihr diese Szene ein\nbisschen umschreiben würdet...\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x0E\x0Cディアマンド\nHmm. Was würdest du ändern?\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0A\x08ジェーデ\nWenn ich das schreiben würde, würde die\nAlpakawolle von seinem Körper geradezu\nwegplatzen.\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0E\x0Cディアマンド\nAhahaha.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0A\x08ジェーデ\nUnd dann, gerade als Amber sich wieder\ngefangen hat, würde das Fell blitzartig\nnachwachsen, aber seidig und weich.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0A\x08ジェーデ\nAmber versucht, auf sein Alpaka zu steigen,\naber das Fell ist so weich, dass er immer\nwieder wegrutscht, nein, geradezu wegfliegt.\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0A\x08ジェーデ\nUnd während Amber durch die Luft und am\nHorizont entlangfliegt, spuckt sein Alpaka\nwehmütig auf den Boden.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0E\x0Cディアマンド\nPf...\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0E\x0Cディアマンド\nHahaha!\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x0E\x0Cディアマンド\nDas ist einfach perfekt! Deine Version ist viel\nbesser im Fluss.\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x0A\x08ジェーデ\nVielen Dank. Aber der Rahmen Eurer Geschichte\nist wirklich gut, Prinz Diamant.\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x0A\x08ジェーデ\nLiebend gern würde ich Euch noch mehr\nHinweise geben, wenn Euer zweiter Entwurf\nfertig ist.\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0E\x0Cディアマンド\nNein, ich bin fertig damit.\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x0A\x08ジェーデ\nHuch?! Warum habt Ihr Euren Entwurf\nzerknüllt?\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x0E\x0Cディアマンド\nEr hat seinen Zweck erfüllt. So wie es aussieht,\nist dein neues Buch bereits auf dem Weg.\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x0A\x08ジェーデ\nMein neues Buch?\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x0E\x0Cディアマンド\nSicher. Deine Idee für seidig weiches Fell war\nausgezeichnet. Ich habe vollstes Vertrauen, dass\ndu ab hier allein weitermachen kannst.\x0E\x04\x00\x00
MID_RELIANCE_A_#025	\x0E\x03\x02\x0A\x08ジェーデ\nMoment mal. Habt Ihr...\x0E\x04\x00\x00
MID_RELIANCE_A_#026	\x0E\x03\x02\x0A\x08ジェーデ\nHabt Ihr damit versucht, mich aus meiner\nSchaffenskrise zu ziehen? Indem Ihr für mich\nden ersten Entwurf geschrieben habt?\x0E\x04\x00\x00
MID_RELIANCE_A_#027	\x0E\x03\x02\x0E\x0Cディアマンド\nWillst du etwa andeuten, dass ich so einen\nschwachen Entwurf mit Absicht geschrieben\nhabe? So geschickt bin ich nicht.\x0E\x04\x00\x00
MID_RELIANCE_A_#028	\x0E\x03\x02\x0E\x0Cディアマンド\nIch habe wirklich mein Bestes gegeben. Aber\nmeine lustigen Wendungen können mit denen\neiner wirklichen Künstlerin nicht mithalten.\x0E\x04\x00\x00
MID_RELIANCE_A_#029	\x0E\x03\x02\x0A\x08ジェーデ\nPrinz Diamant...\x0E\x04\x00\x00
MID_RELIANCE_A_#030	\x0E\x03\x02\x0A\x08ジェーデ\nEs mag nicht Eure Absicht gewesen sein, aber...\x0E\x04\x00\x00
MID_RELIANCE_A_#031	\x0E\x03\x02\x0A\x08ジェーデ\nIch danke Euch.\x0E\x04\x00\x00
MID_RELIANCE_A_#032	\x0E\x03\x02\x0E\x0Cディアマンド\nNun gut. Es wird Zeit, wieder an die Arbeit zu\ngehen.\x0E\x04\x00\x00
MID_RELIANCE_A_#033	\x0E\x03\x02\x0E\x0Cディアマンド\nMach dir keine Gedanken um die heutige Nacht-\nwache, Jade. Ich werde sie übernehmen.\x0E\x04\x00\x00
MID_RELIANCE_A_#034	\x0E\x03\x02\x0A\x08ジェーデ\nAber...\x0E\x04\x00\x00
MID_RELIANCE_A_#035	\x0E\x03\x02\x0E\x0Cディアマンド\nIn letzter Zeit hast du dich so sehr angestrengt.\nIch vermute, das mag auch ein Grund deiner\nSchaffenskrise sein. Geh und ruh dich aus.\x0E\x04\x00\x00
MID_RELIANCE_A_#036	\x0E\x03\x02\x0E\x0Cディアマンド\nUnd wann immer dein Buch fertig ist, sag es\nmir. Nichts entspannt mich mehr, als bei der\nLektüre deiner Geschichten zu lachen\x0E\x04\x00\x00
MID_RELIANCE_A_#037	\x0E\x03\x02\x0A\x08ジェーデ\nVerstanden. Vielen Dank.\x0E\x04\x00\x00
MID_RELIANCE_A_#038	\x0E\x03\x02\x0A\x08ジェーデ\nSolange ich Eure Getreue bin, Prinz Diamant...\x0E\x04\x00\x00
MID_RELIANCE_A_#039	\x0E\x03\x02\x0A\x08ジェーデ\nGelobe ich, jede einzelne Faser von Euch zu\nbeschützen, besonders Eure lustige Ader.\x0E\x04\x00\x00
