MID_OP1_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cアルフレッド\x021\n\x0E\x03\x00\x0E\x08リュール\x022\n\x0E\x03\x02\x0A\x08リュール\nIch sehe noch keine elusianischen Soldaten.\x0E\x04\x00\x00
MID_OP2_#015	\x0E\x03\x02\x0A\x08ヴェイル\nIch... bin mir nicht sicher.\x0E\x04\x02\x00
MID_OP2_#016	Griss, hast du diesen Angriff befohlen?\nWusstest du deswegen genau, wohin wir gehen\nmüssen?\x0E\x04\x00\x00
MID_OP2_#017	\x0E\x03\x01\x08\x06セピア\n\x0E\x03\x00\x0A\x04グリ\x023\n\x0E\x03\x02\x06\x04グリ\n\x0E\x03\x02\x06\x04グリ\n...\x0E\x04\x02\x00
MID_OP2_#018	\x0E\x03\x02\x0A\x08ヴェイル\nGriss! Sag schon!\x0E\x04\x00\x00
MID_OP2_#019	\x0E\x03\x02\x06\x04グリ\nJa, ich wusste von dem Angriff. Aber ich war\nnicht derjenige, der den Befehl dazu erteilt hat.\x0E\x04\x00\x00
MID_OP2_#020	\x0E\x03\x02\x0A\x08ヴェイル\nWer dann? Was für ein Monster hat unseren\nTruppen den Angriff auf eine ganze Stadt\nunschuldiger Leute befohlen?\x0E\x04\x00\x00
MID_OP2_#021	\x0E\x03\x01\x06\x04グリ\n\x0E\x03\x00\x0C\x06セピア\x023\n\x0E\x03\x02\x08\x06セピア\n\x0E\x03\x02\x08\x06セピア\nNun, das wart Ihr.\x0E\x04\x00\x00
MID_OP2_#022	\x0E\x03\x02\x0A\x08ヴェイル\nW-was?\x0E\x04\x00\x00
MID_OP2_#023	\x0E\x03\x02\x08\x06セピア\nDie qualmenden Hütten, die brennenden Leute,\ndie vergeblich um Hilfe schreien, um welche\nHilfe auch immer...\x0E\x04\x02\x00
MID_OP2_#024	All das war Euer Plan. Euer Befehl.\x0E\x04\x00\x00
MID_OP2_#025	\x0E\x03\x02\x0A\x08ヴェイル\nMeiner?\x0E\x04\x00\x00
MID_OP2_#026	\x0E\x03\x01\x08\x06セピア\n\x0E\x03\x00\x0C\x06マロン\x023\n\x0E\x03\x02\x08\x06マロン\nAh, da sind wir endlich wieder. Was habe ich\nverpasst?\x0E\x04\x00\x00
MID_OP2_#027	\x0E\x03\x01\x08\x06マロン\n\x0E\x03\x00\x0C\x06モーヴ\x023\n\x0E\x03\x02\x08\x06モーヴ\nVergebt unsere Verspätung. Es gab\nKomplikationen.\x0E\x04\x00\x00
MID_OP2_#028	\x0E\x03\x02\x0A\x08ヴェイル\nMarni... Mauvier...\x0E\x04\x00\x00
MID_OP2_#029	\x0E\x03\x01\x08\x06モーヴ\n\x0E\x03\x00\x0C\x06マロン\x023\n\x0E\x03\x02\x08\x06マロン\nHey, Milady Veyle! Ich hoffe, Ihr habt Euch nach\nder langen Reise schön ausgeruht. Ich bin wohl\netwas spät dran.\x0E\x04\x02\x00
MID_OP2_#030	Aber ich bin mehr als bereit und willens, jeden\nin der Stadt zu erschlagen, so wie Ihr wolltet!\x0E\x04\x00\x00
MID_OP2_#031	\x0E\x03\x02\x0A\x08ヴェイル\nWas? Warum willst du so etwas Schreckliches\ntun? Das sind doch unschuldige Leute!\x0E\x04\x00\x00
MID_OP2_#032	\x0E\x03\x02\x08\x06マロン\nUnschuldig? So was hat Euch doch noch\nnie interessiert.\x0E\x04\x02\x00
MID_OP2_#033	Oh, ich verstehe. Ihr habt wieder gewechselt,\nhm? Ihr seid das... langweilige Ihr.\x0E\x04\x00\x00
MID_OP2_#034	\x0E\x03\x02\x0A\x08ヴェイル\nGewechselt? Das langweilige... Was meinst du\ndamit? Kann mir das mal jemand erklären?\x0E\x04\x00\x00
MID_OP2_#035	\x0E\x03\x01\x06\x04グリ\n\x0E\x03\x00\x0C\x06セピア\x023\n\x0E\x03\x02\x08\x06セピア\nHahaha!\x0E\x04\x02\x00
MID_OP2_#036	Also gut. Es wurde sowieso lästig, mit Euch\numzugehen.\x0E\x04\x02\x00
MID_OP2_#037	Ich erzähle Euch die Wahrheit. Und du,\n\x0E\x0A\x00*\x14Göttlicher\x12Göttliche, solltest sie ebenfalls hören.\x0E\x04\x00\x00
MID_OP2_#038	\x0E\x03\x02\x0A\x08リュール\nDie Wahrheit?\x0E\x04\x00\x00
MID_OP2_#039	\x0E\x03\x02\x08\x06セピア\nIhr wollt wissen, warum Ihr nichts wisst?\nWarum Ihr Euch nicht daran erinnert, den\nAngriff befohlen zu haben?\x0E\x04\x02\x00
MID_OP2_#040	Weil es die Tat der anderen Milady Veyle war.\nEbenso wie jeder andere Zug, den wir gemacht\nhaben.\x0E\x04\x00\x00
MID_OP2_#041	\x0E\x03\x02\x0A\x08リュール\nDie andere Veyle?\x0E\x04\x00\x00
MID_OP2_#042	\x0E\x03\x02\x08\x06セピア\nLord Sombron wünschte sich ein Dämonenkind,\ndas geeignet wäre, sein Erbe fortzuführen.\x0E\x04\x02\x00
MID_OP2_#043	Ihr wart ihm ungehorsam. Habt versagt, Eure\nDämonendrachenkräfte einzusetzen. Wünschtet\nEuch sogar Frieden! Hmpf.\x0E\x04\x02\x00
MID_OP2_#044	Ihr wart ein Fehlgriff, Eurer Familie unwürdig.\x0E\x04\x02\x00
MID_OP2_#045	So entschied sich Lord Sombron, mir die Macht\nfür ein paar... Anpassungen zu verleihen.\x0E\x04\x00\x00
MID_OP2_#046	\x0E\x03\x02\x0A\x08ヴェイル\nW-welche Anpassungen?\x0E\x04\x00\x00
MID_OP2_#047	\x0E\x03\x02\x0A\x08リュール\nWas habt Ihr mit ihr gemacht?\x0E\x04\x00\x00
MID_OP2_#048	\x0E\x03\x02\x08\x06セピア\nEs war ganz simpel, wirklich. Ich verstärkte\nEure Dämonendrachenimpulse ein winziges\nbisschen.\x0E\x04\x02\x00
MID_OP2_#049	Und schon konntet Ihr nur noch daran denken,\nMenschen zu töten. Die perfekte Verkörperung\nvon Lord Sombrons Willen.\x0E\x04\x02\x00
MID_OP2_#050	Der Mord an Lumera, der Diebstahl der Ringe,\ndie Entfesselung der Verzerrten in ganz Elyos...\nAlles Euer Werk.\x0E\x04\x00\x00
MID_OP2_#051	\x0E\x03\x02\x0A\x08ヴェイル\nDann... Dann ist das der Grund, warum ich\nimmer wieder an Orten aufgewacht bin, die\nmir fremd waren...\x0E\x04\x00\x00
MID_OP2_#052	\x0E\x03\x02\x08\x06セピア\nJa. Während Euer Bewusstsein schlief, war das\nandere wach und hat die Arbeit ausgeführt.\x0E\x04\x02\x00
MID_OP2_#053	Denkt nur. Ihr, im Kampf gegen Verzerrte...\ndie Ihr selbst erschaffen habt!\x0E\x04\x02\x00
MID_OP2_#054	Aber es wird noch besser. Die Tochter des\nDämonendrachen und \x0E\x0A\x008\x18der Wyrmgott\x1Cdie Wyrmgöttin...\nwurden auch noch Freunde!\x0E\x04\x02\x00
MID_OP2_#055	Ha! Amüsant, nicht wahr? Und erbärmlich.\x0E\x04\x00\x00
MID_OP2_#056	\x0E\x03\x02\x0A\x08ヴェイル\nNein... Nein!\x0E\x04\x02\x00
MID_OP2_#057	Es tut mir leid. Du hattest recht. Ich habe\nfurchtbare Dinge getan!\x0E\x04\x02\x00
MID_OP2_#058	\x0E\x03\x02\x0A\x08リュール\nDie Person, die meine Mutter getötet und\nunsere Ringe gestohlen hat...\x0E\x04\x02\x00
MID_OP2_#059	Das war Veyle, aber... auch wieder nicht?\x0E\x04\x00\x00
MID_OP2_#060	\x0E\x03\x02\x08\x06セピア\nDa habt Ihr's, Milady Veyle! Damit wäre dieses\nMissverständnis wohl geklärt.\x0E\x04\x00\x00
MID_OP2_#061	\x0E\x03\x02\x0A\x08ヴェイル\nZephia, Griss, Marni, Mauvier... Ihr wart nicht\nmeine Freunde!\x0E\x04\x02\x00
MID_OP2_#062	Ich bin allein. Ich bin immer allein gewesen!\nIch... Ich...\x0E\x04\x00\x00
MID_OP2_#063	\x0E\x03\x02\x0A\x08リュール\nVeyle, es ist schon gut. Bitte, lass mich dir\nhelfen.\x0E\x04\x00\x00
MID_OP2_#064	\x0E\x03\x01\x0A\x08ヴェイル\n\x0E\x03\x00\x0A\x04グリ\x021\n\x0E\x03\x02\x06\x04グリ\nWie wär's mit Nein?\x0E\x04\x00\x00
MID_OP2_#065	\x0E\x03\x02\x0A\x08リュール\n...\x0E\x04\x00\x00
MID_OP3_#001	\x0E\x02\x00\x06\x04TS\n\x0E\x03\x00\x0C\x06セピア\x021\n\x0E\x03\x00\x0E\x08ヴェイル\x023\n\x0E\x03\x02\x08\x06セピア\nAb jetzt brauche ich Euch nicht mehr.\x0E\x04\x00\x00
MID_OP3_#001_2	\x0E\x02\x00\x06\x04TS\n\x0E\x03\x00\x0C\x06セピア\x021\n\x0E\x03\x00\x0E\x08ヴェイル\x023\n\x0E\x03\x02\x08\x06セピア\nSchlaft jetzt. Taucht ab in einen Traum.\x0E\x04\x00\x00
MID_OP3_#002	\x0E\x03\x02\x0A\x08ヴェイル\nN-nein...\x0E\x04\x00\x00
MID_OP3_#003	\x0E\x03\x02\x08\x06セピア\nWacht auf, Milady Veyle. Wir brauchen Euch. Ihr wärt\nsehr enttäuscht, dieses Blutvergießen zu verpassen.\x0E\x04\x00\x00
MID_OP3_#004	\x0E\x03\x02\x0A\x08ヴェイル\nDu bist eine Lügnerin... So... bin ich nicht...\x0E\x04\x02\x00
MID_OP3_#005	...
MID_OP3_#006	Danke, dass du mich geweckt hast, Zephia. Wie\nsehr ich mich doch auf etwas Spaß gefreut habe.\x0E\x04\x02\x00
MID_OP3_#007	Bring mir den Ring des Heldenkönigs.\x0E\x04\x00\x00
MID_OP3_#008	\x0E\x03\x02\x08\x06セピア\nJa, wie Ihr wünscht.
MID_OP3_#009	\x0E\x03\x00\x0C\x06マルス\x024\n\x0E\x03\x00\x0E\x08リュール\x022\n\x0E\x03\x02\x0A\x08リュール\nMarth!
MID_OP3_#010	\x0E\x03\x02\x0A\x08ヴェイル\nUnd meine Bluthunde,\nbereitet euch ebenfalls vor.\x0E\x04\x00\x00
MID_OP3_#011	\x0E\x03\x02\x08\x06セピア\nWas immer Ihr wünscht, Milady.\x0E\x04\x00\x00
MID_OP3_#012	\x0E\x03\x02\x0A\x08ヴェイル\nAh, wie aufregend.\x0E\x04\x02\x00
MID_OP3_#013	Ich hoffe, sie wehren sich zumindest ein wenig.\nEs macht keinen Spaß, wenn sie gleich sterben.\x0E\x04\x02\x00
MID_OP3_#014	Findest du nicht auch, \x0E\x06\x03\x00?\x0E\x04\x02\x00
MID_OP3_#015	Dieses Gör und ich teilen keinerlei Erinnerungen.\nIch wusste nicht mal, dass wir jetzt Freunde sind.\x0E\x04\x02\x00
MID_OP3_#016	Ich hoffe, du kannst mir\nmeine Unhöflichkeit verzeihen.\x0E\x04\x00\x00
MID_OP3_#017	\x0E\x03\x02\x0A\x08リュール\nDeine Entschuldigung bedeutet mir nichts.\nDu bist nicht Veyle. Gib sie zurück!\x0E\x04\x00\x00
MID_OP3_#018	\x0E\x03\x02\x0A\x08ヴェイル\nUnd ob ich Veyle bin. Ja, genau genommen\nbin ich Veyle in ihrer reinsten Form.\x0E\x04\x02\x00
MID_OP3_#019	Nur eine von uns ist würdig, den Dämonendrachen\n„Vater“ zu nennen. Diese Ehre gebührt mir allein!\x0E\x04\x00\x00
MID_OP3_#020	\x0E\x03\x02\x0A\x08リュール\nFreunde, es ist an der Zeit zu kämpfen.\x0E\x04\x00\x00
MID_EV1_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x18\x12M017_ヴェイル\x02b\n\x0E\x05\x01 \x12M017_ヴェイル\nSmile\n\x0E\x03\x02\x14\x12M017_ヴェイル\nOh, stimmt ja. Ich habe noch eine aufregende\nÜberraschung mitgebracht.\x0E\x04\x00\x00
MID_EV1_#002	\x0E\x03\x01\x14\x12M017_ヴェイル\n\x0E\x03\x00$\x1EM017_異形兵_ハイアシンス\x02b\n\x0E\x05\x01,\x1EM017_異形兵_ハイアシンス\nSmile\n\x0E\x03\x02 \x1EM017_異形兵_ハイアシンス\nIvy. Und Ihr, \x0E\x0A\x00(\x10Wyrmgott\x14Wyrmgöttin. Es ist schon lange her,\nnicht wahr?\x0E\x04\x00\x00
MID_EV1_#003	\x0E\x03\x00\x0E\x08リュール\x02t\n\x0E\x05\x01\x1C\x08リュール\x10Surprise\n\x0E\x03\x02\x0A\x08リュール\nKönig Hyacinth?\x0E\x04\x00\x00
MID_EV1_#004	\x0E\x03\x01\x0A\x08リュール\n\x0E\x03\x00\x0E\x08アイビー\x02t\n\x0E\x05\x01\x1C\x08アイビー\x10Surprise\n\x0E\x03\x02\x0A\x08アイビー\nVater! Ihr lebt?\x0E\x04\x00\x00
MID_EV1_#005	\x0E\x03\x01 \x1EM017_異形兵_ハイアシンス\n\x0E\x03\x00\x18\x12M017_ヴェイル\x02b\n\x0E\x05\x01 \x12M017_ヴェイル\nSmile\n\x0E\x03\x02\x14\x12M017_ヴェイル\nDas tut er nicht. Das ist der Verzerrte Hyacinth.\x0E\x04\x00\x00
MID_EV1_#006	\x0E\x03\x01\x0A\x08アイビー\n\x0E\x03\x00\x0E\x08リュール\x02t\n\x0E\x05\x01\x1C\x08リュール\x10Surprise\n\x0E\x03\x02\x0A\x08リュール\nDu meinst...\x0E\x04\x00\x00
MID_EV1_#007	\x0E\x03\x02\x14\x12M017_ヴェイル\nSieht aus wie neu, nicht wahr? Nicht wie Vaters\n„König Morion“. Ich kann das viel besser als er.\x0E\x04\x02\x00
MID_EV1_#008	Wenn ich Verzerrte erschaffe, dann sind sie\nganz sie selbst.\x0E\x04\x02\x00
MID_EV1_#009	Wobei das auch ein Hindernis sein kann. Also\nhabe ich ein paar Modifikationen vorgenommen.\x0E\x04\x00\x00
MID_EV1_#010	\x0E\x05\x01\x18\x08リュール\x0CStrike\n\x0E\x03\x02\x0A\x08リュール\nDas ist unvorstellbar.\x0E\x04\x00\x00
MID_EV1_#011	\x0E\x05\x01 \x12M017_ヴェイル\nAngry\n\x0E\x03\x02\x14\x12M017_ヴェイル\nPrinzessin Ivy verdient es.\x0E\x04\x00\x00
MID_EV1_#012	\x0E\x03\x01\x0A\x08リュール\n\x0E\x03\x00\x0E\x08アイビー\x02t\n\x0E\x05\x01\x14\x08アイビー\x08Pain\n\x0E\x03\x02\x0A\x08アイビー\nWarum denn ich?\x0E\x04\x00\x00
MID_EV1_#013	\x0E\x05\x01\x1C\x12M017_ヴェイル\x06Sad\n\x0E\x03\x02\x14\x12M017_ヴェイル\nFür den Diebstahl der Ringe in der Destinea-\nKathedrale.\x0E\x04\x02\x00
MID_EV1_#014	\x0E\x05\x01 \x12M017_ヴェイル\nSmile\nSeitdem sehne ich mich nach Rache.\x0E\x04\x00\x00
MID_EV1_#015	\x0E\x05\x01\x1C\x08アイビー\x10Surprise\n\x0E\x03\x02\x0A\x08アイビー\n...\x0E\x04\x00\x00
MID_EV1_#016	\x0E\x0B\x00n
MID_EV1_#017	Nehmt dies stattdessen. Den Ring des weisen\nLords.\x0E\x04\x00\x00
MID_EV1_#018	\x0E\x0B\x01>
MID_EV1_#019	\x0E\x05\x01\x14\x08アイビー\x08Pain\n\x0E\x03\x02\x0A\x08アイビー\nIhr wollt mich zwingen, gegen meinen eigenen\nVater zu kämpfen?\x0E\x04\x00\x00
MID_EV1_#020	\x0E\x03\x01\x0A\x08アイビー\n\x0E\x03\x00\x0E\x08リュール\x02t\n\x0E\x05\x01\x14\x08リュール\x08Pain\n\x0E\x03\x02\x0A\x08リュール\nNein! So kannst du doch nicht mit Leuten\numgehen!\x0E\x04\x02\x00
MID_EV1_#021	Begreifst du nicht, wie grausam das ist?\x0E\x04\x00\x00
MID_EV1_#022	\x0E\x03\x01 \x1EM017_異形兵_ハイアシンス\n\x0E\x03\x00\x18\x12M017_ヴェイル\x02b\n\x0E\x05\x01 \x12M017_ヴェイル\nSmile\n\x0E\x03\x02\x14\x12M017_ヴェイル\nGrausam? Ich habe gerade so viel Spaß wie\nnoch nie zuvor.\x0E\x04\x02\x00
MID_EV1_#023	\x0E\x05\x01 \x12M017_ヴェイル\nAngry\nWo wir gerade von Spaß reden: Alle Emblem-\nRinge sind hier.\x0E\x04\x02\x00
MID_EV1_#024	\x0E\x05\x01"\x12M017_ヴェイル\x0CStrike\nSechs für dich, sechs für mich. Keiner kann\nsagen, wer gewinnen wird!\x0E\x04\x00\x00
MID_EV1_#025	\x0E\x05\x01\x12\x08リュール\x06Sad\n\x0E\x03\x02\x0A\x08リュール\nVeyle...\x0E\x04\x00\x00
MID_EV1_#026	\x0E\x05\x01 \x12M017_ヴェイル\nAngry\n\x0E\x03\x02\x14\x12M017_ヴェイル\nNun, \x0E\x06\x03\x00. Möge das Töten beginnen.\x0E\x04\x00\x00
MID_EV2_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x18\x12M017_ヴェイル\x02b\n\x0E\x05\x01"\x12M017_ヴェイル\x0CStrike\n\x0E\x03\x02\x14\x12M017_ヴェイル\nHeldenkönig! Wir wollen, dass es richtig\nwehtut, nicht wahr?\x0E\x04\x00\x00
MID_EV3_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x18\x12M017_ヴェイル\x02b\n\x0E\x05\x01 \x12M017_ヴェイル\nSmile\n\x0E\x03\x02\x14\x12M017_ヴェイル\nBeeindruckt von Vaters Macht? Dämonen-\ndrachen sind Wyrmgöttern weit überlegen.\x0E\x04\x00\x00
MID_EV4_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x16\x10M017_セピア\x02b\n\x0E\x05\x01 \x10M017_セピア\x0CStrike\n\x0E\x03\x02\x12\x10M017_セピア\nHaltet Euch nicht zurück, Sigurd. Lasst Eurer\nMacht freien Lauf!\x0E\x04\x00\x00
MID_EV5_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x16\x10M017_セピア\x02b\n\x0E\x05\x01"\x10M017_セピア\x0EStandBy\n\x0E\x03\x02\x12\x10M017_セピア\nHahaha, erzittert vor der Macht Lord Sombrons!\x0E\x04\x00\x00
MID_EV6_#001	\x0E\x02\x01\x00\n\x0E\x03\x00$\x1EM017_異形兵_ハイアシンス\x02b\n\x0E\x05\x01,\x1EM017_異形兵_ハイアシンス\nSmile\n\x0E\x03\x02 \x1EM017_異形兵_ハイアシンス\nGebt Euren Impulsen nach, Emblem Leif.\x0E\x04\x00\x00
MID_EV7_#001	\x0E\x02\x01\x00\n\x0E\x03\x00$\x1EM017_異形兵_ハイアシンス\x02b\n\x0E\x05\x01,\x1EM017_異形兵_ハイアシンス\nSmile\n\x0E\x03\x02 \x1EM017_異形兵_ハイアシンス\nLord Sombrons Macht kennt keine Grenzen.\nIch habe richtig gehandelt.\x0E\x04\x00\x00
MID_EV8_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x0E\x08リュール\x02t\n\x0E\x05\x01\x14\x08リュール\x08Pain\n\x0E\x03\x02\x0A\x08リュール\nEin Emblem, das unkontrolliert wütet. Genau\ndas Gleiche ist auch im Palast von Solm\ngeschehen.\x0E\x04\x02\x00
MID_EV8_#002	\x0E\x05\x01\x16\x08リュール\nAngry\nDas stellt eine echte Herausforderung dar.\x0E\x04\x00\x00
MID_BT1_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x18\x12M017_ヴェイル\x02b\n\x0E\x05\x01 \x12M017_ヴェイル\nSmile\n\x0E\x03\x02\x14\x12M017_ヴェイル\nHahaha, ich bin so froh, dass du gekommen\nbist.\x0E\x04\x02\x00
MID_BT1_#002	Was für eine Kulisse, hm? Floramühlstadt sieht\nin Flammen gehüllt viel schöner aus.\x0E\x04\x02\x00
MID_BT1_#003	Ich wusste, dass dich die Flammen herlocken\nwürden.\x0E\x04\x02\x00
MID_BT1_#004	Und die Verzerrten, die dir solche Angst\ngemacht haben... Die sind gar nicht mehr so\ngruselig, wenn sie so aussehen, hm?\x0E\x04\x00\x00
MID_BT1_#005	\x0E\x03\x00\x0E\x08リュール\x02t\n\x0E\x05\x01\x14\x08リュール\x08Pain\n\x0E\x03\x02\x0A\x08リュール\nSprichst du über König Hyacinth?\x0E\x04\x00\x00
MID_BT1_#006	\x0E\x03\x02\x14\x12M017_ヴェイル\nJa. Ich dachte mir, wenn du ihn siehst, würde\ndich das zum Lächeln bringen. Wir sind doch\nschließlich Freunde!\x0E\x04\x02\x00
MID_BT1_#007	Oh, aber wir haben uns gestritten, nicht wahr?\nDer anderen Veyle muss es da ja glatt das Herz\nbrechen.\x0E\x04\x00\x00
MID_BT1_#008	\x0E\x05\x01\x12\x08リュール\x06Sad\n\x0E\x03\x02\x0A\x08リュール\n...\x0E\x04\x00\x00
MID_BT2_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x18\x12M017_ヴェイル\x02b\n\x0E\x05\x01 \x12M017_ヴェイル\nSmile\n\x0E\x03\x02\x14\x12M017_ヴェイル\nAh, ein neues Spielzeug. Das wird mir gefallen.\x0E\x04\x02\x00
MID_BT2_#002	\x0E\x05\x01"\x12M017_ヴェイル\x0CStrike\nKannst du deinen alten Freund Marth schlagen?\x0E\x04\x00\x00
MID_BT3_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x18\x12M017_ヴェイル\x02b\n\x0E\x05\x01\x1E\x12M017_ヴェイル\x08Pain\n\x0E\x03\x02\x14\x12M017_ヴェイル\nWie konnte das nur passieren? Ich verspreche\ndir, unsere nächste Begegnung wirst du nicht\nüberleben.\x0E\x04\x00\x00
MID_BT4_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x16\x10M017_セピア\x02b\n\x0E\x05\x01 \x10M017_セピア\x0CStrike\n\x0E\x03\x02\x12\x10M017_セピア\nMeint Ihr wirklich, Ihr könnt mich und meinen\nRitter besiegen? Dann versucht es doch.\x0E\x04\x00\x00
MID_BT5_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x16\x10M017_セピア\x02b\n\x0E\x05\x01\x1C\x10M017_セピア\x08Pain\n\x0E\x03\x02\x12\x10M017_セピア\nHng. Ich bin so gut bewaffnet und konnte doch\nnicht gewinnen...\x0E\x04\x00\x00
MID_BT6_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x14\x0EM017_グリ\x02b\n\x0E\x05\x01\x1E\x0EM017_グリ\x0CStatus\n\x0E\x03\x02\x10\x0EM017_グリ\nHehehe, los geht's! Ihr stecht mich, ich steche\nEuch! Wir feiern eine Schmerzparty!\x0E\x04\x00\x00
MID_BT7_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x14\x0EM017_グリ\x02b\n\x0E\x05\x01\x1C\x0EM017_グリ\nSmile\n\x0E\x03\x02\x10\x0EM017_グリ\nMmmm, köstlicher Schmerz. Das müssen wir\ndemnächst wiederholen.\x0E\x04\x00\x00
MID_BT8_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x16\x10M017_マロン\x02b\n\x0E\x05\x01\x1E\x10M017_マロン\nSmile\n\x0E\x03\x02\x12\x10M017_マロン\nMit diesem Ring bin ich unbesiegbar!\nKriecht vor mir im Staub!\x0E\x04\x00\x00
MID_BT9_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x16\x10M017_マロン\x02b\n\x0E\x05\x01\x1C\x10M017_マロン\x08Pain\n\x0E\x03\x02\x12\x10M017_マロン\nUnfair, unfair, unfair!\x0E\x04\x00\x00
MID_BT10_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x16\x10M017_モーヴ\x02b\n\x0E\x05\x01\x1E\x10M017_モーヴ\nAngry\n\x0E\x03\x02\x12\x10M017_モーヴ\nIch werde nichts unversucht lassen, um\nMilady Veyle zu schützen.\x0E\x04\x00\x00
MID_BT11_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x16\x10M017_モーヴ\x02b\n\x0E\x05\x01\x1C\x10M017_モーヴ\x08Pain\n\x0E\x03\x02\x12\x10M017_モーヴ\nHätte ich noch mehr tun können?\x0E\x04\x00\x00
