MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nブシュロン\x021\n\x0E\x03\x00\x0E\x08ゼルコバ\x022\n\x0E\x03\x02\x0C\nブシュロン\nOb das so eine gute Idee ist?\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0C\nブシュロン\nErst neulich bin ich mit einem Kompass\nbewaffnet zu einem Spaziergang aufgebrochen\nund habe mich TROTZDEM verlaufen.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0A\x08ゼルコバ\nÄußerst... beunruhigend.\nNun, was also werdet Ihr unternehmen?\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0C\nブシュロン\nBleibt mir denn etwas anderes übrig,\nals zu gehen?\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0C\nブシュロン\nSchließlich haben ja noch andere unter meinem\nProblem zu leiden. Falls da ein Trank Abhilfe\nschaffen kann, will ich diese Chance nutzen.\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x0A\x08ゼルコバ\nDann gestattet mir, Euch viel... Glück...\nzu wünschen.\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x0C\nブシュロン\nDanke. Hoffentlich hilft's!\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nブシュロン\x021\n\x0E\x03\x00\x0E\x08ゼルコバ\x022\n\x0E\x03\x02\x0A\x08ゼルコバ\nAh, Boucheron. Sagt, was ist aus dieser...\nSache... mit dem Weisen des Waldes geworden?\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x0C\nブシュロン\nNun ja, ich war auf dem Weg, ihn zu treffen,\naber... habe mich dabei verlaufen.\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0A\x08ゼルコバ\nWelch... unerwartete... Wendung.\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0C\nブシュロン\nMerkwürdig war es aber schon.\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0C\nブシュロン\nIch hielt ein kleines Schläfchen in einer leeren\nHöhle und als ich erwachte, lag dort ein Brief\nvom Weisen des Waldes.\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x0A\x08ゼルコバ\nFahrt fort.\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0C\nブシュロン\nDarin standen aufmunternde Worte wie\n„Das Ziel ist nahe“, „Du schaffst das schon“\nund „Nur nicht aufgeben“.\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0A\x08ゼルコバ\nAußergewöhnlich...\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0C\nブシュロン\nUnd das ist noch nicht alles. Es waren darin\nauch sämtliche meiner Schritte verzeichnet,\ndie mich auf Abwege gerieten ließen.\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0C\nブシュロン\nZusammen mit Ratschlägen, was ich beim\nnächsten Mal besser machen könnte, um ans\nZiel zu gelangen.\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0A\x08ゼルコバ\nIch frage mich, was dieser sogenannte Weise\ndes Waldes wohl... im Schilde... führen mag.\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0A\x08ゼルコバ\nEr hätte Euch diese... Medizin... auch mitsamt\ndieser Mitteilung hinterlassen können, entschied\nsich jedoch dagegen. Wieso nur?\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0C\nブシュロン\nEs muss irgendeinen wichtigen Grund geben,\nweshalb ich diese Hütte aufsuchen soll.\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x0A\x08ゼルコバ\nEin recht... mysteriöser... Weiser, um es\ngelinde auszudrücken.\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0C\nブシュロン\nStimmt. Doch ich habe mich entschieden.\nWas auch geschehen mag, ich werde diese\nHütte erreichen.\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0A\x08ゼルコバ\nEure... Entschlossenheit... beeindruckt mich.\nErlaubt mir erneut, Euch Glück zu wünschen.\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x0C\nブシュロン\nDanke. Drückt mir die Daumen, dass ich mit\nguten Neuigkeiten zu Euch zurückkehre.\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nブシュロン\x021\n\x0E\x03\x02\x0C\nブシュロン\nGeschafft! Endlich hab ich die Hütte erreicht!\nWeiser des Waldes, hier bin ich nun!\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x00\x0E\x08ゼルコバ\x022\n\x0E\x03\x02\x0A\x08ゼルコバ\nAusgezeichnet. Ihr seid... eingetroffen.\nWillkommen. Ich bin der Weise des Waldes.\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0C\nブシュロン\nHä? Ist das etwa... Zelkov?!\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x0C\nブシュロン\nIch... ich verstehe nicht ganz. Was geht hier vor?\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0A\x08ゼルコバ\nWie versprochen habe ich hier Eure... Medizin...\nNur zu, trinkt sie ruhig.\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0C\nブシュロン\nÄh... Also gut.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0C\nブシュロン\n...\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0C\nブシュロン\nZiemlich süß. Schmeckt wie... Bonbons.\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x0A\x08ゼルコバ\nKorrekt. Es handelt sich dabei lediglich um...\nNaschwerk... das Euch unter Umständen ein\nklein wenig munterer macht.\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0A\x08ゼルコバ\nWas Euren... Orientierungssinn... betrifft...\nEs ist Euch geglückt, diese entlegene Hütte\nzu finden. Mit nur wenig Beistand.\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0A\x08ゼルコバ\nMöglicherweise liefert Euch dies... Aufschluss...\nüber den Zustand Eurer Fähigkeiten.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0C\nブシュロン\nOooh! Mein Orientierungssinn ist besser\ngeworden, ohne dass ich es bemerkt habe!\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0A\x08ゼルコバ\nKorrekt...\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0A\x08ゼルコバ\nMir kamen Gerüchte bezüglich Eurer Schwäche\nzu Ohren. Diese zu... korrigieren... schien mir ein\nlohnenswertes Vorhaben zu sein.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0A\x08ゼルコバ\nSo wurde der... Weise des Waldes... geboren.\nEine von mir ersonnene Strategie, um Euch\nhierherzuführen.\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0C\nブシュロン\nEin ziemlich großer Aufwand, wie mir scheint.\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x0A\x08ゼルコバ\nAusgeklügelte... Bestrebungen... zählen zu\nmeinen Leidenschaften.\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x0A\x08ゼルコバ\nZuerst gedachte ich, Euch bloß in der\nOrientierungskunst zu... unterweisen.\nDoch dies erschien mir zu simpel.\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x0A\x08ゼルコバ\nEin komplexerer Plan war von Nöten, und\nso ersann ich... ebendiesen... Ich hoffe, diese\nErfahrung war für Euch erquicklich.\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0C\nブシュロン\nWisst Ihr, was? Das war sie in der Tat! Danke,\ndass Ihr Euch all dies für mich ausgedacht habt.\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x0A\x08ゼルコバ\nIhr seid wahrhaftig der... Gentleman... als den\nman Euch bezeichnet. So manch einer würde\nsich ob dieser Täuschung erbost zeigen.\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x0C\nブシュロン\nErbost? Seid nicht albern.\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x0C\nブシュロン\nDieser „Weise des Waldes“ hat mir wirklich\ngefallen. Ich hatte sogar die Hoffnung, mich mit\nihm anzufreunden.\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x0A\x08ゼルコバ\nWieso... das?\x0E\x04\x00\x00
MID_RELIANCE_A_#025	\x0E\x03\x02\x0C\nブシュロン\nNa ja, ich erinnerte mich an den lieben Brief,\nden er mir hinterließ und an die Decke, mit der\ner mich zudeckte.\x0E\x04\x00\x00
MID_RELIANCE_A_#026	\x0E\x03\x02\x0C\nブシュロン\nSeine Fürsorge schien offensichtlich. In meiner\nVorstellung war er ein ziemlich prima Kerl.\x0E\x04\x00\x00
MID_RELIANCE_A_#027	\x0E\x03\x02\x0A\x08ゼルコバ\nIch verstehe.\x0E\x04\x00\x00
MID_RELIANCE_A_#028	\x0E\x03\x02\x0C\nブシュロン\nDa wäre nur ein Problem... Meinem miesen\nOrientierungssinn hat all das wohl eher nicht\ngeholfen, fürchte ich.\x0E\x04\x00\x00
MID_RELIANCE_A_#029	\x0E\x03\x02\x0A\x08ゼルコバ\nWas? Wieso nicht?\x0E\x04\x00\x00
MID_RELIANCE_A_#030	\x0E\x03\x02\x0C\nブシュロン\nIhr seid nicht die erste Person, die mir beim\nAusmerzen meiner Fehler helfen möchte.\x0E\x04\x00\x00
MID_RELIANCE_A_#031	\x0E\x03\x02\x0C\nブシュロン\nBisher jedoch ohne Erfolg. Deshalb war ich\nauch so auf diese Medizin erpicht.\x0E\x04\x00\x00
MID_RELIANCE_A_#032	\x0E\x03\x02\x0C\nブシュロン\nDoch am Ende war es bloß Süßkram.\x0E\x04\x00\x00
MID_RELIANCE_A_#033	\x0E\x03\x02\x0A\x08ゼルコバ\n...\x0E\x04\x00\x00
MID_RELIANCE_A_#034	\x0E\x03\x02\x0C\nブシュロン\nAlles in Ordnung, Zelkov? Tut mir leid.\nDas alles muss für Euch sicher eine\nRiesenenttäuschung sein.\x0E\x04\x00\x00
MID_RELIANCE_A_#035	\x0E\x03\x02\x0A\x08ゼルコバ\nMitnichten, mein Freund. Ganz... im Gegenteil.\x0E\x04\x00\x00
MID_RELIANCE_A_#036	\x0E\x03\x02\x0A\x08ゼルコバ\nDieses... Spiel... übertrifft meine kühnsten\nErwartungen. Ich freue mich schon darauf,\nden nächsten Schritt auszuhecken.\x0E\x04\x00\x00
MID_RELIANCE_A_#037	\x0E\x03\x02\x0C\nブシュロン\nEuren nächsten Schritt? Wollt Ihr das Ganze\netwa wiederholen?\x0E\x04\x00\x00
MID_RELIANCE_A_#038	\x0E\x03\x02\x0A\x08ゼルコバ\nBald schon werdet Ihr ein Schreiben vom\nWeisen des Meeres empfangen. Ich hoffe, Ihr\nwerdet seinen Worten... Beachtung... schenken.\x0E\x04\x00\x00
MID_RELIANCE_A_#039	\x0E\x03\x02\x0C\nブシュロン\nHahaha, also schön. Ganz wie Ihr wünscht,\no großer Weiser Zelkov.\x0E\x04\x00\x00
