MID_GR_Lueur_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x10\nエイリーク\x022\n\x0E\x03\x02\x0C\nエイリーク\nVon all den Ringen, die aus Lythos gestohlen\nwurden, bin ich das letzte Emblem, das sich\neuch anschließt. Entschuldige die Verspätung.\x0E\x04\x00\x00
MID_GR_Boucheron_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nブシュロン\x021\n\x0E\x03\x00\x10\nエイリーク\x022\n\x0E\x03\x02\x0C\nエイリーク\nIch würde auch gerne mit dem Lesen anfangen,\naber es ist schon ein Problem, dass ich die\nSeiten nicht umblättern kann.\x0E\x04\x00\x00
MID_GR_Boucheron_A_#002	\x0E\x03\x02\x0C\nブシュロン\nNun, wenn es ein bestimmtes Buch gibt, das Ihr\neinmal lesen möchtet, wäre es mir ein Vergnü-\ngen, für Euch die Seiten umzublättern.\x0E\x04\x00\x00
MID_GR_Boucheron_A_#003	\x0E\x03\x02\x0C\nエイリーク\nDanke! Ich bin interessiert an Elyos, daher wäre\nein Geschichtsbuch ganz schön. Oder ist das zu\nlang?\x0E\x04\x00\x00
MID_GR_Boucheron_A_#004	\x0E\x03\x02\x0C\nブシュロン\nKein Problem. Meine Muskeln nehmen es auch\nmit tausend Seiten auf, wenn nötig.\x0E\x04\x00\x00
MID_GR_Etie_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nエーティエ\x021\n\x0E\x03\x00\x10\nエイリーク\x022\n\x0E\x03\x02\x0C\nエーティエ\nIhr wirkt ein wenig träge. Fühlt Ihr Euch nicht\ngut? Ein schönes, hartes Training ist womöglich\ngenau, was Ihr jetzt braucht.\x0E\x04\x00\x00
MID_GR_Etie_C_#002	\x0E\x03\x02\x0C\nエイリーク\nWie? Oh, nein, ich war nur in Gedanken versun-\nken. Ich kann nicht immer so überschwänglich\nsein wie du, Etie.\x0E\x04\x00\x00
MID_GR_Etie_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nエーティエ\x021\n\x0E\x03\x00\x10\nエイリーク\x022\n\x0E\x03\x02\x0C\nエイリーク\nDu bist immer so eifrig aufs Training fokussiert.\nIst es dir dermaßen wichtig, stärker zu werden?\x0E\x04\x00\x00
MID_GR_Etie_B_#002	\x0E\x03\x02\x0C\nエーティエ\nDer Grund für mein stetes Training ist nicht\nbloß Muskelaufbau. Mittlerweile ist es eher\nwie... eine Lebensart für mich.\x0E\x04\x00\x00
MID_GR_Etie_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nエーティエ\x021\n\x0E\x03\x00\x10\nエイリーク\x022\n\x0E\x03\x02\x0C\nエイリーク\nIch muss gestehen, Etie, dass du dein Training\nals Lebensart bezeichnet hast, hat mir die\nAugen geöffnet.\x0E\x04\x00\x00
MID_GR_Etie_A_#002	\x0E\x03\x02\x0C\nエーティエ\nDas Beste daran ist, dass man mit so einer\nDenkweise großartige Resultate erzielt!\x0E\x04\x00\x00
MID_GR_Etie_A_#003	\x0E\x03\x02\x0C\nエーティエ\nAber man muss sich natürlich vor allem aufs\nTraining selbst konzentrieren, nicht auf die\nErgebnisse. Wollt Ihr es auch mal probieren?\x0E\x04\x00\x00
MID_GR_Etie_A_#004	\x0E\x03\x02\x0C\nエイリーク\nWarum nicht? Wenn ich die Dinge dabei wie du\nsehe, könnte ich hart trainieren und trotzdem\nSpaß daran haben!\x0E\x04\x00\x00
MID_GR_Celine_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08セリーヌ\x021\n\x0E\x03\x00\x10\nエイリーク\x022\n\x0E\x03\x02\x0A\x08セリーヌ\nIch hörte, Ihr könnt Konflikte nicht leiden, Eirika.\nIst es dann nicht schmerzhaft für Euch, als\nEmblem Krieg zu führen?\x0E\x04\x00\x00
MID_GR_Celine_C_#002	\x0E\x03\x02\x0C\nエイリーク\nIch bin entschlossen, alles in meiner Macht\nStehende zu tun, wenn es dabei hilft, dass auch\nnur eine einzige Person weniger Leid erfährt.\x0E\x04\x00\x00
MID_GR_Celine_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08セリーヌ\x021\n\x0E\x03\x00\x10\nエイリーク\x022\n\x0E\x03\x02\x0C\nエイリーク\nDer Krieg ist auch psychisch eine schwere Be-\nlastung. Wir dürfen nicht vergessen, jene zu\numsorgen, die vom Krieg traumatisiert wurden.\x0E\x04\x00\x00
MID_GR_Celine_B_#002	\x0E\x03\x02\x0A\x08セリーヌ\nIch finde, das beruhigende Aroma von Tee kann\nsehr dabei helfen, den Geist zu beruhigen. Ich\nwerde gleich eine Kanne aufsetzen.\x0E\x04\x00\x00
MID_GR_Celine_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08セリーヌ\x021\n\x0E\x03\x00\x10\nエイリーク\x022\n\x0E\x03\x02\x0C\nエイリーク\nAllein am Geruch kann ich bereits erkennen,\ndass Euer Tee wirklich hervorragend ist, Céline.\x0E\x04\x00\x00
MID_GR_Celine_A_#002	\x0E\x03\x02\x0A\x08セリーヌ\nIhr ehrt mich. Als Prinzessin ist es mir wichtig,\nfür eine einladende Atmosphäre zu sorgen.\x0E\x04\x00\x00
MID_GR_Celine_A_#003	\x0E\x03\x02\x0C\nエイリーク\nDazu sind aber mehr als nur Manieren und\nEtikette erforderlich, nicht wahr? Man spürt,\ndass Euer Tee ganz von Herzen kommt.\x0E\x04\x00\x00
MID_GR_Celine_A_#004	\x0E\x03\x02\x0A\x08セリーヌ\nDas habe ich von Euch gelernt. Die Fürsorge\nanderer zu bemerken, kann große Freude\nbereiten.\x0E\x04\x00\x00
MID_GR_Louis_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04ルイ\x021\n\x0E\x03\x00\x10\nエイリーク\x022\n\x0E\x03\x02\x06\x04ルイ\nIst es wahr, dass Embleme niemanden in dieser\nWelt berühren können? Ist das nicht auf Dauer\neinsam?\x0E\x04\x00\x00
MID_GR_Louis_C_#002	\x0E\x03\x02\x0C\nエイリーク\nSo schlimm ist es eigentlich nicht. Wir können\ndie Güte anderer wahrnehmen. Ich fühle mich\ntrotzdem mit allen hier verbunden.\x0E\x04\x00\x00
MID_GR_Louis_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04ルイ\x021\n\x0E\x03\x00\x10\nエイリーク\x022\n\x0E\x03\x02\x0C\nエイリーク\nManchmal vermisse ich meine Heimatstadt. Und\nmeine Verbündeten aus dem langen Krieg, den\nwir gefochten haben, vor allem meine Freundin.\x0E\x04\x00\x00
MID_GR_Louis_B_#002	\x0E\x03\x02\x06\x04ルイ\nWas für eine Person war denn diese Freundin?\nWartet, sagt es mir nicht. In meiner Vorstellung\nwar sie eine... wunderschöne Pegasusritterin.\x0E\x04\x00\x00
MID_GR_Louis_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04ルイ\x021\n\x0E\x03\x00\x10\nエイリーク\x022\n\x0E\x03\x02\x0C\nエイリーク\nDeine Vermutung war überraschend genau.\nMeine Freundin war eine Prinzessin und\nPegasusritterin.\x0E\x04\x00\x00
MID_GR_Louis_A_#002	\x0E\x03\x02\x06\x04ルイ\nEine bezaubernde Kombination, so viel steht\nfest. Wenn es Euch nichts ausmacht, würde ich\ngerne mehr über sie erfahren.\x0E\x04\x00\x00
MID_GR_Louis_A_#003	\x0E\x03\x02\x06\x04ルイ\nMit jemandem über sie zu reden, könnte auch\nEure Einsamkeit lindern. Nennt mir jedes kleine\nDetail!\x0E\x04\x00\x00
MID_GR_Louis_A_#004	\x0E\x03\x02\x0C\nエイリーク\nWas du da sagst, ergibt schon Sinn, aber dein\nEnthusiasmus ist ein wenig... abschreckend.\x0E\x04\x00\x00
MID_GR_Chloe_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クロエ\x021\n\x0E\x03\x00\x10\nエイリーク\x022\n\x0E\x03\x02\x08\x06クロエ\nÄhm, Eirika? Wer ist denn dieser hübsche Mann,\nder gelegentlich auftaucht und Euch so ähnlich\nsieht?\x0E\x04\x00\x00
MID_GR_Chloe_C_#002	\n\x0E\x03\x02\x0C\nエイリーク\nDas ist mein Zwillingsbruder, Ephraim. Tut mir\nleid, falls er dich erschreckt haben sollte, aber\ner ist auch sehr beeindruckt von dir.\x0E\x04\x00\x00
MID_GR_Chloe_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クロエ\x021\n\x0E\x03\x00\x10\nエイリーク\x022\n\x0E\x03\x02\x08\x06クロエ\nEuer Bruder ist so wunderbar, Eirika. Er sieht\nebenso umwerfend aus wie Ihr, und ist auch so\nstark...\x0E\x04\x00\x00
MID_GR_Chloe_B_#002	\x0E\x03\x02\x0C\nエイリーク\nIch bin mir sicher, er weiß die Komplimente zu\nschätzen! Warte mal... Chloé, bist du etwa...?\x0E\x04\x00\x00
MID_GR_Chloe_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クロエ\x021\n\x0E\x03\x00\x10\nエイリーク\x022\n\x0E\x03\x02\x08\x06クロエ\nEirika, was ich neulich meinte, war: Es ist schon\nschön, nur einen von Euch zu sehen, da wärt Ihr\nzwei zusammen sicher ein beispielloser Anblick!\x0E\x04\x00\x00
MID_GR_Chloe_A_#002	\x0E\x03\x02\x0C\nエイリーク\nIch habe bereits gehört, dass du solche Szenen,\ndie direkt aus einem Märchen stammen könnten,\nliebst. Und da wir Zwillinge sind...\x0E\x04\x00\x00
MID_GR_Chloe_A_#003	\x0E\x03\x02\x08\x06クロエ\nSeite an Seite würdet Ihr wie traumhafte Helden\naussehen! Das Problem ist bloß, dass er sich\nnur auf dem Schlachtfeld zeigt...\x0E\x04\x00\x00
MID_GR_Chloe_A_#004	\x0E\x03\x02\x0C\nエイリーク\nWohl wahr. Ich weiß, du hattest dich schon so\ndarauf gefreut, aber ich finde, du und ich, wir\npassen ebenfalls gut zusammen.\x0E\x04\x00\x00
MID_GR_Diamand_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cディアマンド\x021\n\x0E\x03\x00\x10\nエイリーク\x022\n\x0E\x03\x02\x0E\x0Cディアマンド\nIch hörte, Ihr habt einen Zwillingsbruder, Eirika.\nHat das jemals die Frage der Thronfolge\nerschwert?\x0E\x04\x00\x00
MID_GR_Diamand_C_#002	\x0E\x03\x02\x0C\nエイリーク\nÜberhaupt nicht. Ich hatte nie vor, die\nThronfolge meines Bruders anzufechten.\nNiemand ist geeigneter als er, König zu werden.\x0E\x04\x00\x00
MID_GR_Diamand_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cディアマンド\x021\n\x0E\x03\x00\x10\nエイリーク\x022\n\x0E\x03\x02\x0C\nエイリーク\nIhr seid seit Eurer Geburt als Thronerbe\nvorgesehen, nicht wahr, Diamant? Wie hat sich\ndas angefühlt?\x0E\x04\x00\x00
MID_GR_Diamand_B_#002	\x0E\x03\x02\x0E\x0Cディアマンド\nIn meinem Kopf denke ich stets über Angelegen-\nheiten der Krone nach... doch meine Entschei-\ndungen trifft mein Herz.\x0E\x04\x00\x00
MID_GR_Diamand_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cディアマンド\x021\n\x0E\x03\x00\x10\nエイリーク\x022\n\x0E\x03\x02\x0E\x0Cディアマンド\nMein Vater lehrte mich das Prinzip der Kontrolle\ndurch Macht. Und nun bin ich Kronprinz eines\ngewaltigen Militärapparates.\x0E\x04\x00\x00
MID_GR_Diamand_A_#002	\x0E\x03\x02\x0C\nエイリーク\nAuch ich hatte einen militärisch gesinnten Vater,\nalso entschied ich mich dazu, das Kämpfen zu\nlernen.\x0E\x04\x00\x00
MID_GR_Diamand_A_#003	\x0E\x03\x02\x0C\nエイリーク\nIch will ehrlich sein: Es bereitet mir keine\nFreude, das Schwert zu ziehen, doch manchmal\nhat man keine andere Wahl.\x0E\x04\x00\x00
MID_GR_Diamand_A_#004	\x0E\x03\x02\x0E\x0Cディアマンド\nDem stimme ich zu. Macht muss eingesetzt\nwerden, um das Volk zu beschützen... aber sie\nmuss auch den Frieden schützen, der folgt.\x0E\x04\x00\x00
MID_GR_Umber_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08アンバー\x021\n\x0E\x03\x00\x10\nエイリーク\x022\n\x0E\x03\x02\x0C\nエイリーク\nIn meiner Welt gab es keine dieser „Alpakas“,\ndie du so liebst, Amber. Sie sind so sonderbar\nund niedlich!\x0E\x04\x00\x00
MID_GR_Umber_C_#002	\x0E\x03\x02\x0A\x08アンバー\nNiedlich? Ja! Sonderbar? Da bin ich mir nicht\nso sicher. Die geben doch ein perfektes Haus-\ntier für jedermann ab!\x0E\x04\x00\x00
MID_GR_Umber_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08アンバー\x021\n\x0E\x03\x00\x10\nエイリーク\x022\n\x0E\x03\x02\x0A\x08アンバー\nIch habe einen weiten Weg hinter mir. Vom\nAlpakafarmarbeiter zum königlichen Getreuen.\nHabt Ihr auch Getreue, Eirika?\x0E\x04\x00\x00
MID_GR_Umber_B_#002	\x0E\x03\x02\x0C\nエイリーク\nEinen Getreuen hatte ich einst. Er war ein\ntapferer und gutmütiger Ritter namens Seth.\nViele nannten ihn auch den Silbernen Ritter.\x0E\x04\x00\x00
MID_GR_Umber_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08アンバー\x021\n\x0E\x03\x00\x10\nエイリーク\x022\n\x0E\x03\x02\x0A\x08アンバー\nEuer Getreuer wurde der Silberne Ritter\ngenannt... und ich bin bloß der Meister im\nAlpaka-Gerangel...\x0E\x04\x00\x00
MID_GR_Umber_A_#002	\x0E\x03\x02\x0C\nエイリーク\nIst irgendetwas, Amber? Du siehst aus, als\nhättest du Schmerzen.\x0E\x04\x00\x00
MID_GR_Umber_A_#003	\x0E\x03\x02\x0A\x08アンバー\nIch bin ein königlicher Getreuer, aber ich habe\nkeinen abgefahrenen Titel! Was kann ich tun,\num so einen ritterlichen Spitznamen zu kriegen?\x0E\x04\x00\x00
MID_GR_Umber_A_#004	\x0E\x03\x02\x0C\nエイリーク\nDa gibt es eigentlich nur eins, das du tun\nkannst: dein Bestes. Dann folgen Legenden und\nSpitznamen ganz von selbst, versprochen!\x0E\x04\x00\x00
MID_GR_Jade_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ジェーデ\x021\n\x0E\x03\x00\x10\nエイリーク\x022\n\x0E\x03\x02\x0C\nエイリーク\nE-Entschuldigung, Jade? Bist du beschäftigt?\nDu siehst aus, als wärst du tief in Gedanken...\x0E\x04\x00\x00
MID_GR_Jade_C_#002	\x0E\x03\x02\x0A\x08ジェーデ\nOh. Verzeiht, Eirika. Ich bin nicht beschäftigt.\nEs steht derzeit nichts Wichtiges an, daher habe\nich meine Gedanken etwas schweifen lassen.\x0E\x04\x00\x00
MID_GR_Jade_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ジェーデ\x021\n\x0E\x03\x00\x10\nエイリーク\x022\n\x0E\x03\x02\x0C\nエイリーク\nManchmal lachen andere über das, was ich\nsage... obwohl ich versuche, ernst zu sein.\nWeißt du vielleicht, wieso, Jade?\x0E\x04\x00\x00
MID_GR_Jade_B_#002	\x0E\x03\x02\x0A\x08ジェーデ\nHa, nehmt es nicht so schwer. Ich schreibe\nTag und Nacht, um andere zum Lachen zu\nbringen. Ihr seid da offenbar effizienter.\x0E\x04\x00\x00
MID_GR_Jade_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ジェーデ\x021\n\x0E\x03\x00\x10\nエイリーク\x022\n\x0E\x03\x02\x0C\nエイリーク\nIch wünschte, ich könnte andere zum Lachen\nbringen, wie du es tust, Jade.\x0E\x04\x00\x00
MID_GR_Jade_A_#002	\x0E\x03\x02\x0A\x08ジェーデ\nWirklich? Wieso denn das?\x0E\x04\x00\x00
