MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0C\x06モーヴ\x022\n\x0E\x03\x02\x0A\x08リュール\nMauvier, ich bin neugierig. Was für Sachen\nmagst du besonders gern?\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x08\x06モーヴ\nWarum fühlt Ihr Euch bemüßigt, zu mir\nfreundlich zu sein?\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0A\x08リュール\nNun, nachdem wir miteinander Zeit verbracht\nhaben, ist mir etwas klar geworden. Wir haben\neiniges gemeinsam.\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x08\x06モーヴ\nUnmöglich. Ihr habt niemals üble Taten\nvollbracht.\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x0A\x08リュール\nWir sind beide nicht in der Lage, unsere\nhelfende Hand jenen zu verweigern, die sie\nbenötigen.\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0A\x08リュール\nUnser einziger Unterschied? Du bist\nzwischenzeitlich kurz vom rechten Pfad\nabgekommen. Aber jetzt bist du zu Hause.\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x08\x06モーヴ\nSucht Ihr Ausreden für meine Handlungen?\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0A\x08リュール\nDu kannst dir die Fehler der Vergangenheit\nnicht vergeben, gerade weil du eine gute\nPerson bist.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0A\x08リュール\nDie einzige Schwäche, die ich in dir sehe, ist,\ndass du nicht siehst, wie gut du bist.\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0A\x08リュール\nDu musst dich nicht mit Scham belasten oder\nBuße suchen...\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0A\x08リュール\nAlles, was du tun musst, ist, deinen Freunden\nzu vertrauen und ihnen zur Seite zu stehen.\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x08\x06モーヴ\n...\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x0A\x08リュール\nBitte vertrau mir, Mauvier. Ich möchte nichts\nlieber tun, als dir zu helfen.\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x08\x06モーヴ\nIch habe so viele Fehler begangen, dass ich mir\nlange Zeit sagte, ich sei jenseits aller Erlösung.\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x08\x06モーヴ\nDoch Ihr bringt mich dazu, meine Denkweise zu\nhinterfragen.\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x08\x06モーヴ\nVielleicht versteht \x0E\x0A\x008\x18der Wyrmgott\x1Cdie Wyrmgöttin besser, wer\nich bin, als ich es selbst tue.\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x0A\x08リュール\nÜberhaupt nicht.\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x08\x06モーヴ\nIch nehme Euer Angebot, den Bewohnern zu\nhelfen, an. Das heißt, wenn Ihr es noch immer\naufrechterhaltet.\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x0A\x08リュール\nLegen wir los.\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x08\x06モーヴ\nWelch seltsames Gefühl. Meine Brust fühlt sich\nganz warm an.\x0E\x04\x00\x00
MID_RELIANCE_A_#025	\x0E\x03\x02\x0A\x08リュール\nDas ist Glück. Ein Gefühl, das du verdienst und\ndas du auch anderen bereiten kannst.\x0E\x04\x00\x00
MID_RELIANCE_A_#026	\x0E\x03\x02\x08\x06モーヴ\nMit \x0E\x0A\x008\x18dem Wyrmgott\x1Cder Wyrmgöttin an meiner Seite ist alles\nmöglich.\x0E\x04\x00\x00
MID_RELIANCE_A_#027	\x0E\x03\x02\x08\x06モーヴ\nHabt Dank. Ohne Euch hätte ich niemals meinen\nWeg gefunden.\x0E\x04\x00\x00
MID_RELIANCE_S_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0C\x06モーヴ\x022\n\x0E\x03\x02\x08\x06モーヴ\nDanke für Eure heutige Hilfe dabei, diesen\narmen Leuten Trost zu spenden.\x0E\x04\x00\x00
MID_RELIANCE_S_#002	\x0E\x03\x02\x0A\x08リュール\nDen Verirrten den Weg zeigen, Konflikte\nschlichten... Heute ist viel vorgefallen.\x0E\x04\x00\x00
MID_RELIANCE_S_#003	\x0E\x03\x02\x08\x06モーヴ\nEine anstrengende Arbeit, doch sie war es wert,\num die Leute lächeln zu sehen.\x0E\x04\x00\x00
MID_RELIANCE_S_#004	\x0E\x03\x02\x08\x06モーヴ\nIch habe begriffen, dass meine altruistischen\nTaten stets nur Buße zur Linderung meines\neigenen Schmerzes waren, nicht mehr.\x0E\x04\x00\x00
MID_RELIANCE_S_#005	\x0E\x03\x02\x0A\x08リュール\nIch sehe dich häufiger lächeln als früher.\x0E\x04\x00\x00
MID_RELIANCE_S_#006	\x0E\x03\x02\x0A\x08リュール\nEs ist wunderbar zu sehen, wie du aufblühst.\x0E\x04\x00\x00
MID_RELIANCE_S_#007	\x0E\x03\x02\x08\x06モーヴ\nIch kann mir und anderen vertrauen, was mir\nvorher nicht möglich war. Und dieses Vertrauen\nhalf mir, Frieden zu finden.\x0E\x04\x00\x00
MID_RELIANCE_S_#008	\x0E\x03\x02\x08\x06モーヴ\nIch habe Euch zu danken, dass ich diese\nWahrheit über mich herausfinden konnte.\x0E\x04\x00\x00
MID_RELIANCE_S_#009	\x0E\x03\x02\x0A\x08リュール\nOh?\x0E\x04\x00\x00
MID_RELIANCE_S_#010	\x0E\x03\x02\x08\x06モーヴ\nIst diese Aussage zu seltsam?\x0E\x04\x00\x00
MID_RELIANCE_S_#011	\x0E\x03\x02\x0A\x08リュール\nÜberhaupt nicht. Es freut mich einfach nur zu\nhören, dass du glücklich bist.\x0E\x04\x00\x00
MID_RELIANCE_S_#012	\x0E\x03\x02\x0A\x08リュール\nIch habe über etwas nachgedacht... Nein.\nVielleicht doch nicht.\x0E\x04\x00\x00
MID_RELIANCE_S_#013	\x0E\x03\x02\x08\x06モーヴ\nHabt Ihr gerade etwas vor mir versteckt?\x0E\x04\x00\x00
MID_RELIANCE_S_#014	\x0E\x03\x02\x0A\x08リュール\nNein. Überhaupt nicht. Ich habe nichts\nversteckt.\x0E\x04\x00\x00
MID_RELIANCE_S_#015	\x0E\x03\x02\x0A\x08リュール\nOh nein...\x0E\x04\x00\x00
MID_RELIANCE_S_#016	\x0E\x03\x02\x08\x06モーヴ\nIst das... der Paktring? Warum riskiert Ihr es, so\netwas Wertvolles hier zu haben?\x0E\x04\x00\x00
MID_RELIANCE_S_#017	\x0E\x03\x02\x0A\x08リュール\nIch... Ähm, nun...\x0E\x04\x00\x00
MID_RELIANCE_S_#018	\x0E\x03\x02\x08\x06モーヴ\n...\x0E\x04\x00\x00
MID_RELIANCE_S_#019	\x0E\x03\x02\x08\x06モーヴ\n\x0E\x0A\x00*\x14Göttlicher\x12Göttliche... Meint Ihr... Möchtet Ihr mir den Ring\ngeben?\x0E\x04\x00\x00
MID_RELIANCE_S_#020	\x0E\x03\x02\x0A\x08リュール\nHm?\x0E\x04\x00\x00
MID_RELIANCE_S_#021	\x0E\x03\x02\x0A\x08リュール\nDieser Ring symbolisiert ein Band zwischen mir\nund jemandem, der mir ausgesprochen\nnahesteht.\x0E\x04\x00\x00
MID_RELIANCE_S_#022	\x0E\x03\x02\x0A\x08リュール\nNach diesem Ring zu fragen bedeutet, den\nWunsch zu äußern, mein Partner zu werden.\x0E\x04\x00\x00
MID_RELIANCE_S_#023	\x0E\x03\x02\x0A\x08リュール\nIst es das, was du möchtest?\x0E\x04\x00\x00
MID_RELIANCE_S_#024	\x0E\x03\x02\x08\x06モーヴ\nDas tue ich.\x0E\x04\x00\x00
MID_RELIANCE_S_#025	\x0E\x03\x02\x08\x06モーヴ\nIhr habt mich errettet, mit Leib und Seele.\x0E\x04\x00\x00
MID_RELIANCE_S_#026	\x0E\x03\x02\x08\x06モーヴ\nZuerst war ich dankbar. Dann wuchs dieses\nGefühl. Und Ihr wurdet mir sehr wichtig.\x0E\x04\x00\x00
MID_RELIANCE_S_#027	\x0E\x03\x02\x08\x06モーヴ\nAls ich den Paktring eben sah, gestand ich mir\ndiese Gefühle endlich ein.\x0E\x04\x00\x00
MID_RELIANCE_S_#028	\x0E\x03\x02\x08\x06モーヴ\nIch begriff, dass ich derjenige sein sollte, der\nEuch zur Seite steht.\x0E\x04\x00\x00
MID_RELIANCE_S_#029	\x0E\x03\x02\x0A\x08リュール\nMauvier...\x0E\x04\x00\x00
MID_RELIANCE_S_#030	\x0E\x03\x02\x08\x06モーヴ\nDoch ich fürchte, ich bin dieses Ringes nicht\nwürdig. Noch nicht.\x0E\x04\x00\x00
MID_RELIANCE_S_#031	\x0E\x03\x02\x08\x06モーヴ\nDoch eines Tages werde ich es sein. Werdet\nIhr meine Bitte berücksichtigen?\x0E\x04\x00\x00
MID_RELIANCE_S_#032	\x0E\x03\x02\x0A\x08リュール\n...\x0E\x04\x00\x00
MID_RELIANCE_S_#033	\x0E\x03\x02\x0A\x08リュール\nWeißt du, fast hätte ich dir den Ring bereits ein\noder zwei Mal in der Vergangenheit angeboten.\x0E\x04\x00\x00
MID_RELIANCE_S_#034	\x0E\x03\x02\x08\x06モーヴ\n...\x0E\x04\x00\x00
MID_RELIANCE_S_#035	\x0E\x03\x02\x0A\x08リュール\nDu bist tapfer, wild und liebevoll. Und dieses\ngütige Herz ist es, das mich zu dir zieht.\x0E\x04\x00\x00
MID_RELIANCE_S_#036	\x0E\x03\x02\x0A\x08リュール\nUnd doch konnte ich nie den Mut aufbringen.\nIch bin froh, dass du gefragt hast.\x0E\x04\x00\x00
MID_RELIANCE_S_#037	\x0E\x03\x02\x0A\x08リュール\nIch frage mich, was Veyle davon halten würde?\x0E\x04\x00\x00
MID_RELIANCE_S_#038	\x0E\x03\x02\x08\x06モーヴ\nMilady Veyle erwähnte erst kürzlich, wie wichtig\nwir und unser Glück ihr sind.\x0E\x04\x00\x00
MID_RELIANCE_S_#039	\x0E\x03\x02\x0A\x08リュール\nHehe, hat sie das? Das sieht Veyle ähnlich – zu\nsehen, was keiner von uns zugeben wollte.\x0E\x04\x00\x00
MID_RELIANCE_S_#040	\x0E\x03\x02\x0A\x08リュール\nNun, dann muss ich eben doch meinen Mut\nzusammennehmen.\x0E\x04\x00\x00
MID_RELIANCE_S_#041	\x0E\x03\x02\x0A\x08リュール\nMauvier, bitte akzeptiere diesen Ring und werde\nmein Partner.\x0E\x04\x00\x00
MID_RELIANCE_S_#042	\x0E\x03\x02\x08\x06モーヴ\nIch nehme ihn an, und ich fühle mich geehrt.\x0E\x04\x00\x00
MID_RELIANCE_S_#043	\x0E\x03\x02\x0A\x08リュール\nIch hoffe, du wirst diesen Ring und unser Band\nehren und wertschätzen, jetzt und immerdar.\x0E\x04\x00\x00
MID_RELIANCE_S_#044	\x0E\x03\x02\x08\x06モーヴ\nDas werde ich, \x0E\x0A\x00(\x10Wyrmgott\x14Wyrmgöttin \x0E\x06\x03\x00.\x0E\x04\x00\x00
MID_RELIANCE_S_#045	\x0E\x03\x02\x08\x06モーヴ\nIch dachte, ich würde nie wieder Glück\nverspüren. Jetzt kenne ich nichts anderes mehr.\nIch bin für immer an Eurer Seite.\x0E\x04\x00\x00
