MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nブシュロン\x021\n\x0E\x03\x00\x0C\x06カゲツ\x022\n\x0E\x03\x02\x08\x06カゲツ\nIhr seid Boucheron aus Firene, ist es nicht so?\nIhr scheint ein formidabler Kämpfer zu sein.\x0E\x04\x00\x00
MID_RELIANCE_B_#022	\x0E\x03\x02\x08\x06カゲツ\nAh, jetzt setzt Ihr Euer Kriegsgesicht auf.\nLegen wir los!\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nブシュロン\x021\n\x0E\x03\x00\x0C\x06カゲツ\x022\n\x0E\x03\x02\x08\x06カゲツ\nExtrem befriedigend! Das heutige Training war\nwie immer formidabel.\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x0C\nブシュロン\nIn der Tat. Ein paar Runden mit Euch sind so\nviel besser als mein reguläres Training.\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x08\x06カゲツ\nIch stimme zu.\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x08\x06カゲツ\nWisst Ihr... Ich spüre starke Bande der\nFreundschaft zwischen uns, auch wenn Euch\ndas nicht so gehen mag.\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x08\x06カゲツ\nDoch selbst wenn Ihr nicht mein Freund sein\nwollt, bin ich doch von Freude erfüllt, Euch zum\nTrainingspartner zu haben.\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0C\nブシュロン\nOh, aber das ist doch gar nicht wahr.\nIch möchte sehr gerne starke Bande mit\nEuch knüpfen.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0C\nブシュロン\nAlso...\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x08\x06カゲツ\nAlso?\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x0C\nブシュロン\nWann erzählt Ihr mir etwas über Eure\nHeimat?\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0C\nブシュロン\nWo ich herkomme, knüpfen die Leute Bande,\nindem sie einander von ihrem Leben erzählen.\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x08\x06カゲツ\nIch verstehe. Dann werde ich genau das tun.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x08\x06カゲツ\nMein Heimatort besitzt eine Lebenseinstellung\nnamens „wa“. Die Leute sind ruhig, und der\nReis und der Fisch sind köstlich.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0C\nブシュロン\nWas habt Ihr für eine Familie?\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x08\x06カゲツ\nMein Vater ist ein Schwertmeister königlichen\nBlutes. Meine Mutter ist eine Priesterin mit\nmystischen Kräften.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0C\nブシュロン\nHm. Dann habt Ihr Eure Fähigkeit mit dem\nSchwert also von Eurem Vater geerbt.\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x08\x06カゲツ\nVielleicht...\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x0C\nブシュロン\nSeht Ihr Eure Familie denn oft?\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x08\x06カゲツ\nNein. Ich habe sie samt meiner Heimat hinter\nmir gelassen.\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x08\x06カゲツ\nIch konnte, in einfachen Worten, meinem\nVerlangen nicht länger widerstehen, die\nganze Welt zu sehen.\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0C\nブシュロン\nVermisst Ihr sie?\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x08\x06カゲツ\nSelbstverständlich. Doch so, wie ich bin, kann\nich noch nicht zurückkehren. Das könnte ich\nerst, wenn ich... gewachsen bin.\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x08\x06カゲツ\nIch muss mir hier Ruhm und Ehre verdienen,\ndamit sie begreifen, warum ich ging. Damit sie\nmir nicht zürnen.\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x0C\nブシュロン\n...\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x08\x06カゲツ\nWas ist? Weshalb weint Ihr?\x0E\x04\x00\x00
MID_RELIANCE_A_#025	\x0E\x03\x02\x0C\nブシュロン\nEs fiel mir bei unserem Training auf...\x0E\x04\x00\x00
MID_RELIANCE_A_#026	\x0E\x03\x02\x0C\nブシュロン\nFür jemanden, der so sorglos erscheint, tragt\nIhr eine schwere Last.\x0E\x04\x00\x00
MID_RELIANCE_A_#027	\x0E\x03\x02\x08\x06カゲツ\nNein, hört auf. Sonst muss ich auch weinen.\x0E\x04\x00\x00
MID_RELIANCE_A_#028	\x0E\x03\x02\x08\x06カゲツ\nWenn wir gemeinsam weinen, müssen wir\nquizzen. Also übernehmt Verantwortung und\ngebt mir ein Quiz auf die Lippen!\x0E\x04\x00\x00
MID_RELIANCE_A_#029	\x0E\x03\x02\x0C\nブシュロン\nHm?\x0E\x04\x00\x00
MID_RELIANCE_A_#030	\x0E\x03\x02\x08\x06カゲツ\nKüssen! In meinem Heimatland ist es Pflicht,\nhinterher zu küssen, wenn man gemeinsam\nweint. Also los!\x0E\x04\x00\x00
MID_RELIANCE_A_#031	\x0E\x03\x02\x0C\nブシュロン\nWas?\x0E\x04\x00\x00
MID_RELIANCE_A_#032	\x0E\x03\x02\x08\x06カゲツ\nHahaha, nur ein Scherz, mein Freund. Ich necke\nEuch, wie alte Freunde dies untereinander tun!\x0E\x04\x00\x00
MID_RELIANCE_A_#033	\x0E\x03\x02\x0C\nブシュロン\nAh, hahaha! Ach, hört doch auf, mich so\naufzuziehen.\x0E\x04\x00\x00
MID_RELIANCE_A_#034	\x0E\x03\x02\x08\x06カゲツ\nWollen wir erneut trainieren? Wenn Ihr mich\nbesiegt, erzähle ich Euch mehr über mein\nHeimatland und meine Vergangenheit.\x0E\x04\x00\x00
MID_RELIANCE_A_#035	\x0E\x03\x02\x0C\nブシュロン\nKlingt gut. Und sollte ich unterliegen, erzähle\nich Euch von mir.\x0E\x04\x00\x00
MID_RELIANCE_A_#036	\x0E\x03\x02\x08\x06カゲツ\nWie aufregend! Lasst uns beginnen!\x0E\x04\x00\x00
