MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ヴェイル\x021\n\x0E\x03\x00\x0C\x06モーヴ\x022\n\x0E\x03\x02\x08\x06モーヴ\nMilady Veyle, ich habe Euch gefunden.\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0A\x08ヴェイル\nViele Leute haben meinetwegen Schmerz er-\nfahren. Daher will ich etwas finden, was ich für\ndiesen Ort tun kann.\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x08\x06モーヴ\nMilady Veyle... In dem Falle ist es wichtig,\ndass ich an Eurer Seite bleibe.\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x08\x06モーヴ\nAls einer der Vier Bluthunde habe auch ich mich\nVergehen schuldig gemacht, die ich wiedergut-\nmachen muss.\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x08\x06モーヴ\nIhr steht mit Euren Gefühlen nicht allein da,\noder mit Eurem Ziel.\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x0A\x08ヴェイル\nDu hast so ein gutes Herz, Mauvier.\x0E\x04\x00\x00
MID_RELIANCE_B_#021	\x0E\x03\x02\x0A\x08ヴェイル\nIch bin glücklich, dich zum Freund zu haben.\x0E\x04\x00\x00
MID_RELIANCE_B_#022	\x0E\x03\x02\x0A\x08ヴェイル\nAlso, wirst du mir helfen? Können wir\ngemeinsam etwas Gutes für diesen Ort finden?\x0E\x04\x00\x00
MID_RELIANCE_B_#023	\x0E\x03\x02\x08\x06モーヴ\nNatürlich, Milady Veyle.\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ヴェイル\x021\n\x0E\x03\x00\x0C\x06モーヴ\x022\n\x0E\x03\x02\x0A\x08ヴェイル\nOh, die Bewohner des Ortes haben sich so\ngefreut. Ich kann es kaum glauben, wie dankbar\nsie waren.\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x08\x06モーヴ\nJa, die Leute schienen äußerst dankbar.\nAber unsere Arbeit hat gerade erst begonnen.\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0A\x08ヴェイル\nIch hoffe, sie wissen, dass unsere Gefühle\naufrichtig sind und wir es nur gut meinen.\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x08\x06モーヴ\nIch hatte Sorge, sie würden einen Groll hegen.\nRache ergibt mehr Sinn als Verzeihen.\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0A\x08ヴェイル\nIch habe es dir doch gesagt. Das sind gute\nLeute.\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x08\x06モーヴ\nIn der Tat. Ihr hattet recht.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x08\x06モーヴ\nEs war wunderbar, dass wir ihnen so will-\nkommen waren.\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0A\x08ヴェイル\n...\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x0A\x08ヴェイル\nWeißt du, es gibt da etwas, über das ich nach-\ngedacht habe.\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0A\x08ヴェイル\nIch frage mich, ob Marni wohl jemals mit uns\ndurch diese Straßen gegangen wäre.\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x08\x06モーヴ\nMilady Veyle...\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x08\x06モーヴ\nIch wage nicht, darüber zu spekulieren. Aber\nich weiß eines...\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x08\x06モーヴ\nHätte Marni im Kampf auf dieser Seite\ngestanden, wäre sie eine Ritterin, die von dem\nVolk geliebt würde.\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0A\x08ヴェイル\nOh ja, sie hätten sie geliebt.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0A\x08ヴェイル\nWenn Marni nicht gewesen wäre, hätte ich nie\ndiese Chance bekommen, die Dinge wieder in\nOrdnung zu bringen.\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0A\x08ヴェイル\nEs ist unmöglich auszudrücken, wie dankbar\nich bin für das, was sie getan hat.\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x08\x06モーヴ\nSie hätte sich gefreut, Euer Lob zu hören.\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x08\x06モーヴ\nLasst uns beide dafür leben, so viele Leben\nwie möglich zu retten. Für Marni.\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x0A\x08ヴェイル\nDas würde mir gefallen.\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0A\x08ヴェイル\nWir haben so viele Fehler wiedergutzumachen.\nIch weiß nicht, ob wir es schaffen werden, das\nSchlechte mit dem Guten aufzuwiegen.\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x0A\x08ヴェイル\nWir sollten dieser Welt einfach so viel Gutes\nschenken, wie wir können.\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x0A\x08ヴェイル\nWirst du mir dabei helfen, Mauvier?\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x08\x06モーヴ\nNatürlich. Als Ritter... Und als Freund.\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x08\x06モーヴ\nWir werden es gemeinsam tun, Milady Veyle.\x0E\x04\x00\x00
