MID_TUT_CATEGORY_TITLE_Battle	Kämpfe
MID_TUT_BMAP_ENGAGE_ATTACK_0	Einheiten mit aktivem Bündnis erhalten Zugriff\nauf den sogenannten Bündnis-Angriff.
MID_TUT_BMAP_ENGAGE_ATTACK_1	Dieser Angriff entfesselt mächtige Kräfte und\nkann nur einmal pro Bündnis eingesetzt werden.
MID_TUT_BMAP_ENGAGE_ATTACK_2	Sternenlord-Blitz zum Beispiel fügt schweren\nSchaden zu. Wähle „Sternenlord-Blitz“ und\ndann eine Waffe, um ihn auszuführen.
MID_TUT_BMAP_TERRAIN_TITLE	Geländeeffekte
MID_TUT_BMAP_TERRAIN_0	Geländearten wirken sich auf das Kampfgesche-\nhen aus. So sind zum Beispiel Einheiten, die im\nGehölz stehen, schwerer zu treffen.
MID_TUT_BMAP_TERRAIN_1	Gehölz-Felder schränken außerdem die\nBewegung von Bodeneinheiten ein.
MID_TUT_BMAP_TERRAIN_2	Solche Geländeeffekte werden oben links im\nBildschirm angezeigt. Versuche, diese Effekte\nim Kampf zu deinem Vorteil zu nutzen.
MID_TUT_BMAP_RECOVERY_TITLE	Heilen
MID_TUT_BMAP_RECOVERY_0	Sobald die Kraftpunkte (KP) einer Einheit auf 0\nsinken, kann sie nicht mehr kämpfen. Heile sie\nalso rechtzeitig mit Items wie Heilmitteln.
MID_TUT_BMAP_RECOVERY_1	Heilmittel können über das Item-Menü der\nBefehlsliste angewendet werden.
MID_TUT_BMAP_SYNCHRO_TITLE	Mit Emblemen synchronisieren
MID_TUT_BMAP_SYNCHRO_0	Eine Einheit kann Seite an Seite mit einem\nEmblem kämpfen. Dies nennt sich\n„synchronisiert“.
MID_TUT_BMAP_SYNCHRO_1	Synchronisierte Einheiten sind besonders stark\nund erhalten Zugriff auf Synchro-Fähigkeiten.
MID_TUT_BMAP_KIZUNA_LV_TITLE	Band-Level
MID_TUT_BMAP_KIZUNA_LV_0	Wenn eine Einheit an der Seite eines Emblems\nkämpft, sammelt sie Band-Erfahrung und ihr\nBand-Level steigt.
MID_TUT_BMAP_KIZUNA_LV_1	Mit steigendem Band-Level profitieren die\nBündnispartner von höheren Werten und neuen\nEffekten.
MID_TUT_BMAP_RANGE_TITLE	Angriffsreichweite
MID_TUT_BMAP_RANGE_0	Waffen haben unterschiedliche Reichweiten.\nBogen zum Beispiel treffen Ziele aus einer\nDistanz von 2 Feldern.
MID_TUT_BMAP_RANGE_1	Waffen mit einer Reichweite von 1 können keine\nDistanzangriffe, Waffen mit einer Reichweite\nvon 2 keine Nahkampfangriffe kontern.
MID_TUT_BMAP_BREAK_TITLE	Kampfhaltung brechen
MID_TUT_BMAP_BREAK_0	Gegner können mit dem Statuseffekt „Bruch“\nbelegt werden, wenn sie einen Treffer von einer\nWaffe mit Waffenvorteil erleiden.
MID_TUT_BMAP_BREAK_1	Einheiten mit gebrochener Kampfhaltung\nkönnen bis nach ihrem nächsten Kampf nicht\nkontern. Das ist deine Chance zum Angreifen!
MID_TUT_BMAP_BREAK_2	Schwerter haben einen Vorteil gegen Äxte, Äxte\ngegen Lanzen und Lanzen gegen Schwerter.\nNahkampf gegen Bogen, Bücher und Messer.
MID_TUT_BMAP_WAND_TITLE	Stäbe
MID_TUT_BMAP_WAND_0	Stäbe können von gewissen Klassen wie Kampf-\nmönchen verwendet werden, um Verbündeten\nzu assistieren oder Gegner zu beeinträchtigen.
MID_TUT_BMAP_WAND_1	So können beispielsweise Heilstäbe eingesetzt\nwerden, um die Kraftpunkte (KP) eines\nVerbündeten wiederherzustellen.
MID_TUT_BMAP_WAND_2	Stäbe sind nützlich, sind jedoch nur begrenzt\noft einsetzbar.
MID_TUT_STYLE_PRANA_TITLE	Qi-Adept-Einheiten
MID_TUT_STYLE_PRANA_0	Qi-Adepten beherrschen eine Technik namens\nProtektion, mit der sie benachbarte Einheiten\nvor gegnerischen Angriffen beschützen können.
MID_TUT_STYLE_PRANA_1	Mit Protektion erleidet der Verbündete keinen\nSchaden. Stattdessen erleidet der Qi-Adept\nSchaden in Höhe von 20 % seiner max. KP.
MID_TUT_STYLE_PRANA_2	Die beschützte Einheit übersteht den Kampf\nunbeschadet. „Protektion“ kann nur eingesetzt\nwerden, solange der Qi-Adept volle KP hat.
MID_TUT_BMAP_MAGIC_TITLE	Magie
MID_TUT_BMAP_MAGIC_0	Magische Angriffe verfügen über eine hohe\nReichweite, können aber auch gegen unmittel-\nbar angrenzende Einheiten eingesetzt werden.
MID_TUT_BMAP_MAGIC_1	Magie ist oft effektiv gegen Gegner mit starker\nphysischer Verteidigung.
MID_TUT_STYLE_MAGIC_TITLE	Mystische Einheiten
MID_TUT_STYLE_MAGIC_0	Magische Angriffe von mystischen Einheiten\nignorieren alle geländebedingten Boni auf\nAusweichen (Aw.) eines Gegners.
MID_TUT_STYLE_MAGIC_1	Mystische Einheiten können auch über große\nEntfernungen und unter erschwerten Treff-\nbedingungen Treffer erzielen.
MID_TUT_BMAP_GOD_ENERGY_TITLE	Emblem-Energie
MID_TUT_BMAP_GOD_ENERGY_0	Es kann passieren, dass du auf vereinzelten\nFeldern Ansammlungen von Emblem-Energie\nvorfindest.
MID_TUT_BMAP_GOD_ENERGY_1	Beendet eine synchronisierte Einheit ihren Zug\nauf einem Feld mit Emblem-Energie, wird ihre\nBündnisleiste vollständig aufgeladen.
MID_TUT_OVERALLINFORMATION_TITLE	Gefahrenzone
MID_TUT_OVERALLINFORMATION_0	Platzierst du den Cursor auf einen Gegner,\nsiehst du seine Bewegungs-/Angriffsreichweite.\nDrücke \x0E\x08\x02\x04\x02A, damit dies dauerhaft sichtbar bleibt.
MID_TUT_OVERALLINFORMATION_1	Drücke \x0E\x08\x02\x06\x04ZL, um dir die Gefahrenzone für all deine\nGegner gleichzeitig anzeigen zu lassen.
MID_TUT_BMAP_SPECIALATTACK_TITLE	Effektivität
MID_TUT_BMAP_SPECIALATTACK_0	Die Symbole neben manchen Waffen zeigen an,\ngegen welche Gegnertypen sie besonders\nwirksam sind.
MID_TUT_BMAP_SPECIALATTACK_1	Gegnern, die mit demselben Symbol markiert\nsind, fügen diese Waffen erhöhten Schaden zu.
MID_TUT_STYLE_COOP_TITLE	Assistenten
MID_TUT_STYLE_COOP_0	Assistenten bringen sich in den Kampf ein,\nindem sie Verbündete in der Offensive mit\neinem Koop-Schlag unterstützen.
MID_TUT_STYLE_COOP_1	Greift ein Verbündeter einen Gegner an, der sich\nin Angriffsreichweite des Assistenten befindet,\nsetzt dieser einen Koop-Schlag hinzu.
MID_TUT_STYLE_HORSE_TITLE	Berittene Einheiten
MID_TUT_STYLE_HORSE_0	Reiter können weitere Strecken zurücklegen als\nandere Einheiten.
MID_TUT_STYLE_HORSE_1	Sie eignen sich besonders, um rasche Erst-\nschläge zu landen oder schnell die Karte zu\nüberqueren, um Einheiten in Not zu retten.
MID_TUT_STYLE_COVERT_TITLE	Verstohlene Einheiten
MID_TUT_STYLE_COVERT_0	Verstohlene Einheiten erhalten doppelte Boni\nauf Ausweichen (Aw.) durch Geländeeffekte.
MID_TUT_STYLE_COVERT_1	Sie eignen sich daher besonders für den Einsatz\nauf Karten mit viel Gehölz oder anderem\nvorteilhaften Gelände.
MID_TUT_STYLE_HEAVY_TITLE	Gepanzerte Einheiten
MID_TUT_STYLE_HEAVY_0	Gepanzerte Einheiten sind immun gegen den\nBruch-Effekt, wenn sie einen Treffer von einer\nWaffe mit Waffenvorteil erleiden.
MID_TUT_STYLE_HEAVY_1	Ihre hohen KP und Ver.-Werte machen sie zu\nverlässlichen Fronteinheiten. Durch ihre geringe\nRes. sind sie jedoch anfällig gegen Magie.
MID_TUT_STYLE_FLY_TITLE	Flugeinheiten
MID_TUT_STYLE_FLY_0	Flugeinheiten sind nicht von Geländeeffekten\nbetroffen und fliegen auch über Felder, die von\nBodeneinheiten nicht betreten werden können.
MID_TUT_STYLE_FLY_1	Sie bewegen sich sehr flexibel über das\nSchlachtfeld, sind jedoch schwach gegen\nBogenangriffe.
MID_TUT_STYLE_DRAGON_TITLE	Dracheneinheiten
MID_TUT_STYLE_DRAGON_0	Drachen ziehen oft zusätzliche Effekte aus\nBündnis-Fähigkeiten und Bündnis-Angriffen.
MID_TUT_STYLE_DRAGON_1	Erhöhe ihren Band-Level mit unterschiedlichen\nEmblemen, um ihre einzigartigen Vorteile voll\nauszukosten.
MID_TUT_STYLE_BATTLE_TITLE	Einheitentypen
MID_TUT_STYLE_BATTLE_0	Es gibt verschiedene Einheitentypen, wie zum\nBeispiel Berittene, Qi-Adept und Mystische.\nJeder Typ hat andere Vorteile.
MID_TUT_STYLE_BATTLE_1	Welchem Typ eine Einheit angehört, kannst du\nsehen, wenn du ihre Werte überprüfst.
MID_TUT_BMAP_ITEMDROP_TITLE	Kampfbeute
MID_TUT_BMAP_ITEMDROP_0	Item-Symbole auf Gegnern bedeuten, dass du\netwas bekommen kannst, wenn du sie besiegst.
MID_TUT_BMAP_ITEMDROP_1	Items, die nach dem Kampf fallengelassen\nwerden, sind im Inventar des Gegners grün\neingefärbt.
MID_TUT_BMAP_XHELP_TITLE	Hilfe
MID_TUT_BMAP_XHELP_0	Wählst du eine Einheit mit \x0E\x08\x02\x04\x02X, öffnet sich\ndas Hilfe-Fenster.
MID_TUT_BMAP_XHELP_1	Hier findest du nützliche Informationen zu ihren\nWaffen und Fähigkeiten.
MID_TUT_BMAP_XHELP_2	Drücke \x0E\x08\x02\x04\x02B oder \x0E\x08\x02\x04\x02X, um zum Kampf\nzurückzukehren.
MID_TUT_BMAP_BONDSSUPPORTTALK_TITLE	Bande
MID_TUT_BMAP_BONDSSUPPORTTALK_0	Wenn du den Band-Level zwischen Emblemen\nund Einheiten erhöhst, schaltest du besondere\nBand-Gespräche frei.
MID_TUT_BMAP_BONDSSUPPORTTALK_1	Sieh dir diese Band-Gespräche im Somniel\noder beim Erkunden der Weltkarte an.
MID_TUT_BMAP_BONDSSUPPORTTALK_2	Nachdem du dir ein Band-Gespräch angesehen\nhast, kannst du den Band-Level noch weiter\nerhöhen.
MID_TUT_BMAP_SUPPORT_TITLE	Unterstützung
MID_TUT_BMAP_SUPPORT_0	Wenn Einheiten nebeneinander kämpfen oder\neinander heilen, sammeln sie Unterstützungs-\npunkte.
MID_TUT_BMAP_SUPPORT_1	Diese schalten Unterstützungsgespräche frei.\nSiehst du dir diese Gespräche an, erhöht sich\nder Unterstützungslevel der beiden Charaktere.
MID_TUT_BMAP_SUPPORT_2	Mit steigendem Unterstützungslevel profitieren\ndie Einheiten von immer höheren Werteboni,\nwenn sie nebeneinander kämpfen.
MID_TUT_BMAP_VISIT_TITLE	Besuche
MID_TUT_BMAP_VISIT_0	Wenn du Häuser besuchst und die Bewohner\nvor Gefahr warnst, kannst du Gold oder Items\nals Belohnung erhalten.
MID_TUT_BMAP_VISIT_1	Der Befehl „Besuch“ wird anwählbar, sobald\ndu eine Einheit auf eines der leuchtenden Felder\nvor einem Hauseingang bewegst.
MID_TUT_BMAP_VISIT_2	Vorsicht! Gegner können versuchen, Häuser vor\ndir zu erreichen und sie zu zerstören.
MID_TUT_BMAP_TIMECRYSTAL_TITLE	Der Drachenzeitkristall
MID_TUT_BMAP_TIMECRYSTAL_0	Mit dem Drachenzeitkristall kannst du Aktionen,\ndie du im Kampf ausführst, rückgängig machen.
MID_TUT_BMAP_TIMECRYSTAL_1	Wähle im Menü „Zeitkristall“, bestimme mit\n\x0E\x08\x02\x06\x04Up und \x0E\x08\x02\x0A\x08Down, wie weit du zurückspringen willst,\nund bestätige deine Wahl mit \x0E\x08\x02\x04\x02A.
MID_TUT_BMAP_REINFORCEMENT_TITLE	Feindliche Verstärkung
MID_TUT_BMAP_REINFORCEMENT_0	Gegner können mitten in einer Schlacht\nVerstärkung herbeirufen.
MID_TUT_BMAP_REINFORCEMENT_1	Verstärkungstruppen erscheinen häufig auf\nFestungen oder an den Rändern der Karte.\nSei stets auf der Hut!
MID_TUT_BMAP_TRANSPORTER_TITLE	Der Vorrat
MID_TUT_BMAP_TRANSPORTER_0	Im Vorrat kannst du Items hinterlegen und bei\nBedarf wieder abholen.
MID_TUT_BMAP_TRANSPORTER_1	Auf dem Schlachtfeld haben nur \x0E\x06\x03\x00\nund Verbündete auf angrenzenden Feldern\nZugriff auf den Vorrat.
MID_TUT_BMAP_DEADSOUL_TITLE	Geister der Gefallenen
MID_TUT_BMAP_DEADSOUL_0	Wenn du mit dem Internet verbunden bist,\nbegegnen dir im Kampf Geister von Einheiten,\ndie in Schlachten anderer Spieler gefallen sind.
MID_TUT_BMAP_DEADSOUL_1	Wo viele Verbündete gefallen sind, erscheinen\ngelbe Geister. Wartest du auf ihren Feldern,\ngewinnst du Erfahrung und Band-Erfahrung.
MID_TUT_BMAP_DEADSOUL_2	Auf Feldern, wo viele Gegner gefallen sind,\nerscheinen violette Geister. Wartest du auf ihren\nFeldern, erhältst du ihre Items.
MID_TUT_BMAP_DOOR_TITLE	Türen
MID_TUT_BMAP_DOOR_0	Du kannst Türen zerstören, indem du sie\nangreifst.
MID_TUT_BMAP_DOOR_1	Diebe haben Zugriff auf den Befehl „Tür“ und\nkönnen damit die Tür öffnen, ohne sie zu\nzerstören.
MID_TUT_BMAP_TREASUREBOX_TITLE	Schatztruhen
MID_TUT_BMAP_TREASUREBOX_0	Steht eine Einheit neben einer Truhe, kannst du\nmit dem Befehl „Truhe“ die enthaltenen Items\nentnehmen.
MID_TUT_BMAP_TREASUREBOX_1	Plündert ein Gegner die Truhe, kann der Schatz\nbeim Sieg über den gegnerischen Dieb zurück-\nerobert werden.
MID_TUT_BMAP_BREAKINGWALL_TITLE	Hindernisse zerstören
MID_TUT_BMAP_BREAKINGWALL_0	Als „Zerstörbar“ markiertes Gelände kann durch\nAngriffe zerstört werden.
MID_TUT_BMAP_BREAKINGWALL_1	Zerstörtes Gelände eröffnet deinen Einheiten\nneue Wege.
MID_TUT_BMAP_HPSTOCK_TITLE	Erweckungssteine
MID_TUT_BMAP_HPSTOCK_0	Manche besonders starken Gegner tragen\nErweckungssteine bei sich.
MID_TUT_BMAP_HPSTOCK_1	Mithilfe dieser Steine gelangen sie zu neuen\nKräften, sobald ihre KP auf 0 gefallen sind.
MID_TUT_BMAP_HPSTOCK_2	Diese Gegner können erst dann endgültig\nunschädlich gemacht werden, wenn sie alle\nErweckungssteine aufgebraucht haben.
MID_TUT_BMAP_INTERFERINGCANE_TITLE	Taktische Stäbe
MID_TUT_BMAP_INTERFERINGCANE_0	Manche Stäbe können genutzt werden, um\nGegnern Hindernisse in den Weg zu stellen\noder sie anderweitig am Vormarsch zu hindern.
MID_TUT_BMAP_SEARCH_TITLE	Dunkelheit
MID_TUT_BMAP_SEARCH_0	An dunklen Orten sind nur Felder in unmittel-\nbarer Nähe von Verbündeten, Fackeln oder\nLeuchtfeuern sichtbar.
MID_TUT_BMAP_SEARCH_1	Lass deine Einheiten nicht überstürzt vorrücken!\nIn der Dunkelheit könnten Gegner lauern.
MID_TUT_BMAP_POISON_TITLE	Statuseffekt: Gift
MID_TUT_BMAP_POISON_0	Manche Klassen, wie etwa Diebe, verwenden\nMesser, die Gegner beim Angriff vergiften.
MID_TUT_BMAP_POISON_1	Vergiftete Gegner nehmen zusätzlichen\nSchaden.
MID_TUT_BMAP_POISON_2	Wiederholte Angriffe mit einem Messer erhöhen\ndie Wirkung des Gifts.
MID_TUT_BMAP_POISON_3	Vergiftete Einheiten bleiben so lange vergiftet,\nbis sie mit einem Erneuerungsstab oder einem\nAntidot geheilt werden.
MID_TUT_BMAP_TORCH_TITLE	Leuchtfeuer
MID_TUT_BMAP_TORCH_0	Bewege eine Einheit neben ein Leuchtfeuer\nund nutze den Befehl „Anzünden“, um es zu\nentfachen.
MID_TUT_BMAP_TORCH_1	Bringe Licht ins Dunkel, um verborgene Gegner\nbesser sehen zu können.
MID_TUT_BMAP_SMASH_TITLE	Schmetterwaffen
MID_TUT_BMAP_SMASH_0	Mächtige Waffen wie Klingen oder Großlanzen\nfügen Gegnern Schmetterschaden zu und\nstoßen sie ein Feld zurück.
MID_TUT_BMAP_SMASH_1	Du kannst Gegnern den Status „Bruch“ zufügen,\nindem du sie gegen Einheiten oder andere\nHindernisse wie Wände schmetterst.
MID_TUT_BMAP_SMASH_2	Diese Waffen sind jedoch schwer. Mit ihnen ist\nkein Folgeangriff möglich und der Gegner greift\nzuerst an, wenn du den Kampf damit initiierst.
MID_TUT_BMAP_DARKSYNCHRO_TITLE	Dunkle Synchros
MID_TUT_BMAP_DARKSYNCHRO_0	Manche Gegner können Embleme im Kampf\neinsetzen.
MID_TUT_BMAP_DARKSYNCHRO_1	Diese Dunklen Embleme gehen zwar kein\nBündnis mit ihnen ein, ermöglichen ihnen aber\nBündnis-Angriffe.
MID_TUT_BMAP_DARKSYNCHRO_2	Ein Licht markiert Gegner, die einen Bündnis-\nAngriff ausführen können. Sei auf der Hut!
MID_TUT_BMAP_BOWTURRET_TITLE	Ballistae
MID_TUT_BMAP_BOWTURRET_0	Bewegt sich eine Bogen-Einheit auf das Feld\neiner Ballista, wird der Befehl „Abfeuern“\nanwählbar.
MID_TUT_BMAP_BOWTURRET_1	Ballistae verfügen über eine hohe Reichweite\nund Angriffskraft und können Feinden enormen\nSchaden zufügen, bevor sie zu nahe kommen.
MID_TUT_BMAP_BOWTURRET_2	Sie können jedoch nur eine begrenzte Anzahl\nvon Schüssen abfeuern, die sorgfältig geplant\nwerden sollten.
MID_TUT_BMAP_CONVERSATION_TITLE	Gespräche
MID_TUT_BMAP_CONVERSATION_0	Siehst du eine Einheit mit Sprechblase, bewege\ndich neben sie und wähle „Reden“.
MID_TUT_BMAP_CONVERSATION_1	Solche Einheiten anzusprechen ist eine gute\nMöglichkeit, weitere Verbündete zu rekrutieren.
MID_TUT_BMAP_CONVERSATION_2	In manchen Fällen sprechen diese Charaktere\nnur mit bestimmten Leuten.
MID_TUT_BMAP_MAGICTURRET_TITLE	Magische Artillerie
MID_TUT_BMAP_MAGICTURRET_0	Steht eine mit einem Buch ausgerüstete Einheit\nauf einem Feld mit magischer Artillerie, wird der\nBefehl „Abfeuern“ anwählbar.
MID_TUT_BMAP_MAGICTURRET_1	Magische Artillerie feuert mächtige Angriffe\nüber große Distanzen.
MID_TUT_BMAP_MAGICTURRET_2	Ebenso wie Ballistae kann auch magische\nArtillerie nur begrenzt oft eingesetzt werden.\nPlane ihren Einsatz also mit Bedacht.
MID_TUT_BMAP_QUICKSAND_TITLE	Treibsand
MID_TUT_BMAP_QUICKSAND_0	Treibsand ist eine Geländeart, die die Bewegung\nvon Einheiten erheblich beeinträchtigt, wenn sie\ndas entsprechende Feld verlassen.
MID_TUT_BMAP_QUICKSAND_1	Versuche, Treibsand möglichst zu umgehen,\ndamit deine Beweglichkeit nicht beeinträchtigt\nwird.
MID_TUT_BMAP_RECKLESS_TITLE	Tobsucht
MID_TUT_BMAP_RECKLESS_0	Mit Dunklen Emblemen synchronisierte Gegner\nkönnen der Tobsucht verfallen, wenn sie\nErweckungssteine verwenden.
MID_TUT_BMAP_RECKLESS_1	In diesem Zustand erzwingen sie zusätzliche,\nunkontrollierbare Kräfte von ihrem Dunklen\nEmblem und sind stärker denn je. Sieh dich vor!
MID_TUT_BMAP_DANCE_TITLE	Tanzen
MID_TUT_BMAP_DANCE_0	Tänzer können den Befehl „Tanzen“ einsetzen,\nwenn sie neben einer Einheit stehen, die in\ndiesem Zug bereits eine Aktion ausgeführt hat.
MID_TUT_BMAP_DANCE_1	Tanzt der Tänzer für einen Verbündeten, kann\ndieser sich im selben Zug erneut bewegen und\neine weitere Aktion ausführen.
MID_TUT_BMAP_FLAMETURRET_TITLE	Flammenkanonen
MID_TUT_BMAP_FLAMETURRET_0	Betritt eine Einheit ein Flammenkanonen-Feld,\nerhält sie Zugriff auf den Befehl „Abfeuern“.
MID_TUT_BMAP_FLAMETURRET_1	Feuergeschosse richten rund um ihren\nEinschlagsort Flächenschaden an und\nlassen das Gelände in Flammen aufgehen.
MID_TUT_BMAP_FLAMETURRET_2	Beachte, dass Getroffene mit mindestens 1 KP\nüberleben und auch deine Verbündeten\ngetroffen werden können.
MID_TUT_BMAP_PICKUPARING_TITLE	Ringe sammeln
MID_TUT_BMAP_PICKUPARING_0	Beschwöre Embleme, indem du \x0E\x06\x03\x00\nneben einem am Boden liegenden Ring platzierst.
MID_TUT_BMAP_LINKINGUP_TITLE	Im Kampf synchronisieren
MID_TUT_BMAP_LINKINGUP_0	Verbündete ohne Ringe können sich neben ein\nbeschworenes Emblem bewegen und sich über\nden Befehl „Reden“ mit ihm synchronisieren.
MID_TUT_BMAP_DRAGONCREST_TITLE	Dämonendrachensiegel
MID_TUT_BMAP_DRAGONCREST_0	Um das Drachensiegel zu zerstören, musst du\ndie gegnerischen Kommandanten Zephia und\nGriss bezwingen.
MID_TUT_BMAP_DRAGONCREST_1	Zephia und Griss nutzen die Kraft des Siegels,\num zerstörerische Vulkanbomben abzufeuern.
MID_TUT_BMAP_VOLCANICBOMB_TITLE	Vulkanbomben
MID_TUT_BMAP_VOLCANICBOMB_0	In dieser Schlacht schlagen in gewissen\nZeitabständen Vulkanbomben ein.
MID_TUT_BMAP_VOLCANICBOMB_1	Diese Bomben zerschmettern Felsbrocken und\nfügen deinen Verbündeten erheblichen Schaden\nzu, wenn sie sie treffen.
MID_TUT_BMAP_VOLCANICBOMB_2	Eine Warnung zeigt an, wo die Bomben landen.\nVersuche, die Einschlaggebiete zu umgehen, so\ngut du kannst.
MID_TUT_BMAP_AVALANCHE_TITLE	Lawinen
MID_TUT_BMAP_AVALANCHE_0	\x0E\x06\x03\x00 der Vergangenheit kann mithilfe\ndes Dämonendrachensiegels Lawinen auslösen.\nGetroffene Verbündete werden weggestoßen.
MID_TUT_BMAP_AVALANCHE_1	Eine Warnung zeigt, wo Lawinen niedergehen\nwerden. Bleib wachsam und lass deine\nEinheiten vorsichtig voranrücken!
MID_TUT_BMAP_AVALANCHE_2	Felsen und Gegner können verhindern, dass\nEinheiten zurückgedrängt werden.
MID_TUT_BMAP_TURNLIMIT_TITLE	Zeitdruck
MID_TUT_BMAP_TURNLIMIT_0	Bestimmte Schlachten müssen innerhalb einer\nfesten Anzahl von Zügen gewonnen werden.
MID_TUT_BMAP_TURNLIMIT_1	Verstreichen die Züge, die in den Sieges-\nbedingungen festgelegt wurden, hat deine\nArmee den Kampf verloren.
MID_TUT_BMAP_DRAGONBEAM_TITLE	Dämonendrachensiegel-Strahl
MID_TUT_BMAP_DRAGONBEAM_0	Die Verzerrte Lumera nutzt die Kraft des\nDämonendrachensiegels, um mächtige Angriffe\nzu entfesseln.
MID_TUT_BMAP_DRAGONBEAM_1	Eine Warnung zeigt die Reichweite des Strahls\nan. Bewege deine Einheiten aus dem Gefahren-\nbereich, um großen Schaden zu vermeiden.
MID_TUT_BMAP_DARKHERALDIC_TITLE	Dunkle Embleme
MID_TUT_BMAP_DARKHERALDIC_0	Dunkle Embleme sind anfällig für Angriffe von\nEinheiten, die mit einem Emblem aus derselben\nWelt synchronisiert oder im Bündnis sind.
MID_TUT_BMAP_BARRIER_TITLE	Dunkler Wall
MID_TUT_BMAP_BARRIER_0	Die Dunklen Embleme haben eine Barriere\nerrichtet, die bewirkt, dass der Dämon Sombron\nweniger Schaden nimmt.
MID_TUT_BMAP_BARRIER_1	Besiege die Dunklen Embleme, um die Barriere\nzu schwächen.
MID_TUT_BMAP_ENGAGERING_TITLE	Der Paktring
MID_TUT_BMAP_ENGAGERING_0	Erreichst du Unterstützungslevel A mit einem\nVerbündeten, kannst du ihm den Paktring\nüberreichen und euer Band stärken.
MID_TUT_BMAP_ENGAGERING_1	Den Ring findest du in der Kommode in deinem\nZimmer.
MID_TUT_BMAP_ENGAGERING_2	Wenn der Verbündete deiner Wahl nirgendwo\nim Somniel aufzufinden ist, solltest du einmal\nversuchen, dich in deinem Bett auszuruhen.
MID_TUT_GOD_MARTH_TITLE	Emblem Marth
MID_TUT_GOD_MARTH_0	Emblem Marth ist ein flinker Angreifer, der Geg-\nner mit Anmut und Schnelligkeit überwältigt.
MID_TUT_GOD_MARTH_1	Die Synchro-Fähigkeit „Aufmerksamkeit“ er-\nleichtert das Ausweichen bei Gegenangriffen.
MID_TUT_GOD_MARTH_2	Die Bündniswaffe „Rapier“ fügt berittenen und\ngepanzerten Gegnern zusätzlichen Schaden zu.
MID_TUT_GOD_MARTH_3	Die Bündnis-Fähigkeit „Göttliche Schnelle“ ge-\nwährt einen zusätzlichen, schwächeren Angriff.
MID_TUT_GOD_MARTH_4	Der Bündnis-Angriff „Sternenlord-Blitz“ ist ein\nmächtiger und blitzschneller Hagel von\nSchlägen.
MID_TUT_GOD_SIGLUD_TITLE	Emblem Sigurd
MID_TUT_GOD_SIGLUD_0	Emblem Sigurd zeichnet sich durch heraus-\nragend hohe Beweglichkeit auf dem Schlacht-\nfeld aus.
MID_TUT_GOD_SIGLUD_1	Die Synchro-Fähigkeit „Kanter“ gewährt der\nEinheit nach dem Angreifen eine weitere\nBewegung.
MID_TUT_GOD_SIGLUD_2	Die Bündniswaffe „Rittertod“ kann berittenen\nGegnern zusätzlichen Schaden zufügen.
