MID_OP1_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0E\x08セネリオ\x022\n\x0E\x03\x00\x0A\x04チキ\x023\n\x0E\x03\x02\x0A\x08リュール\nHier ist es unglaublich heiß. Bist du sicher,\ndass wir hier einen Emblem-Armring finden\nwerden?\x0E\x04\x00\x00
MID_ED1_#007	Ich nenne Euch ein Beispiel. Meine Gruppe\nSöldner wurde damit beauftragt, eine Prinzessin\naus einem zerstörten Land zu beschützen.\x0E\x04\x02\x00
MID_ED1_#008	Irgendwann gab es einen Punkt, an dem wir von\nGegnern umzingelt waren, die die Prinzessin\ngefangen nehmen wollten.\x0E\x04\x02\x00
MID_ED1_#009	Als Stratege unserer Gruppe gab ich unserem\nKommandanten den Rat, sie sofort an unsere\nGegner zu übergeben.\x0E\x04\x02\x00
MID_ED1_#010	Meine Logik sagte mir, dass Gold für uns – als\nSöldner – Priorität besaß. Wir hatten gegenüber\nder Prinzessin keine moralische Verpflichtung.\x0E\x04\x02\x00
MID_ED1_#011	Später änderten sich die Umstände, doch ich\nstehe zu dem damals von mir erteilten Rat.\nIch würde ihn noch einmal erteilen.\x0E\x04\x00\x00
MID_ED1_#012	\x0E\x03\x02\x0A\x08リュール\nIhr habt recht, wenn Ihr denkt, ich würde so\neinen Rat nicht annehmen – aber Ihr irrt, wenn\nIhr meint, ich wüsste ihn nicht zu schätzen.\x0E\x04\x02\x00
MID_ED1_#013	Schwierige Entscheidungen muss man von\njedem Blickwinkel aus betrachten.\x0E\x04\x02\x00
MID_ED1_#014	Daher meine ich, dass es gut ist, wenn wir mit\nsolch unterschiedlichen Perspektiven an eine\nSache herangehen.\x0E\x04\x00\x00
MID_ED1_#015	\x0E\x03\x02\x0A\x08セネリオ\nIch könnte mit Euch über diese Ansicht streiten,\naber das würde zu nichts führen.\x0E\x04\x02\x00
MID_ED1_#016	Stattdessen möchte ich Euch diesen Rat geben:\nFolgt Euren eigenen Idealen.\x0E\x04\x00\x00
MID_ED1_#017	\x0E\x03\x02\x0A\x08リュール\nWas meint Ihr damit?\x0E\x04\x00\x00
MID_ED1_#018	\x0E\x03\x02\x0A\x08セネリオ\nKrieg ist grausam. Wunschdenken wird Euch\nnicht zum Sieg führen. Aber Eure Überzeugun-\ngen schon, daher haltet an ihnen fest.\x0E\x04\x02\x00
MID_ED1_#019	Wenn mich Krieg eines gelehrt hat, dann, dass\nreine Entschlossenheit den Lauf der Geschichte\nverändern kann.\x0E\x04\x02\x00
MID_ED1_#020	Also, glaubt weiter, wie Ihr es bisher tut. Folgt\nweiter Eurem eigenen Weg.\x0E\x04\x02\x00
MID_ED1_#021	Ich unterstütze das.\x0E\x04\x00\x00
MID_ED1_#022	\x0E\x03\x02\x0A\x08リュール\nVerstehe. Ich danke Euch, Emblem Soren.\x0E\x04\x02\x00
MID_ED1_#023	Ich weiß, dass vor uns schwierige Entschei-\ndungen liegen. Ich werde auf Eure Hilfe zählen,\nwenn ich sie fällen muss.\x0E\x04\x02\x00
MID_ED1_#024	Doch heute sage ich, es ist einfach großartig,\nEuch bei uns zu haben.\x0E\x04\x00\x00
MID_ED2_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06アイク\x021\n\x0E\x03\x00\x0E\x08セネリオ\x022\n\x0E\x03\x02\x08\x06アイク\nSieht aus, als ob wir wieder ein Team bilden\nwürden. Es ist schön, dich zu sehen, Soren.\x0E\x04\x00\x00
MID_ED2_#002	\x0E\x03\x02\x0A\x08セネリオ\nWäre mir bekannt gewesen, dass du hier bist,\nhätte ich mich euch sofort angeschlossen. Du\nhättest dich viel eher bemerkbar machen sollen.\x0E\x04\x00\x00
MID_ED2_#003	\x0E\x03\x02\x08\x06アイク\nEin bisschen Extratraining schadet doch nicht.\x0E\x04\x00\x00
MID_ED2_#004	\x0E\x03\x02\x0A\x08セネリオ\nDarf ich dich um einen Gefallen bitten?\x0E\x04\x00\x00
MID_ED2_#005	\x0E\x03\x02\x08\x06アイク\nKlar.\x0E\x04\x00\x00
MID_ED2_#006	\x0E\x03\x02\x0A\x08セネリオ\nIch würde gerne wieder meine alte Position\neinnehmen, wenn dir das recht ist. Mein Platz\nist an deiner Seite.\x0E\x04\x00\x00
MID_ED2_#007	\x0E\x03\x02\x08\x06アイク\nIch dachte mir, dass du mich das schon bald\nfragen würdest. Ja, sicher.\x0E\x04\x02\x00
MID_ED2_#008	Ich vertraue dir wie sonst niemandem.\nDas weißt du.\x0E\x04\x00\x00
MID_ED2_#009	\x0E\x03\x02\x0A\x08セネリオ\nDanke, Ike. Dich zu unterstützen, ist meine\nwahre Aufgabe.\x0E\x04\x00\x00
