MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nミスティラ\x021\n\x0E\x03\x00\x0E\x08パネトネ\x022\n\x0E\x03\x02\x0C\nミスティラ\nAh, das war genau, was ich brauchte. Es ist\nschon viel zu lange her, dass wir gemeinsam\nausgeritten sind.\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nミスティラ\x021\n\x0E\x03\x00\x0E\x08パネトネ\x022\n\x0E\x03\x02\x0A\x08パネトネ\nChefin, als Ihr erwähntet, ich hätte mich\nverändert... hattet Ihr völlig recht. Das habe ich.\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x0A\x08パネトネ\nDoch dies ist allein Eure Schuld.\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0C\nミスティラ\nMeine?\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0A\x08パネトネ\nJa. Als wir uns begegneten, war ich so wild,\nwie man es sich nur denken kann.\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0A\x08パネトネ\nMein Leben war, gelinde gesagt, steinig\ngewesen, was mich mit Zorn erfüllt hatte.\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x0A\x08パネトネ\nUnd so suchte ich im Dorf stets Streit und\nKampf mit jenen, die mir auf die Nerven gingen.\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0A\x08パネトネ\nRückblickend erkenne ich nun, wie sinnlos dies\ngewesen ist.\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0A\x08パネトネ\nDoch ich kannte keinen anderen Weg, damit\numzugehen. Bis ich Euch traf.\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0A\x08パネトネ\nObgleich ich zunächst annahm, Ihr wärt ebenso\nwild wie ich.\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0C\nミスティラ\nHahaha, wir haben gleich richtig gut angefangen,\nhm?\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0C\nミスティラ\nTagsüber Schurken jagen, nachts auf unseren\nWölfen reiten...\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0A\x08パネトネ\nJa. Wir gingen zusammen durch dick und dünn.\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0A\x08パネトネ\nStück für Stück lehrtet Ihr mich, meinen Zorn in\neine sinnvollere Richtung zu lenken.\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x0C\nミスティラ\nAuf Männer, die sich in der Warteschlange\nvordrängeln.\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0A\x08パネトネ\nDas war nur ein Mal! Ich sprach von all den\nBanditen und Dieben, die wir bekämpft haben.\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0A\x08パネトネ\nIhr brachtet mir bei, meine aufgestaute Wut für\ngute Zwecke einzusetzen.\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x0C\nミスティラ\nDa bin ich aber froh. Wobei das nicht unbedingt\nbeabsichtigt war.\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x0A\x08パネトネ\nDas hatte ich mir schon gedacht.\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x0A\x08パネトネ\nGleichwohl, wenn ich Euch nicht getroffen\nhätte, Chefin...\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x0A\x08パネトネ\nDann hätte mich der Zorn gefressen und nur\neine einsame, verbitterte Hülle ausgespuckt.\x0E\x04\x00\x00
MID_RELIANCE_B_#021	\x0E\x03\x02\x0A\x08パネトネ\nIch hätte mein Leben damit verbracht, fruchtlos\nüber mein elendes Schicksal zu klagen.\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nミスティラ\x021\n\x0E\x03\x00\x0E\x08パネトネ\x022\n\x0E\x03\x02\x0C\nミスティラ\nPanette, du sagtest, ohne mich hättest du dein\nLeben allein und voller Bitterkeit verbracht.\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x0C\nミスティラ\nAber ich glaube nicht, dass das stimmt.\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0A\x08パネトネ\nWeswegen sagt Ihr das, Chefin?\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x0C\nミスティラ\nDu magst zwar wild gewesen sein, doch deine\nGüte schimmerte dennoch stets hervor.\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0C\nミスティラ\nSelbst die übelsten Schurken, die wir\nbekämpften, wolltest du nie verletzen – nur\naufhalten.\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0C\nミスティラ\nUnd nach unseren langen Ritten durch die\nNacht? Da nahmst du dir die Zeit, die Wölfe zu\nfüttern und ihr Fell zu bürsten.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0C\nミスティラ\nIn Wahrheit bin ich nicht herniedergeschwebt,\num dich auf den rechten Pfad zu bringen.\nDu hattest ihn längst eingeschlagen.\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0A\x08パネトネ\nMeint Ihr das ernst?\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x0C\nミスティラ\nSicher. Ich wusste, du bist eine gute Person.\nDeshalb bat ich dich, meine Getreue zu werden.\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0A\x08パネトネ\nAh, ich erinnere mich gut daran. Wie überrascht\nich war. Nie hätte ich gedacht, dass Ihr die\nPrinzessin höchstselbst seid.\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0C\nミスティラ\nKonnte ich dich nicht mit meiner prinzessinnen-\nhaften Frage überzeugen? „Bitte, bitte, werde\nmeine Getreue!“\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0A\x08パネトネ\nEs erschien mir so absurd, dass jemand von\nhöchstem Adel etwas mit einem wilden\nMädchen wie mir zu schaffen haben wollte.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0C\nミスティラ\nNun, ich bin froh, dass du letztendlich\nzugestimmt hast. Nochmals danke dafür,\nPanette.\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0A\x08パネトネ\nChefin, bitte. Ich bin diejenige, die sich bei Euch\nbedanken sollte.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0C\nミスティラ\nAch was. Meinst du, ich habe nicht bemerkt,\nwie hart du an dir arbeitest?\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0C\nミスティラ\nIch weiß, dass du besorgt warst, mich zu\nblamieren oder meiner Familie gegenüber\nunhöflich zu erscheinen.\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x0C\nミスティラ\nDie Spielregeln am königlichen Hofe sind\nkompliziert und... auch sehr willkürlich, wenn\nwir ehrlich sind.\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x0C\nミスティラ\nDoch du nahmst dir die Zeit, die richtige\nSprache und das angemessene Gebaren\neiner Getreuen zu erlernen.\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x0A\x08パネトネ\nDas war das Mindeste, was ich tun konnte, um\nEure Großzügigkeit zu vergelten.\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0C\nミスティラ\nPanette, ich möchte dir etwas sagen.\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x0C\nミスティラ\nIch werde eine Königin werden, die deiner\nMühen wert ist.\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x0C\nミスティラ\nEine Königin, der du voller Stolz dienen kannst.\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x0A\x08パネトネ\nOhne Zweifel. Und ich werde Euch weiterhin\ndienen, mit niemals verblassendem Eifer.\x0E\x04\x00\x00
