MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cアルフレッド\x021\n\x0E\x03\x00\x10\nエーティエ\x022\n\x0E\x03\x02\x0E\x0Cアルフレッド\nFantastisches Wetter heute, nicht wahr?\x0E\x04\x00\x00
MID_RELIANCE_B_#027	\x0E\x03\x02\x0C\nエーティエ\nUnd? Was denkt Ihr?\x0E\x04\x00\x00
MID_RELIANCE_B_#028	\x0E\x03\x02\x0E\x0Cアルフレッド\nEins ist sicher.\x0E\x04\x00\x00
MID_RELIANCE_B_#029	\x0E\x03\x02\x0E\x0Cアルフレッド\nDas ist nichts für Sterbliche.\x0E\x04\x00\x00
MID_RELIANCE_B_#030	\x0E\x03\x02\x0C\nエーティエ\nDas habe ich befürchtet.\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cアルフレッド\x021\n\x0E\x03\x00\x10\nエーティエ\x022\n\x0E\x03\x02\x0E\x0Cアルフレッド\nGuten Morgen, Etie! Hast du Vorschläge für ein\nfrühes Training?\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x0C\nエーティエ\nWie wäre es mit Laufen?\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0E\x0Cアルフレッド\nKlingt gut. Machen wir einen Wettlauf daraus?\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x0C\nエーティエ\nNein, ich möchte lieber neben Euch laufen.\nSo kann ich Euch leichter beschützen.\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0E\x0Cアルフレッド\nNachvollziehbar. Oh, schau.\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0C\nエーティエ\nStimmt etwas nicht?\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0E\x0Cアルフレッド\nNein, ich habe nur gerade diese schönen\nBlumen gesehen. Lassen wir das Laufen mal\nkurz warten.\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0C\nエーティエ\nWie Ihr wünscht.\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x0E\x0Cアルフレッド\nWeißt du, woran ich bei schönen Blumen immer\ndenken muss?\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0E\x0Cアルフレッド\nAn die Erinnerung an dich, mit dem ganzen Arm\nvoller bunter Blumen.\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0C\nエーティエ\nMein Heimatdorf ist bekannt für seine Blumen.\nJedes Mal, wenn ich das Schloss besuchte,\nbrachte ich welche mit.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0E\x0Cアルフレッド\nIch erinnere mich. Meine Mutter und die Diener\nliebten sie...\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0C\nエーティエ\nGut. Das freut mich.\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0E\x0Cアルフレッド\nApropos Mutter. Willst du mal was Lustiges\nhören?\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0E\x0Cアルフレッド\nMutter hatte ursprünglich gedacht, dass du\neines Tages meine Königin wirst.\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0C\nエーティエ\nIhr scherzt. Davon höre ich zum ersten Mal.\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x0C\nエーティエ\nAber das erklärt einiges.\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x0C\nエーティエ\nJetzt verstehe ich, warum ich nicht meiner\nKindheitsfreundin Prinzessin Céline, sondern\nEuch zugewiesen wurde.\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x0C\nエーティエ\nDas habe ich mich nämlich schon seit Jahren\ngefragt. Nun, Geheimnis gelüftet, würde ich\nsagen.\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0E\x0Cアルフレッド\nDas muss an dir genagt haben.\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x0C\nエーティエ\nMacht Euch nicht lächerlich. Ich bin stolz\ndarauf, Eure Getreue zu sein, Prinz Alfred.\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x0C\nエーティエ\nAuch wenn mich die Vorstellung, Eure Königin\nzu sein, doch ein wenig schockiert.\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x0C\nエーティエ\nKönigin Etie...\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x0E\x0Cアルフレッド\nHmmmm.\x0E\x04\x00\x00
MID_RELIANCE_A_#025	\x0E\x03\x02\x0C\nエーティエ\nHahaha!\x0E\x04\x00\x00
MID_RELIANCE_A_#026	\x0E\x03\x02\x0E\x0Cアルフレッド\nHahaha!\x0E\x04\x00\x00
MID_RELIANCE_A_#027	\x0E\x03\x02\x0C\nエーティエ\nVerzeihung, Königin Ève, aber das kann ich mir\nnicht vorstellen, auch wenn ich es noch so sehr\nversuche.\x0E\x04\x00\x00
MID_RELIANCE_A_#028	\x0E\x03\x02\x0E\x0Cアルフレッド\nIch auch nicht. Wenn ich mir vorstelle, wir beide\nwären etwas anderes, als wir jetzt sind, friert\nmir das Hirn ein.\x0E\x04\x00\x00
MID_RELIANCE_A_#029	\x0E\x03\x02\x0C\nエーティエ\nIch weiß, was Ihr meint.\x0E\x04\x00\x00
MID_RELIANCE_A_#030	\x0E\x03\x02\x0C\nエーティエ\nUnsere Bande als Prinz und Getreue sind zu\nstark, als dass wir je etwas anderes sein\nkönnten.\x0E\x04\x00\x00
MID_RELIANCE_A_#031	\x0E\x03\x02\x0E\x0Cアルフレッド\nUnd als Trainingspartner. Vergiss das nicht.\x0E\x04\x00\x00
MID_RELIANCE_A_#032	\x0E\x03\x02\x0C\nエーティエ\nHa. Immer, Prinz Alfred.\x0E\x04\x00\x00
MID_RELIANCE_A_#033	\x0E\x03\x02\x0C\nエーティエ\nApropos, wollen wir mit unserem Lauf\nfortfahren? Meine Beine kribbeln schon.\x0E\x04\x00\x00
MID_RELIANCE_A_#034	\x0E\x03\x02\x0E\x0Cアルフレッド\nVorwärts, Etie. Jeder Tag, an dem ich mit dir\ntrainieren darf, ist ein Geschenk.\x0E\x04\x00\x00
MID_RELIANCE_A_#035	\x0E\x03\x02\x0E\x0Cアルフレッド\nAuf die Stärke! Und den Frieden.\x0E\x04\x00\x00
MID_RELIANCE_A_#036	\x0E\x03\x02\x0C\nエーティエ\nUnd auf Euer Glück.\x0E\x04\x00\x00
