MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cゴルドマリー\x021\n\x0E\x03\x00\x10\nザフィーア\x022\n\x0E\x03\x02\x0E\x0Cゴルドマリー\nHallo, Saphir.\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0E\x0Cゴルドマリー\nEs tut mir leid, Saphir, aber hier ist Platz für nur\nEINE perfekte Köchin.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0E\x0Cゴルドマリー\nIch fordere Euch heraus zu einem einmaligen\nWettstreit in den kulinarischen Künsten.\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0C\nザフィーア\nDu meinst... so was wie ein Kochwettbewerb?\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0E\x0Cゴルドマリー\nRichtig. Wir demonstrieren unsere Fähigkeiten\nund lassen andere entscheiden, welche von uns\ndie Überlegene ist.\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x0C\nザフィーア\nKlar, schätze, das können wir ruhig machen.\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x0E\x0Cゴルドマリー\nGut. Ich werde Euch wissen lassen, wann und\nwo alles stattfindet, sobald es entschieden ist.\nMacht Euch bereit für die Zubereitung!\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x02\x0E\x0Cゴルドマリー\nUnd freut Euch schon mal darauf, dermaßen\npulverisiert zu werden, dass man Euch danach\nals Gewürz verwenden kann.\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cゴルドマリー\x021\n\x0E\x03\x00\x10\nザフィーア\x022\n\x0E\x03\x02\x0C\nザフィーア\nDa wären wir. Bereit, Fisch zuzubereiten?\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x0E\x0Cゴルドマリー\nNun...\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0E\x0Cゴルドマリー\nNicht wirklich.\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0C\nザフィーア\nHey, was ist denn los? Ich dachte, du wolltest\nmich pulverisieren und so.\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0E\x0Cゴルドマリー\nSo sehr es mich auch beschämt, das\nzuzugeben... Ich konnte keinen anständigen\nFisch an Land ziehen.\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x0C\nザフィーア\nNicht? Was für eine Schande. Sieh nur, was ich\ngefangen hab: Ein selteneres Exemplar als das\nhier wird man in dieser Gegend kaum finden.\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0E\x0Cゴルドマリー\nDer Wettkampf hat noch nicht einmal begonnen\nund ich habe bereits verloren.\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0C\nザフィーア\nAch was. Sieh nur, ich hab für dich auch ein\nExemplar davon gefangen.\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0E\x0Cゴルドマリー\nWieso tut Ihr denn das?\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0C\nザフィーア\nWäre ja sonst nicht fair. Es ist doch ein\nKochwettbewerb, kein Angelturnier.\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0E\x0Cゴルドマリー\nDas ist wohl wahr...\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0E\x0Cゴルドマリー\nIch danke Euch, Saphir, für die noble Geste.\nEure Güte beschämt mich.\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0E\x0Cゴルドマリー\nDoch so sehr ich diesen Kochwettbewerb auch\ngewinnen will, kann ich mich auch nicht in\nnoblen Gesten von Euch übertreffen lassen.\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x0E\x0Cゴルドマリー\nAlso... nehmt doch bitte dies.\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0C\nザフィーア\nWas haben wir denn hier?\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0E\x0Cゴルドマリー\nSeltene Kräuter. Sie waren schwer aufzutreiben,\ndoch es wäre unhöflich von mir, sie nun nicht\nauch mit Euch zu teilen.\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x0C\nザフィーア\nDu hast recht, das sind echt seltene Kräuter!\nHahaha... Danke, Goldmary. Du bist in Ordnung.\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x0C\nザフィーア\nGut, legen wir los! Möge die beste Köchin\ngewinnen!\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x0E\x0Cゴルドマリー\nAllerdings. Dies ist Euer Untergang.\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cゴルドマリー\x021\n\x0E\x03\x00\x10\nザフィーア\x022\n\x0E\x03\x02\x0E\x0Cゴルドマリー\nDer Kochwettbewerb war ein echtes Vergnügen,\nSaphir. Es... Es macht mich tatsächlich stolz zu\nsagen, dass wir einander ebenbürtig waren.\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x0C\nザフィーア\nJa, das war echt toll. Bei einer so fähigen\nKöchin wie dir beschwer ich mich auch nicht\nüber ein Unentschieden.\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0C\nザフィーア\nSo knapp das Ergebnis auch war... war das\nallerdings nicht der beste Teil daran.\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x0C\nザフィーア\nDiese Ehre gebührt all den lächelnden\nGesichtern, die wir mit Essen versorgen\nkonnten.\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0E\x0Cゴルドマリー\nDa muss ich Euch zustimmen.\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0E\x0Cゴルドマリー\nVor Beginn des Kochwettbewerbs war die\nMenge so müde und desinteressiert.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0E\x0Cゴルドマリー\nAber als wir fertig waren, sprühten sie alle vor\nEnergie.\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0C\nザフィーア\nJa. Damit haben wir etwas Gutes getan.\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x0E\x0Cゴルドマリー\nIch muss zugeben, Saphir, ich war gerührt von\nEurem Verhalten während des Wettstreits.\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0C\nザフィーア\nWas? Wieso?\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0E\x0Cゴルドマリー\nDer einzige Grund, weshalb ich überhaupt\netwas zubereiten konnte, war der, dass Ihr\nEuren Fang mit mir geteilt habt.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0E\x0Cゴルドマリー\nOhne Eure großzügige Geste wäre ich zum\nGespött der ganzen Veranstaltung geworden.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0E\x0Cゴルドマリー\nUnd obwohl Ihr die Gelegenheit hättet nutzen\nkönnen, um mich zu demütigen, habt Ihr kein\nweiteres Wort darüber verloren.\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0C\nザフィーア\nHahaha, machst du Witze? Ich könnte dasselbe\nüber dich sagen, weißt du?\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0E\x0Cゴルドマリー\nIch wüsste nicht, wieso.\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0C\nザフィーア\nDiese Kräuter von dir waren eine der Schlüssel-\nzutaten in meinem Gericht. Das hätte ich ohne\nsie nicht hinbekommen.\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x0C\nザフィーア\nUnd du hast darüber auch kein weiteres Wort\nverloren, oder?\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x0E\x0Cゴルドマリー\nHihihi.\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x0C\nザフィーア\nWas ist so lustig?\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0E\x0Cゴルドマリー\nEs sieht mir nur überhaupt nicht ähnlich, so\netwas nicht zu kommentieren.\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x0E\x0Cゴルドマリー\nNormalerweise bin ich die Art Person, die\ndefinitiv versuchen würde, das Lob für diese\nKräuter einzuheimsen.\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x0E\x0Cゴルドマリー\nAber in dieser Situation... Nun, ich schätze, man\nkönnte sagen, ich war von Eurer Güte inspiriert\nworden.\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x0C\nザフィーア\nDas ist wirklich rührend.\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x0E\x0Cゴルドマリー\nEs würde mich freuen, wenn wir so etwas noch\nmal machen könnten.\x0E\x04\x00\x00
MID_RELIANCE_A_#025	\x0E\x03\x02\x0E\x0Cゴルドマリー\nUnd ich meine nicht als Wettbewerb. Nein,\nlasst uns einfach so ein weiteres Festmahl für\nandere Leute zubereiten.\x0E\x04\x00\x00
MID_RELIANCE_A_#026	\x0E\x03\x02\x0C\nザフィーア\nKlingt toll. Und nächstes Mal sollten wir\nversuchen, was anderes als Fisch zuzubereiten.\x0E\x04\x00\x00
MID_RELIANCE_A_#027	\x0E\x03\x02\x0C\nザフィーア\nDamit werd ich allerdings Neuland betreten. Da\nmusst du mir also ein bisschen den Weg weisen.\x0E\x04\x00\x00
MID_RELIANCE_A_#028	\x0E\x03\x02\x0E\x0Cゴルドマリー\nIch würde mich freuen, wenn ich Euch ein paar\nKniffe zeigen könnte.\x0E\x04\x00\x00
MID_RELIANCE_A_#029	\x0E\x03\x02\x0E\x0Cゴルドマリー\nVielleicht werdet Ihr dann sagen können, dass\nauch ich Euch inspiriert habe.\x0E\x04\x00\x00
