MAID_LueurWearM	Göttlicher Anzug
MAID_H_LapisWear	Alltagskleidung von Lapis, Prinz Alcrysts Getreuer. Diese Schürze mit\nBlumenmotiven und Schulterriemen ist seit langer Zeit ihr Ein und Alles.
MAID_CitrinicaWear	Edle Jacke
MAID_H_CitrinicaWear	Alltagskleidung von Citrinne, Prinz Alcrysts Getreuer. Die Jacke besteht\naus Kunstfell und die Anhänger eines Adelshauses zieren den Gürtel.
MAID_IvyWear	Mystisches Kleid
MAID_H_IvyWear	Alltagskleidung von Ivy, der Kronprinzessin von Elusia. Durch langwieriges\nAusprobieren gelangte sie zu diesem bequemen, kälteresistenten Kleid.
MAID_ZelkovaWear	Schnallenweste
MAID_H_ZelkovaWear	Alltagskleidung von Zelkov, Prinzessin Ivys Getreuem. Der Zweck der\nvielen Schnallen ist nicht ganz klar, aber sie sehen dekorativ aus.
MAID_KagetsuWear	Onigiri-Gewand
MAID_H_KagetsuWear	Alltagskleidung von Kagetsu, Prinzessin Ivys Getreuem. Die Hose zieren\nReisbällchen, Rogen, Lachs, eingelegte Pflaumen und Bonito-Flocken.
MAID_HortensiaWear	Prachtkleid
MAID_H_HortensiaWear	Alltagskleidung von Hortensia, der Prinzessin von Elusia. Das Kleid ist\nteilweise von Ivy inspiriert und jede Faser davon strahlt Niedlichkeit aus.
MAID_RosadoWear	Nietenrock
MAID_H_RosadoWear	Alltagskleidung von Rosado, Prinzessin Hortensias Getreuem. Er hat dieses\nErbstück seines Vaters selbst geändert, damit es besonders niedlich wirkt.
MAID_GoldmaryWear	Tadelloses Kleid
MAID_H_GoldmaryWear	Alltagskleidung von Goldmary, Prinzessin Hortensias Getreuer. Sie\nentschuldigt sich bei jeder Gelegenheit für die Tadellosigkeit des Kleides.
MAID_MisutiraWear	Buntes Ensemble
MAID_H_MisutiraWear	Alltagskleidung von Timerra, der Kronprinzessin von Solm. Der Stoff ist\natmungsaktiv und feuerfest. Ideal für lange Abende am Lagerfeuer.
MAID_MerinWear	Wolfsgewand
MAID_H_MerinWear	Alltagskleidung von Merrin, Prinzessin Timerras Getreuer. Auch wenn der\nWolfsschwanz nicht echt ist, kann er bei Aufregung dennoch wedeln.
MAID_PanetoneWear	Gothic-Kleid
MAID_H_PanetoneWear	Alltagskleidung von Panette, Prinzessin Timerras Getreuer. Einmal bekam\nes bei einem Wutanfall einen Riss – sie hat es mit bunten Fäden geflickt.
MAID_FogatoWear	Edles Gewand
MAID_H_FogatoWear	Alltagskleidung von Fogado, dem Prinzen von Solm. Er verwendet den\nÜberwurf gerne, um sein Gesicht und damit seine Identität zu verbergen.
MAID_PandoroWear	Party-Jacke
MAID_H_PandoroWear	Alltagskleidung von Pandreo, Prinz Fogados Getreuem. Er trägt sie oft auf\nPartys zusammen mit einer Stola, um jederzeit beten zu können.
MAID_BonetWear	Kochschürze
MAID_H_BonetWear	Alltagskleidung von Bunet, Prinz Fogados Getreuem. Er trägt sie täglich,\nseit er im Café geholfen hat, daher muss er sie regelmäßig waschen.
MAID_AnnaWear	Strickkleid
MAID_H_AnnaWear	Alltagskleidung von Anna, einer Händlerin der Extraklasse. Ihr dickes\nStrickkleid samt Schal schützt sie auch im Schnee vor der größten Kälte.
MAID_JeanWear	Schülerkittel
MAID_H_JeanWear	Alltagskleidung von Jean, einem angehenden Arzt. In seiner linken Tasche\nbefinden sich Heilkräuter, in der rechten seine medizinischen Notizen.
MAID_YunakaWear	Feiner Cardigan
MAID_H_YunakaWear	Alltagskleidung von Yunaka, einer Diebin. Sie hat sie aus einfachen\nKleidungsstücken, die sie in der Stadt gekauft hat, zusammengestellt.
MAID_SeadasWear	Tänzerrobe
MAID_H_SeadasWear	Alltagskleidung von Seadall, einem Tänzer und Wahrsager. Sie verstärkt\nsein Charisma als Seher, schützt seinen Bauch aber nicht vor Kälte.
MAID_LindenWear	Gelehrtenrobe
MAID_H_LindenWear	Alltagskleidung von Lindon, einem Weisen aus Elusia. Den silbernen\nAnhänger an seinem Hals nimmt er nie ab, damit er ihn stets zur Hand hat.
MAID_SaphirWear	Fischertracht
MAID_H_SaphirWear	Alltagskleidung von Saphir, einer königlichen Ritterin von Brodia. Ihr Rock\nist wasserdicht, die Handschuhe legt sie vor dem Säubern der Fische ab.
MAID_VeyreWear	Spitzenkleid
MAID_H_VeyreWear	Alltagskleidung von Veyle, der Tochter des Dämonendrachen. Da sie nicht\nviel Wert auf Mode legt, wurde ihr Kleid von Freunden ausgewählt.
MAID_MauveWear	Kragengewand
MAID_H_MauveWear	Alltagskleidung von Mauvier, einem ehemaligen Mitglied der Vier\nBluthunde. Es stammt aus Firene und ist immer noch sehr gut in Schuss.
MAID_FileneFormal1	Himmelslinie
MAID_H_FileneFormal1	Kleidung des Firener Adels. Gefärbt in einem strahlenden Blau,\ndas eine reiche Ernte symbolisieren soll. (2 Versionen)
MAID_FileneFormal1M	Himmelsweste
MAID_H_FileneFormal1M	Kleidung des Firener Adels. Diese Weste greift das strahlende Blau des\nHimmels auf, der über eine reiche Ernte wacht.
MAID_FileneFormal1F	Himmelskleid
MAID_H_FileneFormal1F	Kleidung des Firener Adels. Dieses leichte Kleid aus robustem Stoff ist\nblau gefärbt wie der Himmel, der über eine reiche Ernte wacht.
MAID_FileneFormal2	Morgentaulinie
MAID_H_FileneFormal2	Kleidung des Firener Adels. Die feinen Farbabstufungen werden mithilfe\ntraditioneller firenischer Färbetechniken erzielt. (2 Versionen)
MAID_FileneFormal2M	Morgentauweste
MAID_H_FileneFormal2M	Kleidung des Firener Adels. Die feinen Farbabstufungen werden mithilfe\ntraditioneller firenischer Färbetechniken erzielt. Die Blume ist stets frisch.
MAID_FileneFormal2F	Morgentaukleid
MAID_H_FileneFormal2F	Kleidung des Firener Adels. Die feinen Farbabstufungen werden mithilfe\ntraditioneller firenischer Färbetechniken erzielt. Für festliche Anlässe.
MAID_FileneFormal3	Meereslinie
MAID_FileneFormal3M	Meeresweste
MAID_H_FileneFormal3M	Kleidung, die Firene als Zeichen der Freundschaft sandte. Das Muster\nsteht für ein Friedensgebet. Wird gerne beim Gästeempfang getragen.
MAID_FileneFormal3F	Meereskleid
MAID_H_FileneFormal3F	Kleidung, die Firene als Zeichen der Freundschaft sandte. Das Muster\nsteht für ein Friedensgebet, die Schärpe für unzerstörbare Bande.
MAID_FileneCasual1	Azurlinie
MAID_H_FileneCasual1	Kleidung der Bürger von Firene. Oftmals das erste Werkstück firenischer\nKinder, wenn sie das Nähen erlernen. (2 Versionen)
MAID_FileneCasual1M	Azurweste
MAID_H_FileneCasual1M	Kleidung der Bürger von Firene. Oftmals das erste Werkstück firenischer\nSchneiderlehrlinge. Die Weste ist am schwierigsten anzufertigen.
MAID_FileneCasual1F	Azurschürze
MAID_H_FileneCasual1F	Kleidung der Bürger von Firene. Oftmals das erste Werkstück firenischer\nSchneiderlehrlinge. Kinder lieben es, die Verzierungen anzubringen.
MAID_FileneCasual2	Karolinie
MAID_H_FileneCasual2	Kleidung der Bürger von Firene. Es heißt, das Karomuster hebe\ndie Persönlichkeit eines jeden Bewohners hervor. (2 Versionen)
MAID_FileneCasual2M	Karoweste
MAID_H_FileneCasual2M	Kleidung der Bürger von Firene. Für den Alltag gedacht. Das Karomuster\nsoll die Persönlichkeit eines jeden Bewohners hervorheben.
MAID_FileneCasual2F	Karoschürze
MAID_H_FileneCasual2F	Kleidung der Bürger von Firene. Ein Karomuster ziert die Schürze, die\nauch als Taschentuch verwendet werden kann.
MAID_FileneCasual3	Blumenlinie
MAID_FileneCasual3M	Blumenweste
MAID_H_FileneCasual3M	Kleidung, die Firene als Zeichen der Freundschaft sandte. Die Stickereien\nsymbolisieren die Liebe.
MAID_FileneCasual3F	Blumenschürze
MAID_H_FileneCasual3F	Kleidung, die Firene als Zeichen der Freundschaft sandte. Die Stickereien\nsymbolisieren die Liebe.
MAID_BrodiaFormal1	Karmesinlinie
MAID_H_BrodiaFormal1	Kleidung des brodianischen Adels. Der Stoff ist mit Goldfäden\naus den reichhaltigen Minen von Brodia bestickt. (2 Versionen)
MAID_BrodiaFormal1M	Karmesinjacke
MAID_H_BrodiaFormal1M	Kleidung des brodianischen Adels. Mit flauschigem Kunstfellkragen und\nmit Goldfäden bestickt. Der kurze Schnitt dient der Bewegungsfreiheit.
MAID_BrodiaFormal1F	Karmesinrobe
MAID_H_BrodiaFormal1F	Kleidung des brodianischen Adels. Mit flauschigem Kunstfellkragen und\nmit Goldfäden bestickt. Der schwarze Saum ist fleckenabweisend.
MAID_BrodiaFormal2	Schwarze Linie
MAID_H_BrodiaFormal2	Kleidung des brodianischen Adels, getragen als Darstellung der Macht.\nDie brodianische Blume symbolisiert Tapferkeit. (2 Versionen)
MAID_BrodiaFormal2M	Schwarze Jacke
MAID_H_BrodiaFormal2M	Kleidung des brodianischen Adels. Der Stoff ist dick und hält warm.\nDie brodianische Blume symbolisiert Tapferkeit.
MAID_BrodiaFormal2F	Schwarze Robe
MAID_H_BrodiaFormal2F	Kleidung des brodianischen Adels. Die brodianische Blume symbolisiert\nTapferkeit. Der Rock ist ziemlich schwer.
MAID_BrodiaFormal3	Silberweißlinie
MAID_BrodiaFormal3M	Silberweißjacke
MAID_H_BrodiaFormal3M	Kleidung, die Brodia als Zeichen der Freundschaft sandte. Das weiße\nKunstleder steht für Hoffnung. Das Muster ist das Wappen des Schneiders.
MAID_BrodiaFormal3F	Silberweißrobe
MAID_H_BrodiaFormal3F	Kleidung, die Brodia als Zeichen der Freundschaft sandte. Weißes Kunst-\nleder steht für Hoffnung und ist beliebt für Hochzeitskleidung.
MAID_BrodiaCasual1	Höhlenlinie
MAID_H_BrodiaCasual1	Kleidung der Bürger von Brodia. Praktisch, leicht waschbar\nund die Farben verbergen so manchen Fleck. (2 Versionen)
MAID_BrodiaCasual1M	Höhlenstola
MAID_H_BrodiaCasual1M	Kleidung der Bürger von Brodia. Praktisch, leicht waschbar und die\nFarben verbergen so manchen Fleck. Der Flausch ist abnehmbar.
MAID_BrodiaCasual1F	Höhlenrock
MAID_H_BrodiaCasual1F	Kleidung der Bürger von Brodia. Praktisch, leicht waschbar und die\nFarben verbergen so manchen Fleck. Die Schnalle ist aus falschem Horn.
MAID_BrodiaCasual2	Wildnislinie
MAID_H_BrodiaCasual2	Kleidung der Bürger von Brodia. Die Gestaltung ist traditionell und die\ndarin verarbeitete Alpakawolle hält äußerst warm. (2 Versionen)
MAID_BrodiaCasual2M	Wildnisstola
MAID_H_BrodiaCasual2M	Kleidung der Bürger von Brodia. Die darin verarbeitete Alpakawolle hält\näußerst warm. Gerne getragen von den Nomaden in Brodia.
MAID_BrodiaCasual2F	Wildnisrock
MAID_H_BrodiaCasual2F	Kleidung der Bürger von Brodia. Die darin verarbeitete Alpakawolle hält\näußerst warm. Die Schuhe bieten festen Halt auf rutschigen Klippen.
MAID_BrodiaCasual3	Felsenlinie
MAID_BrodiaCasual3M	Felsenstola
MAID_H_BrodiaCasual3M	Kleidung, die Brodia als Zeichen der Freundschaft sandte. Das robuste\nMaterial ist Bärenfell nachempfunden und sehr bequem.
MAID_BrodiaCasual3F	Felsenrock
MAID_H_BrodiaCasual3F	Kleidung, die Brodia als Zeichen der Freundschaft sandte. Das robuste\nMaterial ist bequem und schön. Das Muster soll das Böse vertreiben.
MAID_SolumFormal1	Mittagslinie
MAID_H_SolumFormal1	Kleidung des solmer Adels. Dünne und atmungsaktive Materialien\ngarantieren bei Hitze ein frisches Tragegefühl. (2 Versionen)
MAID_SolumFormal1M	Mittagsweste
MAID_H_SolumFormal1M	Kleidung des solmer Adels. Das atmungsaktive Material garantiert auch bei\nHitze ein frisches Gefühl. Die richtige Länge für Spaziergänge im Sand.
MAID_SolumFormal1F	Mittagskleid
MAID_H_SolumFormal1F	Kleidung des solmer Adels. Das atmungsaktive Material garantiert auch bei\nHitze ein frisches Gefühl. Die dazugehörige Robe wehrt die Sonne ab.
MAID_SolumFormal2	Morgenlinie
MAID_H_SolumFormal2	Kleidung des solmer Adels. Wird gerne auf Feiern getragen. Es heißt,\nlebhafte Kleidung weise den Weg ins Paradies. (2 Versionen)
MAID_SolumFormal2M	Morgenweste
MAID_H_SolumFormal2M	Kleidung des solmer Adels. Es heißt, lebhafte Kleidung weise den Weg ins\nParadies. Beliebt für Spaziergänge in der Wüste bei Sonnenaufgang.
MAID_SolumFormal2F	Morgenkleid
MAID_H_SolumFormal2F	Kleidung des solmer Adels. Es heißt, lebhafte Kleidung weise den Weg ins\nParadies. Macht auch beim Tanzen auf Partys eine gute Figur.
MAID_SolumFormal3	Sonnenlinie
MAID_SolumFormal3M	Sonnenweste
MAID_H_SolumFormal3M	Kleidung, die Solm als Zeichen der Freundschaft sandte. Der Legende zu-\nfolge schenkt sie ihrem Träger ewigen Reichtum. Auch auswärts beliebt.
MAID_SolumFormal3F	Sonnenkleid
MAID_H_SolumFormal3F	Kleidung, die Solm als Zeichen der Freundschaft sandte. Ist dem Kleid\neiner legendären Prinzessin nachempfunden und soll Reichtum bescheren.
MAID_SolumCasual1	Abendlinie
MAID_H_SolumCasual1	Kleidung der Bürger von Solm. Ein großes Stück Stoff wird traditionell\num den Körper des Trägers gewickelt. (2 Versionen)
MAID_SolumCasual1M	Abendstola
MAID_H_SolumCasual1M	Kleidung der Bürger von Solm. In Solm ist es ein beliebter Zeitvertreib, mit\nFreunden einkaufen zu gehen und gute Stoffe zu guten Preisen zu suchen.
MAID_SolumCasual1F	Abendschärpe
MAID_H_SolumCasual1F	Kleidung der Bürger von Solm. Ein großes Stück Stoff wird um den Körper\ngewickelt. Manche tragen zu besonderen Anlässen ihre Lieblingsfarben.
MAID_SolumCasual2	Sandlinie
MAID_H_SolumCasual2	Kleidung der Bürger von Solm. Stoffe mit solmer Motiven, ergänzt durch\nhochwertige Schuhe, die die Füße auf Sand kühl halten. (2 Versionen)
MAID_SolumCasual2M	Sandstola
MAID_H_SolumCasual2M	Kleidung der Bürger von Solm. Stoffe mit solmer Motiven, ergänzt durch\nhochwertige Schuhe, die die Füße auf Sand kühl halten.
MAID_SolumCasual2F	Sandschärpe
MAID_H_SolumCasual2F	Kleidung der Bürger von Solm. Stoffe mit solmer Motiven, ergänzt durch\nhochwertige Schuhe, die sich für lange Wüstenspaziergänge eignen.
MAID_SolumCasual3	Dünenlinie
MAID_SolumCasual3M	Dünenstola
MAID_H_SolumCasual3M	Kleidung, die Solm als Zeichen der Freundschaft sandte. Die Dünen stehen\nfür Ewigkeit, die dunkle Farbe für Verbundenheit. Ein gutes Partygewand.
MAID_SolumCasual3F	Dünenschärpe
MAID_H_SolumCasual3F	Kleidung, die Solm als Zeichen enger Freundschaft sandte. Die Dünen\nstehen für Ewigkeit, die dunkle Farbe für Verbundenheit.
MAID_IrcionFormal1	Smaragdlinie
MAID_H_IrcionFormal1	Kleidung des elusianischen Adels. Hochwertiger Stoff mit dicker Fütterung\nzur Abwehr von Wind und Schnee. (2 Versionen)
MAID_IrcionFormal1M	Smaragdmantel
MAID_H_IrcionFormal1M	Kleidung des elusianischen Adels. Hochwertiger Stoff mit dicker Fütterung\ngegen die Kälte. Der Mantel ist sehr warm, die innere Schicht eher leicht.
MAID_IrcionFormal1F	Smaragdrobe
MAID_H_IrcionFormal1F	Kleidung des elusianischen Adels. Hochwertiger Stoff mit dicker Fütterung\ngegen die Kälte. Die dekorativen Spitzen sind oftmals handgefertigt.
MAID_IrcionFormal2	Wolllinie
MAID_H_IrcionFormal2	Kleidung des elusianischen Adels. Die traditionelle Stricktechnik für\ndie vielen Schichten nimmt viele Monate in Anspruch. (2 Versionen)
MAID_IrcionFormal2M	Wollmantel
MAID_H_IrcionFormal2M	Kleidung des elusianischen Adels. Mehrere gestrickte Schichten machen\ndas Gewebe so dicht, dass es sogar Regen und Schnee abhält.
MAID_IrcionFormal2F	Wollrobe
MAID_H_IrcionFormal2F	Kleidung des elusianischen Adels. Nicht selten nimmt das Stricken eines\nStückes mit vielen wärmenden Schichten mehrere Jahre in Anspruch.
MAID_IrcionFormal3	Sternenlinie
MAID_IrcionFormal3M	Sternenmantel
MAID_H_IrcionFormal3M	Kleidung, die Elusia als Zeichen der Freundschaft sandte. Goldfäden und\nKunstpelz stellen den Sternenhimmel dar. Qualitativ äußerst hochwertig.
MAID_IrcionFormal3F	Sternenrobe
MAID_H_IrcionFormal3F	Kleidung, die Elusia als Zeichen der Freundschaft sandte. Goldfäden und\nKunstpelz stellen den Sternenhimmel dar. Von unvergleichlicher Qualität.
MAID_IrcionCasual1	Immergrünlinie
MAID_H_IrcionCasual1	Kleidung der Bürger von Elusia. Verschiedene Grüntöne dienen zur\nTarnung in den Tiefen der Wälder. (2 Versionen)
MAID_IrcionCasual1M	Immergrünmantel
MAID_H_IrcionCasual1M	Kleidung der Bürger von Elusia. Verschiedene Grüntöne dienen zur\nTarnung in den Tiefen der Wälder. Sehr beliebt bei Holzfällern.
MAID_IrcionCasual1F	Immergrünschal
MAID_H_IrcionCasual1F	Kleidung der Bürger von Elusia. Verschiedene Grüntöne dienen zur Tar-\nnung in den Tiefen der Wälder. Der Schal trägt Elusias ältestes Symbol.
MAID_IrcionCasual2	Farnlinie
MAID_H_IrcionCasual2	Kleidung der Bürger von Elusia. Vierfarbige Stoffe sind zu einem Muster\nverwoben, das Glück bringen soll. (2 Versionen)
MAID_IrcionCasual2M	Farnmantel
MAID_H_IrcionCasual2M	Kleidung der Bürger von Elusia. Vierfarbige Stoffe sind zu einem Muster\nverwoben, das Glück bringen soll. Sehr beliebt im Frühling.
MAID_IrcionCasual2F	Farnschal
MAID_H_IrcionCasual2F	Kleidung der Bürger von Elusia. Vierfarbige Stoffe sind zu einem Muster\nverwoben, das Glück bringen soll. Der Schal ist unerwartet lang.
MAID_IrcionCasual3	Schneelinie
MAID_IrcionCasual3M	Schneemantel
MAID_H_IrcionCasual3M	Kleidung, die Elusia als Zeichen der Freundschaft sandte. Die Gestaltung\nmit ihren Symbolen steht für die magische Kraft und Schönheit Elusias.
MAID_IrcionCasual3F	Schneeschal
MAID_H_IrcionCasual3F	Kleidung, die Elusia als Zeichen der Freundschaft sandte. Das lebhafte\nTürkis stammt von einem verzauberten Färbemittel aus Nadelbaumrinde.
MAID_LithosFormal1	Reinheitslinie
MAID_H_LithosFormal1	Kleidung der Geistlichen von Lythos. Für Alltag und Kirche geeignet. Die\nMusterung ist eine Hommage an \x0E\x0A\x008\x18den Wyrmgott\x1Cdie Wyrmgöttin. (2 Versionen)
MAID_LithosFormal1M	Reinheitsgewand
MAID_H_LithosFormal1M	Kleidung der Geistlichen von Lythos. Für Alltag und Kirche geeignet. Mus-\nterung und die Goldstickereien sind eine Hommage an \x0E\x0A\x008\x18den Wyrmgott\x1Cdie Wyrmgöttin.
MAID_LithosFormal1F	Reinheitskleid
MAID_H_LithosFormal1F	Kleidung der Geistlichen von Lythos. Für Alltag und Kirche geeignet.\nDie Musterung ist eine Hommage an \x0E\x0A\x008\x18den Wyrmgott\x1Cdie Wyrmgöttin.
MAID_LithosFormal2	Raureiflinie
MAID_H_LithosFormal2	Kleidung der Geistlichen von Lythos. Die Technik, durch die Stoffe Licht\nreflektieren und glänzen, findet man nur in Lythos. (2 Versionen)
MAID_LithosFormal2M	Raureifgewand
MAID_H_LithosFormal2M	Kleidung der Geistlichen von Lythos. Die Technik zur Herstellung Licht re-\nflektierender Stoffe findet man nur in Lythos. Der Stoff ist dennoch weich.
MAID_LithosFormal2F	Raureifkleid
MAID_H_LithosFormal2F	Kleidung der Geistlichen von Lythos. Die Technik zur Herstellung Licht re-\nflektierender Stoffe findet man nur in Lythos. Nur für besondere Anlässe.
MAID_LithosFormal3	Wasserlinie
MAID_H_LithosFormal3	Kleidung der Geistlichen von Lythos. Der Stoff soll die Macht \x0E\x0A\x00\x10\x06des\x06der\n\x0E\x0A\x00,\x14Wyrmgottes\x14Wyrmgöttin verkörpern, das Muster steht für Harmonie. (2 Versionen)
MAID_LithosFormal3M	Wassergewand
MAID_H_LithosFormal3M	Kleidung der Geistlichen von Lythos. Der Stoff soll die Macht \x0E\x0A\x00\x10\x06des\x06der\n\x0E\x0A\x00,\x14Wyrmgottes\x14Wyrmgöttin verkörpern, das Muster steht für Respekt vor den Emblemen.
MAID_LithosFormal3F	Wasserkleid
MAID_H_LithosFormal3F	Kleidung der Geistlichen von Lythos. Der Stoff soll die Macht \x0E\x0A\x00\x10\x06des\x06der \x0E\x0A\x00,\x14Wyrmgottes\x14Wyrmgöttin\nverkörpern, das Muster ist eine Hommage an die Opfer des Krieges.
MAID_Swimwear1	Schlichte Linie
MAID_H_Swimwear1	Einfache Badebekleidung. Ideal zum Schwimmen, Trainieren und Sonnen-\nbaden. In ihr macht man stets eine gute Figur. (2 Versionen)
MAID_Swimwear1M	Badehose
MAID_H_Swimwear1M	Einfache Badebekleidung zum Schwimmen, Trainieren und Sonnenbaden.\nMit einer Halskette, die ihrem Träger das gewisse Etwas verleiht.
MAID_Swimwear1F	Pareo
MAID_H_Swimwear1F	Einfache Badebekleidung zum Schwimmen, Trainieren und Sonnenbaden.\nDas Hüfttuch wird in den unterschiedlichsten Farben getragen.
MAID_Swimwear2	Bequeme Linie
MAID_H_Swimwear2	Eher bedeckende Badebekleidung. Ideal für Leute, denen Funktion und\nBequemlichkeit am wichtigsten sind. (2 Versionen)
MAID_Swimwear2M	Hemd & Hose
MAID_H_Swimwear2M	Einfache Badebekleidung zum Schwimmen, Trainieren und Sonnenbaden.\nDas dazugehörige Oberteil ist bequem und trocknet schnell.
MAID_Swimwear2F	Einteiler
MAID_H_Swimwear2F	Einfache Badebekleidung. Bequem und funktional, beim Sonnenbaden\nkann es jedoch zu Bräunungsstreifen auf der Haut kommen.
MAID_Swimwear3	Jugendlinie
MAID_H_Swimwear3	Bunte Badebekleidung für junge Leute, die gerne auffallen und Eindruck\nmachen möchten. (2 Versionen)
MAID_Swimwear3M	Blumenhose
MAID_H_Swimwear3M	Lebhafte Badebekleidung für junge Leute. Frische tropische Blumen zieren\nden Kranz und scheinen niemals zu welken.
MAID_Swimwear3F	Schleifenrock
MAID_H_Swimwear3F	Lebhafte Badebekleidung für junge Leute. Die hübsche Schleife auf der\nVorderseite ist überraschend gut befestigt.
MAID_Exercisewear	Trainingsanzug
MAID_H_Exercisewear	Für das Training konzipierte Kleidung aus der Boutique mit einzigartigem\nStil. Das Material ist strapazierfähig und wasserabweisend.
MAID_NormalGlasses	Standardbrille
MAID_H_NormalGlasses	Die Brille ist anpassungsfähig und wurde von den Glasermeistern von\nElusia entwickelt. Die polierten Linsen sind klar wie reines Eis.
MAID_LowerEdgeGlasses	Eckige Brille
MAID_H_LowerEdgeGlasses	Die Fassung der Brille ist so gestaltet, dass die Sicht nach oben nicht\nbeeinträchtigt wird. Beliebt bei allen, die ihre Augen präsentieren wollen.
MAID_BigSunglasses	Sonnenbrille
MAID_H_BigSunglasses	Diese große Sonnenbrille bedeckt beide Augen vollständig und schützt so\nsicher vor der Sonnenstrahlung und davor, gleich erkannt zu werden.
MAID_BlackTabbyGlasses	Hornbrille
MAID_H_BlackTabbyGlasses	Eine Brille mit dicker Fassung, die aufgrund ihres Gewichts nicht für\nstundenlanges Tragen geeignet ist. Dafür macht sie aber optisch viel her.
MAID_ColoredSunglasses	Getönte Brille
MAID_H_ColoredSunglasses	Hübsche Brille mit brauner Tönung. Sie ist beliebt bei modebewussten\nLeuten, die auch gerne ein wenig Sonnenschutz möchten.
MAID_SkullMask	Totenkopfmaske
MAID_H_SkullMask	Eine einzigartige Maske mit einem Totenkopfmotiv. Sie wird bei einem\nFest in Solm getragen und von ihren Besitzern individuell gestaltet.
MAID_FancyDressMask	Ballmaske
MAID_H_FancyDressMask	Diese Maske wird auf Maskenbällen in Firene getragen, auf denen sich\nLeute aus allen Teilen der Gesellschaft unerkannt versammeln.
MAID_Eyepatch	Augenklappe
MAID_H_Eyepatch	Mit diesem Accessoire lässt sich ein Auge bedecken. Es soll aus Brodia\nstammen, wo Soldaten damit ursprünglich Wunden verbergen wollten.
MAID_Mascot_SilkHat	Schicker Hut
MAID_H_Mascot_SilkHat	Dieser Hut versprüht ein würdevolles Flair und ist das perfekte Acces-\nsoire für wachsame Schutzwesen. Verbessert sogar die Körperhaltung.
MAID_Mascot_Sunglasses	Schrille Brille
MAID_H_Mascot_Sunglasses	Ein absolutes Muss unter den Accessoires, um in der Hitze eine gute\nFigur zu machen. Für Schutzwesen, die gleichzeitig erhaben und süß sind.
MAID_Mascot_Flower	Blumenkrone
MAID_H_Mascot_Flower	Eine Blumenkrone aus der Blumenwiese, in der \x0E\x06\x05\x00 gerne\nein Nickerchen hält. Ein äußerst duftendes und beruhigendes Teil.
MAID_Mascot_Wig	Partnermähne
