MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04ボネ\x021\n\x0E\x03\x02\x06\x04ボネ\nGut, gut, wie du so schön austreibst. Eines\nTages wirst du ganz köstlich schmecken.\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x08\x06モーヴ\nTäglich leiden mehr Leute. Ich lasse sie im\nStich, wenn ich mir eine Freude gönne, und\nsei sie noch so klein.\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x06\x04ボネ\nSag so was nicht.\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x08\x06モーヴ\nEs tut mir leid. Es mag einige Zeit dauern, bis\nich diesen Garten erneut aufsuche. Falls ich es\nüberhaupt jemals wieder tue.\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04ボネ\x021\n\x0E\x03\x00\x0C\x06モーヴ\x022\n\x0E\x03\x02\x08\x06モーヴ\n...\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x06\x04ボネ\nMauvier. Ich habe ein paar Geschenke für dich.\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x08\x06モーヴ\nIst das Gemüse aus deinem Garten?\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x06\x04ボネ\nJa. Überaus appetitlich, nicht wahr? Sie sind\nalle für dich.\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x08\x06モーヴ\nBunet. Ich habe dir gesagt, dass ich mich nicht\nverwöhnen will. Nicht, solange andere noch\nleiden.\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x06\x04ボネ\nDas ist aber schade. Dann wird das gute\nGemüse wohl verfaulen müssen.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x08\x06モーヴ\n...\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x06\x04ボネ\nWirklich eine Schande. Und das, nachdem ich\nso hart gearbeitet habe, um es anzubauen.\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x08\x06モーヴ\n...\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x08\x06モーヴ\nWarum kümmerst du dich so um mich?\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x06\x04ボネ\nHm. Vielleicht, weil du mich an die Pflanzen in\nmeinem Garten erinnerst. Ich möchte dir helfen\nzu wachsen.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x06\x04ボネ\nDie saftige, duftende Güte im Inneren muss\ngehegt und gepflegt werden, damit sie nicht\nverwelkt.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x08\x06モーヴ\nHahaha... Du versuchst, mir mein Schicksal\nerträglicher zu machen.\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x08\x06モーヴ\nDenkst du wirklich, dass ich wachsen kann?\nDass ich nicht einfach verrotten werde?\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x06\x04ボネ\nHm. Das kann ich nicht für dich beantworten.\nDiese Entscheidung musst du schon selbst\ntreffen.\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x06\x04ボネ\nUnd in der Zwischenzeit solltest du wirklich\ndein Gemüse essen.\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x08\x06モーヴ\nJa. Sicher doch.\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x06\x04ボネ\nDu kannst es grillen, wenn du magst. Aber\nvollends zur Geltung kommt es, wenn du es\nmich für dich kochen lässt.\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x08\x06モーヴ\nDanke, Bunet.\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x08\x06モーヴ\nIch werde weiterhin einen Weg suchen, um\nwachsen zu können und nicht zu verrotten.\nFür dich.\x0E\x04\x00\x00
