MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nスタルーク\x021\n\x0E\x03\x00\x12\x0Cオルテンシア\x022\n\x0E\x03\x02\x0C\nスタルーク\nVerzeiht, Prinzessin Hortensia?\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x0E\x0Cオルテンシア\nHey, was sollen denn die Tränen?!\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0E\x0Cオルテンシア\nHm. Ihr seid eigentlich recht niedlich, wenn\nIhr emotional werdet. Wie dem auch sei.\nSollen wir anfangen?\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0C\nスタルーク\nN-nein, kommt nicht näher. Bitte, seht mich\nnicht an.\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x0E\x0Cオルテンシア\nHm?\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x0E\x0Cオルテンシア\nWas ist denn diesmal los?\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x0E\x0Cオルテンシア\nWollt Ihr nach alldem wirklich meine Hilfe\nausschlagen?!\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x0C\nスタルーク\nIhr habt mich einen Freund genannt. Ihr habt\nzugestimmt, mir zu helfen.\x0E\x04\x00\x00
MID_RELIANCE_B_#021	\x0E\x03\x02\x0C\nスタルーク\nPrinzessin Hortensia... Ihr seid, ohne den\ngeringsten Zweifel, eine wunderbare Person.\x0E\x04\x00\x00
MID_RELIANCE_B_#022	\x0E\x03\x02\x0C\nスタルーク\nAber je wundervoller Ihr seid, desto tiefer\nversinke ich in Verzweiflung.\x0E\x04\x00\x00
MID_RELIANCE_B_#023	\x0E\x03\x02\x0E\x0Cオルテンシア\nWie?\x0E\x04\x00\x00
MID_RELIANCE_B_#024	\x0E\x03\x02\x0C\nスタルーク\nEuer Herz strahlt so hell! Es verhüllt mein\nHerz, wie es ist – von Maden zerfressen.\x0E\x04\x00\x00
MID_RELIANCE_B_#025	\x0E\x03\x02\x0C\nスタルーク\nAlso bitte, kommt nicht näher! Verschont mich!\nEs tut mir sooo leiiid!\x0E\x04\x00\x00
MID_RELIANCE_B_#026	\x0E\x03\x01\x0C\nスタルーク\n\x0E\x03\x02\x0E\x0Cオルテンシア\nDieser Junge hat Selbsterniedrigung zu einer\nKunstform gebracht.\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nスタルーク\x021\n\x0E\x03\x00\x12\x0Cオルテンシア\x022\n\x0E\x03\x02\x0E\x0Cオルテンシア\nPrinz Alcryst.\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x0C\nスタルーク\nPrinzessin Hortensia!\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0E\x0Cオルテンシア\nHey, bevor Ihr die Flucht ergreift, solltet Ihr\nwissen, dass ich mich dazu entschlossen habe,\nden Versuch, Euch zu helfen, aufzugeben.\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x0E\x0Cオルテンシア\nIch glaube nicht, dass ich Euch irgendwie ganz\nplötzlich mehr Selbstvertrauen geben kann.\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0C\nスタルーク\nDas erscheint mir die richtige Entscheidung.\nIch weiß, dass ich zuerst auf Euch zukam,\num Hilfe zu erbitten.\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0E\x0Cオルテンシア\nJa, und das war schon ziemlich rüde.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0C\nスタルーク\nIhr habt recht. Ich muss mich erneut\nentschuldigen.\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0C\nスタルーク\nUm es wiedergutzumachen, könnt Ihr mich\nab sofort ignorieren.\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x0E\x0Cオルテンシア\nNee. Da mache ich nicht mit.\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0C\nスタルーク\nHuch?\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0E\x0Cオルテンシア\nIhr seid ein zitternder Haufen Pessimismus. Und\ndas wird sich wohl nicht ändern.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0E\x0Cオルテンシア\nEgal, ich akzeptiere Euch so, wie Ihr seid.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0C\nスタルーク\nWa--\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0E\x0Cオルテンシア\nIch glaube, ich verstehe, warum Ihr auf der\nSuche nach Hilfe zu mir gekommen seid.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0E\x0Cオルテンシア\nIhr dachtet, mit mehr Selbstvertrauen könntet\nIhr anderen näherkommen, habe ich recht?\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0C\nスタルーク\nNun... Ja.\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x0C\nスタルーク\nIch dachte, wenn ich mehr Selbstvertrauen\nhätte, würde das auch zu mehr bedeutsamen\nFreundschaften führen.\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x0E\x0Cオルテンシア\nNetter Gedanke. Aber dafür müsst Ihr Euch\nnicht neu erfinden.\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x0E\x0Cオルテンシア\nSicher, Ihr seid irgendwie deprimierend.\nNa und? Ihr habt auch viele großartige\nEigenschaften.\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0E\x0Cオルテンシア\nDarum sind wir Freunde. Ihr müsst überhaupt\nnichts ändern.\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x0C\nスタルーク\nEhrlich? Ich danke Euch, Prinzessin Hortensia.\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x0E\x0Cオルテンシア\nPff. Ich war nur ehrlich.\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x0C\nスタルーク\nIhr seid ehrlich, aber auch sehr freundlich.\nIch kann immer noch das Licht Eures\nstrahlenden Herzens spüren, und doch...\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x0C\nスタルーク\nKann ich dieses Mal an Eurer Seite verweilen.\nVielleicht, weil ich Euch nun besser verstehe.\x0E\x04\x00\x00
MID_RELIANCE_A_#025	\x0E\x03\x02\x0E\x0Cオルテンシア\nHey, sieh mal einer an! Ihr habt mir in die\nAugen gesehen!\x0E\x04\x00\x00
MID_RELIANCE_A_#026	\x0E\x03\x02\x0C\nスタルーク\nDas habe ich. Ich wollte mein bisheriges\nVerhalten wiedergutmachen. Ich schäme mich,\ndass ich so vor Euch geflüchtet bin.\x0E\x04\x00\x00
MID_RELIANCE_A_#027	\x0E\x03\x02\x0E\x0Cオルテンシア\nIhr, äh, kommt mir gerade ziemlich nahe.\x0E\x04\x00\x00
MID_RELIANCE_A_#028	\x0E\x03\x02\x0E\x0Cオルテンシア\nHey, Ihr seid ein Prinz. Es ziemt sich für Euch\nnicht... mich so anzusehen...\x0E\x04\x00\x00
MID_RELIANCE_A_#029	\x0E\x03\x02\x0E\x0Cオルテンシア\nAaaaah! Das ist doch MEINE Aufgabe.\x0E\x04\x00\x00
MID_RELIANCE_A_#030	\x0E\x03\x01\x0E\x0Cオルテンシア\n\x0E\x03\x02\x0C\nスタルーク\nPrinzessin Hortensia?\x0E\x04\x00\x00
MID_RELIANCE_A_#031	\x0E\x03\x02\x0C\nスタルーク\nHahaha! Nun weiß ich, wie es sich anfühlt,\nmit mir zu reden.\x0E\x04\x00\x00
