MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cゴルドマリー\x021\n\x0E\x03\x02\x0E\x0Cゴルドマリー\n♪ Dum-di-dum di ♪ Was für ein schöner Tag\nfürs Wäschewaschen.\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x00\x0C\x06ユナカ\x022\n\x0E\x03\x02\x08\x06ユナカ\nDa bist du ja, Goldmary. Hör mal, ich... wollte\nmich bei dir entschuldigen wegen neulich.\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0E\x0Cゴルドマリー\nEntschuldigen? Wieso?\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x08\x06ユナカ\nBei dir hat das Wäschewaschen tatsächlich\nspaßig ausgesehen, und ich hätte sogar gerne\nmitgemacht. Ich... konnte nur einfach nicht.\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x0E\x0Cゴルドマリー\nDas verstehe ich nicht. Was meinst du damit?\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x08\x06ユナカ\nIch kann's erklären, aber es ist... ein bisschen\npersönlich.\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0E\x0Cゴルドマリー\nIst schon in Ordnung. Kein Grund, schüchtern\nzu sein.\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x08\x06ユナカ\nNa gut, also... Ich rede nicht gerne darüber, aber\nich hatte eine furchtbare Kindheit.\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x08\x06ユナカ\nMeine Eltern waren zu arm, um mich\ngroßzuziehen, also haben sie mich fortgegeben.\nIch landete bei einem... Fremden.\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x08\x06ユナカ\nSelbst als ich noch jung war, hat er mich alle\nHausarbeiten erledigen lassen.\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x08\x06ユナカ\nDeshalb... muss ich immer an jenen Ort zurück-\ndenken, sobald ich Hausarbeiten erledige. Es\nmacht mir Angst.\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0E\x0Cゴルドマリー\nIch hatte ja keine Ahnung.\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x08\x06ユナカ\nDieser Tage erledige ich so Sachen wie die\nWäsche oder den Abwasch immer ganz allein.\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x08\x06ユナカ\nDadurch falle ich niemandem zur Last, wenn ich\ndabei die Kontrolle über meine Gefühle verliere.\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0E\x0Cゴルドマリー\nIch verstehe.\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x08\x06ユナカ\nAber ich bin jetzt nicht hier, um Ausflüchte\nzu machen. Ich bin entschlossen, meine Ver-\ngangenheit hinter mir zu lassen.\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x08\x06ユナカ\nIch will eine ganz neue Person sein. Also, um\neinen neuen Anfang zu machen...\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x08\x06ユナカ\nErledigen wir gemeinsam die Hausarbeit!\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x0E\x0Cゴルドマリー\nIch bewundere deinen Mut, Yunaka. Wenn das\nso ist, dann lass uns doch gemeinsam den\nAbwasch machen.\x0E\x04\x00\x00
MID_RELIANCE_B_#021	\x0E\x03\x02\x08\x06ユナカ\nGeht klar, Goldmary!\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cゴルドマリー\x021\n\x0E\x03\x00\x0C\x06ユナカ\x022\n\x0E\x03\x02\x08\x06ユナカ\nHey, Goldmary. Es tut mir leid, dass ich dir\nneulich den Spaß verdorben habe.\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x08\x06ユナカ\nSelbst der Gedanke an Hausarbeiten lässt mich\nso schnell die Beherrschung verlieren.\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0E\x0Cゴルドマリー\nMach dir nur keine Sorgen deswegen.\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x0E\x0Cゴルドマリー\nZufällig habe ich seitdem darüber nachgedacht.\nUnd mir ist da womöglich eine tolle Idee\ngekommen.\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0E\x0Cゴルドマリー\nIch habe gehört, dass du sehr begabt bist, wenn\nes darum geht, andere nachzuahmen. Ist das\nwahr?\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x08\x06ユナカ\nKlar. Ich meine, schlecht bin ich zumindest nicht\ndarin.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0E\x0Cゴルドマリー\nWillst du nicht einmal versuchen, mich zu\nimitieren?\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x08\x06ユナカ\nWas? Wieso?\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x0E\x0Cゴルドマリー\nTu mir den Gefallen. Zeig mir, wie ich mich\nneulich beim Wäschewaschen verhalten habe.\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x08\x06ユナカ\nNa gut, wenn du darauf bestehst. Ich glaube, es\nwar in etwa so...\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x08\x06ユナカ\n„♪Hmm-hmm...♪ Was für ein schöner Tag fürs\nWäschewaschen.“\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x08\x06ユナカ\n„Waschen, ausspülen, trocknen, stärken, falten...\nJeder Schritt voller Präzision und Anmut.“\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0E\x0Cゴルドマリー\nWunderbar. Mach weiter so und folge mir.\nWir waschen die Wäsche als zwei Goldmarys!\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x08\x06ユナカ\nKlingt komisch. Aber versuchen wir's mal!\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0E\x0Cゴルドマリー\nUnd, wie hast du dich gefühlt? Verspürtest\ndu wieder die bekannte Angst?\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x08\x06ユナカ\nErstaunlicherweise nicht! Nicht mal ein\nbisschen.\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x08\x06ユナカ\nIch war so konzentriert darauf, du zu sein, dass\nich meine Vergangenheit ganz vergessen habe!\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x0E\x0Cゴルドマリー\nPerfekt. Genau so hatte ich es geplant.\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x0E\x0Cゴルドマリー\nVon jetzt an kannst du einfach immer so tun, als\nwärst du ich, wenn du Hausarbeiten erledigen\nmusst.\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0E\x0Cゴルドマリー\nSobald du dir das zur Gewohnheit gemacht\nhast, werden dir die Hausarbeiten bestimmt\nkeine Sorgen mehr bereiten.\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x0E\x0Cゴルドマリー\nEs gibt keine schnelle Linderung für eine Wunde\nwie die deine, also wage einen Schritt nach dem\nanderen. Dann wird sie heilen.\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x08\x06ユナカ\nDas war es also, was du vorhattest.\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x08\x06ユナカ\nEine großartige Idee, Goldmary! Du bist ein\nGenie!\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x08\x06ユナカ\nIch hab ja gesagt, ich möchte eine neue Person\nwerden, und nun weiß ich, wer ich werden\nkann... Du!\x0E\x04\x00\x00
MID_RELIANCE_A_#025	\x0E\x03\x02\x0E\x0Cゴルドマリー\nEs gibt gewiss schlimmere Ziele als dieses.\nIch fühle mich geehrt.\x0E\x04\x00\x00
MID_RELIANCE_A_#026	\x0E\x03\x02\x0E\x0Cゴルドマリー\nEs tut mir leid, falls meine Perfektion zu viel\nfür dich sein sollte. Aber es ist natürlich gut,\nsich ein so hohes Ziel zu setzen.\x0E\x04\x00\x00
MID_RELIANCE_A_#027	\x0E\x03\x02\x08\x06ユナカ\nOooh, das ist gut. Du bist gut. Ich sollte\nanfangen, mir Notizen zu machen.\x0E\x04\x00\x00
MID_RELIANCE_A_#028	\x0E\x03\x02\x08\x06ユナカ\n„Es tut mir leid, falls meine Perfektion zu viel\nfür dich sein sollte.“ Wird schüchtern gesagt als\nReaktion auf Lob.\x0E\x04\x00\x00
MID_RELIANCE_A_#029	\x0E\x03\x02\x0E\x0Cゴルドマリー\nDu lernst mir ein bisschen zu schnell! Du musst\nnicht gleich alles imitieren, was ich sage.\x0E\x04\x00\x00
MID_RELIANCE_A_#030	\x0E\x03\x02\x08\x06ユナカ\nHahaha, ich mach nur Spaß. Aber jetzt habe ich\ndein aus der Fassung gebrachtes Gesicht\nebenfalls in der Tasche!\x0E\x04\x00\x00
MID_RELIANCE_A_#031	\x0E\x03\x02\x08\x06ユナカ\nDanke, dass du mich unter deine Fittiche\nnimmst. Ich weiß, ich kann schwierig sein!\x0E\x04\x00\x00
MID_RELIANCE_A_#032	\x0E\x03\x02\x0E\x0Cゴルドマリー\nMit Vergnügen. Wenn du mich als Lehrerin\nwillst, akzeptiere ich dich gerne als Schülerin.\x0E\x04\x00\x00
