MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cディアマンド\x021\n\x0E\x03\x00\x0C\x06カゲツ\x022\n\x0E\x03\x02\x08\x06カゲツ\nPrinz Diamant! Ich muss sehen, wie talentiert\nIhr seid! Treten wir gegeneinander an!\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0E\x0Cディアマンド\nWir können das doch nicht bei einem Unent-\nschieden belassen, oder?\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0E\x0Cディアマンド\nIch muss dich aber warnen... Unser nächster\nKampf wird ganz anders als heute enden.\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0E\x0Cディアマンド\nIch werde meine Ehre als Kronprinz in die\nWaagschale legen und kämpfen, bis du um\nGnade bettelst.\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x08\x06カゲツ\nDas sind starke Worte von Euch. Ich schwöre\nbei meiner Klinge, dass ich den Sieg davon-\ntragen werde!\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0E\x0Cディアマンド\nDeine Klinge ist wirklich beeindruckend. Ich\nkann sehen, dass du sie sehr oft schärfst.\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x08\x06カゲツ\nUnsere Schwerter spiegeln unsere Seelen wider.\nIch pflege meines jeden einzelnen Tag.\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x08\x06カゲツ\nEures ist auch majestätisch und mächtig.\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x0E\x0Cディアマンド\nAh, ja nun... Die Kultur Brodias stellt Stärke an\ndie erste Stelle, daher stelle ich sicher, dass\nmein Schwert zu einem Symbol dessen wird.\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x0E\x0Cディアマンド\nUnd genau wie du sehe ich in meinem Schwert\nmehr als nur eine einfache Waffe.\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x08\x06カゲツ\nDas ist interessant. Zwischen unseren Kulturen\nliegen Welten und doch vereint uns unsere\nEinstellung zu Waffen.\x0E\x04\x00\x00
MID_RELIANCE_B_#021	\x0E\x03\x02\x0E\x0Cディアマンド\nEs ist unglaublich, wie gut man jemanden\nkennenlernt, wenn man die Schwerter mit ihm\nkreuzt.\x0E\x04\x00\x00
MID_RELIANCE_B_#022	\x0E\x03\x02\x08\x06カゲツ\nWissen jenseits aller Worte. Ich freue mich auf\nunseren nächsten Wettstreit.\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cディアマンド\x021\n\x0E\x03\x00\x0C\x06カゲツ\x022\n\x0E\x03\x02\x0E\x0Cディアマンド\nSchon wieder ein Unentschieden.\nIch kann es nicht fassen.\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x08\x06カゲツ\nIch auch nicht. Ihr seid so viel stärker als letztes\nMal. Dabei war ich mir sicher, dass ich Euch\nheute schlagen würde.\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0E\x0Cディアマンド\nSo war es bei mir auch. Du hast seit unserem\nletzten Kampf richtig hart gearbeitet, habe ich\nrecht ?\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x08\x06カゲツ\nEin starker Gegner ist eine starke Motivation,\num selbst zu wachsen. Ich danke Euch, Prinz\nDiamant.\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0E\x0Cディアマンド\nIst das der Grund, warum du mich überhaupt\nherausgefordert hast? Um stärker zu werden?\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x08\x06カゲツ\nDas ist auch ein Grund... aber nur einer.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x08\x06カゲツ\nHauptsächlich war ich daran interessiert, etwas\nüber die Welt zu lernen.\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0E\x0Cディアマンド\nWas meinst du?\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x08\x06カゲツ\nSitten, Weltanschauung, Philosophie...\nEs gibt so viele Unterschiede zwischen den\nKulturen, die ich noch nicht begreife.\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x08\x06カゲツ\nAber es gibt auch viele Gemeinsamkeiten – wie\nunsere Einstellung gegenüber Schwertern.\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x08\x06カゲツ\nIch glaube, so wie Ihr, dass das Kreuzen der\nSchwerter uns mehr lehren kann, als bloße\nWorte es vermögen.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x08\x06カゲツ\nDaher bin ich auf der Suche nach starken und\ninteressanten Gegnern.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0E\x0Cディアマンド\nAaah, das war also dein Ziel...\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0E\x0Cディアマンド\nUm ehrlich zu sein, erfüllt mich das ein bisschen\nmit Neid. Meine Position verhindert oft, dass ich\nnach eigenem Gutdünken reisen kann.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x08\x06カゲツ\nVielleicht könnt Ihr ja durch mich auf Reisen\ngehen. Ich teile liebend gern meine Geschichten\nmit Euch.\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0E\x0Cディアマンド\nDas würde mir gefallen. Ich liebe gute\nAbenteuergeschichten.\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x0E\x0Cディアマンド\nHups... Verzeihung.\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x08\x06カゲツ\nHahaha, kein Grund, sich zu entschuldigen.\nUnser kleiner Zweikampf hat Euch hungrig\ngemacht!\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x08\x06カゲツ\nHier, nehmt ein Onigiri. Es ist mit Reis gemacht.\nKöstlich und wohltuend.\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0E\x0Cディアマンド\nHuch. Was für eine seltsame Form. Aber\nEssen ist Essen.\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x0E\x0Cディアマンド\nEs ist... so sauer!\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x08\x06カゲツ\nInnen sind Pflaumen, getrocknet und gesalzen.\nSind sie nicht eine Wohltat für Euren müden\nKörper?\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x0E\x0Cディアマンド\nDa ist definitiv etwas dran. Hmmm...\nDaran könnte ich mich gewöhnen.\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x08\x06カゲツ\nVielleicht wäre das ein weiteres Feld, das wir\nzusammen erkunden könnten, Prinz Diamant.\x0E\x04\x00\x00
MID_RELIANCE_A_#025	\x0E\x03\x02\x0E\x0Cディアマンド\nDer Austausch von Speisen? Das klingt nach\nSpaß. Legen wir unsere Schwerter nieder und\nschaufeln uns die Teller voll.\x0E\x04\x00\x00
