MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ジェーデ\x021\n\x0E\x03\x00\x10\nミスティラ\x022\n\x0E\x03\x02\x0C\nミスティラ\nHey, Jade! Hast du kurz Zeit?\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0C\nミスティラ\nIch würde viel lieber selbst einen finden! Quasi\nauf die altmodische Art, weißt du?\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0A\x08ジェーデ\nIch verstehe. Das ist eine Einstellung, die man\neher selten antrifft.\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x0A\x08ジェーデ\nGut, wenn dies Euer Plan ist, so will ich Euch\ngerne begleiten.\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x0A\x08ジェーデ\nVielleicht fördert das Ganze ja sogar ein paar\nIdeen für meinen nächsten Roman ans Tages-\nlicht... Ich sollte mir unterwegs Notizen machen.\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x02\x0C\nミスティラ\nPerfekt! Ein schillerndes Juwel für mich, und\nschillernde Charakterideen für dich! Ein Gewinn\nfür alle Beteiligten!\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ジェーデ\x021\n\x0E\x03\x00\x10\nミスティラ\x022\n\x0E\x03\x02\x0C\nミスティラ\nTja. Das war wohl nichts mit der Juwelenjagd.\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x0A\x08ジェーデ\nEs tut mir leid, Prinzessin Timerra. Ich hatte\nbereits befürchtet, dass wir mit leeren Händen\nzurückkehren könnten...\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0C\nミスティラ\nAch was, das ist schon in Ordnung. Es hat\ntrotzdem Spaß gemacht, die Mine mit dir zu\nerkunden.\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0C\nミスティラ\nGanz ehrlich, wenn du Zeit hast, würde ich das\ngerne möglichst bald noch mal versuchen!\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0A\x08ジェーデ\nGewiss doch. Ich werde Euch begleiten, so oft\nIhr es wünscht.\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x0C\nミスティラ\nHey, wie wär's damit?\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0C\nミスティラ\nWenn wir ein Stück Erz finden, das groß genug\nist, dann polieren wir es und schneiden es in\nzwei gleich große Juwelen!\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0C\nミスティラ\nAuf diese Weise haben wir ein funkelndes\nAndenken an unsere Freundschaft. Eine tolle\nIdee, oder?\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0A\x08ジェーデ\nIhr wollt mir ein Juwel schenken? Das wäre\nehrlich gesagt bloß ziemliche Verschwendung.\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0C\nミスティラ\nHm? Was meinst du damit?\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0C\nミスティラ\nWobei, wenn ich so darüber nachdenke...\nDu trägst nie Juwelen, oder?\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0A\x08ジェーデ\nNein, niemals.\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0A\x08ジェーデ\nFür mich sind Juwelen etwas, das man nicht\nträgt, sondern beschützt.\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x0A\x08ジェーデ\nIch war früher Wachfrau bei der Mine meiner\nHeimatstadt. Banditen waren dort eine ständige\nBedrohung...\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0A\x08ジェーデ\nDaher würde ich gar keinen Gefallen daran finden,\nein Juwel als Schmuck zu tragen. Mein erster\nInstinkt wäre eher, das Juwel wegzuschließen.\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0C\nミスティラ\nHoho. Was für eine Verschwendung.\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x0A\x08ジェーデ\nJa, genau. Ich bin froh, dass Ihr es versteht.\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x0C\nミスティラ\nNein! Ich meinte, was für eine Verschwendung,\ndass eine Schönheit wie du keine Juwelen trägt!\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x0C\nミスティラ\nDamit wäre es beschlossene Sache. Wir kehren\nzu der Höhle zurück und finden dir das\nhübscheste Juwel, das du je gesehen hast!\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x0C\nミスティラ\nUnd du WIRST es tragen, wart's nur ab!\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ジェーデ\x021\n\x0E\x03\x00\x10\nミスティラ\x022\n\x0E\x03\x02\x0C\nミスティラ\nIch kann nicht fassen, dass wir immer noch\nkeine Minerale gefunden haben.\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x0A\x08ジェーデ\nIn der Tat. Alle örtlichen Minen scheinen bereits\nerschöpft zu sein...\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0A\x08ジェーデ\nWomöglich hätten wir noch etwas gefunden,\nwenn wir früher gekommen wären... aber wer\nweiß das schon.\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x0C\nミスティラ\nMenno, ich will doch nur ein paar Juwelen. Ist\ndas denn zu viel verlangt?\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0C\nミスティラ\nIch war so versessen darauf, dich eins tragen zu\nlassen. Du hättest bestimmt toll ausgesehen!\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0A\x08ジェーデ\n...\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0A\x08ジェーデ\nHm.\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0C\nミスティラ\nHey, lachst du etwa?!\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x0A\x08ジェーデ\nAllerdings.\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0A\x08ジェーデ\nWobei ich über nichts Bestimmtes lache. Ich bin\nbloß... glücklich.\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0C\nミスティラ\nGlücklich? Worüber?\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0A\x08ジェーデ\nEs macht mich glücklich, dass Ihr so sehr an\nmich denkt.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0A\x08ジェーデ\nUrsprünglich wolltet Ihr Juwelen für Euch selbst\nsuchen – doch jetzt seid Ihr völlig fixiert darauf,\neins für mich zu finden...\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0A\x08ジェーデ\nIch brauche nur kurz einen Moment, um... das\nGefühl zu genießen.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0C\nミスティラ\nHey, hey! Nun sieh sich das einer an. Du wirst ja\nganz gefühlsduselig!\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0C\nミスティラ\nIch finde einfach, du hättest etwas derart\nSchönes verdient, weißt du?\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x0A\x08ジェーデ\nDas weiß ich sehr zu schätzen, Prinzessin\nTimerra.\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x0C\nミスティラ\n...\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x0C\nミスティラ\nNein! So lass ich das nicht enden. Komm, wir\ngehen jetzt sofort zu einem Juwelenhändler!\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0A\x08ジェーデ\nWas?! Nun wollt Ihr die Juwelen doch einfach\nkaufen? Nach all der Sucherei?\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x0A\x08ジェーデ\nHahaha.\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x0C\nミスティラ\nHahaha, jepp. Ich geb's auf mit der altmo-\ndischen Methode. Ist das denn so schlimm?\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x0A\x08ジェーデ\nÜberhaupt nicht. Außerdem war es gar nicht\nnötig, ein seltenes Juwel suchen zu gehen. Es\nbefand sich die ganze Zeit eins an meiner Seite.\x0E\x04\x00\x00
