MID_GR_Lueur_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0C\x06マルス\x022\n\x0E\x03\x02\x08\x06マルス\nEs tut gut, dass wir reden können, nachdem\nich so eine lange Zeit schweigend über Euch\ngewacht habe, \x0E\x06\x03\x00.\x0E\x04\x00\x00
MID_GR_Vandre_B_#002	\x0E\x03\x02\x08\x06マルス\nIch wünschte, ich könnte es Euch gleichtun,\ndoch ich kann nichts essen. Aber ich freue mich,\ndass Ihr sie genießen könnt.\x0E\x04\x00\x00
MID_GR_Vandre_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nヴァンドレ\x021\n\x0E\x03\x00\x0C\x06マルス\x022\n\x0E\x03\x02\x08\x06マルス\nIhr habt sehr geschickte Hände, Vander.\nIch hatte keine Ahnung, dass Ihr stricken könnt.\x0E\x04\x00\x00
MID_GR_Vandre_A_#002	\x0E\x03\x02\x0C\nヴァンドレ\nEs ist einfach nur ein Hobby, würde ich sagen,\naber ich habe damit aus praktischen Gründen\nangefangen – und zur Entspannung.\x0E\x04\x00\x00
MID_GR_Vandre_A_#003	\x0E\x03\x02\x0C\nヴァンドレ\nIch habe die Hoffnung, dass ich mich ganz auf\ndas Stricken konzentrieren werde, wenn der\nFrieden wiederhergestellt wurde.\x0E\x04\x00\x00
MID_GR_Vandre_A_#004	\x0E\x03\x02\x08\x06マルス\nEine guter Plan. Lasst uns diesen Krieg beenden\nund die Welt zu einem friedlichen Ort machen,\nwo Ihr in Ruhe stricken könnt.\x0E\x04\x00\x00
MID_GR_Clan_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クラン\x021\n\x0E\x03\x00\x0C\x06マルス\x022\n\x0E\x03\x02\x08\x06マルス\nIch habe gesehen, wie du in der Schlacht ge-\nkämpft hast. Du bist sehr talentiert. Ich bin froh,\nmit dir zusammenzuarbeiten.\x0E\x04\x00\x00
MID_GR_Clan_C_#002	\x0E\x03\x02\x08\x06クラン\nOh, Junge. Ihr meint, ich sei gut? Das ist eine\nwahre Ehre. Ich verspreche, ich werde ver-\nsuchen, ihr gerecht zu werden!\x0E\x04\x00\x00
MID_GR_Clan_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クラン\x021\n\x0E\x03\x00\x0C\x06マルス\x022\n\x0E\x03\x02\x08\x06クラン\nLord Marth, bewundert Ihr eigentlich jemanden?\nAlso jemanden, den Ihr anseht und denkt,\n„klasse“?\x0E\x04\x00\x00
MID_GR_Clan_B_#002	\x0E\x03\x02\x08\x06マルス\nIch bewundere alle meine Freunde, mit denen\nich starke Bande knüpfe. Wie dich, Clanne.\x0E\x04\x00\x00
MID_GR_Clan_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クラン\x021\n\x0E\x03\x00\x0C\x06マルス\x022\n\x0E\x03\x02\x08\x06クラン\nIch habe herausgefunden, warum man Euch den\nHeldenkönig nennt. Ihr seid supermächtig und\nbraucht niemanden.\x0E\x04\x00\x00
MID_GR_Clan_A_#002	\x0E\x03\x02\x08\x06マルス\nGanz und gar nicht. Allein war ich machtlos. Ich\nkonnte nur mit Hilfe anderer erfolgreich sein.\x0E\x04\x00\x00
MID_GR_Clan_A_#003	\x0E\x03\x02\x08\x06マルス\nMein Leben gehörte meinen Freunden und\nihres gehörte mir. Ich kämpfte für sie und sie\nnannten mich einen Helden.\x0E\x04\x00\x00
MID_GR_Clan_A_#004	\x0E\x03\x02\x08\x06クラン\nMacht verdient man sich also, man bekommt sie\nnicht? Danke, dass Ihr mich das gelehrt habt,\nLord Marth.\x0E\x04\x00\x00
MID_GR_Fram_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06フラン\x021\n\x0E\x03\x00\x0C\x06マルス\x022\n\x0E\x03\x02\x08\x06フラン\nEs ist mir eine sooo große Ehre, an Eurer Seite\nkämpfen zu dürfen, Emblem Marth. Ich werde\nversuchen, Euch nicht im Weg zu sein.\x0E\x04\x00\x00
MID_GR_Fram_C_#002	\x0E\x03\x02\x08\x06マルス\nDu musst dir keine Sorgen machen, Framme.\nGemeinsam werden wir diese Schlacht zu einem\nEnde bringen.\x0E\x04\x00\x00
MID_GR_Fram_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06フラン\x021\n\x0E\x03\x00\x0C\x06マルス\x022\n\x0E\x03\x02\x08\x06マルス\nDu siehst recht erfreut aus, Framme.\nWas machst du denn da?\x0E\x04\x00\x00
MID_GR_Fram_B_#002	\x0E\x03\x02\x08\x06フラン\nOh, ich schreibe einen Brief an meine Familie.\nSie lebt weit entfernt von hier und ich möchte\nallen sagen, dass es mir gut geht.\x0E\x04\x00\x00
MID_GR_Fram_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06フラン\x021\n\x0E\x03\x00\x0C\x06マルス\x022\n\x0E\x03\x02\x08\x06フラン\nEmblem Marth, wart Ihr die ganze Zeit an-\nwesend? Während \x0E\x0A\x00\x10\x06der\x06die \x0E\x0A\x00(\x10Wyrmgott\x14Wyrmgöttin schlief,\nmeine ich.\x0E\x04\x00\x00
MID_GR_Fram_A_#002	\x0E\x03\x02\x08\x06マルス\nDas war ich. Aber die Zeit verging recht schnell.\nIch habe gesehen, welch wunderbare Arbeit\ndu geleistet hast – als Behüterin.\x0E\x04\x00\x00
MID_GR_Fram_A_#003	\x0E\x03\x02\x08\x06フラン\nIch danke Euch! Und von nun an werde ich\nmich für Euch und \x0E\x0A\x00\x10\x06den\x06die \x0E\x0A\x00(\x10Wyrmgott\x14Wyrmgöttin noch mehr\nanstrengen.\x0E\x04\x00\x00
MID_GR_Fram_A_#004	\x0E\x03\x02\x08\x06マルス\nDaran habe ich keinen Zweifel, Framme.\nZusammen sind wir ganz sicher eine unaufhalt-\nsame Kraft.\x0E\x04\x00\x00
MID_GR_Alfred_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cアルフレッド\x021\n\x0E\x03\x00\x0C\x06マルス\x022\n\x0E\x03\x02\x0E\x0Cアルフレッド\nDies ist der Ring, den \x0E\x0A\x00\x10\x06der\x06die Göttliche während\ndes Schlafes trug! Es ist mir eine Ehre, Euch\ndienen zu dürfen!\x0E\x04\x00\x00
MID_GR_Alfred_C_#002	\x0E\x03\x02\x08\x06マルス\nIch bin froh, an der Seite eines so großen\nPrinzen wie Euch zu kämpfen. Mögen wir\nzusammen den Frieden wiederherstellen.\x0E\x04\x00\x00
MID_GR_Alfred_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cアルフレッド\x021\n\x0E\x03\x00\x0C\x06マルス\x022\n\x0E\x03\x02\x08\x06マルス\nIhr seht besorgt aus, Alfred. Belastet Euch\netwas?\x0E\x04\x00\x00
MID_GR_Alfred_B_#002	\x0E\x03\x02\x0E\x0Cアルフレッド\nIch bin deprimiert, weil ich immer noch so\nganz ohne Muskeln bin. Vielleicht sollte ich\nein wenig laufen. Das hilft normalerweise!\x0E\x04\x00\x00
MID_GR_Alfred_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cアルフレッド\x021\n\x0E\x03\x00\x0C\x06マルス\x022\n\x0E\x03\x02\x08\x06マルス\nIhr habt eine Leidenschaft für körperliche\nErtüchtigung. Ich kann Euch für Eure Hingabe\nnur applaudieren.\x0E\x04\x00\x00
MID_GR_Alfred_A_#002	\x0E\x03\x02\x0E\x0Cアルフレッド\nIch war ein kränkliches Kind, da half mir das,\num wieder zu Kräften zu kommen. So wurde\nes zu meiner Freizeitbeschäftigung.\x0E\x04\x00\x00
MID_GR_Alfred_A_#003	\x0E\x03\x02\x08\x06マルス\nKrankheit kann selbst den kühnsten Ritter\nniederstrecken. Ihr habt gut daran getan, dies\nauszugleichen.\x0E\x04\x00\x00
MID_GR_Alfred_A_#004	\x0E\x03\x02\x0E\x0Cアルフレッド\nIch trainiere hart, das ist schon alles.\nApropos: Ich wollte gerade eine Runde laufen.\nWollt Ihr mitkommen?\x0E\x04\x00\x00
MID_GR_Boucheron_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nブシュロン\x021\n\x0E\x03\x00\x0C\x06マルス\x022\n\x0E\x03\x02\x0C\nブシュロン\nEs ist mir eine Ehre, in der Schlacht an Eurer\nSeite zu sein. Ich muss noch viel tun, um meiner\nRolle als königlicher Soldat gerecht zu werden.\x0E\x04\x00\x00
MID_GR_Boucheron_C_#002	\x0E\x03\x02\x08\x06マルス\nWir alle müssen uns unseren eigenen Heraus-\nforderungen stellen, Boucheron. Lass es uns\ngemeinsam tun.\x0E\x04\x00\x00
MID_GR_Boucheron_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nブシュロン\x021\n\x0E\x03\x00\x0C\x06マルス\x022\n\x0E\x03\x02\x08\x06マルス\nSehe ich da Tränen in deinen Augen,\nBoucheron? Ist etwas Tragisches geschehen?\x0E\x04\x00\x00
MID_GR_Boucheron_B_#002	\x0E\x03\x02\x0C\nブシュロン\nNein... Ich habe eine Tragödie gelesen, keine\nerlebt. Immer, wenn ich daran denke, kommen\nmir die Tränen.\x0E\x04\x00\x00
MID_GR_Boucheron_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nブシュロン\x021\n\x0E\x03\x00\x0C\x06マルス\x022\n\x0E\x03\x02\x0C\nブシュロン\nDieser Krieg hat das Land verheert und die\nGewässer verschmutzt. Das muss aufhören,\nund zwar schnell.\x0E\x04\x00\x00
MID_GR_Boucheron_A_#002	\x0E\x03\x02\x08\x06マルス\nDein Heimatort ist ein schönes Dorf, wie ich\nhörte, mit Grün überall. Und klarem Wasser,\nwie ich vermute.\x0E\x04\x00\x00
MID_GR_Boucheron_A_#003	\x0E\x03\x02\x0C\nブシュロン\nJa. Die Flüsse sind kristallklar. Ich ging dort\noft fischen... Ich frage mich, ob ihr Wasser\nnoch glitzert.\x0E\x04\x00\x00
MID_GR_Boucheron_A_#004	\x0E\x03\x02\x08\x06マルス\nZieh Kraft aus deiner Liebe zu dem Land.\nVereine sie mit unserer Kraft, während wir\nuns für den Frieden einsetzen.\x0E\x04\x00\x00
MID_GR_Etie_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nエーティエ\x021\n\x0E\x03\x00\x0C\x06マルス\x022\n\x0E\x03\x02\x0C\nエーティエ\nHey da, Marth. Ihr trefft mich in meiner Lieb-\nlingsstimmung an, direkt nach einem guten,\nharten Training!\x0E\x04\x00\x00
MID_GR_Etie_C_#002	\x0E\x03\x02\x08\x06マルス\nDein Eifer beim Training mit dem Bogen kann\nsich mit dem von Alteas bestem Bogenschützen\nmessen.\x0E\x04\x00\x00
MID_GR_Etie_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nエーティエ\x021\n\x0E\x03\x00\x0C\x06マルス\x022\n\x0E\x03\x02\x0C\nエーティエ\nHey, Marth. Ich wollte gerade Tee trinken,\nmöchtet Ihr mir nicht Gesellschaft leisten?\x0E\x04\x00\x00
MID_GR_Etie_B_#002	\x0E\x03\x02\x08\x06マルス\nIch kann mit dir leider keinen Tee trinken,\naber ich kann das Aroma genießen. Damit\nwäre ich zufrieden, wenn du es bist.\x0E\x04\x00\x00
MID_GR_Etie_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nエーティエ\x021\n\x0E\x03\x00\x0C\x06マルス\x022\n\x0E\x03\x02\x0C\nエーティエ\nIch wünschte, diese Gedanken würden endlich\naus meinem Kopf verschwinden. Da kann ich\nwohl nur eines tun.\x0E\x04\x00\x00
MID_GR_Etie_A_#002	\x0E\x03\x02\x08\x06マルス\nPlagen dich Zweifel, Etie?\x0E\x04\x00\x00
MID_GR_Etie_A_#003	\x0E\x03\x02\x08\x06マルス\nDu magst dich besser fühlen, wenn du darüber\nsprichst. Geteiltes Leid ist oft besiegtes Leid.\x0E\x04\x00\x00
MID_GR_Etie_A_#004	\x0E\x03\x02\x0C\nエーティエ\nIch weiß Euer Angebot zu schätzen, aber bei\nmir hilft nur körperliche Anstrengung. Ich werde\ndiese Zweifel einfach weglaufen!\x0E\x04\x00\x00
MID_GR_Celine_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08セリーヌ\x021\n\x0E\x03\x00\x0C\x06マルス\x022\n\x0E\x03\x02\x0A\x08セリーヌ\nIch hätte mir niemals träumen lassen, dass ich\nmal ein leibhaftiges Emblem treffe. Es gibt so\nvieles, worüber ich mit Euch reden möchte.\x0E\x04\x00\x00
MID_GR_Celine_C_#002	\x0E\x03\x02\x08\x06マルス\nEs wäre mir eine Freude, Geschichten aus\ndem Königreich Firene – und über Euch selbst –\nzu hören.\x0E\x04\x00\x00
MID_GR_Celine_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08セリーヌ\x021\n\x0E\x03\x00\x0C\x06マルス\x022\n\x0E\x03\x02\x0A\x08セリーヌ\nIhr tragt da einen schönen Reif. Er ergänzt\nEure Kleidung... und besitzt ganz offensichtlich\neinen ideellen Wert.\x0E\x04\x00\x00
MID_GR_Celine_B_#002	\x0E\x03\x02\x08\x06マルス\nGut erkannt. Er bedeutet mir sehr viel, da er\nein Geschenk von jemanden ist, der mir sehr\nviel bedeutet.\x0E\x04\x00\x00
MID_GR_Celine_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08セリーヌ\x021\n\x0E\x03\x00\x0C\x06マルス\x022\n\x0E\x03\x02\x0A\x08セリーヌ\nIch liebe mein Königreich und sein Volk. Daher\nhabe ich mich dazu entschlossen, für sie zu\nkämpfen.\x0E\x04\x00\x00
MID_GR_Celine_A_#002	\x0E\x03\x02\x08\x06マルス\nIch weiß nur zu gut, dass es Dinge in der Welt\ngibt, die es wert sind, dass man zu ihrer\nVerteidigung zu den Waffen greift.\x0E\x04\x00\x00
MID_GR_Celine_A_#003	\x0E\x03\x02\x0A\x08セリーヌ\nDanke. Es ist gut zu wissen, dass noch jemand\nso empfindet wie ich. Es erleichtert mich, einen\nGleichgesinnten im Kampf neben mir zu wissen.\x0E\x04\x00\x00
MID_GR_Celine_A_#004	\x0E\x03\x02\x08\x06マルス\nIch werde an Eurer Seite sein, so lange Ihr es\nwünscht, Céline. Bis Euer Königreich wieder\nsicher ist.\x0E\x04\x00\x00
MID_GR_Louis_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04ルイ\x021\n\x0E\x03\x00\x0C\x06マルス\x022\n\x0E\x03\x02\x06\x04ルイ\nIhr seid ein hinreißender Mann, Marth. Eure\nAusstrahlung bereichert alle in Eurer Gegenwart.\x0E\x04\x00\x00
MID_GR_Louis_C_#002	\x0E\x03\x02\x08\x06マルス\nLouis, du schmeichelst mir zu sehr. Du trägst\ndoch selbst dazu bei, andere aufzuheitern.\x0E\x04\x00\x00
MID_GR_Louis_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04ルイ\x021\n\x0E\x03\x00\x0C\x06マルス\x022\n\x0E\x03\x02\x06\x04ルイ\nEuer Zusammenspiel mit \x0E\x0A\x00\x10\x06dem\x06der Göttlichen bietet\neinen einzigartigen Anblick. Wie eine ganz neue\nLeinwand.\x0E\x04\x00\x00
MID_GR_Louis_B_#002	\x0E\x03\x02\x08\x06マルス\nEine Leinwand? Verzeih, aber ich verstehe\nnicht, was du damit sagen möchtest. Würdest\ndu es mir bitte erklären?\x0E\x04\x00\x00
MID_GR_Louis_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04ルイ\x021\n\x0E\x03\x00\x0C\x06マルス\x022\n\x0E\x03\x02\x08\x06マルス\nEs ist mir nicht entgangen, wie aufmerksam du\nbist. Warst du immer schon so?\x0E\x04\x00\x00
MID_GR_Louis_A_#002	\x0E\x03\x02\x06\x04ルイ\nSchon als Kind war es mein Ziel, andere zu\nerfreuen. Vielleicht sind meine vielen Brüder\nder Grund dafür.\x0E\x04\x00\x00
MID_GR_Louis_A_#003	\x0E\x03\x02\x06\x04ルイ\nDafür werde ich meiner Familie ewig dankbar\nsein. Das ist auch der Grund, warum ich zum\nGetreuen bestimmt wurde.\x0E\x04\x00\x00
MID_GR_Louis_A_#004	\x0E\x03\x02\x08\x06マルス\nHa, deine Unterstützung auf dem Schlachtfeld\nerleichtert uns alle. Du bist uns eine große Hilfe,\nLouis.\x0E\x04\x00\x00
MID_GR_Chloe_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クロエ\x021\n\x0E\x03\x00\x0C\x06マルス\x022\n\x0E\x03\x02\x08\x06クロエ\nIch komme mir vor wie in einem Märchen, weil\nich mit dem Emblem spreche, das über \x0E\x0A\x00\x10\x06den\x06die\n\x0E\x0A\x00*\x14Göttlichen\x12Göttliche gewacht hat.\x0E\x04\x00\x00
MID_GR_Chloe_C_#002	\x0E\x03\x02\x08\x06マルス\nIch genieße unsere Gespräche. In der Nähe einer\nPegasusritterin zu sein, weckt Erinnerungen\nan jemanden, der mir sehr viel bedeutet.\x0E\x04\x00\x00
MID_GR_Chloe_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クロエ\x021\n\x0E\x03\x00\x0C\x06マルス\x022\n\x0E\x03\x02\x08\x06クロエ\nEs ist nicht schlimm, sich dann und wann aus-\nzuruhen. Warum entspannt Ihr Euch nicht ein\nwenig vor der nächsten Schlacht?\x0E\x04\x00\x00
MID_GR_Chloe_B_#002	\x0E\x03\x02\x08\x06マルス\nDem stimme ich zu, und du solltest dies auch\ntun. Ich möchte in diesem Krieg niemanden\nverlieren.\x0E\x04\x00\x00
MID_GR_Chloe_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クロエ\x021\n\x0E\x03\x00\x0C\x06マルス\x022\n\x0E\x03\x02\x08\x06クロエ\nBevor ich Prinzessin Céline traf, wusste ich\nnichts über die Welt. Ich hätte niemals gedacht,\ndass sie so groß sei.\x0E\x04\x00\x00
MID_GR_Chloe_A_#002	\x0E\x03\x02\x08\x06マルス\nViele strengen sich an, um einfach nur zu\nüberleben. Denke an sie, während du kämpfst.\x0E\x04\x00\x00
MID_GR_Chloe_A_#003	\x0E\x03\x02\x08\x06クロエ\nIch versuche, sie zu beschützen, so gut ich es\nkann. Ist dies das Geheimnis dahinter, Marth?\x0E\x04\x00\x00
MID_GR_Chloe_A_#004	\x0E\x03\x02\x08\x06マルス\nDas ist es. Zusammen mit unseren Verbündeten,\nmit denen wir so vertraut wurden, werden wir\nden Frieden bringen.\x0E\x04\x00\x00
MID_GR_Diamand_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cディアマンド\x021\n\x0E\x03\x00\x0C\x06マルス\x022\n\x0E\x03\x02\x0E\x0Cディアマンド\nEs ist eine Ehre für mich, an der Seite solch\neines legendären Helden zu kämpfen. Ich bin\nfroh, dass Ihr bei uns seid.\x0E\x04\x00\x00
MID_GR_Diamand_C_#002	\x0E\x03\x02\x08\x06マルス\nSo empfinde ich das auch, Diamant. Lasst uns\nim Namen des Friedens zusammenstehen.\x0E\x04\x00\x00
MID_GR_Diamand_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cディアマンド\x021\n\x0E\x03\x00\x0C\x06マルス\x022\n\x0E\x03\x02\x0E\x0Cディアマンド\nIch werde nicht auf die Art regieren, wie mein\nVater es tat. Ich möchte Wohlstand für Brodia,\naber nicht durch Kriegszüge.\x0E\x04\x00\x00
MID_GR_Diamand_B_#002	\x0E\x03\x02\x08\x06マルス\nEs ist wichtig für Thronerben, solche Dinge gut\nzu durchdenken. Ich weiß, Ihr werdet tun, was\nfür Euer Königreich das Beste ist.\x0E\x04\x00\x00
MID_GR_Diamand_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cディアマンド\x021\n\x0E\x03\x00\x0C\x06マルス\x022\n\x0E\x03\x02\x0E\x0Cディアマンド\nHabt Ihr Probleme mit einigen Fähigkeiten,\nMarth? Nur so zwischen uns... Mich schüchtert\nMagie ein.\x0E\x04\x00\x00
MID_GR_Diamand_A_#002	\x0E\x03\x02\x08\x06マルス\nDer Kronprinz von Brodia ist gar nicht so\nmakellos, wie man erzählt? Steckt eine\nGeschichte dahinter?\x0E\x04\x00\x00
MID_GR_Diamand_A_#003	\x0E\x03\x02\x0E\x0Cディアマンド\nAls Junge... löste ich im Magieunterricht eine\nExplosion aus. Seitdem fürchte ich mich vor\nMagie.\x0E\x04\x00\x00
MID_GR_Diamand_A_#004	\x0E\x03\x02\x08\x06マルス\nVerlasst Euch dort, wo Ihr Euch plagt, auf Eure\nVerbündeten. Ich tat es ebenfalls und wurde\ndeshalb auch als Held des Beistands bekannt.\x0E\x04\x00\x00
MID_GR_Umber_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08アンバー\x021\n\x0E\x03\x00\x0C\x06マルス\x022\n\x0E\x03\x02\x0A\x08アンバー\nWhoa! Ich werde an der Seite eines Emblems\nkämpfen dürfen?! Ich bin so, so froh, ein\nköniglicher Getreuer geworden zu sein!\x0E\x04\x00\x00
MID_GR_Umber_C_#002	\x0E\x03\x02\x08\x06マルス\nDu schmeichelst mir, Amber. Bitte sieh mich\neinfach als einen weiteren Verbündeten an,\nder für den Schutz dieser Welt kämpft.\x0E\x04\x00\x00
MID_GR_Umber_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08アンバー\x021\n\x0E\x03\x00\x0C\x06マルス\x022\n\x0E\x03\x02\x0A\x08アンバー\nSagt, wo wurdet Ihr geboren, Marth? Ist das\nauch eine Legende, so wie Ihr es seid? Ich\nliebe so Zeugs!\x0E\x04\x00\x00
MID_GR_Umber_B_#002	\x0E\x03\x02\x08\x06マルス\nDie Geschichte meines Königreichs beginnt mit\ndem Helden Anri. Ich muss dir seine Geschichte\nbald mal erzählen.\x0E\x04\x00\x00
MID_GR_Umber_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08アンバー\x021\n\x0E\x03\x00\x0C\x06マルス\x022\n\x0E\x03\x02\x08\x06マルス\nWie ich hörte, bist du Getreuer geworden,\nnachdem du gegen den Willen deiner Familie an\neinem Kampfturnier teilgenommen hattest.\x0E\x04\x00\x00
MID_GR_Umber_A_#002	\x0E\x03\x02\x0A\x08アンバー\nJepp. Ich habe das Leben zu Hause nicht gerade\ngehasst. Aber es war langweilig! Ich musste ein-\nfach losziehen, meine eigene Legende beginnen!\x0E\x04\x00\x00
MID_GR_Umber_A_#003	\x0E\x03\x02\x0A\x08アンバー\nNach dem Turnier sprach Prinz Diamant mich\nan. Er fragte, ob ich sein Getreuer werden wolle.\nUnd ich war total aus dem Häuschen.\x0E\x04\x00\x00
MID_GR_Umber_A_#004	\x0E\x03\x02\x08\x06マルス\nDu hast deinen Traum also durch reine Willens-\nkraft verwirklicht... Ich denke, du könntest\nvielleicht schon eine Legende sein.\x0E\x04\x00\x00
MID_GR_Jade_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ジェーデ\x021\n\x0E\x03\x00\x0C\x06マルス\x022\n\x0E\x03\x02\x0A\x08ジェーデ\nIch repräsentiere Prinz Diamant... Da muss ich\naufpassen. ...Es ist mir eine Ehre, mit\nEuch arbeiten zu dürfen, Sir Marth.\x0E\x04\x00\x00
MID_GR_Jade_C_#002	\x0E\x03\x02\x08\x06マルス\nIch freue mich schon darauf, dich in Aktion zu\nsehen, Jade. Auf unsere Zukunft!\x0E\x04\x00\x00
MID_GR_Jade_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ジェーデ\x021\n\x0E\x03\x00\x0C\x06マルス\x022\n\x0E\x03\x02\x0A\x08ジェーデ\nAlle scheinen Euch zu lieben, Sir Marth. Es ist,\nals würde allein Eure Anwesenheit einem jeden\ndie Befangenheit nehmen.\x0E\x04\x00\x00
MID_GR_Jade_B_#002	\x0E\x03\x02\x08\x06マルス\nSie fühlen sich auch sicherer, da die „eiserne\nMauer“ höchstselbst zu ihren Reihen gehört.\nBeschützen wir sie gemeinsam.\x0E\x04\x00\x00
MID_GR_Jade_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ジェーデ\x021\n\x0E\x03\x00\x0C\x06マルス\x022\n\x0E\x03\x02\x0A\x08ジェーデ\nSir Marth, ich hoffe, es ist nicht ungezogen von\nmir... aber darf ich einen Charakter für meinen\nneuen Roman nach Eurem Vorbild gestalten?\x0E\x04\x00\x00
