MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リンデン\x021\n\x0E\x03\x00\x10\nザフィーア\x022\n\x0E\x03\x02\x0C\nザフィーア\nEntschuldigt, Lindon. Dürfte ich Euch wohl eine\netwas seltsam anmutende Frage stellen?\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0A\x08リンデン\nJa... Ja, das war ich.\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0C\nザフィーア\nWenn ich Euch den Namen einer Stadt, oder\neines Dorfes in Brodia nennen würde... Würdet\nIhr Euch daran erinnern, ob...\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0C\nザフィーア\nNein, das ist unangemessen. Ich hätte nicht\nfragen sollen.\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x0A\x08リンデン\nSaphir, ich, ähm...\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x0C\nザフィーア\nEntschuldigt, dass ich Euch belästigt habe.\nIch hoffe, ich habe Euch nicht beleidigt.\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x01\x0C\nザフィーア\n\x0E\x03\x02\x0A\x08リンデン\nNun, das sollen wir uns mal genauer ansehen.\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リンデン\x021\n\x0E\x03\x00\x10\nザフィーア\x022\n\x0E\x03\x02\x0A\x08リンデン\nSaphir, darf ich kurz mit dir reden?\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x0C\nザフィーア\nSicher, Lindon. Um was geht es denn?\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0A\x08リンデン\nDeine Vermutung, dass ich vor 30 Jahren ein\nSoldat von Elusia war, ist korrekt.\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0A\x08リンデン\nAber meine Pflichten führten mich niemals in\nein ländliches Fischerdorf.\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0C\nザフィーア\nIhr habt nachgeforscht – meine Herkunft\nerforscht.\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x0A\x08リンデン\nIn der Tat.\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0C\nザフィーア\nAlso gut. Ich spreche es aus.\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0C\nザフィーア\nElusia hat mein Heimatdorf vor 30 Jahren ange-\ngriffen. Viele Bewohner wurden getötet,\ndarunter auch meine Eltern.\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0C\nザフィーア\nEs geht mir nicht um einen Rachezug oder so.\nIch habe nicht nach ihren Mördern gesucht.\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0C\nザフィーア\nAber da Ihr zu der Zeit Soldat von Elusia\ngewesen seid... habe ich mich gefragt...\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0A\x08リンデン\nNein, nein, deine Fragen sind doch nur selbst-\nverständlich. Ich würde mich an deiner Stelle\ndasselbe fragen.\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0C\nザフィーア\nDennoch hätte ich nicht fragen sollen. Wir beide\nstehen nun auf derselben Seite. Es gibt keinen\nGrund, das Thema anzuschneiden.\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0A\x08リンデン\nWenn du mich hassen möchtest, Saphir, hast\ndu das Recht dazu.\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x0A\x08リンデン\nSelbst wenn du mich tot sehen möchtest,\nwürde ich das erlauben, wenn es dir deinen\nSchmerz nimmt.\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0C\nザフィーア\nWie bitte?! Warum sagt Ihr so etwas?!\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0A\x08リンデン\nWeil ich es so meine.\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x0A\x08リンデン\nIch mag deinen Eltern vielleicht nicht persönlich\netwas angetan haben, aber ich war ein Soldat\nin diesem Krieg.\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x0A\x08リンデン\nIch kann mir leicht vorstellen, dass ich es hätte\nsein können, der deinen Eltern das Leben nahm.\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x0C\nザフィーア\nIch...\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x0A\x08リンデン\nIch bin ein Mann, der seine Blütezeit schon\nhinter sich gelassen hat. Ich würde freudig dem\nEnde entgegengehen, wenn es dich erleichtert.\x0E\x04\x00\x00
MID_RELIANCE_B_#021	\x0E\x03\x02\x0A\x08リンデン\nUnd auch wenn Worte nichts mehr ändern\nkönnen, so bitte ich doch um Verzeihung.\nEs tut mir aus tiefstem Herzen leid.\x0E\x04\x00\x00
MID_RELIANCE_B_#022	\x0E\x03\x02\x0C\nザフィーア\nIch kann das nicht. Entschuldigt mich.\x0E\x04\x00\x00
MID_RELIANCE_B_#023	\x0E\x03\x01\x0C\nザフィーア\n\x0E\x03\x02\x0A\x08リンデン\nOje...\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nザフィーア\x022\n\x0E\x03\x02\x0C\nザフィーア\nSo filetiert man also einen Fisch.\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x00\x0E\x08リンデン\x021\n\x0E\x03\x02\x0A\x08リンデン\nIch muss sagen, du gehst mit dem Filetmesser\nwirklich sehr geschickt um.\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0C\nザフィーア\nLindon...\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x0A\x08リンデン\nEs ist schon beeindruckend zu sehen, wie solch\nein großer Fisch innerhalb von wenigen Augen-\nblicken ausgenommen und gesäubert wird.\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0C\nザフィーア\nNein, nicht wirklich. Jedes Kind, das am Wasser\naufwächst, kann das, noch bevor es sieben\nJahre alt ist.\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0A\x08リンデン\nIch verstehe.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0A\x08リンデン\nSaphir, unsere Unterhaltung neulich...\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0C\nザフィーア\nWie dem auch sei, Ihr kommt genau recht!\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x0C\nザフィーア\nIch wollte gerade den Fisch braten. Mögt Ihr mir\nEure Magie leihen? Kommt, gebt mir die Ehre.\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0A\x08リンデン\nÄhm, ich würde das sehr gerne tun, aber...\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0C\nザフィーア\nUnser letztes Gespräch belastet Euch.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0A\x08リンデン\nIch fürchte ja.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0A\x08リンデン\nIch kann es nicht leugnen, dass ich an dem\nKrieg teilnahm, der deinen Eltern das Leben\nnahm.\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0A\x08リンデン\nIch würde es vollkommen verstehen, wenn du\neinen Groll gegen mich hegtest.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0C\nザフィーア\nMit allem gebührenden Respekt, Lindon...\nHört damit auf, sonst werde ich sauer.\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0A\x08リンデン\nEntschuldigung?!\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x0C\nザフィーア\nIch habe kein Problem mit Euch. Nur mit dem\nKrieg.\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x0C\nザフィーア\nWürde ich gegenüber allen am Krieg Beteiligten\nGroll hegen, nähme das nie ein Ende. Ich habe\ngenug gesehen, um das zu verstehen.\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x0A\x08リンデン\nJa, aber...\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0C\nザフィーア\nEs ist mir ernst. Ihr tut mir keinen Gefallen,\nwenn Ihr die Last auf Eure Schultern legt.\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x0A\x08リンデン\nDu hast recht. Ich erkenne nun, dass ich ein\nkompletter Narr war.\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x0C\nザフィーア\nKein kompletter. Ihr habt gezeigt, dass Ihr Euch\nsorgt. Das ist von Bedeutung.\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x0C\nザフィーア\nAlso, werdet Ihr nun den Fisch für mich braten,\noder was? Auf uns warten hungrige Mäuler!\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x0A\x08リンデン\nDann sollten wir keine Zeit verschwenden!\nKeine Entschuldigungen mehr. Jetzt lieber\nButter bei die Fische!\x0E\x04\x00\x00
